gene_id	tAI	nc	gc3
augustus_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-7.52-mRNA-1	0.435775794093243	47.6854	0.629
snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-6.120-mRNA-1	0.378181346708195	49.5973	0.636
snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-6.126-mRNA-1	0.388787705948142	47.8280	0.695
snap_masked-gi|1002316225|dbj|BCGB01000008.1|-processed-gene-6.51-mRNA-1	0.348776375176301	53.3041	0.626
snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-8.50-mRNA-1	0.331593411650484	55.2066	0.600
augustus_masked-gi|1002316230|dbj|BCGB01000003.1|-processed-gene-5.33-mRNA-1	0.323537959271986	58.7901	0.540
maker-gi|1002316226|dbj|BCGB01000007.1|-snap-gene-7.134-mRNA-1	0.34638683196449	53.0459	0.663
snap_masked-gi|1002316225|dbj|BCGB01000008.1|-processed-gene-0.43-mRNA-1	0.35636908668594	41.8109	0.843
snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-5.49-mRNA-1	0.315715573427952	54.7232	0.638
augustus_masked-gi|1002316229|dbj|BCGB01000004.1|-processed-gene-3.99-mRNA-1	0.374975179059751	50.4063	0.628
snap_masked-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-4.108-mRNA-1	0.375727843711845	49.5286	0.436
augustus_masked-gi|1002316229|dbj|BCGB01000004.1|-processed-gene-5.139-mRNA-1	0.365360434669546	43.5433	0.829
snap_masked-gi|1002316230|dbj|BCGB01000003.1|-processed-gene-9.88-mRNA-1	0.416631284882076	46.9919	0.608
snap_masked-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-7.105-mRNA-1	0.336479639011932	55.9995	0.582
snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-5.51-mRNA-1	0.331910826936606	48.6425	0.737
augustus_masked-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-24.65-mRNA-1	0.345921776053666	56.7798	0.487
snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-14.76-mRNA-1	0.359662348771744	49.2701	0.696
snap_masked-gi|1002316230|dbj|BCGB01000003.1|-processed-gene-15.6-mRNA-1	0.352528093439815	54.0373	0.607
snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-11.60-mRNA-1	0.455051688177138	43.4323	0.514
snap_masked-gi|1002316227|dbj|BCGB01000006.1|-processed-gene-4.47-mRNA-1	0.354369060906119	58.2754	0.534
snap_masked-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-0.101-mRNA-1	0.353283794714188	56.3063	0.572
snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-19.47-mRNA-1	0.445347224127338	44.3723	0.486
augustus_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-8.204-mRNA-1	0.296642870892909	49.9201	0.708
augustus_masked-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-0.77-mRNA-1	0.339196719003763	57.0999	0.441
augustus_masked-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-2.101-mRNA-1	0.386658865593852	41.7597	0.805
snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-0.128-mRNA-1	0.404050847301695	53.3796	0.555
augustus_masked-gi|1002316230|dbj|BCGB01000003.1|-processed-gene-13.83-mRNA-1	0.346703026322054	55.0471	0.576
snap_masked-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-17.61-mRNA-1	0.419366976803518	47.8680	0.561
snap_masked-gi|1002316230|dbj|BCGB01000003.1|-processed-gene-9.69-mRNA-1	0.333799365417601	57.1073	0.497
genemark-gi|1002316225|dbj|BCGB01000008.1|-processed-gene-2.5-mRNA-1	0.321971023817643	52.4349	0.383
augustus_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-20.96-mRNA-1	0.364510821484139	52.8127	0.510
snap_masked-gi|1002316227|dbj|BCGB01000006.1|-processed-gene-6.71-mRNA-1	0.330608413626979	51.1809	0.710
augustus_masked-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-9.58-mRNA-1	0.341141112349335	45.8515	0.753
maker-gi|1002316232|dbj|BCGB01000001.1|-augustus-gene-23.85-mRNA-1	0.333949052821253	57.5385	0.556
maker-gi|1002316227|dbj|BCGB01000006.1|-augustus-gene-8.8-mRNA-1	0.33991232266326	43.4724	0.824
snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-4.14-mRNA-1	0.35987419786185	54.0283	0.426
snap_masked-gi|1002316230|dbj|BCGB01000003.1|-processed-gene-14.69-mRNA-1	0.421301245407133	50.9662	0.426
snap_masked-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-14.50-mRNA-1	0.304416559083271	36.1555	0.963
maker-gi|1002316225|dbj|BCGB01000008.1|-snap-gene-2.53-mRNA-1	0.329914687622822	35.1371	0.949
snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-12.17-mRNA-1	0.30444796505058	53.2163	0.625
augustus_masked-gi|1002316225|dbj|BCGB01000008.1|-processed-gene-0.8-mRNA-1	0.432559256978058	46.3559	0.502
snap_masked-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-10.63-mRNA-1	0.380532489981079	36.8566	0.944
snap_masked-gi|1002316230|dbj|BCGB01000003.1|-processed-gene-14.61-mRNA-1	0.421617985892933	49.6608	0.443
snap_masked-gi|1002316229|dbj|BCGB01000004.1|-processed-gene-0.47-mRNA-1	0.347150594696962	47.9096	0.772
snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-17.79-mRNA-1	0.356561010100517	42.1864	0.843
snap_masked-gi|1002316230|dbj|BCGB01000003.1|-processed-gene-10.63-mRNA-1	0.371215971672246	53.5370	0.564
snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-21.90-mRNA-1	0.370145885571621	52.9966	0.519
snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-6.146-mRNA-1	0.368157955308015	51.2017	0.656
augustus_masked-gi|1002316230|dbj|BCGB01000003.1|-processed-gene-2.132-mRNA-1	0.392089288435396	53.9316	0.551
