Please cite: 
Sun, X. Y., Yang, Q. Xia, X. 2012. An Improved Implementation of Effective Number of Codons (Nc). Molecular Biology and Evolution 30:191-196.Please note: short sequences may have few 2-fold and 4-fold codon families with useful data and 
may have no codon belonging to 3-fold codon families. Nc from such sequences may not be reliable.

Chosen options:
F as sum of p^2: Yes
Weighted F: Yes
Minimum number of codons for i-fold codon family: i+1.
Pseudocount added to codon counts: 1.00


SeqName                                                                                  SeqLen       N2*      N3*      N4*       Nc     ExpNc
----------------------------------------------------------------------------------------------------------------------------------------------
augustus_masked-NODE_100_length_3772_cov_51.3001_ID_10466-processed-gene-0.2-mRNA-1        3612       12        1        8   47.4010   60.6588
snap_masked-NODE_101_length_3647_cov_53.8813_ID_10508-processed-gene-0.2-mRNA-1            3237       12        1        8   55.4805   60.7297
augustus_masked-NODE_102_length_3626_cov_26.5916_ID_6423-processed-gene-0.1-mRNA-1         2229       12        1        8   46.8882   60.2211
augustus_masked-NODE_103_length_3553_cov_43.4988_ID_10484-processed-gene-0.5-mRNA-1         804       12        1        7   52.1961   58.1589
maker-NODE_103_length_3553_cov_43.4988_ID_10484-augustus-gene-0.9-mRNA-1                   1986       12        1        8   45.3657   61.2342
augustus_masked-NODE_104_length_3464_cov_38.4195_ID_8914-processed-gene-0.6-mRNA-1         1107       12        1        8   53.6104   60.1002
snap_masked-NODE_104_length_3464_cov_38.4195_ID_8914-processed-gene-0.4-mRNA-1              627       12        1        8   55.5405   60.9716
augustus_masked-NODE_104_length_3464_cov_38.4195_ID_8914-processed-gene-0.7-mRNA-1          372       12        1        8   54.9422   58.9515
augustus_masked-NODE_105_length_3276_cov_23.4584_ID_6603-processed-gene-0.0-mRNA-1         1404       12        1        8   52.2042   62.3117
snap_masked-NODE_106_length_3076_cov_91.4877_ID_10572-processed-gene-0.1-mRNA-1             669       12        1        8   50.6716   56.7762
snap_masked-NODE_107_length_3057_cov_48.998_ID_10468-processed-gene-0.1-mRNA-1              360       11        1        8   56.0308   61.1823
augustus_masked-NODE_107_length_3057_cov_48.998_ID_10468-processed-gene-0.2-mRNA-1         1575       12        1        8   50.4195   61.6102
augustus_masked-NODE_108_length_2908_cov_36.0702_ID_10524-processed-gene-0.2-mRNA-1        1605       12        1        8   48.7721   55.2217
augustus_masked-NODE_109_length_2523_cov_41.1276_ID_10520-processed-gene-0.2-mRNA-1        2319       12        1        8   56.6435   61.2830
