Please cite: 
Sun, X. Y., Yang, Q. Xia, X. 2012. An Improved Implementation of Effective Number of Codons (Nc). Molecular Biology and Evolution 30:191-196.Please note: short sequences may have few 2-fold and 4-fold codon families with useful data and 
may have no codon belonging to 3-fold codon families. Nc from such sequences may not be reliable.

Chosen options:
F as sum of p^2: Yes
Weighted F: Yes
Minimum number of codons for i-fold codon family: i+1.
Pseudocount added to codon counts: 1.00


SeqName                                                                                SeqLen       N2*      N3*      N4*       Nc     ExpNc
--------------------------------------------------------------------------------------------------------------------------------------------
maker-NODE_10_length_515802_cov_76.8733_ID_19-snap-gene-0.1-mRNA-1                       1425       11        1        8   46.5273   58.0528
genemark-NODE_10_length_515802_cov_76.8733_ID_19-processed-gene-0.86-mRNA-1              1719       12        1        8   58.4578   61.7961
augustus_masked-NODE_10_length_515802_cov_76.8733_ID_19-processed-gene-0.27-mRNA-1        525       12        1        8   55.4639   62.8728
augustus_masked-NODE_10_length_515802_cov_76.8733_ID_19-processed-gene-0.28-mRNA-1        849       12        1        8   57.7172   61.9431
augustus_masked-NODE_10_length_515802_cov_76.8733_ID_19-processed-gene-0.6-mRNA-1        1620       12        1        8   57.4330   62.1384
maker-NODE_10_length_515802_cov_76.8733_ID_19-augustus-gene-0.45-mRNA-1                  3447       12        1        8   58.1008   62.2374
augustus_masked-NODE_10_length_515802_cov_76.8733_ID_19-processed-gene-0.7-mRNA-1        1605       12        1        8   58.9892   62.9312
augustus_masked-NODE_10_length_515802_cov_76.8733_ID_19-processed-gene-0.8-mRNA-1        1665       12        1        8   53.4754   58.1176
augustus_masked-NODE_10_length_515802_cov_76.8733_ID_19-processed-gene-0.30-mRNA-1       2523       12        1        8   58.6594   61.8951
augustus_masked-NODE_10_length_515802_cov_76.8733_ID_19-processed-gene-0.9-mRNA-1        3507       12        1        8   59.5478   62.4643
augustus_masked-NODE_10_length_515802_cov_76.8733_ID_19-processed-gene-0.10-mRNA-1        966       11        1        8   54.0060   61.2537
augustus_masked-NODE_10_length_515802_cov_76.8733_ID_19-processed-gene-0.11-mRNA-1        999       12        1        8   57.4444   61.4261
augustus_masked-NODE_10_length_515802_cov_76.8733_ID_19-processed-gene-0.12-mRNA-1       4143       12        1        8   59.7325   62.1586
augustus_masked-NODE_10_length_515802_cov_76.8733_ID_19-processed-gene-0.31-mRNA-1       3045       12        1        8   59.1327   62.1946
augustus_masked-NODE_10_length_515802_cov_76.8733_ID_19-processed-gene-0.13-mRNA-1       1968       12        1        8   56.2925   61.5274
augustus_masked-NODE_10_length_515802_cov_76.8733_ID_19-processed-gene-0.32-mRNA-1        588       12        1        8   56.4701   60.6309
augustus_masked-NODE_10_length_515802_cov_76.8733_ID_19-processed-gene-0.14-mRNA-1        771       12        1        7   56.1069   62.4462
augustus_masked-NODE_10_length_515802_cov_76.8733_ID_19-processed-gene-0.33-mRNA-1        798       11        1        8   56.5523   62.5903
augustus_masked-NODE_10_length_515802_cov_76.8733_ID_19-processed-gene-0.15-mRNA-1       1677       12        1        8   57.7607   62.6746
maker-NODE_10_length_515802_cov_76.8733_ID_19-snap-gene-0.0-mRNA-1                       2799       12        1        8   54.0051   59.8412
augustus_masked-NODE_10_length_515802_cov_76.8733_ID_19-processed-gene-0.18-mRNA-1       1002       12        1        8   58.1108   62.5820
augustus_masked-NODE_10_length_515802_cov_76.8733_ID_19-processed-gene-0.34-mRNA-1       1644       11        1        8   56.8707   61.1365
snap_masked-NODE_10_length_515802_cov_76.8733_ID_19-processed-gene-0.61-mRNA-1            297       12        1        8   53.6775   51.0749
augustus_masked-NODE_10_length_515802_cov_76.8733_ID_19-processed-gene-0.19-mRNA-1       1125       12        1        8   58.3504   62.9222
augustus_masked-NODE_10_length_515802_cov_76.8733_ID_19-processed-gene-0.20-mRNA-1        672       12        1        7   56.7876   62.9694
augustus_masked-NODE_10_length_515802_cov_76.8733_ID_19-processed-gene-0.35-mRNA-1        930       12        1        8   56.4368   62.0839
genemark-NODE_10_length_515802_cov_76.8733_ID_19-processed-gene-0.118-mRNA-1              948       12        1        8   59.8082   62.2908
augustus_masked-NODE_10_length_515802_cov_76.8733_ID_19-processed-gene-0.37-mRNA-1       1443       12        1        8   58.1397   62.6595
augustus_masked-NODE_10_length_515802_cov_76.8733_ID_19-processed-gene-0.21-mRNA-1       2133       12        1        8   58.7152   62.3524
snap_masked-NODE_10_length_515802_cov_76.8733_ID_19-processed-gene-0.66-mRNA-1           1179       11        1        8   58.3737   61.4569
augustus_masked-NODE_10_length_515802_cov_76.8733_ID_19-processed-gene-0.23-mRNA-1       1017       12        1        8   56.6518   62.4478
augustus_masked-NODE_10_length_515802_cov_76.8733_ID_19-processed-gene-0.24-mRNA-1       2277       12        1        8   56.9271   62.6787
maker-NODE_10_length_515802_cov_76.8733_ID_19-snap-gene-0.3-mRNA-1                       2001       12        1        8   58.0202   62.6254
augustus_masked-NODE_10_length_515802_cov_76.8733_ID_19-processed-gene-0.25-mRNA-1       2283       12        1        8   58.4626   62.7680
augustus_masked-NODE_10_length_515802_cov_76.8733_ID_19-processed-gene-0.39-mRNA-1       1362       12        1        8   54.9162   59.3107
augustus_masked-NODE_10_length_515802_cov_76.8733_ID_19-processed-gene-0.40-mRNA-1       2220       12        1        8   58.9217   60.5718
maker-NODE_10_length_515802_cov_76.8733_ID_19-augustus-gene-0.46-mRNA-1                   369       12        1        7   50.6894   59.0176
augustus_masked-NODE_10_length_515802_cov_76.8733_ID_19-processed-gene-1.0-mRNA-1        2640       12        1        8   56.8307   60.9075
maker-NODE_10_length_515802_cov_76.8733_ID_19-augustus-gene-1.80-mRNA-1                  1980       12        1        8   57.9691   62.0949
augustus_masked-NODE_10_length_515802_cov_76.8733_ID_19-processed-gene-1.3-mRNA-1        1470       12        1        8   55.9325   61.7154
maker-NODE_10_length_515802_cov_76.8733_ID_19-augustus-gene-1.81-mRNA-1                  2544       12        1        8   56.7374   60.3976
augustus_masked-NODE_10_length_515802_cov_76.8733_ID_19-processed-gene-1.1-mRNA-1         669       11        1        8   57.2298   62.1603
augustus_masked-NODE_10_length_515802_cov_76.8733_ID_19-processed-gene-1.13-mRNA-1       1686       12        1        8   57.9725   62.7172
augustus_masked-NODE_10_length_515802_cov_76.8733_ID_19-processed-gene-1.5-mRNA-1         588       12        1        8   53.6345   58.3930
augustus_masked-NODE_10_length_515802_cov_76.8733_ID_19-processed-gene-1.14-mRNA-1        891       12        1        8   55.4374   59.3961
augustus_masked-NODE_10_length_515802_cov_76.8733_ID_19-processed-gene-1.15-mRNA-1       3261       12        1        8   58.3609   60.5239
augustus_masked-NODE_10_length_515802_cov_76.8733_ID_19-processed-gene-1.6-mRNA-1        2784       12        1        8   59.3992   61.9510
augustus_masked-NODE_10_length_515802_cov_76.8733_ID_19-processed-gene-1.16-mRNA-1       1215       11        1        8   52.9156   62.0628
augustus_masked-NODE_10_length_515802_cov_76.8733_ID_19-processed-gene-1.17-mRNA-1       2958       12        1        8   59.5260   62.2685
augustus_masked-NODE_10_length_515802_cov_76.8733_ID_19-processed-gene-1.18-mRNA-1       1404       11        1        8   58.0090   61.5228
augustus_masked-NODE_10_length_515802_cov_76.8733_ID_19-processed-gene-1.7-mRNA-1         651       12        1        8   55.1395   61.1516
augustus_masked-NODE_10_length_515802_cov_76.8733_ID_19-processed-gene-1.19-mRNA-1       1359       12        1        8   55.1206   61.0012
augustus_masked-NODE_10_length_515802_cov_76.8733_ID_19-processed-gene-1.20-mRNA-1       1935       12        1        8   57.1604   60.7686
augustus_masked-NODE_10_length_515802_cov_76.8733_ID_19-processed-gene-1.21-mRNA-1       1767       12        1        8   54.1338   60.6138
augustus_masked-NODE_10_length_515802_cov_76.8733_ID_19-processed-gene-1.22-mRNA-1       5220       12        1        8   59.2409   62.1519
augustus_masked-NODE_10_length_515802_cov_76.8733_ID_19-processed-gene-1.8-mRNA-1        3081       12        1        8   52.6302   60.7527
snap_masked-NODE_10_length_515802_cov_76.8733_ID_19-processed-gene-1.60-mRNA-1            303       11        1        8   55.0842   59.9045
augustus_masked-NODE_10_length_515802_cov_76.8733_ID_19-processed-gene-1.23-mRNA-1       2646       12        1        8   57.2709   60.8550
augustus_masked-NODE_10_length_515802_cov_76.8733_ID_19-processed-gene-1.24-mRNA-1       1371       12        1        8   47.9068   56.8879
augustus_masked-NODE_10_length_515802_cov_76.8733_ID_19-processed-gene-1.25-mRNA-1       1047       12        1        7   54.2530   62.1256
augustus_masked-NODE_10_length_515802_cov_76.8733_ID_19-processed-gene-1.26-mRNA-1       2181       12        1        8   59.4696   62.5664
augustus_masked-NODE_10_length_515802_cov_76.8733_ID_19-processed-gene-1.27-mRNA-1       1098       12        1        8   56.1651   62.3418
augustus_masked-NODE_10_length_515802_cov_76.8733_ID_19-processed-gene-1.9-mRNA-1        1779       12        1        8   57.1892   62.3447
genemark-NODE_10_length_515802_cov_76.8733_ID_19-processed-gene-1.115-mRNA-1             1020       12        1        8   54.8771   60.6913
maker-NODE_10_length_515802_cov_76.8733_ID_19-snap-gene-1.79-mRNA-1                      1185       12        1        8   57.0055   61.7412
augustus_masked-NODE_10_length_515802_cov_76.8733_ID_19-processed-gene-1.10-mRNA-1       1779       12        1        8   57.2825   60.4484
augustus_masked-NODE_10_length_515802_cov_76.8733_ID_19-processed-gene-1.29-mRNA-1       1674       12        1        8   57.6242   61.0484
augustus_masked-NODE_10_length_515802_cov_76.8733_ID_19-processed-gene-1.30-mRNA-1       2298       12        1        8   57.2969   62.5535
augustus_masked-NODE_10_length_515802_cov_76.8733_ID_19-processed-gene-1.11-mRNA-1       5613       12        1        8   59.1355   61.8134
genemark-NODE_10_length_515802_cov_76.8733_ID_19-processed-gene-1.120-mRNA-1             2541       12        1        8   57.5918   62.9285
augustus_masked-NODE_10_length_515802_cov_76.8733_ID_19-processed-gene-1.12-mRNA-1       2259       12        1        8   57.0164   61.0206
augustus_masked-NODE_10_length_515802_cov_76.8733_ID_19-processed-gene-1.32-mRNA-1       1971       12        1        8   59.1544   62.9001
augustus_masked-NODE_10_length_515802_cov_76.8733_ID_19-processed-gene-1.33-mRNA-1       1818       12        1        8   54.3120   58.8916
augustus_masked-NODE_10_length_515802_cov_76.8733_ID_19-processed-gene-2.1-mRNA-1        1254       12        1        8   56.9825   61.8001
genemark-NODE_10_length_515802_cov_76.8733_ID_19-processed-gene-2.108-mRNA-1              969       12        1        8   53.4503   61.8333
augustus_masked-NODE_10_length_515802_cov_76.8733_ID_19-processed-gene-2.2-mRNA-1        2583       12        1        8   57.2399   62.2590
augustus_masked-NODE_10_length_515802_cov_76.8733_ID_19-processed-gene-2.3-mRNA-1         768       12        1        8   57.5065   61.0119
augustus_masked-NODE_10_length_515802_cov_76.8733_ID_19-processed-gene-2.5-mRNA-1        4950       12        1        8   58.8105   61.4824
augustus_masked-NODE_10_length_515802_cov_76.8733_ID_19-processed-gene-2.6-mRNA-1        1830       12        1        8   57.6725   61.8939
augustus_masked-NODE_10_length_515802_cov_76.8733_ID_19-processed-gene-2.26-mRNA-1       1347       12        1        8   56.9755   61.3793
augustus_masked-NODE_10_length_515802_cov_76.8733_ID_19-processed-gene-2.27-mRNA-1       1824       12        1        8   60.0651   62.9479
augustus_masked-NODE_10_length_515802_cov_76.8733_ID_19-processed-gene-2.7-mRNA-1        1425       12        1        8   57.7203   62.4056
genemark-NODE_10_length_515802_cov_76.8733_ID_19-processed-gene-2.112-mRNA-1             3882       12        1        8   58.8586   61.7765
augustus_masked-NODE_10_length_515802_cov_76.8733_ID_19-processed-gene-2.29-mRNA-1       1149       12        1        8   56.9123   62.2243
augustus_masked-NODE_10_length_515802_cov_76.8733_ID_19-processed-gene-2.30-mRNA-1       2064       12        1        8   59.3260   62.9015
augustus_masked-NODE_10_length_515802_cov_76.8733_ID_19-processed-gene-2.9-mRNA-1         972       12        1        8   55.9559   61.0018
genemark-NODE_10_length_515802_cov_76.8733_ID_19-processed-gene-2.136-mRNA-1              693       12        1        8   56.2341   60.8508
genemark-NODE_10_length_515802_cov_76.8733_ID_19-processed-gene-2.137-mRNA-1             2268       12        1        8   57.7691   62.2399
augustus_masked-NODE_10_length_515802_cov_76.8733_ID_19-processed-gene-2.32-mRNA-1       1449       12        1        8   56.9076   60.5847
augustus_masked-NODE_10_length_515802_cov_76.8733_ID_19-processed-gene-2.10-mRNA-1       1104       11        1        8   54.6123   61.9933
augustus_masked-NODE_10_length_515802_cov_76.8733_ID_19-processed-gene-2.33-mRNA-1       1776       12        1        8   56.0927   59.2654
augustus_masked-NODE_10_length_515802_cov_76.8733_ID_19-processed-gene-2.11-mRNA-1       1680       12        1        8   54.7529   62.0681
augustus_masked-NODE_10_length_515802_cov_76.8733_ID_19-processed-gene-2.34-mRNA-1       1269       12        1        8   56.7574   62.4074
augustus_masked-NODE_10_length_515802_cov_76.8733_ID_19-processed-gene-2.35-mRNA-1        816       12        1        8   53.6092   60.7637
maker-NODE_10_length_515802_cov_76.8733_ID_19-augustus-gene-2.104-mRNA-1                 1620       12        1        8   54.0408   62.5474
augustus_masked-NODE_10_length_515802_cov_76.8733_ID_19-processed-gene-2.12-mRNA-1       1815       12        1        8   59.0833   62.3354
augustus_masked-NODE_10_length_515802_cov_76.8733_ID_19-processed-gene-2.37-mRNA-1        609       12        1        8   52.2653   61.3006
augustus_masked-NODE_10_length_515802_cov_76.8733_ID_19-processed-gene-2.38-mRNA-1        834       12        1        8   58.7678   62.7120
augustus_masked-NODE_10_length_515802_cov_76.8733_ID_19-processed-gene-2.39-mRNA-1        876       12        1        8   57.8485   62.4126
augustus_masked-NODE_10_length_515802_cov_76.8733_ID_19-processed-gene-2.13-mRNA-1       1485       12        1        8   55.3228   61.4034
augustus_masked-NODE_10_length_515802_cov_76.8733_ID_19-processed-gene-2.40-mRNA-1        753       12        1        8   57.5626   61.8164
augustus_masked-NODE_10_length_515802_cov_76.8733_ID_19-processed-gene-2.14-mRNA-1        852       12        1        8   56.6285   61.6993
augustus_masked-NODE_10_length_515802_cov_76.8733_ID_19-processed-gene-2.15-mRNA-1       2079       12        1        8   57.7560   62.3840
augustus_masked-NODE_10_length_515802_cov_76.8733_ID_19-processed-gene-2.42-mRNA-1       2499       12        1        8   58.1434   62.0386
augustus_masked-NODE_10_length_515802_cov_76.8733_ID_19-processed-gene-2.16-mRNA-1        675       12        1        8   55.0254   57.9023
augustus_masked-NODE_10_length_515802_cov_76.8733_ID_19-processed-gene-2.43-mRNA-1       1032       12        1        8   55.1786   60.3186
augustus_masked-NODE_10_length_515802_cov_76.8733_ID_19-processed-gene-2.17-mRNA-1        828       12        1        8   56.0506   61.1259
augustus_masked-NODE_10_length_515802_cov_76.8733_ID_19-processed-gene-2.18-mRNA-1       1140       12        1        8   55.0600   61.6629
augustus_masked-NODE_10_length_515802_cov_76.8733_ID_19-processed-gene-2.44-mRNA-1       1407       12        1        8   44.1956   57.6650
