Please cite: 
Sun, X. Y., Yang, Q. Xia, X. 2012. An Improved Implementation of Effective Number of Codons (Nc). Molecular Biology and Evolution 30:191-196.Please note: short sequences may have few 2-fold and 4-fold codon families with useful data and 
may have no codon belonging to 3-fold codon families. Nc from such sequences may not be reliable.

Chosen options:
F as sum of p^2: Yes
Weighted F: Yes
Minimum number of codons for i-fold codon family: i+1.
Pseudocount added to codon counts: 1.00


SeqName                                                    SeqLen       N2*      N3*      N4*       Nc     ExpNc
----------------------------------------------------------------------------------------------------------------
augustus_masked-scaffold_1-processed-gene-0.107-mRNA-1       1365       12        1        8   52.4006   58.4930
snap_masked-scaffold_1-processed-gene-0.0-mRNA-1              375        9        1        7   44.5347   54.3673
snap_masked-scaffold_1-processed-gene-0.19-mRNA-1            2301       12        1        8   55.3389   60.4977
genemark-scaffold_1-processed-gene-0.62-mRNA-1               1881       12        1        8   59.9030   62.7023
snap_masked-scaffold_1-processed-gene-0.2-mRNA-1             1221       12        1        8   50.7509   57.5474
snap_masked-scaffold_1-processed-gene-0.22-mRNA-1            1392       12        1        8   57.4559   61.9859
snap_masked-scaffold_1-processed-gene-0.3-mRNA-1             1743       12        1        8   56.5884   62.6369
snap_masked-scaffold_1-processed-gene-0.4-mRNA-1              711       11        1        8   56.3996   62.6210
snap_masked-scaffold_1-processed-gene-0.23-mRNA-1            1386       12        1        8   52.2672   60.4494
snap_masked-scaffold_1-processed-gene-0.24-mRNA-1            1446       12        1        8   55.3149   56.3112
snap_masked-scaffold_1-processed-gene-0.25-mRNA-1            3129       12        1        8   56.1266   58.5415
snap_masked-scaffold_1-processed-gene-0.5-mRNA-1             1968       12        1        8   59.0921   61.5154
snap_masked-scaffold_1-processed-gene-0.6-mRNA-1              459       12        1        8   54.5277   60.7915
snap_masked-scaffold_1-processed-gene-0.26-mRNA-1            2355       12        1        8   58.0368   61.8830
snap_masked-scaffold_1-processed-gene-0.7-mRNA-1             2304       12        1        8   59.6574   62.7579
snap_masked-scaffold_1-processed-gene-0.27-mRNA-1             636       11        1        8   55.2367   59.7935
snap_masked-scaffold_1-processed-gene-0.8-mRNA-1             1785       12        1        8   56.8696   62.4747
snap_masked-scaffold_1-processed-gene-0.28-mRNA-1             543       12        1        8   55.3744   56.4807
maker-scaffold_1-snap-gene-0.84-mRNA-1                       3324       12        1        8   54.6779   56.8662
snap_masked-scaffold_1-processed-gene-0.9-mRNA-1             1164       11        1        8   55.2301   61.9553
snap_masked-scaffold_1-processed-gene-0.30-mRNA-1            4110       12        1        8   57.1082   62.4788
snap_masked-scaffold_1-processed-gene-0.10-mRNA-1            1728       12        1        8   57.3290   60.6122
snap_masked-scaffold_1-processed-gene-0.31-mRNA-1            1593       12        1        8   55.8762   61.9592
snap_masked-scaffold_1-processed-gene-0.11-mRNA-1            1323       12        1        8   49.2896   58.0196
snap_masked-scaffold_1-processed-gene-0.32-mRNA-1            2019       12        1        8   59.8355   62.2382
snap_masked-scaffold_1-processed-gene-0.12-mRNA-1            1698       12        1        8   53.7964   59.8085
snap_masked-scaffold_1-processed-gene-0.33-mRNA-1             918       12        1        8   52.9297   60.5929
snap_masked-scaffold_1-processed-gene-0.13-mRNA-1            4500       12        1        8   56.6739   61.2273
snap_masked-scaffold_1-processed-gene-0.34-mRNA-1            1848       12        1        8   54.2282   61.3166
augustus_masked-scaffold_1-processed-gene-0.102-mRNA-1       2271       12        1        8   57.9608   62.8100
snap_masked-scaffold_1-processed-gene-0.35-mRNA-1             834       11        1        8   50.8093   56.4789
snap_masked-scaffold_1-processed-gene-0.16-mRNA-1            1056       12        1        8   53.2825   59.6723
snap_masked-scaffold_1-processed-gene-0.17-mRNA-1            2577       12        1        8   58.6626   62.6595
snap_masked-scaffold_1-processed-gene-0.36-mRNA-1            1161       12        1        8   54.5873   59.6197
snap_masked-scaffold_1-processed-gene-0.37-mRNA-1             489       11        1        8   53.5339   60.5272
snap_masked-scaffold_1-processed-gene-0.18-mRNA-1            2847       12        1        8   56.6194   61.1707
snap_masked-scaffold_1-processed-gene-0.38-mRNA-1            1953       12        1        8   56.3165   60.8861
snap_masked-scaffold_1-processed-gene-1.49-mRNA-1            2754       12        1        8   58.4319   61.4608
augustus_masked-scaffold_1-processed-gene-1.10-mRNA-1        2970       12        1        8   57.8502   61.5019
snap_masked-scaffold_1-processed-gene-1.55-mRNA-1            1029       12        1        8   56.7031   62.5780
