gene_id	tAI	nc	gc3
augustus_masked-NODE_2_length_988990_cov_98.9605_ID_6788-processed-gene-2.120-mRNA-1	0.509035544274523	45.9982	0.186
augustus_masked-NODE_14_length_242154_cov_107.613_ID_3890-processed-gene-1.92-mRNA-1	0.489271804960025	44.6678	0.206
augustus_masked-NODE_44_length_60991_cov_88.2388_ID_5719-processed-gene-0.29-mRNA-1	0.471059212033332	50.0931	0.282
augustus_masked-NODE_24_length_122096_cov_96.048_ID_6063-processed-gene-0.151-mRNA-1	0.421460943518112	51.9436	0.283
augustus_masked-NODE_31_length_89179_cov_143.237_ID_5261-processed-gene-0.40-mRNA-1	0.453576599874385	51.2117	0.245
augustus_masked-NODE_26_length_113171_cov_97.9406_ID_4626-processed-gene-0.9-mRNA-1	0.503296439084274	45.1489	0.189
snap_masked-NODE_12_length_290256_cov_93.4947_ID_2939-processed-gene-1.71-mRNA-1	0.459614314635429	52.7948	0.371
maker-NODE_4_length_747051_cov_106.202_ID_3507-augustus-gene-1.172-mRNA-1	0.516140181858017	45.1881	0.266
augustus_masked-NODE_8_length_374696_cov_108.641_ID_4549-processed-gene-0.99-mRNA-1	0.475465398247779	44.2939	0.170
augustus_masked-NODE_15_length_223829_cov_100.186_ID_4289-processed-gene-1.102-mRNA-1	0.487049133865909	46.0943	0.215
snap_masked-NODE_40_length_70818_cov_124.625_ID_5579-processed-gene-0.49-mRNA-1	0.489063083071775	40.2402	0.127
augustus_masked-NODE_35_length_75347_cov_123.262_ID_6427-processed-gene-0.55-mRNA-1	0.508444805095038	43.4096	0.171
augustus_masked-NODE_2_length_988990_cov_98.9605_ID_6788-processed-gene-7.94-mRNA-1	0.483447486406143	50.7646	0.256
augustus_masked-NODE_1_length_1126442_cov_101.118_ID_7379-processed-gene-8.36-mRNA-1	0.612722492951401	36.4190	0.211
maker-NODE_5_length_542709_cov_97.2032_ID_3829-augustus-gene-4.199-mRNA-1	0.47053592381933	47.4169	0.212
augustus_masked-NODE_20_length_154965_cov_99.9354_ID_4845-processed-gene-0.211-mRNA-1	0.555147813797956	37.3048	0.131
augustus_masked-NODE_29_length_91889_cov_116.398_ID_4951-processed-gene-0.1-mRNA-1	0.525667647128216	41.3194	0.177
augustus_masked-NODE_4_length_747051_cov_106.202_ID_3507-processed-gene-5.114-mRNA-1	0.483288667665171	45.9585	0.209
augustus_masked-NODE_42_length_67509_cov_97.0814_ID_15312-processed-gene-0.39-mRNA-1	0.548816544913818	39.8874	0.162
augustus_masked-NODE_7_length_434895_cov_99.951_ID_2823-processed-gene-2.74-mRNA-1	0.496165211695815	40.6789	0.132
augustus_masked-NODE_30_length_89228_cov_111.197_ID_4989-processed-gene-0.73-mRNA-1	0.505289874082232	51.3794	0.353
snap_masked-NODE_10_length_310917_cov_107.48_ID_4357-processed-gene-2.108-mRNA-1	0.479809595910827	51.0274	0.258
augustus_masked-NODE_31_length_89179_cov_143.237_ID_5261-processed-gene-0.7-mRNA-1	0.494761877711717	43.4587	0.186
augustus_masked-NODE_59_length_26128_cov_102.527_ID_7968-processed-gene-0.35-mRNA-1	0.461593744833223	42.1088	0.139
augustus_masked-NODE_15_length_223829_cov_100.186_ID_4289-processed-gene-0.30-mRNA-1	0.477262836440891	44.4885	0.187
augustus_masked-NODE_12_length_290256_cov_93.4947_ID_2939-processed-gene-1.221-mRNA-1	0.507493224275653	53.8340	0.362
maker-NODE_17_length_197840_cov_118.389_ID_6131-augustus-gene-0.128-mRNA-1	0.511417751803012	47.0448	0.223
augustus_masked-NODE_7_length_434895_cov_99.951_ID_2823-processed-gene-3.66-mRNA-1	0.478340439049109	51.5469	0.477
augustus_masked-NODE_5_length_542709_cov_97.2032_ID_3829-processed-gene-4.92-mRNA-1	0.492916833707187	49.8047	0.289
augustus_masked-NODE_3_length_795162_cov_96.8679_ID_4511-processed-gene-5.37-mRNA-1	0.425481673743593	54.2832	0.404
augustus_masked-NODE_5_length_542709_cov_97.2032_ID_3829-processed-gene-3.98-mRNA-1	0.52572423510804	39.7591	0.174
augustus_masked-NODE_4_length_747051_cov_106.202_ID_3507-processed-gene-0.12-mRNA-1	0.529988815753503	39.8959	0.145
augustus_masked-NODE_6_length_487625_cov_118.973_ID_12440-processed-gene-0.93-mRNA-1	0.426269700971517	51.6237	0.242
augustus_masked-NODE_2_length_988990_cov_98.9605_ID_6788-processed-gene-7.79-mRNA-1	0.468553259655106	49.2346	0.214
augustus_masked-NODE_12_length_290256_cov_93.4947_ID_2939-processed-gene-0.90-mRNA-1	0.583285004381053	42.1957	0.271
augustus_masked-NODE_17_length_197840_cov_118.389_ID_6131-processed-gene-0.165-mRNA-1	0.516614058483086	43.9586	0.198
augustus_masked-NODE_23_length_123380_cov_99.8442_ID_4423-processed-gene-0.33-mRNA-1	0.594993944943659	36.5527	0.169
augustus_masked-NODE_2_length_988990_cov_98.9605_ID_6788-processed-gene-7.50-mRNA-1	0.502292074713878	41.0847	0.177
augustus_masked-NODE_3_length_795162_cov_96.8679_ID_4511-processed-gene-6.206-mRNA-1	0.494157914526609	42.6905	0.195
augustus_masked-NODE_28_length_96598_cov_100.004_ID_8157-processed-gene-0.108-mRNA-1	0.452321132045359	49.4414	0.241
snap_masked-NODE_2_length_988990_cov_98.9605_ID_6788-processed-gene-3.110-mRNA-1	0.431394415203184	49.1527	0.219
augustus_masked-NODE_32_length_86984_cov_121.358_ID_5533-processed-gene-0.126-mRNA-1	0.479492263220289	45.9407	0.212
augustus_masked-NODE_20_length_154965_cov_99.9354_ID_4845-processed-gene-0.225-mRNA-1	0.492095185242516	44.7720	0.182
augustus_masked-NODE_46_length_56858_cov_116.839_ID_13019-processed-gene-0.21-mRNA-1	0.504264545987093	42.8714	0.190
snap_masked-NODE_7_length_434895_cov_99.951_ID_2823-processed-gene-3.222-mRNA-1	0.448595500366079	50.3343	0.270
snap_masked-NODE_4_length_747051_cov_106.202_ID_3507-processed-gene-4.125-mRNA-1	0.478236768325963	44.8250	0.224
augustus_masked-NODE_4_length_747051_cov_106.202_ID_3507-processed-gene-6.115-mRNA-1	0.469709738177658	48.4709	0.234
augustus_masked-NODE_59_length_26128_cov_102.527_ID_7968-processed-gene-0.29-mRNA-1	0.501176754786538	44.4123	0.187
augustus_masked-NODE_16_length_201853_cov_92.9379_ID_3181-processed-gene-1.50-mRNA-1	0.475105145652697	43.8744	0.153
augustus_masked-NODE_15_length_223829_cov_100.186_ID_4289-processed-gene-1.109-mRNA-1	0.593372808888018	44.0887	0.283
augustus_masked-NODE_54_length_32912_cov_107.592_ID_8889-processed-gene-0.49-mRNA-1	0.533961364261446	37.6864	0.129
snap_masked-NODE_10_length_310917_cov_107.48_ID_4357-processed-gene-2.113-mRNA-1	0.491779346088103	45.1102	0.172
augustus_masked-NODE_2_length_988990_cov_98.9605_ID_6788-processed-gene-8.314-mRNA-1	0.629254402273141	39.0681	0.196
maker-NODE_48_length_54476_cov_123.556_ID_10356-augustus-gene-0.1-mRNA-1	0.525359793495778	39.2332	0.102
snap_masked-NODE_3_length_795162_cov_96.8679_ID_4511-processed-gene-4.42-mRNA-1	0.549044151025361	50.8582	0.258
snap_masked-NODE_10_length_310917_cov_107.48_ID_4357-processed-gene-0.99-mRNA-1	0.518679982109254	49.6759	0.157
augustus_masked-NODE_8_length_374696_cov_108.641_ID_4549-processed-gene-0.127-mRNA-1	0.464873085895209	45.6117	0.232
augustus_masked-NODE_10_length_310917_cov_107.48_ID_4357-processed-gene-0.29-mRNA-1	0.478934427495615	47.9552	0.252
augustus_masked-NODE_25_length_116563_cov_99.0617_ID_5091-processed-gene-0.98-mRNA-1	0.416944335047382	49.6454	0.214
augustus_masked-NODE_28_length_96598_cov_100.004_ID_8157-processed-gene-0.110-mRNA-1	0.520139889334208	41.4829	0.180
