gene_id	tAI	nc	gc3
augustus_masked-flattened_line_546-processed-gene-0.3-mRNA-1	0.25979094865621	48.6498	0.269
snap_masked-flattened_line_120-processed-gene-0.46-mRNA-1	0.268060491379043	50.4306	0.266
snap_masked-flattened_line_0-processed-gene-0.51-mRNA-1	0.261839296551041	54.1358	0.358
snap_masked-flattened_line_32-processed-gene-0.99-mRNA-1	0.331865680330763	45.1700	0.188
snap_masked-flattened_line_4-processed-gene-2.110-mRNA-1	0.287050318388642	45.4202	0.211
genemark-flattened_line_80-processed-gene-0.124-mRNA-1	0.308423974420757	48.5568	0.302
snap_masked-flattened_line_90-processed-gene-0.112-mRNA-1	0.293696838618468	46.0508	0.221
genemark-flattened_line_24-processed-gene-0.190-mRNA-1	0.34403171330246	39.4336	0.318
augustus_masked-flattened_line_106-processed-gene-0.60-mRNA-1	0.257188271961882	51.4550	0.285
snap_masked-flattened_line_418-processed-gene-0.4-mRNA-1	0.248835172813548	50.1305	0.278
snap_masked-flattened_line_116-processed-gene-0.41-mRNA-1	0.255281523611128	51.1365	0.267
snap_masked-flattened_line_76-processed-gene-0.81-mRNA-1	0.318269818725704	49.6738	0.248
augustus_masked-flattened_line_0-processed-gene-2.226-mRNA-1	0.324523217765267	38.5168	0.118
snap_masked-flattened_line_0-processed-gene-2.101-mRNA-1	0.301974190006986	36.5387	0.069
snap_masked-flattened_line_6-processed-gene-0.41-mRNA-1	0.239574173568707	48.7389	0.297
snap_masked-flattened_line_58-processed-gene-0.99-mRNA-1	0.261747540896551	53.3688	0.310
augustus_masked-flattened_line_888-processed-gene-0.2-mRNA-1	0.263581449850449	50.2364	0.270
augustus_masked-flattened_line_100-processed-gene-0.99-mRNA-1	0.276019820774125	48.0336	0.248
augustus_masked-flattened_line_64-processed-gene-0.16-mRNA-1	0.261855127385064	47.1077	0.227
snap_masked-flattened_line_18-processed-gene-0.71-mRNA-1	0.255531015538968	52.7054	0.340
augustus_masked-flattened_line_312-processed-gene-0.0-mRNA-1	0.26985739636285	45.5007	0.306
augustus_masked-flattened_line_0-processed-gene-2.203-mRNA-1	0.242197961761738	50.2033	0.252
maker-flattened_line_10-augustus-gene-0.122-mRNA-1	0.307306718236933	44.6724	0.180
snap_masked-flattened_line_14-processed-gene-1.38-mRNA-1	0.260148269921716	51.9516	0.279
snap_masked-flattened_line_18-processed-gene-1.35-mRNA-1	0.234986013791735	53.7255	0.265
snap_masked-flattened_line_46-processed-gene-0.160-mRNA-1	0.347583090957463	41.8636	0.229
snap_masked-flattened_line_20-processed-gene-1.3-mRNA-1	0.262457354803476	48.1920	0.241
genemark-flattened_line_52-processed-gene-0.116-mRNA-1	0.393947535282231	38.3235	0.396
snap_masked-flattened_line_2-processed-gene-0.92-mRNA-1	0.27687381362687	46.9160	0.254
snap_masked-flattened_line_78-processed-gene-0.4-mRNA-1	0.240560735655685	53.6477	0.306
augustus_masked-flattened_line_66-processed-gene-0.6-mRNA-1	0.28342807131627	45.8931	0.201
snap_masked-flattened_line_48-processed-gene-0.103-mRNA-1	0.296131138404308	48.4015	0.150
maker-flattened_line_24-snap-gene-0.101-mRNA-1	0.244542166050248	50.7597	0.326
maker-flattened_line_16-augustus-gene-1.230-mRNA-1	0.303785072400471	45.0521	0.232
snap_masked-flattened_line_54-processed-gene-0.171-mRNA-1	0.340234051843674	34.5879	0.080
snap_masked-flattened_line_90-processed-gene-0.99-mRNA-1	0.275425330124759	48.8315	0.224
snap_masked-flattened_line_6-processed-gene-1.164-mRNA-1	0.254537321838613	51.5568	0.281
augustus_masked-flattened_line_48-processed-gene-0.55-mRNA-1	0.292922168263919	40.5788	0.164
snap_masked-flattened_line_28-processed-gene-0.178-mRNA-1	0.260790358813865	47.3504	0.221
snap_masked-flattened_line_56-processed-gene-0.94-mRNA-1	0.275010795965012	45.3666	0.167
snap_masked-flattened_line_28-processed-gene-0.175-mRNA-1	0.285268068100844	47.7512	0.231
snap_masked-flattened_line_44-processed-gene-0.84-mRNA-1	0.398438191876765	39.4446	0.261
snap_masked-flattened_line_64-processed-gene-0.112-mRNA-1	0.269468755924061	52.5026	0.301
augustus_masked-flattened_line_72-processed-gene-0.29-mRNA-1	0.278708020179912	48.7806	0.238
snap_masked-flattened_line_14-processed-gene-0.75-mRNA-1	0.273261256118632	50.3174	0.285
snap_masked-flattened_line_44-processed-gene-0.74-mRNA-1	0.344519442642712	40.8769	0.212
snap_masked-flattened_line_44-processed-gene-0.93-mRNA-1	0.295440688489537	48.2196	0.242
augustus_masked-flattened_line_42-processed-gene-0.41-mRNA-1	0.326528553316711	43.1908	0.121
snap_masked-flattened_line_26-processed-gene-0.23-mRNA-1	0.279653533589901	51.4829	0.286
snap_masked-flattened_line_12-processed-gene-0.4-mRNA-1	0.271515392307538	50.6264	0.265
snap_masked-flattened_line_18-processed-gene-1.56-mRNA-1	0.274281696421853	49.6229	0.277
maker-flattened_line_0-augustus-gene-2.12-mRNA-1	0.337595456343578	46.2219	0.332
augustus_masked-flattened_line_96-processed-gene-0.102-mRNA-1	0.276582014306262	49.2088	0.243
snap_masked-flattened_line_80-processed-gene-0.69-mRNA-1	0.298587805343369	48.8122	0.284
snap_masked-flattened_line_18-processed-gene-0.58-mRNA-1	0.253167983491203	50.9112	0.260
snap_masked-flattened_line_12-processed-gene-0.48-mRNA-1	0.26054799101019	49.7815	0.252
snap_masked-flattened_line_104-processed-gene-0.79-mRNA-1	0.2348500831451	52.8938	0.339
snap_masked-flattened_line_134-processed-gene-0.38-mRNA-1	0.28193665069264	47.2431	0.232
snap_masked-flattened_line_158-processed-gene-0.10-mRNA-1	0.264068312082685	48.4387	0.253
augustus_masked-flattened_line_4-processed-gene-0.29-mRNA-1	0.257666602576726	51.3514	0.164
augustus_masked-flattened_line_10-processed-gene-1.195-mRNA-1	0.27304183156176	50.3087	0.273
snap_masked-flattened_line_24-processed-gene-0.252-mRNA-1	0.276476402255381	50.0266	0.268
augustus_masked-flattened_line_8-processed-gene-1.211-mRNA-1	0.235110749851818	54.3179	0.317
snap_masked-flattened_line_26-processed-gene-0.30-mRNA-1	0.285615444382206	50.1086	0.291
genemark-flattened_line_30-processed-gene-0.191-mRNA-1	0.288317541523101	51.4165	0.254
maker-flattened_line_0-snap-gene-2.5-mRNA-1	0.416527814782323	38.2868	0.311
snap_masked-flattened_line_188-processed-gene-0.5-mRNA-1	0.26318776562821	54.6874	0.437
snap_masked-flattened_line_6-processed-gene-1.90-mRNA-1	0.27860768240226	49.6613	0.235
augustus_masked-flattened_line_276-processed-gene-0.0-mRNA-1	0.258785229852409	46.0739	0.160
snap_masked-flattened_line_144-processed-gene-0.42-mRNA-1	0.258252947546985	46.2886	0.151
snap_masked-flattened_line_102-processed-gene-0.54-mRNA-1	0.291226446857865	50.7335	0.272
genemark-flattened_line_632-processed-gene-0.1-mRNA-1	0.283592139322868	48.9614	0.325
snap_masked-flattened_line_64-processed-gene-0.119-mRNA-1	0.304209501156068	44.8850	0.241
snap_masked-flattened_line_0-processed-gene-2.97-mRNA-1	0.223580401359349	54.0363	0.324
snap_masked-flattened_line_48-processed-gene-0.96-mRNA-1	0.270400957049294	48.2207	0.264
snap_masked-flattened_line_34-processed-gene-0.227-mRNA-1	0.27759555122808	47.4820	0.227
snap_masked-flattened_line_88-processed-gene-0.38-mRNA-1	0.287230412895622	40.4968	0.110
snap_masked-flattened_line_66-processed-gene-0.87-mRNA-1	0.253220718786789	49.1187	0.223
snap_masked-flattened_line_4-processed-gene-2.95-mRNA-1	0.302234707051982	41.2698	0.125
snap_masked-flattened_line_56-processed-gene-0.108-mRNA-1	0.289776065181619	48.2932	0.273
snap_masked-flattened_line_88-processed-gene-0.24-mRNA-1	0.276557201359214	44.7502	0.157
snap_masked-flattened_line_14-processed-gene-1.8-mRNA-1	0.256491293492503	47.8420	0.209
augustus_masked-flattened_line_28-processed-gene-0.38-mRNA-1	0.30046444656768	46.0160	0.238
snap_masked-flattened_line_198-processed-gene-0.9-mRNA-1	0.262317088533554	47.9715	0.221
snap_masked-flattened_line_120-processed-gene-0.56-mRNA-1	0.270503822883476	52.5675	0.289
snap_masked-flattened_line_14-processed-gene-1.68-mRNA-1	0.2352491970824	49.6465	0.231
snap_masked-flattened_line_46-processed-gene-0.144-mRNA-1	0.273024818845459	48.2198	0.207
snap_masked-flattened_line_24-processed-gene-0.226-mRNA-1	0.330133641349638	37.7269	0.101
genemark-flattened_line_112-processed-gene-0.23-mRNA-1	0.273934599512395	49.2846	0.257
snap_masked-flattened_line_242-processed-gene-0.8-mRNA-1	0.24174518165612	54.9153	0.413
snap_masked-flattened_line_40-processed-gene-0.107-mRNA-1	0.308072535410534	48.5397	0.230
snap_masked-flattened_line_112-processed-gene-0.33-mRNA-1	0.292356276593475	44.7813	0.117
