gene_id	tAI	nc	gc3
augustus_masked-gi|1002316175|dbj|BCGC01000003.1|-processed-gene-3.110-mRNA-1	0.338200719815733	50.0293	0.350
augustus_masked-gi|1002316174|dbj|BCGC01000004.1|-processed-gene-4.84-mRNA-1	0.339898849286502	55.5301	0.371
augustus_masked-gi|1002316174|dbj|BCGC01000004.1|-processed-gene-6.78-mRNA-1	0.354579027612732	46.7398	0.467
augustus_masked-gi|1002316170|dbj|BCGC01000008.1|-processed-gene-4.127-mRNA-1	0.335831235006508	52.2749	0.550
augustus_masked-gi|1002316171|dbj|BCGC01000007.1|-processed-gene-6.60-mRNA-1	0.321164547889741	55.6489	0.476
snap_masked-gi|1002316177|dbj|BCGC01000001.1|-processed-gene-4.75-mRNA-1	0.283953904827345	52.4774	0.276
snap_masked-gi|1002316170|dbj|BCGC01000008.1|-processed-gene-4.31-mRNA-1	0.294975345275815	52.3610	0.347
augustus_masked-gi|1002316173|dbj|BCGC01000005.1|-processed-gene-0.43-mRNA-1	0.379452487714807	51.7543	0.591
snap_masked-gi|1002316177|dbj|BCGC01000001.1|-processed-gene-9.32-mRNA-1	0.390707265210985	46.0176	0.347
snap_masked-gi|1002316177|dbj|BCGC01000001.1|-processed-gene-22.108-mRNA-1	0.327730611760888	49.9011	0.645
genemark-gi|1002316176|dbj|BCGC01000002.1|-processed-gene-3.4-mRNA-1	0.401449686901591	39.8756	0.396
augustus_masked-gi|1002316177|dbj|BCGC01000001.1|-processed-gene-5.16-mRNA-1	0.344534947843325	54.3070	0.535
augustus_masked-gi|1002316167|dbj|BCGC01000011.1|-processed-gene-0.129-mRNA-1	0.326790322721966	51.1603	0.406
augustus_masked-gi|1002316175|dbj|BCGC01000003.1|-processed-gene-6.53-mRNA-1	0.376657941069989	45.4877	0.457
augustus_masked-gi|1002316168|dbj|BCGC01000010.1|-processed-gene-1.136-mRNA-1	0.277911101147959	58.0336	0.451
snap_masked-gi|1002316177|dbj|BCGC01000001.1|-processed-gene-22.121-mRNA-1	0.260259017694113	53.1865	0.295
augustus_masked-gi|1002316168|dbj|BCGC01000010.1|-processed-gene-1.135-mRNA-1	0.319569007209281	53.3531	0.430
maker-gi|1002316177|dbj|BCGC01000001.1|-augustus-gene-1.98-mRNA-1	0.313994445563024	53.2434	0.318
maker-gi|1002316174|dbj|BCGC01000004.1|-snap-gene-3.0-mRNA-1	0.354682046240273	46.1969	0.348
augustus_masked-gi|1002316176|dbj|BCGC01000002.1|-processed-gene-8.60-mRNA-1	0.271836883309239	54.1854	0.309
augustus_masked-gi|1002316169|dbj|BCGC01000009.1|-processed-gene-2.162-mRNA-1	0.320503308349146	56.2527	0.447
augustus_masked-gi|1002316176|dbj|BCGC01000002.1|-processed-gene-6.72-mRNA-1	0.392347905327901	52.3572	0.380
snap_masked-gi|1002316173|dbj|BCGC01000005.1|-processed-gene-4.5-mRNA-1	0.28712553561703	55.0015	0.467
snap_masked-gi|1002316177|dbj|BCGC01000001.1|-processed-gene-11.41-mRNA-1	0.283990763305897	54.6046	0.392
snap_masked-gi|1002316177|dbj|BCGC01000001.1|-processed-gene-9.34-mRNA-1	0.289794906619301	53.7726	0.346
augustus_masked-gi|1002316171|dbj|BCGC01000007.1|-processed-gene-3.63-mRNA-1	0.298121650571165	51.9981	0.420
augustus_masked-gi|1002316171|dbj|BCGC01000007.1|-processed-gene-3.55-mRNA-1	0.309092959276759	56.0426	0.416
snap_masked-gi|1002316175|dbj|BCGC01000003.1|-processed-gene-8.26-mRNA-1	0.287922726192023	54.4041	0.324
augustus_masked-gi|1002316172|dbj|BCGC01000006.1|-processed-gene-7.71-mRNA-1	0.326378183857087	52.1539	0.356
augustus_masked-gi|1002316177|dbj|BCGC01000001.1|-processed-gene-2.40-mRNA-1	0.301805199955924	50.7557	0.356
snap_masked-gi|1002316170|dbj|BCGC01000008.1|-processed-gene-4.44-mRNA-1	0.270353807204429	53.4723	0.333
augustus_masked-gi|1002316176|dbj|BCGC01000002.1|-processed-gene-2.69-mRNA-1	0.312313980124269	54.0283	0.391
snap_masked-gi|1002316171|dbj|BCGC01000007.1|-processed-gene-4.87-mRNA-1	0.311110883347113	52.3797	0.478
augustus_masked-gi|1002316175|dbj|BCGC01000003.1|-processed-gene-10.126-mRNA-1	0.321304149158553	49.3959	0.422
augustus_masked-gi|1002316176|dbj|BCGC01000002.1|-processed-gene-4.105-mRNA-1	0.279316250063986	51.6542	0.297
augustus_masked-gi|1002316175|dbj|BCGC01000003.1|-processed-gene-7.111-mRNA-1	0.381514876192501	43.8862	0.335
augustus_masked-gi|1002316177|dbj|BCGC01000001.1|-processed-gene-20.95-mRNA-1	0.311362749305311	47.1306	0.323
augustus_masked-gi|1002316177|dbj|BCGC01000001.1|-processed-gene-20.80-mRNA-1	0.312514881860535	52.1073	0.291
snap_masked-gi|1002316177|dbj|BCGC01000001.1|-processed-gene-14.82-mRNA-1	0.398722483187412	44.2486	0.332
augustus_masked-gi|1002316176|dbj|BCGC01000002.1|-processed-gene-1.7-mRNA-1	0.277588265726877	55.5721	0.389
augustus_masked-gi|1002316177|dbj|BCGC01000001.1|-processed-gene-29.62-mRNA-1	0.254181367571042	53.6042	0.303
augustus_masked-gi|1002316177|dbj|BCGC01000001.1|-processed-gene-7.85-mRNA-1	0.286931794843005	55.5105	0.353
maker-gi|1002316174|dbj|BCGC01000004.1|-augustus-gene-5.119-mRNA-1	0.306854590821656	53.5717	0.402
genemark-gi|1002316172|dbj|BCGC01000006.1|-processed-gene-0.134-mRNA-1	0.375096599546383	50.8622	0.495
snap_masked-gi|1002316175|dbj|BCGC01000003.1|-processed-gene-11.46-mRNA-1	0.283906004572561	55.0600	0.326
augustus_masked-gi|1002316172|dbj|BCGC01000006.1|-processed-gene-7.82-mRNA-1	0.34431928858698	54.8139	0.461
augustus_masked-gi|1002316177|dbj|BCGC01000001.1|-processed-gene-25.80-mRNA-1	0.328835963735873	52.6726	0.452
augustus_masked-gi|1002316177|dbj|BCGC01000001.1|-processed-gene-6.103-mRNA-1	0.405048673531215	48.9662	0.468
augustus_masked-gi|1002316174|dbj|BCGC01000004.1|-processed-gene-7.71-mRNA-1	0.304559585554089	51.3118	0.307
genemark-gi|1002316177|dbj|BCGC01000001.1|-processed-gene-31.169-mRNA-1	0.303519310824506	58.1240	0.419
augustus_masked-gi|1002316176|dbj|BCGC01000002.1|-processed-gene-6.73-mRNA-1	0.270342819254252	52.9686	0.325
augustus_masked-gi|1002316175|dbj|BCGC01000003.1|-processed-gene-5.81-mRNA-1	0.35237370280284	49.4774	0.361
augustus_masked-gi|1002316174|dbj|BCGC01000004.1|-processed-gene-8.120-mRNA-1	0.280549078461198	50.4375	0.282
maker-gi|1002316167|dbj|BCGC01000011.1|-augustus-gene-0.219-mRNA-1	0.281801577067112	54.0482	0.363
