gene	taxon	estAI
xyl1	aciculoconidium aculeatum	0.901721897335932
xyl2	aciculoconidium aculeatum	0.741877842755036
xyl3	aciculoconidium aculeatum	0.244152046783626
xyl1	alloascoidea hylecoeti	0.975298228702253
xyl2	alloascoidea hylecoeti	0.992047234606579
xyl3	alloascoidea hylecoeti	0.853837811784552
xyl1	ambrosiozyma ambrosiae	0.949602122015915
xyl2	ambrosiozyma ambrosiae	0.93209549071618
xyl3	ambrosiozyma ambrosiae	0.857471264367816
xyl1	ambrosiozyma kashinagacola	0.781273131014064
xyl2	ambrosiozyma kashinagacola	0.936343449296817
xyl3	ambrosiozyma kashinagacola	0.467431532198372
xyl1	ambrosiozyma maleeae	0.888136942675159
xyl2	ambrosiozyma maleeae	0.702627388535032
xyl3	ambrosiozyma maleeae	0.134952229299363
xyl1	ambrosiozyma monospora	0.94564915207117
xyl2	ambrosiozyma monospora	0.956908534890186
xyl3	ambrosiozyma monospora	0.716569363358354
xyl1	ambrosiozyma oregonensis	0.877122877122877
xyl2	ambrosiozyma oregonensis	0.903429903429903
xyl3	ambrosiozyma oregonensis	0.779220779220779
xyl1	ambrosiozyma philentoma	0.930626847099082
xyl2	ambrosiozyma philentoma	0.931249027842588
xyl3	ambrosiozyma philentoma	0.900762171410795
xyl1	ambrosiozyma pseudovanderkliftii	0.85391621129326
xyl2	ambrosiozyma pseudovanderkliftii	0.895992714025501
xyl3	ambrosiozyma pseudovanderkliftii	0.551366120218579
xyl1	ambrosiozyma vanderkliftii	0.915045871559633
xyl2	ambrosiozyma vanderkliftii	0.927339449541284
xyl3	ambrosiozyma vanderkliftii	0.568807339449541
xyl1	arxula adeninivorans	0.995950704225352
xyl2	arxula adeninivorans	0.544542253521127
xyl3	arxula adeninivorans	0.465492957746479
xyl1	ascoidea asiatica	0.868301941889327
xyl2	ascoidea asiatica	0.868009928456709
xyl3	ascoidea asiatica	0.93458899109359
xyl1	ascoidea rubescens	0.732760133356729
xyl2	ascoidea rubescens	0.22003860326373
xyl3	ascoidea rubescens	0.12335497455694
xyl1	ashbya aceri	0.874598864477907
xyl2	ashbya aceri	0.520118489261911
xyl3	ashbya aceri	0.235991113305357
xyl1	babjeviella inositovora	0.964828723209379
xyl2	babjeviella inositovora	0.641143066495695
xyl3	babjeviella inositovora	0.449166514013556
xyl1	barnettozyma californica	0.922183293380048
xyl2	barnettozyma californica	0.852295777245067
xyl3	barnettozyma californica	0.554490134611838
xyl1	barnettozyma hawaiiensis	0.9375
xyl2	barnettozyma hawaiiensis	0.824685534591195
xyl3	barnettozyma hawaiiensis	0.317610062893082
xyl1	barnettozyma populi	0.931164901664145
xyl2	barnettozyma populi	0.856278366111952
xyl3	barnettozyma populi	0.372541603630862
xyl1	barnettozyma pratensis	0.96013167520117
xyl2	barnettozyma pratensis	0.843087051938552
xyl3	barnettozyma pratensis	0.507681053401609
xyl1	barnettozyma salicaria	0.947970268724986
xyl2	barnettozyma salicaria	0.574042309891367
xyl3	barnettozyma salicaria	0.0794739851343625
xyl1	blastobotrys americana	0.923556370302475
xyl2	blastobotrys americana	0.728872593950504
xyl3	blastobotrys americana	0.0995417048579285
xyl1	blastobotrys mokoenaii	0.982649029376396
xyl2	blastobotrys mokoenaii	0.979213193609345
xyl3	blastobotrys mokoenaii	0.724274179694211
xyl1	blastobotrys muscicola	0.945954538229216
xyl2	blastobotrys muscicola	0.528055952948657
xyl3	blastobotrys muscicola	0.0270227308853918
xyl1	blastobotrys nivea	0.967625899280576
xyl2	blastobotrys nivea	0.516108852048796
xyl3	blastobotrys nivea	0.688770722552393
xyl1	blastobotrys peoriensis	0.968592542828351
xyl2	blastobotrys peoriensis	0.862277460530736
xyl3	blastobotrys peoriensis	0.154853879744709
