gene_id	tAI	nc	gc3
augustus_masked-mat-_s10-processed-gene-0.8-mRNA-1	0.260502304515468	50.4711	0.356
maker-mat-_s170-snap-gene-0.37-mRNA-1	0.239320963934732	54.1699	0.492
augustus_masked-mat-_s232-processed-gene-0.15-mRNA-1	0.244379475732152	55.8148	0.521
snap_masked-mat-_s25-processed-gene-0.11-mRNA-1	0.213324599804802	56.3255	0.373
snap_masked-mat-_s512-processed-gene-0.149-mRNA-1	0.238897001132768	56.6216	0.451
snap_masked-mat-_s173-processed-gene-0.4-mRNA-1	0.31051113761475	47.6428	0.536
snap_masked-mat-_s605-processed-gene-0.17-mRNA-1	0.230524276661536	54.6496	0.432
maker-mat-_s129-snap-gene-0.88-mRNA-1	0.243428684513869	58.7567	0.520
snap_masked-mat-_s179-processed-gene-0.61-mRNA-1	0.227957799840658	53.4728	0.407
snap_masked-mat-_s253-processed-gene-1.104-mRNA-1	0.21212408709441	57.8353	0.436
augustus_masked-mat-_s384-processed-gene-0.1-mRNA-1	0.214524177606115	56.9987	0.513
snap_masked-mat-_C38589-processed-gene-0.2-mRNA-1	0.230973899541228	55.4842	0.362
snap_masked-mat-_s6-processed-gene-0.87-mRNA-1	0.218989992654628	56.0442	0.365
genemark-mat-_s179-processed-gene-0.102-mRNA-1	0.242854993073752	50.9550	0.333
augustus_masked-mat-_s273-processed-gene-0.3-mRNA-1	0.250989636037862	53.3956	0.627
snap_masked-mat-_s67-processed-gene-0.63-mRNA-1	0.277063003654037	50.7301	0.553
augustus_masked-mat-_s180-processed-gene-0.21-mRNA-1	0.236053597236809	55.6473	0.452
snap_masked-mat-_s398-processed-gene-0.6-mRNA-1	0.239641917479979	53.4640	0.567
snap_masked-mat-_s641-processed-gene-0.199-mRNA-1	0.305283957925412	49.0541	0.545
genemark-mat-_s66-processed-gene-1.112-mRNA-1	0.229081483420523	58.8418	0.460
snap_masked-mat-_s104-processed-gene-0.23-mRNA-1	0.260015591300227	54.6854	0.625
augustus_masked-mat-_s253-processed-gene-1.94-mRNA-1	0.261986136314169	55.8894	0.517
snap_masked-mat-_s591-processed-gene-0.47-mRNA-1	0.285711573128538	51.6023	0.583
snap_masked-mat-_s253-processed-gene-2.157-mRNA-1	0.248168110448449	54.0741	0.513
augustus_masked-mat-_s480-processed-gene-1.153-mRNA-1	0.279375593619021	54.2374	0.530
snap_masked-mat-_s66-processed-gene-1.60-mRNA-1	0.263781320835917	55.0080	0.510
snap_masked-mat-_s156-processed-gene-2.6-mRNA-1	0.230959450834636	54.0434	0.584
snap_masked-mat-_s586-processed-gene-0.0-mRNA-1	0.252620547969227	53.6092	0.607
maker-mat-_s94-snap-gene-0.171-mRNA-1	0.247390116988217	54.8921	0.479
augustus_masked-mat-_s288-processed-gene-0.59-mRNA-1	0.232192516437914	53.6669	0.442
augustus_masked-mat-_s315-processed-gene-0.30-mRNA-1	0.233916841357168	56.7832	0.445
snap_masked-mat-_s253-processed-gene-2.136-mRNA-1	0.21853316972102	58.3785	0.479
snap_masked-mat-_s204-processed-gene-0.95-mRNA-1	0.311030463941799	48.9908	0.470
snap_masked-mat-_s591-processed-gene-1.66-mRNA-1	0.187003904447788	56.2542	0.579
augustus_masked-mat-_s607-processed-gene-0.20-mRNA-1	0.210632129986264	58.0725	0.498
snap_masked-mat-_s315-processed-gene-0.17-mRNA-1	0.259446065912074	54.9497	0.580
snap_masked-mat-_s266-processed-gene-0.6-mRNA-1	0.234307805894729	54.9332	0.597
snap_masked-mat-_s1-processed-gene-0.32-mRNA-1	0.232825138820549	57.6798	0.411
maker-mat-_s482-snap-gene-0.59-mRNA-1	0.223733815190889	55.3882	0.461
augustus_masked-mat-_s6-processed-gene-0.1-mRNA-1	0.227317457885961	59.2569	0.472
snap_masked-mat-_s411-processed-gene-0.50-mRNA-1	0.222216659754457	54.6436	0.485
snap_masked-mat-_s66-processed-gene-0.71-mRNA-1	0.243601686927309	58.8434	0.493
snap_masked-mat-_s690-processed-gene-0.10-mRNA-1	0.244197347671256	53.6519	0.534
snap_masked-mat-_s30-processed-gene-0.3-mRNA-1	0.225374471403152	55.6978	0.444
augustus_masked-mat-_s170-processed-gene-1.41-mRNA-1	0.229021544991694	58.3686	0.512
snap_masked-mat-_C44985-processed-gene-0.14-mRNA-1	0.230365936156728	55.5105	0.576
snap_masked-mat-_s233-processed-gene-0.8-mRNA-1	0.243033373439459	57.1192	0.543
snap_masked-mat-_s326-processed-gene-0.38-mRNA-1	0.483760067158123	48.7340	0.884
snap_masked-mat-_s549-processed-gene-0.8-mRNA-1	0.220057540165034	59.3195	0.496
snap_masked-mat-_s483-processed-gene-0.10-mRNA-1	0.210629008318323	56.7191	0.427
snap_masked-mat-_s606-processed-gene-0.105-mRNA-1	0.228300176318787	54.2022	0.511
snap_masked-mat-_s265-processed-gene-0.59-mRNA-1	0.264117318014037	53.4221	0.480
snap_masked-mat-_s302-processed-gene-0.52-mRNA-1	0.228368362541525	56.3250	0.409
snap_masked-mat-_s1-processed-gene-0.27-mRNA-1	0.181367737919075	53.5143	0.357
snap_masked-mat-_s474-processed-gene-0.26-mRNA-1	0.22947448281251	57.4637	0.507
