gene_id	tAI	nc	gc3
genemark-NC_018292.1-processed-gene-27.55-mRNA-1	0.263777760167606	55.5845	0.384
genemark-NC_018298.1-processed-gene-13.171-mRNA-1	0.262008864963708	55.7152	0.379
genemark-NC_018297.1-processed-gene-5.43-mRNA-1	0.301746492003929	49.8237	0.304
genemark-NC_018295.1-processed-gene-3.38-mRNA-1	0.253653862501709	57.7106	0.409
genemark-NC_018300.1-processed-gene-9.63-mRNA-1	0.271297401879747	53.8240	0.293
snap_masked-NC_018298.1-processed-gene-0.71-mRNA-1	0.250693806560606	54.9949	0.365
genemark-NC_018296.1-processed-gene-7.60-mRNA-1	0.306944600047137	47.6481	0.278
genemark-NC_018298.1-processed-gene-12.59-mRNA-1	0.258172248550208	53.1905	0.311
genemark-NC_018298.1-processed-gene-7.84-mRNA-1	0.310289613823301	53.4922	0.330
genemark-NC_018292.1-processed-gene-25.17-mRNA-1	0.245971930830237	56.2925	0.368
snap_masked-NC_018292.1-processed-gene-13.85-mRNA-1	0.302695178803869	51.5064	0.336
snap_masked-NC_018300.1-processed-gene-5.83-mRNA-1	0.270953917181739	56.2211	0.442
genemark-NC_018295.1-processed-gene-0.67-mRNA-1	0.249810138496461	51.9028	0.313
genemark-NC_018292.1-processed-gene-17.46-mRNA-1	0.281603989479593	53.5755	0.325
genemark-NC_018296.1-processed-gene-5.86-mRNA-1	0.341087912223862	52.3138	0.332
maker-NC_018292.1-snap-gene-9.141-mRNA-1	0.281499463000152	55.9441	0.376
genemark-NC_018297.1-processed-gene-7.55-mRNA-1	0.300409331567104	47.2758	0.284
genemark-NC_018300.1-processed-gene-2.70-mRNA-1	0.281281271728437	51.9447	0.305
genemark-NC_018296.1-processed-gene-12.90-mRNA-1	0.296056037739084	50.7333	0.291
genemark-NC_018292.1-processed-gene-5.86-mRNA-1	0.275574104081354	52.4174	0.299
genemark-NC_018292.1-processed-gene-23.38-mRNA-1	0.269216144626402	56.4963	0.393
augustus_masked-NC_018302.1-processed-gene-0.107-mRNA-1	0.291215940037972	55.4424	0.359
maker-NC_018296.1-snap-gene-13.149-mRNA-1	0.286663767602842	50.9499	0.311
genemark-NC_018300.1-processed-gene-9.62-mRNA-1	0.282813629486912	51.9838	0.321
snap_masked-NC_018292.1-processed-gene-2.84-mRNA-1	0.25503076121122	53.4661	0.340
snap_masked-NC_018297.1-processed-gene-13.70-mRNA-1	0.264067210796812	55.1567	0.346
genemark-NC_018296.1-processed-gene-10.65-mRNA-1	0.288262992104533	45.7715	0.157
genemark-NC_018301.1-processed-gene-7.45-mRNA-1	0.269466393272261	54.0986	0.346
genemark-NC_018298.1-processed-gene-2.6-mRNA-1	0.276107808180526	53.4011	0.302
augustus_masked-NC_018298.1-processed-gene-9.75-mRNA-1	0.250579322083542	54.4313	0.343
maker-NC_018297.1-snap-gene-5.119-mRNA-1	0.270630138238522	52.7315	0.295
genemark-NC_018298.1-processed-gene-2.3-mRNA-1	0.332945751938097	44.4795	0.166
genemark-NC_018298.1-processed-gene-8.57-mRNA-1	0.278244024568871	48.8962	0.291
genemark-NC_018297.1-processed-gene-10.75-mRNA-1	0.269106989253501	54.4591	0.323
genemark-NC_018292.1-processed-gene-22.83-mRNA-1	0.274495037410723	56.2462	0.370
genemark-NC_018295.1-processed-gene-15.58-mRNA-1	0.321569739009957	50.5823	0.248
genemark-NC_018300.1-processed-gene-4.27-mRNA-1	0.318247608891434	45.2864	0.254
genemark-NC_018292.1-processed-gene-7.47-mRNA-1	0.274156972604107	56.7855	0.366
augustus_masked-NC_018295.1-processed-gene-11.19-mRNA-1	0.25566167249009	56.9028	0.361
genemark-NC_018292.1-processed-gene-27.60-mRNA-1	0.306817903600871	51.2851	0.302
augustus_masked-NC_018297.1-processed-gene-14.6-mRNA-1	0.249627613596616	55.3587	0.343
genemark-NC_018297.1-processed-gene-12.82-mRNA-1	0.315210129768782	46.7597	0.270
genemark-NC_018295.1-processed-gene-1.100-mRNA-1	0.243792695018024	53.1759	0.312
augustus_masked-NC_018295.1-processed-gene-8.64-mRNA-1	0.205373032194776	50.3252	0.295
genemark-NC_018295.1-processed-gene-6.55-mRNA-1	0.245116350275779	55.3409	0.346
maker-NC_018296.1-snap-gene-14.5-mRNA-1	0.254142408046838	57.7081	0.405
genemark-NC_018295.1-processed-gene-2.70-mRNA-1	0.229486017957759	52.3677	0.325
genemark-NC_018295.1-processed-gene-19.34-mRNA-1	0.303356154707013	53.8170	0.326
genemark-NC_018292.1-processed-gene-28.20-mRNA-1	0.271329156153595	52.2756	0.304
maker-NC_018302.1-snap-gene-5.1-mRNA-1	0.272683428585537	55.8507	0.360
snap_masked-NC_018301.1-processed-gene-2.117-mRNA-1	0.286830259220566	53.8300	0.343
genemark-NC_018292.1-processed-gene-17.66-mRNA-1	0.316389803831192	47.3413	0.291
genemark-NC_018295.1-processed-gene-20.19-mRNA-1	0.279784238860877	52.1748	0.363
genemark-NC_018302.1-processed-gene-5.27-mRNA-1	0.268132242868458	55.5002	0.363
genemark-NC_018301.1-processed-gene-8.158-mRNA-1	0.273061237292756	53.3754	0.335
genemark-NC_018300.1-processed-gene-4.9-mRNA-1	0.279325498400798	53.4748	0.304
genemark-NC_018297.1-processed-gene-6.25-mRNA-1	0.28360721835779	52.2249	0.370
snap_masked-NC_018292.1-processed-gene-25.66-mRNA-1	0.293148322382985	53.3965	0.382
augustus_masked-NC_018295.1-processed-gene-3.12-mRNA-1	0.258549787240266	55.1441	0.337
snap_masked-NC_018292.1-processed-gene-21.7-mRNA-1	0.278835065930732	51.1741	0.371
snap_masked-NC_018298.1-processed-gene-3.26-mRNA-1	0.265092210424909	54.1885	0.327
snap_masked-NC_018300.1-processed-gene-3.27-mRNA-1	0.295925197754473	52.5051	0.279
snap_masked-NC_018300.1-processed-gene-7.52-mRNA-1	0.390793321784464	47.7221	0.372
genemark-NC_018295.1-processed-gene-10.11-mRNA-1	0.276392057821019	55.9154	0.388
maker-NC_018295.1-snap-gene-18.95-mRNA-1	0.261624132168104	57.2959	0.377
genemark-NC_018292.1-processed-gene-6.121-mRNA-1	0.315263894110806	49.0954	0.325
genemark-NC_018292.1-processed-gene-0.72-mRNA-1	0.215588414162364	57.3187	0.427
genemark-NC_018295.1-processed-gene-17.94-mRNA-1	0.297741877563584	48.7390	0.233
snap_masked-NC_018295.1-processed-gene-22.94-mRNA-1	0.28471779725167	53.5140	0.317
genemark-NC_018298.1-processed-gene-1.135-mRNA-1	0.281904894006417	54.0793	0.334
genemark-NC_018300.1-processed-gene-5.32-mRNA-1	0.281366994928376	54.4867	0.383
genemark-NC_018301.1-processed-gene-0.8-mRNA-1	0.265014680066027	55.8555	0.378
genemark-NC_018296.1-processed-gene-14.90-mRNA-1	0.299501617253211	54.6422	0.318
genemark-NC_018297.1-processed-gene-10.56-mRNA-1	0.260071715210137	50.3636	0.333
genemark-NC_018300.1-processed-gene-4.38-mRNA-1	0.271801738035911	55.5023	0.347
genemark-NC_018295.1-processed-gene-14.73-mRNA-1	0.292900195930159	56.2052	0.401
