gene_id	tAI	nc	gc3
genemark-mau_s247-processed-gene-0.19-mRNA-1	0.143506428149307	55.2497	0.637
augustus_masked-mau_s3-processed-gene-3.112-mRNA-1	0.124105647721834	55.8230	0.497
augustus_masked-mau_s5-processed-gene-1.48-mRNA-1	0.12281075926739	53.9118	0.539
augustus_masked-mau_s204-processed-gene-0.20-mRNA-1	0.12686536600021	53.9321	0.576
augustus_masked-mau_s86-processed-gene-0.72-mRNA-1	0.171805760079462	48.4283	0.734
augustus_masked-mau_s82-processed-gene-0.159-mRNA-1	0.124300683825999	59.5379	0.460
augustus_masked-mau_s119-processed-gene-0.63-mRNA-1	0.176549116504	46.7916	0.536
augustus_masked-mau_s13-processed-gene-0.14-mRNA-1	0.109930448690918	55.8868	0.611
snap_masked-mau_s195-processed-gene-0.113-mRNA-1	0.16073585988505	52.3515	0.465
genemark-mau_s247-processed-gene-1.149-mRNA-1	0.11061669444626	56.7829	0.548
augustus_masked-mau_s92-processed-gene-2.70-mRNA-1	0.153429139956584	53.5273	0.551
maker-mau_s158-augustus-gene-2.85-mRNA-1	0.140603220000875	56.3702	0.584
augustus_masked-mau_s39-processed-gene-1.97-mRNA-1	0.142975938100738	53.3142	0.629
snap_masked-mau_s160-processed-gene-0.11-mRNA-1	0.158685262346285	53.7163	0.372
augustus_masked-mau_s86-processed-gene-1.95-mRNA-1	0.123781673319656	56.1935	0.590
snap_masked-mau_s66-processed-gene-1.63-mRNA-1	0.13141539055045	53.0833	0.459
augustus_masked-mau_s267-processed-gene-0.17-mRNA-1	0.126487292654445	53.6976	0.600
augustus_masked-mau_s142-processed-gene-0.16-mRNA-1	0.117783436578387	55.7393	0.567
augustus_masked-mau_s12-processed-gene-0.3-mRNA-1	0.144008458589907	50.2132	0.633
snap_masked-mau_s251-processed-gene-0.70-mRNA-1	0.12142139137773	54.7967	0.488
augustus_masked-mau_s217-processed-gene-0.5-mRNA-1	0.137683286662554	56.1297	0.599
augustus_masked-mau_s154-processed-gene-0.71-mRNA-1	0.135499695872019	51.2213	0.587
maker-mau_s5-snap-gene-2.61-mRNA-1	0.141930700295747	53.4267	0.556
snap_masked-mau_s3-processed-gene-5.38-mRNA-1	0.123249460931765	57.8530	0.522
augustus_masked-mau_s89-processed-gene-3.61-mRNA-1	0.19378547117426	42.6045	0.543
augustus_masked-mau_s90-processed-gene-0.26-mRNA-1	0.139499033809992	52.3114	0.610
genemark-mau_s90-processed-gene-0.49-mRNA-1	0.106639847921924	54.5488	0.592
snap_masked-mau_s68-processed-gene-0.60-mRNA-1	0.138569858941688	53.1461	0.637
augustus_masked-mau_s165-processed-gene-1.255-mRNA-1	0.12156507614514	53.0110	0.648
augustus_masked-mau_s23-processed-gene-2.29-mRNA-1	0.149163187129528	55.0094	0.525
augustus_masked-mau_s116-processed-gene-0.31-mRNA-1	0.139325533063511	54.4327	0.569
genemark-mau_s195-processed-gene-0.86-mRNA-1	0.138603080440285	53.7637	0.601
snap_masked-mau_s39-processed-gene-0.4-mRNA-1	0.155893362278286	52.0279	0.651
snap_masked-mau_s43-processed-gene-0.77-mRNA-1	0.109453643877092	57.0667	0.519
augustus_masked-mau_s89-processed-gene-3.69-mRNA-1	0.165239029423335	51.0350	0.512
maker-mau_s95-snap-gene-0.28-mRNA-1	0.144308194634566	49.9874	0.672
augustus_masked-mau_s165-processed-gene-1.219-mRNA-1	0.173629811683679	49.5287	0.512
snap_masked-mau_s3-processed-gene-6.128-mRNA-1	0.183269402084493	52.2474	0.738
augustus_masked-mau_s67-processed-gene-5.9-mRNA-1	0.128655603048481	54.7778	0.614
augustus_masked-mau_s146-processed-gene-1.133-mRNA-1	0.154767026416083	54.7341	0.556
augustus_masked-mau_s23-processed-gene-1.107-mRNA-1	0.131725772969194	58.5287	0.473
augustus_masked-mau_s92-processed-gene-1.56-mRNA-1	0.119478798531073	56.5294	0.494
snap_masked-mau_s156-processed-gene-0.36-mRNA-1	0.108062674141141	55.2018	0.556
augustus_masked-mau_s67-processed-gene-5.36-mRNA-1	0.135459507666334	51.8444	0.645
snap_masked-mau_s3-processed-gene-6.164-mRNA-1	0.125173298186967	51.4828	0.667
augustus_masked-mau_s86-processed-gene-1.96-mRNA-1	0.128080290953558	57.5448	0.575
augustus_masked-mau_s77-processed-gene-0.98-mRNA-1	0.147322327654539	52.7473	0.623
