gene_id	tAI	nc	gc3
snap_masked-LADA0G-processed-gene-1.122-mRNA-1	0.237619729134757	57.5733	0.489
snap_masked-LADA0D-processed-gene-0.8-mRNA-1	0.235979240285577	58.6280	0.419
genemark-LADA0A-processed-gene-2.36-mRNA-1	0.273993198987951	54.9007	0.493
snap_masked-LADA0E-processed-gene-2.115-mRNA-1	0.28909658667473	58.7387	0.510
genemark-LADA0G-processed-gene-9.51-mRNA-1	0.290884926135698	53.0739	0.516
genemark-LADA0H-processed-gene-4.115-mRNA-1	0.205083853845425	57.3813	0.454
genemark-LADA0G-processed-gene-14.46-mRNA-1	0.212956862704657	57.5796	0.398
genemark-LADA0D-processed-gene-0.85-mRNA-1	0.222959558161223	57.6035	0.425
genemark-LADA0G-processed-gene-13.122-mRNA-1	0.227412677801325	54.9802	0.515
genemark-LADA0D-processed-gene-3.133-mRNA-1	0.297491898359012	55.7474	0.367
genemark-LADA0B-processed-gene-9.238-mRNA-1	0.224223386334724	57.7220	0.425
genemark-LADA0H-processed-gene-1.45-mRNA-1	0.290808291580668	54.5808	0.633
augustus_masked-LADA0A-processed-gene-7.38-mRNA-1	0.253858837152484	56.0328	0.519
augustus_masked-LADA0E-processed-gene-6.132-mRNA-1	0.254361883651024	59.6426	0.449
augustus_masked-LADA0A-processed-gene-7.25-mRNA-1	0.234225339266601	61.0073	0.511
genemark-LADA0C-processed-gene-2.105-mRNA-1	0.275598582781438	55.1578	0.385
genemark-LADA0H-processed-gene-2.38-mRNA-1	0.248032546423779	57.5045	0.516
genemark-LADA0H-processed-gene-17.159-mRNA-1	0.21367760531889	58.2455	0.449
augustus_masked-LADA0A-processed-gene-2.157-mRNA-1	0.26064601178207	55.3272	0.548
genemark-LADA0G-processed-gene-5.7-mRNA-1	0.512647060148288	45.7849	0.637
genemark-LADA0H-processed-gene-3.16-mRNA-1	0.26332591061035	55.7581	0.510
genemark-LADA0H-processed-gene-5.12-mRNA-1	0.247857140403293	58.2486	0.450
snap_masked-LADA0D-processed-gene-8.94-mRNA-1	0.261303418398858	54.9863	0.467
genemark-LADA0G-processed-gene-9.39-mRNA-1	0.27467110643735	57.4311	0.468
genemark-LADA0C-processed-gene-8.106-mRNA-1	0.238047614652712	58.1078	0.505
genemark-LADA0D-processed-gene-3.139-mRNA-1	0.210329758389567	59.1000	0.414
genemark-LADA0C-processed-gene-1.24-mRNA-1	0.220417155506802	59.7026	0.463
genemark-LADA0C-processed-gene-9.12-mRNA-1	0.294787773884084	49.8079	0.620
snap_masked-LADA0C-processed-gene-6.151-mRNA-1	0.233207868937329	58.8240	0.421
augustus_masked-LADA0F-processed-gene-5.74-mRNA-1	0.258145012773733	53.9382	0.599
genemark-LADA0B-processed-gene-1.18-mRNA-1	0.279615472343019	55.7469	0.429
snap_masked-LADA0H-processed-gene-3.65-mRNA-1	0.223272571157126	57.5599	0.497
genemark-LADA0B-processed-gene-7.35-mRNA-1	0.224970959849483	57.0590	0.408
augustus_masked-LADA0G-processed-gene-4.32-mRNA-1	0.26307395469758	56.3339	0.485
snap_masked-LADA0F-processed-gene-2.34-mRNA-1	0.248213632283225	59.3006	0.465
genemark-LADA0H-processed-gene-14.4-mRNA-1	0.413096761572568	37.4776	0.509
maker-LADA0A-snap-gene-5.48-mRNA-1	0.24698888387091	59.4955	0.487
snap_masked-LADA0E-processed-gene-0.16-mRNA-1	0.511027963229051	47.8002	0.746
augustus_masked-LADA0E-processed-gene-3.116-mRNA-1	0.252936664949851	59.2695	0.427
genemark-LADA0A-processed-gene-3.18-mRNA-1	0.254229115870943	55.6694	0.526
genemark-LADA0C-processed-gene-6.100-mRNA-1	0.28509442381473	50.9972	0.699
snap_masked-LADA0H-processed-gene-16.23-mRNA-1	0.307513073552179	45.3124	0.645
genemark-LADA0A-processed-gene-2.8-mRNA-1	0.236619737085665	60.2035	0.472
snap_masked-LADA0A-processed-gene-3.61-mRNA-1	0.229902902984796	59.5055	0.449
genemark-LADA0F-processed-gene-7.102-mRNA-1	0.216897313902194	57.9008	0.401
genemark-LADA0E-processed-gene-6.33-mRNA-1	0.290540330901655	58.0742	0.471
augustus_masked-LADA0G-processed-gene-13.33-mRNA-1	0.225549564186143	57.1008	0.412
snap_masked-LADA0E-processed-gene-10.50-mRNA-1	0.240854102058887	59.3679	0.498
augustus_masked-LADA0D-processed-gene-2.57-mRNA-1	0.248010047119574	57.4769	0.422
genemark-LADA0G-processed-gene-3.94-mRNA-1	0.236565685976012	58.3735	0.509
genemark-LADA0A-processed-gene-2.19-mRNA-1	0.262259242648783	58.2277	0.488
augustus_masked-LADA0B-processed-gene-6.62-mRNA-1	0.235027441304968	59.6798	0.555
genemark-LADA0H-processed-gene-12.111-mRNA-1	0.226354161438965	58.5100	0.506
genemark-LADA0E-processed-gene-7.44-mRNA-1	0.334223061922031	50.1523	0.458
genemark-LADA0H-processed-gene-7.15-mRNA-1	0.291293030064524	55.1479	0.547
genemark-LADA0G-processed-gene-13.134-mRNA-1	0.309270283523527	43.9983	0.825
genemark-LADA0B-processed-gene-1.22-mRNA-1	0.214462912199494	59.1774	0.435
genemark-LADA0E-processed-gene-5.16-mRNA-1	0.213873238769028	59.0391	0.488
genemark-LADA0D-processed-gene-0.101-mRNA-1	0.251530857514085	54.2214	0.372
genemark-LADA0F-processed-gene-13.113-mRNA-1	0.265872553015053	57.7006	0.446
genemark-LADA0F-processed-gene-4.77-mRNA-1	0.219748565707617	55.8703	0.429
genemark-LADA0B-processed-gene-1.42-mRNA-1	0.251518520030152	57.5817	0.431
genemark-LADA0A-processed-gene-6.23-mRNA-1	0.265066025862569	58.1127	0.482
genemark-LADA0A-processed-gene-1.17-mRNA-1	0.249523112622398	55.7576	0.568
genemark-LADA0E-processed-gene-5.2-mRNA-1	0.241271697617476	59.3503	0.461
genemark-LADA0A-processed-gene-5.1-mRNA-1	0.279825267797267	58.3187	0.480
augustus_masked-LADA0A-processed-gene-4.137-mRNA-1	0.321997341377116	44.3025	0.833
augustus_masked-LADA0C-processed-gene-6.30-mRNA-1	0.226287166158429	60.4099	0.441
augustus_masked-LADA0E-processed-gene-6.118-mRNA-1	0.287390280022553	55.9757	0.600
genemark-LADA0D-processed-gene-0.96-mRNA-1	0.257638057720455	56.0779	0.477
genemark-LADA0F-processed-gene-2.91-mRNA-1	0.290649219845676	53.1853	0.656
augustus_masked-LADA0F-processed-gene-4.113-mRNA-1	0.268126753791451	57.3366	0.565
augustus_masked-LADA0H-processed-gene-1.43-mRNA-1	0.20490532766773	59.6818	0.426
genemark-LADA0D-processed-gene-5.9-mRNA-1	0.296825667884433	56.7092	0.590
genemark-LADA0E-processed-gene-6.11-mRNA-1	0.251761094069385	57.3207	0.462
genemark-LADA0F-processed-gene-8.120-mRNA-1	0.239441513601489	60.1290	0.439
augustus_masked-LADA0A-processed-gene-4.149-mRNA-1	0.287285096154781	55.1709	0.621
snap_masked-LADA0H-processed-gene-7.70-mRNA-1	0.203190827899526	58.2939	0.406
genemark-LADA0F-processed-gene-12.142-mRNA-1	0.249017044191094	58.3843	0.531
genemark-LADA0F-processed-gene-0.89-mRNA-1	0.248026595496343	56.4240	0.604
augustus_masked-LADA0F-processed-gene-4.124-mRNA-1	0.21213793505571	58.7308	0.395
genemark-LADA0C-processed-gene-3.1-mRNA-1	0.224256917862845	58.6325	0.474
genemark-LADA0D-processed-gene-2.14-mRNA-1	0.416556912722558	43.1627	0.574
snap_masked-LADA0G-processed-gene-7.36-mRNA-1	0.231297907017822	55.9210	0.411
maker-LADA0E-augustus-gene-4.47-mRNA-1	0.241165713325695	59.4947	0.440
genemark-LADA0E-processed-gene-12.159-mRNA-1	0.235859764295893	60.3642	0.453
genemark-LADA0E-processed-gene-13.27-mRNA-1	0.23125140531997	56.0113	0.366
snap_masked-LADA0H-processed-gene-6.98-mRNA-1	0.236374149319274	57.8633	0.449
maker-LADA0G-augustus-gene-11.49-mRNA-1	0.231601495254549	58.8876	0.444
augustus_masked-LADA0B-processed-gene-4.54-mRNA-1	0.24864615759521	58.3895	0.524
augustus_masked-LADA0A-processed-gene-5.133-mRNA-1	0.258389830493176	60.0300	0.475
genemark-LADA0G-processed-gene-3.95-mRNA-1	0.275657426418404	57.9423	0.510
genemark-LADA0E-processed-gene-11.32-mRNA-1	0.239878291551181	60.2946	0.446
augustus_masked-LADA0E-processed-gene-13.77-mRNA-1	0.220635600388728	58.0101	0.431
genemark-LADA0B-processed-gene-2.116-mRNA-1	0.273446927191715	56.1688	0.431
genemark-LADA0D-processed-gene-1.50-mRNA-1	0.236244640256576	58.2461	0.437
genemark-LADA0E-processed-gene-8.125-mRNA-1	0.267184081934306	56.4353	0.528
augustus_masked-LADA0D-processed-gene-7.72-mRNA-1	0.246120393755429	57.8493	0.447
genemark-LADA0D-processed-gene-8.125-mRNA-1	0.288911313016229	54.9850	0.515
genemark-LADA0H-processed-gene-7.27-mRNA-1	0.298616065934998	56.4649	0.495
maker-LADA0G-snap-gene-10.52-mRNA-1	0.26934577220564	54.2475	0.426
genemark-LADA0G-processed-gene-5.22-mRNA-1	0.249134932173269	58.4464	0.476
genemark-LADA0D-processed-gene-5.2-mRNA-1	0.239843233582756	54.1493	0.432
genemark-LADA0F-processed-gene-12.130-mRNA-1	0.353101332127867	54.5812	0.537
genemark-LADA0H-processed-gene-6.39-mRNA-1	0.260478778998249	56.3293	0.493
genemark-LADA0F-processed-gene-7.105-mRNA-1	0.227161916674941	53.4526	0.486
genemark-LADA0D-processed-gene-8.121-mRNA-1	0.297979398438209	54.7392	0.564
genemark-LADA0F-processed-gene-14.73-mRNA-1	0.258549905940798	57.7606	0.491
genemark-LADA0F-processed-gene-6.115-mRNA-1	0.252778616397324	57.5524	0.436
genemark-LADA0E-processed-gene-5.27-mRNA-1	0.249343156353293	57.8372	0.430
genemark-LADA0H-processed-gene-4.127-mRNA-1	0.268934411768815	54.6789	0.406
augustus_masked-LADA0G-processed-gene-13.20-mRNA-1	0.28600372400958	57.0257	0.502
genemark-LADA0C-processed-gene-10.199-mRNA-1	0.273988760259083	58.6897	0.551
genemark-LADA0G-processed-gene-14.60-mRNA-1	0.304160753723462	52.0951	0.571
augustus_masked-LADA0D-processed-gene-9.75-mRNA-1	0.234332115230843	58.3527	0.460
snap_masked-LADA0E-processed-gene-10.52-mRNA-1	0.270939786486634	56.9861	0.481
genemark-LADA0F-processed-gene-11.112-mRNA-1	0.251831585436607	53.9143	0.469
genemark-LADA0H-processed-gene-3.5-mRNA-1	0.219392640377753	58.8632	0.415
genemark-LADA0F-processed-gene-3.82-mRNA-1	0.251764976928349	57.4378	0.514
augustus_masked-LADA0B-processed-gene-9.153-mRNA-1	0.247071790834524	59.7383	0.473
snap_masked-LADA0A-processed-gene-1.71-mRNA-1	0.24129409471035	59.8553	0.440
genemark-LADA0H-processed-gene-1.78-mRNA-1	0.25716938371017	56.9091	0.447
genemark-LADA0H-processed-gene-15.2-mRNA-1	0.225288211976974	58.3845	0.439
genemark-LADA0G-processed-gene-8.72-mRNA-1	0.231275537010692	57.5556	0.432
genemark-LADA0B-processed-gene-6.134-mRNA-1	0.236191789435179	59.0366	0.457
genemark-LADA0B-processed-gene-9.200-mRNA-1	0.258309811631513	54.9233	0.467
genemark-LADA0H-processed-gene-16.108-mRNA-1	0.225269097048187	55.7887	0.480
genemark-LADA0C-processed-gene-9.19-mRNA-1	0.245119284206297	59.2281	0.497
snap_masked-LADA0H-processed-gene-10.75-mRNA-1	0.264539111827958	60.7973	0.452
genemark-LADA0B-processed-gene-4.20-mRNA-1	0.238807728892141	56.3483	0.500
augustus_masked-LADA0H-processed-gene-1.7-mRNA-1	0.243043272502604	58.6343	0.501
genemark-LADA0H-processed-gene-6.43-mRNA-1	0.245552026765056	58.7808	0.505
augustus_masked-LADA0H-processed-gene-7.105-mRNA-1	0.35079041870664	36.3992	0.466
augustus_masked-LADA0G-processed-gene-12.117-mRNA-1	0.195372816645923	53.3458	0.418
snap_masked-LADA0C-processed-gene-3.54-mRNA-1	0.250893645985393	56.4545	0.474
genemark-LADA0G-processed-gene-7.105-mRNA-1	0.255812572198475	56.6403	0.480
genemark-LADA0C-processed-gene-10.244-mRNA-1	0.238528153442203	58.9170	0.414
genemark-LADA0A-processed-gene-6.31-mRNA-1	0.252509983379897	58.3787	0.424
genemark-LADA0B-processed-gene-3.130-mRNA-1	0.24121403081755	58.6723	0.451
genemark-LADA0G-processed-gene-5.34-mRNA-1	0.239318818119297	58.3887	0.479
genemark-LADA0D-processed-gene-8.101-mRNA-1	0.328109214376933	51.5676	0.689
genemark-LADA0F-processed-gene-10.7-mRNA-1	0.231578087759146	57.2017	0.482
snap_masked-LADA0C-processed-gene-3.90-mRNA-1	0.303325701869756	56.1142	0.525
augustus_masked-LADA0H-processed-gene-4.76-mRNA-1	0.235464383348879	59.3112	0.466
genemark-LADA0A-processed-gene-0.80-mRNA-1	0.239280191469394	58.3888	0.470
augustus_masked-LADA0G-processed-gene-11.105-mRNA-1	0.275890190719909	54.0051	0.656
genemark-LADA0D-processed-gene-9.81-mRNA-1	0.251877029015489	57.8348	0.467
augustus_masked-LADA0C-processed-gene-10.146-mRNA-1	0.259725134831794	57.7194	0.488
augustus_masked-LADA0H-processed-gene-17.100-mRNA-1	0.241990655529176	58.0523	0.505
genemark-LADA0A-processed-gene-0.111-mRNA-1	0.369152719682611	40.2032	0.515
