Please cite: 
Sun, X. Y., Yang, Q. Xia, X. 2012. An Improved Implementation of Effective Number of Codons (Nc). Molecular Biology and Evolution 30:191-196.Please note: short sequences may have few 2-fold and 4-fold codon families with useful data and 
may have no codon belonging to 3-fold codon families. Nc from such sequences may not be reliable.

Chosen options:
F as sum of p^2: Yes
Weighted F: Yes
Minimum number of codons for i-fold codon family: i+1.
Pseudocount added to codon counts: 1.00


SeqName                                                  SeqLen       N2*      N3*      N4*       Nc     ExpNc
--------------------------------------------------------------------------------------------------------------
snap_masked-CABR0S01-processed-gene-0.0-mRNA-1             1080       12        1        8   50.1191   50.1626
snap_masked-CABR0S02-processed-gene-0.1-mRNA-1              819        7        1        5   45.0569   43.0987
genemark-CABR0S04-processed-gene-0.55-mRNA-1                759       11        1        7   42.4631   58.7927
snap_masked-CABR0S04-processed-gene-0.42-mRNA-1            1260       12        1        8   53.9479   55.5552
snap_masked-CABR0S04-processed-gene-0.30-mRNA-1             786       11        1        8   52.5576   55.2424
snap_masked-CABR0S04-processed-gene-0.43-mRNA-1            1134       12        1        8   51.0746   57.5368
snap_masked-CABR0S04-processed-gene-0.31-mRNA-1            1977       12        1        8   51.1437   57.8040
snap_masked-CABR0S04-processed-gene-0.32-mRNA-1             813       12        1        8   54.7437   57.4656
augustus_masked-CABR0S04-processed-gene-0.5-mRNA-1         1500       12        1        8   57.8865   58.8478
maker-CABR0S04-snap-gene-0.0-mRNA-1                        4149       12        1        8   42.7854   55.7154
genemark-CABR0S04-processed-gene-0.71-mRNA-1               1035       12        1        8   53.0819   53.2877
snap_masked-CABR0S04-processed-gene-0.44-mRNA-1            1497       12        1        8   55.9370   57.5518
snap_masked-CABR0S04-processed-gene-0.45-mRNA-1             477       12        1        8   46.0358   54.5875
snap_masked-CABR0S04-processed-gene-0.46-mRNA-1            2319       12        1        8   55.6060   60.5172
snap_masked-CABR0S04-processed-gene-0.36-mRNA-1            2211       12        1        8   52.3217   55.9052
genemark-CABR0S04-processed-gene-0.64-mRNA-1               2727       12        1        8   54.9304   56.7684
genemark-CABR0S04-processed-gene-0.65-mRNA-1               1395       12        1        8   55.2588   56.3659
snap_masked-CABR0S04-processed-gene-0.47-mRNA-1            1509       12        1        8   52.2303   55.0238
snap_masked-CABR0S04-processed-gene-0.48-mRNA-1             612       11        1        8   54.7666   61.0013
genemark-CABR0S04-processed-gene-0.77-mRNA-1               2517       12        1        8   49.3225   59.8037
snap_masked-CABR0S04-processed-gene-0.50-mRNA-1            1719       12        1        8   55.2461   60.5290
snap_masked-CABR0S04-processed-gene-0.51-mRNA-1            1107       12        1        8   55.5821   61.5700
snap_masked-CABR0S04-processed-gene-0.52-mRNA-1            1068       12        1        8   51.8425   58.1951
augustus_masked-CABR0S04-processed-gene-0.26-mRNA-1        2640       12        1        8   53.4972   55.4777
