Please cite: 
Sun, X. Y., Yang, Q. Xia, X. 2012. An Improved Implementation of Effective Number of Codons (Nc). Molecular Biology and Evolution 30:191-196.Please note: short sequences may have few 2-fold and 4-fold codon families with useful data and 
may have no codon belonging to 3-fold codon families. Nc from such sequences may not be reliable.

Chosen options:
F as sum of p^2: Yes
Weighted F: Yes
Minimum number of codons for i-fold codon family: i+1.
Pseudocount added to codon counts: 1.00


SeqName                                                                                SeqLen       N2*      N3*      N4*       Nc     ExpNc
--------------------------------------------------------------------------------------------------------------------------------------------
augustus_masked-NODE_105_length_980_cov_108.749_ID_209-processed-gene-0.0-mRNA-1          417       12        1        8   51.1233   55.9532
augustus_masked-NODE_10_length_504736_cov_103.515_ID_19-processed-gene-0.48-mRNA-1       1455       12        1        8   47.7700   48.5662
augustus_masked-NODE_10_length_504736_cov_103.515_ID_19-processed-gene-0.67-mRNA-1       3192       12        1        8   52.7446   55.8946
maker-NODE_10_length_504736_cov_103.515_ID_19-augustus-gene-0.43-mRNA-1                  1830       12        1        8   55.1349   57.0019
augustus_masked-NODE_10_length_504736_cov_103.515_ID_19-processed-gene-0.69-mRNA-1       1470       12        1        8   51.4949   54.3122
augustus_masked-NODE_10_length_504736_cov_103.515_ID_19-processed-gene-0.70-mRNA-1        756       11        1        7   51.7019   54.6057
genemark-NODE_10_length_504736_cov_103.515_ID_19-processed-gene-0.2-mRNA-1               1788       12        1        8   51.6059   55.9298
augustus_masked-NODE_10_length_504736_cov_103.515_ID_19-processed-gene-0.71-mRNA-1        690       12        1        8   51.6388   54.3176
augustus_masked-NODE_10_length_504736_cov_103.515_ID_19-processed-gene-0.72-mRNA-1       2157       12        1        8   51.9193   56.3359
augustus_masked-NODE_10_length_504736_cov_103.515_ID_19-processed-gene-0.73-mRNA-1       1617       12        1        8   51.4720   54.7282
augustus_masked-NODE_10_length_504736_cov_103.515_ID_19-processed-gene-0.50-mRNA-1        516       11        1        8   51.8863   53.7871
augustus_masked-NODE_10_length_504736_cov_103.515_ID_19-processed-gene-0.74-mRNA-1        411       12        1        7   50.1995   49.4371
augustus_masked-NODE_10_length_504736_cov_103.515_ID_19-processed-gene-0.51-mRNA-1       2148       12        1        8   53.1861   55.9883
maker-NODE_10_length_504736_cov_103.515_ID_19-augustus-gene-0.41-mRNA-1                  1401       11        1        8   36.5727   49.9137
snap_masked-NODE_10_length_504736_cov_103.515_ID_19-processed-gene-0.101-mRNA-1          2163       12        1        8   42.2357   50.2904
augustus_masked-NODE_10_length_504736_cov_103.515_ID_19-processed-gene-0.53-mRNA-1       1764       12        1        8   53.2934   54.7384
