gene_id	tAI	nc	gc3
augustus_masked-CR382123-processed-gene-15.93-mRNA-1	0.226358850189896	51.9814	0.310
augustus_masked-CR382126-processed-gene-9.85-mRNA-1	0.293965874267471	53.1353	0.385
augustus_masked-CR382123-processed-gene-7.94-mRNA-1	0.238799084995959	55.3415	0.402
augustus_masked-CR382124-processed-gene-0.55-mRNA-1	0.255464612565597	55.0008	0.427
snap_masked-CR382123-processed-gene-0.89-mRNA-1	0.260704815389017	55.2676	0.344
snap_masked-CR382126-processed-gene-11.111-mRNA-1	0.226789829479128	55.1659	0.314
augustus_masked-CR382121-processed-gene-5.11-mRNA-1	0.268809861524371	54.9869	0.393
augustus_masked-CR382122-processed-gene-10.118-mRNA-1	0.246476823256725	55.5468	0.366
augustus_masked-CR382126-processed-gene-3.19-mRNA-1	0.227952292193656	54.4425	0.309
augustus_masked-CR382126-processed-gene-6.130-mRNA-1	0.208484663664213	56.9889	0.337
augustus_masked-CR382125-processed-gene-14.101-mRNA-1	0.273833168367276	56.2240	0.452
augustus_masked-CR382122-processed-gene-12.112-mRNA-1	0.387512463038682	39.4169	0.491
augustus_masked-CR382125-processed-gene-3.5-mRNA-1	0.339984615180724	40.6611	0.383
augustus_masked-CR382122-processed-gene-2.45-mRNA-1	0.275510407562205	54.3554	0.393
augustus_masked-CR382126-processed-gene-19.100-mRNA-1	0.310802369332284	50.4981	0.327
maker-CR382126-augustus-gene-2.94-mRNA-1	0.260196726531866	54.3852	0.385
augustus_masked-CR382125-processed-gene-9.107-mRNA-1	0.280692761362248	55.1080	0.427
maker-CR382123-augustus-gene-15.71-mRNA-1	0.262412318338558	54.8053	0.376
augustus_masked-CR382122-processed-gene-3.87-mRNA-1	0.239140672567662	54.0302	0.304
augustus_masked-CR382121-processed-gene-6.137-mRNA-1	0.231667806876059	55.5351	0.372
augustus_masked-CR382121-processed-gene-5.41-mRNA-1	0.22114978304866	55.8974	0.375
augustus_masked-CR382121-processed-gene-9.106-mRNA-1	0.267749479148955	54.3771	0.356
augustus_masked-CR382124-processed-gene-8.105-mRNA-1	0.258678464001778	54.8362	0.327
augustus_masked-CR382126-processed-gene-4.37-mRNA-1	0.372741108044501	40.6047	0.415
augustus_masked-CR382124-processed-gene-4.9-mRNA-1	0.345063738248868	43.2694	0.344
augustus_masked-CR382125-processed-gene-16.113-mRNA-1	0.2929482707474	44.9647	0.352
augustus_masked-CR382126-processed-gene-12.66-mRNA-1	0.334639860449479	41.2531	0.451
augustus_masked-CR382122-processed-gene-0.24-mRNA-1	0.251766958485123	53.6104	0.329
augustus_masked-CR382126-processed-gene-10.17-mRNA-1	0.23810006140102	57.5234	0.354
snap_masked-CR382124-processed-gene-15.107-mRNA-1	0.249474691043146	53.5980	0.290
augustus_masked-CR382126-processed-gene-5.74-mRNA-1	0.241167951575953	52.8080	0.319
augustus_masked-CR382126-processed-gene-21.85-mRNA-1	0.306506669410738	52.9061	0.369
augustus_masked-CR382121-processed-gene-6.123-mRNA-1	0.224168996242148	55.2893	0.373
augustus_masked-CR382122-processed-gene-1.40-mRNA-1	0.236148921422768	55.2208	0.406
augustus_masked-CR382124-processed-gene-14.16-mRNA-1	0.248311004622054	58.2729	0.415
snap_masked-CR382124-processed-gene-13.152-mRNA-1	0.223683196418919	56.3054	0.356
snap_masked-CR382126-processed-gene-15.138-mRNA-1	0.269534547208675	55.6490	0.350
augustus_masked-CR382126-processed-gene-24.91-mRNA-1	0.241673332340826	54.7187	0.339
augustus_masked-CR382125-processed-gene-8.150-mRNA-1	0.238238150148881	55.2276	0.370
augustus_masked-CR382123-processed-gene-15.103-mRNA-1	0.239418997983655	55.3796	0.323
augustus_masked-CR382124-processed-gene-13.43-mRNA-1	0.337484856238745	47.6810	0.395
augustus_masked-CR382123-processed-gene-7.57-mRNA-1	0.350091108435225	43.1928	0.396
augustus_masked-CR382126-processed-gene-8.58-mRNA-1	0.245425934059488	55.4516	0.313
augustus_masked-CR382126-processed-gene-16.54-mRNA-1	0.254525789378758	53.2605	0.330
genemark-CR382121-processed-gene-4.71-mRNA-1	0.218772661029153	53.3916	0.399
augustus_masked-CR382124-processed-gene-6.74-mRNA-1	0.290148364081539	50.4998	0.284
augustus_masked-CR382123-processed-gene-9.134-mRNA-1	0.295691575431772	47.9433	0.335
snap_masked-CR382125-processed-gene-2.143-mRNA-1	0.238417824306409	52.8824	0.318
augustus_masked-CR382126-processed-gene-16.71-mRNA-1	0.26233815967163	50.9272	0.288
augustus_masked-CR382126-processed-gene-8.61-mRNA-1	0.245202429039593	56.1640	0.376
augustus_masked-CR382125-processed-gene-8.115-mRNA-1	0.25639974104438	55.1403	0.348
snap_masked-CR382124-processed-gene-6.134-mRNA-1	0.283398480554331	55.2960	0.411
snap_masked-CR382122-processed-gene-4.137-mRNA-1	0.237497393645498	55.4518	0.391
augustus_masked-CR382124-processed-gene-12.20-mRNA-1	0.275582251736088	48.6392	0.381
augustus_masked-CR382125-processed-gene-4.21-mRNA-1	0.230632549326378	54.5430	0.328
snap_masked-CR382125-processed-gene-2.126-mRNA-1	0.236667965093696	55.1557	0.314
augustus_masked-CR382126-processed-gene-8.103-mRNA-1	0.255446151678207	56.4186	0.431
maker-CR382122-augustus-gene-12.61-mRNA-1	0.264060067245529	57.8748	0.439
augustus_masked-CR382125-processed-gene-20.83-mRNA-1	0.223231836207921	51.8507	0.328
snap_masked-CR382125-processed-gene-15.12-mRNA-1	0.27264798769966	56.9710	0.414
augustus_masked-CR382126-processed-gene-2.115-mRNA-1	0.235304188269643	51.8233	0.294
snap_masked-CR382125-processed-gene-4.112-mRNA-1	0.194558025647074	55.0654	0.361
snap_masked-CR382126-processed-gene-12.0-mRNA-1	0.25598314939718	53.2084	0.340
snap_masked-CR382126-processed-gene-17.9-mRNA-1	0.231678562270733	56.1962	0.368
augustus_masked-CR382124-processed-gene-12.22-mRNA-1	0.286982831369257	53.8996	0.401
augustus_masked-CR382126-processed-gene-11.23-mRNA-1	0.338296037924635	46.1284	0.340
augustus_masked-CR382125-processed-gene-8.153-mRNA-1	0.253598644579656	57.4320	0.376
augustus_masked-CR382126-processed-gene-8.68-mRNA-1	0.233578041757165	57.0455	0.376
augustus_masked-CR382124-processed-gene-0.56-mRNA-1	0.227722729103316	53.3021	0.358
maker-CR382123-augustus-gene-1.39-mRNA-1	0.243158827688783	56.4131	0.346
augustus_masked-CR382124-processed-gene-9.17-mRNA-1	0.273165180598875	52.7840	0.414
augustus_masked-CR382123-processed-gene-8.65-mRNA-1	0.248895973494738	52.6621	0.306
augustus_masked-CR382121-processed-gene-5.17-mRNA-1	0.232812238400455	56.7425	0.359
augustus_masked-CR382125-processed-gene-7.135-mRNA-1	0.267734121836709	56.6035	0.404
augustus_masked-CR382125-processed-gene-13.21-mRNA-1	0.233022995047053	56.1800	0.408
augustus_masked-CR382125-processed-gene-15.132-mRNA-1	0.236550322427958	56.1924	0.366
augustus_masked-CR382125-processed-gene-3.36-mRNA-1	0.298665258211292	55.6973	0.405
augustus_masked-CR382121-processed-gene-3.46-mRNA-1	0.25228699954291	54.1428	0.328
augustus_masked-CR382122-processed-gene-3.95-mRNA-1	0.243142277188024	54.3465	0.349
augustus_masked-CR382124-processed-gene-5.82-mRNA-1	0.260650488761766	52.7951	0.337
snap_masked-CR382126-processed-gene-8.41-mRNA-1	0.232838453578934	57.2434	0.391
augustus_masked-CR382125-processed-gene-0.64-mRNA-1	0.213482320707212	55.8078	0.363
augustus_masked-CR382123-processed-gene-9.125-mRNA-1	0.25457621201369	51.6174	0.346
augustus_masked-CR382123-processed-gene-13.29-mRNA-1	0.26358659227739	55.1159	0.383
augustus_masked-CR382125-processed-gene-13.41-mRNA-1	0.272415918072597	51.4668	0.393
snap_masked-CR382122-processed-gene-5.30-mRNA-1	0.238746502360543	54.0720	0.312
augustus_masked-CR382124-processed-gene-4.15-mRNA-1	0.450633088202605	42.1405	0.436
snap_masked-CR382124-processed-gene-15.102-mRNA-1	0.223371732476806	53.8040	0.394
augustus_masked-CR382124-processed-gene-7.85-mRNA-1	0.280659566566531	54.0048	0.358
augustus_masked-CR382124-processed-gene-2.56-mRNA-1	0.260839563701778	52.7338	0.418
augustus_masked-CR382123-processed-gene-5.23-mRNA-1	0.235095542628016	57.9641	0.363
augustus_masked-CR382122-processed-gene-9.13-mRNA-1	0.241481553122275	57.0382	0.349
augustus_masked-CR382125-processed-gene-4.41-mRNA-1	0.250730941810364	53.6206	0.285
augustus_masked-CR382123-processed-gene-7.59-mRNA-1	0.363377543473071	43.0048	0.446
snap_masked-CR382121-processed-gene-0.2-mRNA-1	0.251871777432318	52.9132	0.346
augustus_masked-CR382124-processed-gene-15.19-mRNA-1	0.251629316833466	51.0312	0.309
maker-CR382122-snap-gene-5.2-mRNA-1	0.275071045749024	55.2926	0.364
augustus_masked-CR382126-processed-gene-2.119-mRNA-1	0.246526212302683	55.6687	0.362
augustus_masked-CR382126-processed-gene-20.69-mRNA-1	0.264892161727698	46.9684	0.331
augustus_masked-CR382126-processed-gene-6.112-mRNA-1	0.294178796009316	52.6685	0.439
augustus_masked-CR382123-processed-gene-15.84-mRNA-1	0.256168825750659	53.1606	0.303
snap_masked-CR382125-processed-gene-8.1-mRNA-1	0.211632815688577	56.9821	0.381
augustus_masked-CR382122-processed-gene-12.106-mRNA-1	0.289180819940666	53.9454	0.464
snap_masked-CR382126-processed-gene-19.30-mRNA-1	0.244317429737212	57.2713	0.447
snap_masked-CR382121-processed-gene-7.28-mRNA-1	0.205838134916304	57.2741	0.366
augustus_masked-CR382124-processed-gene-13.48-mRNA-1	0.30458224577617	40.7266	0.391
augustus_masked-CR382124-processed-gene-4.40-mRNA-1	0.290121306182743	50.8401	0.363
augustus_masked-CR382126-processed-gene-9.55-mRNA-1	0.25982166798042	50.5236	0.323
augustus_masked-CR382123-processed-gene-11.83-mRNA-1	0.296763912626556	53.2131	0.414
augustus_masked-CR382121-processed-gene-4.25-mRNA-1	0.344364026520295	42.0539	0.415
augustus_masked-CR382122-processed-gene-0.3-mRNA-1	0.205099116441369	55.8514	0.355
augustus_masked-CR382126-processed-gene-19.97-mRNA-1	0.382334653181653	35.7728	0.500
augustus_masked-CR382126-processed-gene-24.71-mRNA-1	0.245617158344579	53.3120	0.355
augustus_masked-CR382126-processed-gene-15.92-mRNA-1	0.323424266841406	44.4131	0.417
snap_masked-CR382121-processed-gene-9.23-mRNA-1	0.241389482257829	52.9264	0.324
augustus_masked-CR382125-processed-gene-16.107-mRNA-1	0.254534018729069	56.5549	0.396
augustus_masked-CR382121-processed-gene-7.55-mRNA-1	0.232403206353498	56.2064	0.376
augustus_masked-CR382125-processed-gene-9.128-mRNA-1	0.519176290555676	38.9543	0.458
augustus_masked-CR382122-processed-gene-9.21-mRNA-1	0.261381951017398	54.0715	0.382
augustus_masked-CR382125-processed-gene-18.14-mRNA-1	0.262801314483596	55.0567	0.408
augustus_masked-CR382126-processed-gene-3.35-mRNA-1	0.249303444859397	54.5013	0.364
augustus_masked-CR382124-processed-gene-15.28-mRNA-1	0.294901927179899	51.9592	0.345
augustus_masked-CR382125-processed-gene-9.132-mRNA-1	0.247494103821846	57.7657	0.476
augustus_masked-CR382124-processed-gene-9.24-mRNA-1	0.239732874574159	56.6701	0.357
augustus_masked-CR382123-processed-gene-4.139-mRNA-1	0.237109400385604	53.2344	0.332
augustus_masked-CR382126-processed-gene-18.109-mRNA-1	0.232485435610545	55.4296	0.339
augustus_masked-CR382126-processed-gene-0.61-mRNA-1	0.367065973310804	35.7867	0.370
augustus_masked-CR382126-processed-gene-9.73-mRNA-1	0.247045391549297	53.1367	0.318
snap_masked-CR382121-processed-gene-7.10-mRNA-1	0.239168605219793	54.3215	0.347
snap_masked-CR382122-processed-gene-11.104-mRNA-1	0.257113423536113	55.2367	0.435
augustus_masked-CR382124-processed-gene-2.72-mRNA-1	0.251769740443577	57.4297	0.398
augustus_masked-CR382122-processed-gene-2.26-mRNA-1	0.239920423265981	54.6817	0.446
augustus_masked-CR382126-processed-gene-2.112-mRNA-1	0.239087712918554	56.7142	0.366
augustus_masked-CR382126-processed-gene-13.89-mRNA-1	0.268465438382073	56.3944	0.380
augustus_masked-CR382125-processed-gene-19.86-mRNA-1	0.32543451107158	46.0872	0.413
snap_masked-CR382124-processed-gene-1.140-mRNA-1	0.233286792627776	57.2306	0.360
augustus_masked-CR382125-processed-gene-14.90-mRNA-1	0.237606279480911	50.2190	0.398
augustus_masked-CR382126-processed-gene-20.57-mRNA-1	0.306816038527569	52.3039	0.284
snap_masked-CR382121-processed-gene-9.11-mRNA-1	0.21115870317158	51.9424	0.370
augustus_masked-CR382123-processed-gene-10.27-mRNA-1	0.248644918143686	56.8210	0.427
augustus_masked-CR382122-processed-gene-12.109-mRNA-1	0.286699687984864	54.0015	0.402
augustus_masked-CR382121-processed-gene-3.76-mRNA-1	0.208254383479691	51.7227	0.266
augustus_masked-CR382123-processed-gene-5.33-mRNA-1	0.262777864609116	55.2064	0.393
snap_masked-CR382121-processed-gene-1.22-mRNA-1	0.261864564400084	53.9748	0.504
snap_masked-CR382124-processed-gene-5.10-mRNA-1	0.240354882026225	54.9094	0.384
augustus_masked-CR382124-processed-gene-14.9-mRNA-1	0.335897390107876	43.9184	0.381
augustus_masked-CR382126-processed-gene-21.69-mRNA-1	0.287132666184877	47.3120	0.329
augustus_masked-CR382126-processed-gene-19.112-mRNA-1	0.395128562141835	37.6021	0.424
augustus_masked-CR382123-processed-gene-2.68-mRNA-1	0.252187068609304	57.8045	0.403
snap_masked-CR382121-processed-gene-2.0-mRNA-1	0.266516267077574	53.8440	0.380
augustus_masked-CR382124-processed-gene-5.62-mRNA-1	0.277727467182123	54.2738	0.375
augustus_masked-CR382124-processed-gene-16.74-mRNA-1	0.255055817216242	56.3182	0.349
maker-CR382124-snap-gene-15.125-mRNA-1	0.153708608035985	47.6571	0.136
augustus_masked-CR382123-processed-gene-9.141-mRNA-1	0.273547181941039	49.2164	0.320
maker-CR382126-augustus-gene-5.88-mRNA-1	0.324502174014853	44.9715	0.362
snap_masked-CR382126-processed-gene-12.31-mRNA-1	0.228326740989331	53.0157	0.315
augustus_masked-CR382122-processed-gene-6.119-mRNA-1	0.238483913205107	55.6969	0.348
snap_masked-CR382124-processed-gene-7.106-mRNA-1	0.247962007630961	57.5130	0.374
augustus_masked-CR382122-processed-gene-5.49-mRNA-1	0.282759201286279	52.3432	0.362
augustus_masked-CR382121-processed-gene-4.5-mRNA-1	0.463545640384272	39.0226	0.444
augustus_masked-CR382122-processed-gene-9.48-mRNA-1	0.395275712204506	42.0846	0.489
snap_masked-CR382123-processed-gene-5.140-mRNA-1	0.243627673717868	54.1874	0.350
augustus_masked-CR382122-processed-gene-4.92-mRNA-1	0.299252466016416	53.9175	0.412
augustus_masked-CR382126-processed-gene-1.132-mRNA-1	0.288118830536807	50.4492	0.367
augustus_masked-CR382124-processed-gene-14.10-mRNA-1	0.244300566989673	56.3475	0.363
augustus_masked-CR382124-processed-gene-6.49-mRNA-1	0.253239429150195	55.8599	0.350
augustus_masked-CR382124-processed-gene-13.34-mRNA-1	0.263657376845412	52.2018	0.359
snap_masked-CR382121-processed-gene-8.7-mRNA-1	0.261214257123717	54.4811	0.387
augustus_masked-CR382125-processed-gene-9.125-mRNA-1	0.245525539678703	54.8248	0.363
snap_masked-CR382121-processed-gene-0.29-mRNA-1	0.253403014122558	55.1134	0.355
augustus_masked-CR382126-processed-gene-12.60-mRNA-1	0.25020338484234	53.1551	0.325
augustus_masked-CR382123-processed-gene-1.21-mRNA-1	0.362006877933225	49.9223	0.453
augustus_masked-CR382122-processed-gene-4.88-mRNA-1	0.296663112061477	55.3499	0.364
augustus_masked-CR382124-processed-gene-0.38-mRNA-1	0.266062391206626	54.8868	0.402
augustus_masked-CR382123-processed-gene-4.128-mRNA-1	0.225844242073138	55.4367	0.329
augustus_masked-CR382126-processed-gene-23.64-mRNA-1	0.219276390255806	54.7350	0.318
augustus_masked-CR382124-processed-gene-15.26-mRNA-1	0.258033257605027	53.7131	0.366
snap_masked-CR382122-processed-gene-7.116-mRNA-1	0.247184000420998	58.9964	0.400
augustus_masked-CR382125-processed-gene-1.84-mRNA-1	0.228612175123319	54.2806	0.339
augustus_masked-CR382125-processed-gene-2.79-mRNA-1	0.219992248574395	52.5418	0.311
augustus_masked-CR382122-processed-gene-3.85-mRNA-1	0.246229573440675	55.7078	0.344
augustus_masked-CR382122-processed-gene-2.19-mRNA-1	0.317733932413908	49.4879	0.418
augustus_masked-CR382125-processed-gene-3.24-mRNA-1	0.241867753517426	54.2682	0.353
augustus_masked-CR382123-processed-gene-0.22-mRNA-1	0.299604387224974	54.7236	0.373
augustus_masked-CR382124-processed-gene-3.63-mRNA-1	0.257867479755734	55.0733	0.370
augustus_masked-CR382125-processed-gene-3.20-mRNA-1	0.213505844738594	54.9039	0.318
snap_masked-CR382124-processed-gene-4.125-mRNA-1	0.225654575882728	57.5392	0.353
augustus_masked-CR382121-processed-gene-0.49-mRNA-1	0.279887290646835	53.0842	0.336
maker-CR382126-augustus-gene-0.36-mRNA-1	0.259090071504538	50.3788	0.334
augustus_masked-CR382123-processed-gene-3.57-mRNA-1	0.365966239608905	40.3833	0.387
augustus_masked-CR382124-processed-gene-8.137-mRNA-1	0.241024891744608	53.9740	0.335
augustus_masked-CR382123-processed-gene-16.17-mRNA-1	0.231570410941591	56.6268	0.378
genemark-CR382125-processed-gene-15.61-mRNA-1	0.191645493169798	54.5793	0.305
