gene_id	tAI	nc	gc3
snap_masked-NODE_6_length_778386_cov_69.4489_ID_11-processed-gene-1.89-mRNA-1	0.454148354108844	52.4965	0.580
snap_masked-NODE_6_length_778386_cov_69.4489_ID_11-processed-gene-0.102-mRNA-1	0.410066182513625	53.5057	0.644
augustus_masked-NODE_6_length_778386_cov_69.4489_ID_11-processed-gene-0.73-mRNA-1	0.40813855112574	55.4148	0.468
maker-NODE_5_length_1111855_cov_55.5652_ID_9-snap-gene-10.40-mRNA-1	0.392816020617597	54.4367	0.502
snap_masked-NODE_4_length_1181949_cov_64.6666_ID_7-processed-gene-10.105-mRNA-1	0.296881864410174	50.7163	0.575
snap_masked-NODE_3_length_1252809_cov_66.5931_ID_5-processed-gene-6.27-mRNA-1	0.531120748456784	49.0335	0.461
snap_masked-NODE_2_length_1424870_cov_63.5951_ID_3-processed-gene-13.9-mRNA-1	0.483814434701746	49.8397	0.443
snap_masked-NODE_10_length_543506_cov_60.6878_ID_19-processed-gene-2.19-mRNA-1	0.357867992383554	56.5366	0.531
snap_masked-NODE_4_length_1181949_cov_64.6666_ID_7-processed-gene-1.135-mRNA-1	0.441902125494914	52.3301	0.583
snap_masked-NODE_15_length_199203_cov_79.2706_ID_29-processed-gene-0.163-mRNA-1	0.376795637186482	54.4856	0.598
snap_masked-NODE_14_length_293181_cov_65.7956_ID_27-processed-gene-1.272-mRNA-1	0.389621327639012	52.3048	0.497
snap_masked-NODE_2_length_1424870_cov_63.5951_ID_3-processed-gene-11.93-mRNA-1	0.481387761748376	50.4594	0.517
augustus_masked-NODE_4_length_1181949_cov_64.6666_ID_7-processed-gene-3.84-mRNA-1	0.293819652075775	58.6470	0.480
snap_masked-NODE_2_length_1424870_cov_63.5951_ID_3-processed-gene-8.70-mRNA-1	0.315353694547749	54.6309	0.535
snap_masked-NODE_2_length_1424870_cov_63.5951_ID_3-processed-gene-2.50-mRNA-1	0.381584187704896	56.7489	0.511
snap_masked-NODE_3_length_1252809_cov_66.5931_ID_5-processed-gene-6.16-mRNA-1	0.345620735745612	52.2077	0.590
snap_masked-NODE_1_length_1482744_cov_56.9864_ID_1-processed-gene-0.62-mRNA-1	0.430913387760006	53.8530	0.425
snap_masked-NODE_13_length_384245_cov_775.504_ID_25-processed-gene-2.108-mRNA-1	0.32921837405735	55.1726	0.418
snap_masked-NODE_2_length_1424870_cov_63.5951_ID_3-processed-gene-9.81-mRNA-1	0.334975224042537	57.0712	0.431
snap_masked-NODE_11_length_439183_cov_74.16_ID_21-processed-gene-0.77-mRNA-1	0.525844491168282	51.5035	0.550
snap_masked-NODE_1_length_1482744_cov_56.9864_ID_1-processed-gene-13.72-mRNA-1	0.323652602827663	53.7723	0.630
augustus_masked-NODE_181_length_394_cov_0.95082_ID_361-processed-gene-0.1-mRNA-1	0.496449149320135	51.4821	0.441
snap_masked-NODE_11_length_439183_cov_74.16_ID_21-processed-gene-0.99-mRNA-1	0.401793560931797	58.2796	0.447
snap_masked-NODE_1_length_1482744_cov_56.9864_ID_1-processed-gene-2.98-mRNA-1	0.374755362067197	53.8119	0.483
augustus_masked-NODE_5_length_1111855_cov_55.5652_ID_9-processed-gene-4.123-mRNA-1	0.61207081929593	39.8199	0.516
snap_masked-NODE_5_length_1111855_cov_55.5652_ID_9-processed-gene-5.50-mRNA-1	0.378839210563237	55.2696	0.502
snap_masked-NODE_1_length_1482744_cov_56.9864_ID_1-processed-gene-1.2-mRNA-1	0.510247133998878	49.7269	0.424
snap_masked-NODE_1_length_1482744_cov_56.9864_ID_1-processed-gene-2.83-mRNA-1	0.440120914557124	54.3820	0.509
snap_masked-NODE_11_length_439183_cov_74.16_ID_21-processed-gene-2.75-mRNA-1	0.463451263880015	51.7477	0.529
snap_masked-NODE_5_length_1111855_cov_55.5652_ID_9-processed-gene-4.64-mRNA-1	0.409149667883425	56.5805	0.514
snap_masked-NODE_4_length_1181949_cov_64.6666_ID_7-processed-gene-7.63-mRNA-1	0.518073682777354	53.0147	0.551
snap_masked-NODE_5_length_1111855_cov_55.5652_ID_9-processed-gene-2.57-mRNA-1	0.602966329182831	42.1620	0.376
snap_masked-NODE_9_length_577003_cov_69.8333_ID_17-processed-gene-4.44-mRNA-1	0.285248857190208	55.1252	0.518
augustus_masked-NODE_4_length_1181949_cov_64.6666_ID_7-processed-gene-8.58-mRNA-1	0.391585231286687	57.0837	0.499
snap_masked-NODE_6_length_778386_cov_69.4489_ID_11-processed-gene-5.51-mRNA-1	0.351810932329869	57.2264	0.568
