gene_id	tAI	nc	gc3
snap_masked-flattened_line_11-processed-gene-3.101-mRNA-1	0.337894821215217	50.2669	0.273
snap_masked-flattened_line_0-processed-gene-0.51-mRNA-1	0.279030278256868	53.5259	0.332
snap_masked-flattened_line_7-processed-gene-6.96-mRNA-1	0.358102707997301	51.7568	0.262
genemark-flattened_line_11-processed-gene-2.107-mRNA-1	0.351399384869764	50.6558	0.279
snap_masked-flattened_line_19-processed-gene-1.103-mRNA-1	0.246177666904456	54.3551	0.293
snap_masked-flattened_line_5-processed-gene-1.91-mRNA-1	0.254012542768976	49.1294	0.298
snap_masked-flattened_line_1-processed-gene-3.49-mRNA-1	0.338932524032929	53.5804	0.309
snap_masked-flattened_line_65-processed-gene-0.36-mRNA-1	0.285720860754479	45.2723	0.097
genemark-flattened_line_7-processed-gene-4.18-mRNA-1	0.268834152749208	52.4014	0.302
snap_masked-flattened_line_15-processed-gene-0.70-mRNA-1	0.320922277264345	51.8194	0.299
snap_masked-flattened_line_19-processed-gene-2.149-mRNA-1	0.267612344634351	52.8678	0.390
genemark-flattened_line_5-processed-gene-6.18-mRNA-1	0.32224885719289	45.3134	0.236
augustus_masked-flattened_line_33-processed-gene-1.72-mRNA-1	0.312230348104656	52.0707	0.287
genemark-flattened_line_29-processed-gene-0.114-mRNA-1	0.285052303777963	51.9499	0.280
snap_masked-flattened_line_29-processed-gene-1.106-mRNA-1	0.355724422449314	51.9578	0.332
snap_masked-flattened_line_11-processed-gene-0.31-mRNA-1	0.252782006195782	51.4164	0.283
snap_masked-flattened_line_21-processed-gene-1.33-mRNA-1	0.385808915141497	47.3412	0.252
snap_masked-flattened_line_9-processed-gene-5.161-mRNA-1	0.261492528115404	53.5320	0.280
snap_masked-flattened_line_7-processed-gene-5.120-mRNA-1	0.311338470812185	51.4617	0.309
snap_masked-flattened_line_33-processed-gene-1.235-mRNA-1	0.260978158296787	50.5716	0.260
genemark-flattened_line_9-processed-gene-4.62-mRNA-1	0.291016721781899	53.7917	0.346
augustus_masked-flattened_line_3-processed-gene-0.13-mRNA-1	0.309214174148806	52.8350	0.292
snap_masked-flattened_line_45-processed-gene-0.206-mRNA-1	0.371352559133634	49.2851	0.269
snap_masked-flattened_line_7-processed-gene-3.5-mRNA-1	0.313404136581079	54.7172	0.354
snap_masked-flattened_line_7-processed-gene-6.92-mRNA-1	0.292606031558975	52.5279	0.315
snap_masked-flattened_line_0-processed-gene-10.134-mRNA-1	0.316488792089449	55.5002	0.342
genemark-flattened_line_5-processed-gene-6.54-mRNA-1	0.35140882169814	49.9359	0.338
snap_masked-flattened_line_1-processed-gene-5.61-mRNA-1	0.37894554714238	43.4772	0.236
snap_masked-flattened_line_3-processed-gene-2.49-mRNA-1	0.348653052507695	51.0893	0.275
augustus_masked-flattened_line_0-processed-gene-1.159-mRNA-1	0.247275487865772	53.0111	0.323
snap_masked-flattened_line_3-processed-gene-6.76-mRNA-1	0.292969801218166	51.5706	0.280
augustus_masked-flattened_line_7-processed-gene-1.68-mRNA-1	0.388275609842709	49.9408	0.272
snap_masked-flattened_line_0-processed-gene-6.118-mRNA-1	0.324169734354537	52.6824	0.326
genemark-flattened_line_51-processed-gene-0.9-mRNA-1	0.246920365520671	51.9050	0.316
snap_masked-flattened_line_3-processed-gene-6.93-mRNA-1	0.340721839227287	52.2658	0.345
genemark-flattened_line_1-processed-gene-3.139-mRNA-1	0.225650019934824	54.4841	0.323
snap_masked-flattened_line_1-processed-gene-1.48-mRNA-1	0.282193617015671	55.2327	0.363
snap_masked-flattened_line_45-processed-gene-0.237-mRNA-1	0.439664438151937	45.0519	0.252
genemark-flattened_line_7-processed-gene-5.8-mRNA-1	0.297888398889215	53.9094	0.304
genemark-flattened_line_51-processed-gene-0.54-mRNA-1	0.287769116767737	51.9020	0.302
snap_masked-flattened_line_59-processed-gene-0.38-mRNA-1	0.280633151223972	54.3476	0.300
snap_masked-flattened_line_21-processed-gene-1.35-mRNA-1	0.330515257161879	49.5182	0.275
maker-flattened_line_0-augustus-gene-7.179-mRNA-1	0.355740798762173	51.0832	0.277
snap_masked-flattened_line_27-processed-gene-1.249-mRNA-1	0.389527717866579	49.4932	0.335
