Please cite: 
Sun, X. Y., Yang, Q. Xia, X. 2012. An Improved Implementation of Effective Number of Codons (Nc). Molecular Biology and Evolution 30:191-196.Please note: short sequences may have few 2-fold and 4-fold codon families with useful data and 
may have no codon belonging to 3-fold codon families. Nc from such sequences may not be reliable.

Chosen options:
F as sum of p^2: Yes
Weighted F: Yes
Minimum number of codons for i-fold codon family: i+1.
Pseudocount added to codon counts: 1.00


SeqName                                                           SeqLen       N2*      N3*      N4*       Nc     ExpNc
-----------------------------------------------------------------------------------------------------------------------
augustus_masked-flattened_line_0-processed-gene-0.133-mRNA-1        1110       12        1        8   58.5995   61.3467
augustus_masked-flattened_line_0-processed-gene-0.134-mRNA-1        2076       12        1        8   55.6495   60.1012
augustus_masked-flattened_line_0-processed-gene-0.114-mRNA-1         912       12        1        8   53.5097   57.1944
genemark-flattened_line_0-processed-gene-0.94-mRNA-1                2388       12        1        8   50.4498   52.8479
genemark-flattened_line_0-processed-gene-0.75-mRNA-1                1479       12        1        8   52.5459   54.3899
genemark-flattened_line_0-processed-gene-0.95-mRNA-1                 435       12        1        8   53.6698   58.6352
augustus_masked-flattened_line_0-processed-gene-0.137-mRNA-1         345       11        1        8   54.5973   58.6673
genemark-flattened_line_0-processed-gene-0.76-mRNA-1                1293       12        1        8   50.4301   53.7492
genemark-flattened_line_0-processed-gene-0.97-mRNA-1                1824       11        1        8   54.4623   53.9844
genemark-flattened_line_0-processed-gene-0.77-mRNA-1                1326       11        1        8   54.0311   54.9195
genemark-flattened_line_0-processed-gene-0.98-mRNA-1                1509       12        1        8   49.1470   54.0099
augustus_masked-flattened_line_0-processed-gene-0.118-mRNA-1        1521       12        1        8   54.2074   59.9618
genemark-flattened_line_0-processed-gene-0.99-mRNA-1                2277       12        1        8   52.2192   60.6188
genemark-flattened_line_0-processed-gene-0.79-mRNA-1                 564       12        1        8   53.1152   60.4504
genemark-flattened_line_0-processed-gene-0.100-mRNA-1               1440       12        1        8   53.3729   60.2007
genemark-flattened_line_0-processed-gene-0.80-mRNA-1                1428       12        1        8   54.0615   58.3061
augustus_masked-flattened_line_0-processed-gene-0.142-mRNA-1        1029       12        1        8   53.1270   58.6604
augustus_masked-flattened_line_0-processed-gene-0.121-mRNA-1         330       11        1        7   56.2203   61.9094
genemark-flattened_line_0-processed-gene-0.82-mRNA-1                1785       12        1        8   54.8188   58.2772
genemark-flattened_line_0-processed-gene-0.83-mRNA-1                1662       12        1        8   53.7449   60.5644
maker-flattened_line_0-augustus-gene-0.26-mRNA-1                    3201       12        1        8   52.0794   58.4649
genemark-flattened_line_0-processed-gene-0.84-mRNA-1                 429       11        1        8   57.9087   62.6663
genemark-flattened_line_0-processed-gene-0.104-mRNA-1               1947       12        1        8   56.2901   60.6664
snap_masked-flattened_line_0-processed-gene-0.44-mRNA-1             1635       12        1        8   52.4764   56.4489
genemark-flattened_line_0-processed-gene-0.105-mRNA-1                792       12        1        8   56.4189   61.4006
genemark-flattened_line_0-processed-gene-0.86-mRNA-1                 798       12        1        8   55.8666   58.5107
augustus_masked-flattened_line_0-processed-gene-0.146-mRNA-1        1119       12        1        8   55.1770   59.7685
genemark-flattened_line_0-processed-gene-0.107-mRNA-1               1839       12        1        8   51.0703   59.3160
maker-flattened_line_0-augustus-gene-0.22-mRNA-1                     645       12        1        8   54.3262   61.3924
maker-flattened_line_0-augustus-gene-0.23-mRNA-1                    1644       12        1        8   54.5322   55.8815
snap_masked-flattened_line_0-processed-gene-0.67-mRNA-1              786       12        1        8   51.5657   53.0778
augustus_masked-flattened_line_0-processed-gene-0.129-mRNA-1        1920       11        1        8   57.7756   61.2687
genemark-flattened_line_0-processed-gene-0.90-mRNA-1                2253       12        1        8   55.1184   59.3987
augustus_masked-flattened_line_0-processed-gene-0.149-mRNA-1        2121       12        1        8   55.1263   59.8124
augustus_masked-flattened_line_0-processed-gene-0.131-mRNA-1         585       12        1        8   53.8490   58.1592
genemark-flattened_line_0-processed-gene-0.110-mRNA-1               1164       12        1        8   55.5092   61.7255
