gene_id	tAI	nc	gc3
snap_masked-flattened_line_16-processed-gene-2.113-mRNA-1	0.286727498435065	56.6316	0.530
snap_masked-flattened_line_22-processed-gene-0.67-mRNA-1	0.277449877572742	54.5087	0.610
augustus_masked-flattened_line_1-processed-gene-1.151-mRNA-1	0.308600522530812	56.7750	0.575
snap_masked-flattened_line_0-processed-gene-0.51-mRNA-1	0.28382550294714	59.9167	0.418
maker-flattened_line_0-snap-gene-7.62-mRNA-1	0.276802260843694	56.5372	0.362
snap_masked-flattened_line_12-processed-gene-3.41-mRNA-1	0.358538757632096	57.9828	0.539
snap_masked-flattened_line_1-processed-gene-1.110-mRNA-1	0.331487958702686	50.4081	0.712
snap_masked-flattened_line_0-processed-gene-10.153-mRNA-1	0.298136228778455	59.2316	0.476
snap_masked-flattened_line_18-processed-gene-0.125-mRNA-1	0.297028973997256	56.4797	0.433
augustus_masked-flattened_line_0-processed-gene-18.119-mRNA-1	0.289997167689709	52.5387	0.384
snap_masked-flattened_line_32-processed-gene-1.58-mRNA-1	0.357702847547145	51.7582	0.502
snap_masked-flattened_line_5-processed-gene-3.20-mRNA-1	0.386656022241873	53.7961	0.434
augustus_masked-flattened_line_5-processed-gene-1.130-mRNA-1	0.325879596247106	56.5583	0.545
snap_masked-flattened_line_1-processed-gene-5.41-mRNA-1	0.293848181534437	55.4173	0.442
snap_masked-flattened_line_14-processed-gene-0.6-mRNA-1	0.284737490148431	59.4657	0.549
snap_masked-flattened_line_7-processed-gene-2.80-mRNA-1	0.290191192355774	59.3194	0.461
snap_masked-flattened_line_0-processed-gene-17.110-mRNA-1	0.385108653192573	49.3147	0.687
augustus_masked-flattened_line_18-processed-gene-2.149-mRNA-1	0.294742965061397	59.9607	0.453
snap_masked-flattened_line_32-processed-gene-1.55-mRNA-1	0.341024021898091	54.8392	0.486
snap_masked-flattened_line_22-processed-gene-0.70-mRNA-1	0.342797977159363	55.3739	0.588
snap_masked-flattened_line_0-processed-gene-4.47-mRNA-1	0.306578132859875	57.5654	0.537
snap_masked-flattened_line_3-processed-gene-6.108-mRNA-1	0.321148073429074	56.6468	0.509
snap_masked-flattened_line_3-processed-gene-4.60-mRNA-1	0.296277608316521	56.6600	0.586
snap_masked-flattened_line_26-processed-gene-1.74-mRNA-1	0.34844023366632	56.1448	0.544
augustus_masked-flattened_line_36-processed-gene-0.29-mRNA-1	0.323455947946459	54.5499	0.421
snap_masked-flattened_line_26-processed-gene-1.75-mRNA-1	0.455367711237965	43.1547	0.556
augustus_masked-flattened_line_34-processed-gene-0.30-mRNA-1	0.319673808474413	56.0992	0.537
snap_masked-flattened_line_16-processed-gene-3.123-mRNA-1	0.322325949819291	54.8496	0.553
snap_masked-flattened_line_0-processed-gene-4.84-mRNA-1	0.293620406590228	57.9910	0.467
snap_masked-flattened_line_8-processed-gene-1.128-mRNA-1	0.308906821550847	57.1017	0.506
genemark-flattened_line_10-processed-gene-3.18-mRNA-1	0.299933487515748	56.4361	0.586
snap_masked-flattened_line_28-processed-gene-0.19-mRNA-1	0.298581302578502	56.4953	0.514
snap_masked-flattened_line_50-processed-gene-0.45-mRNA-1	0.26118366774943	56.8942	0.419
genemark-flattened_line_20-processed-gene-0.17-mRNA-1	0.288330900921907	59.5151	0.428
snap_masked-flattened_line_5-processed-gene-2.7-mRNA-1	0.251456860723082	56.9676	0.473
augustus_masked-flattened_line_24-processed-gene-0.106-mRNA-1	0.278977505991497	59.7826	0.443
snap_masked-flattened_line_44-processed-gene-0.84-mRNA-1	0.27944772472125	58.9813	0.442
snap_masked-flattened_line_0-processed-gene-15.126-mRNA-1	0.275763216153638	59.2672	0.421
snap_masked-flattened_line_40-processed-gene-0.29-mRNA-1	0.27490138800345	57.1370	0.418
snap_masked-flattened_line_44-processed-gene-0.93-mRNA-1	0.262330311959429	58.0996	0.437
snap_masked-flattened_line_3-processed-gene-6.93-mRNA-1	0.322266592626052	56.0349	0.526
snap_masked-flattened_line_24-processed-gene-1.198-mRNA-1	0.30793963343634	55.8368	0.547
snap_masked-flattened_line_14-processed-gene-3.65-mRNA-1	0.331961089805592	55.6754	0.623
snap_masked-flattened_line_5-processed-gene-3.47-mRNA-1	0.304625593860936	55.2085	0.458
snap_masked-flattened_line_7-processed-gene-1.67-mRNA-1	0.30373499025581	56.6691	0.561
snap_masked-flattened_line_7-processed-gene-3.131-mRNA-1	0.384594165408646	48.6805	0.637
augustus_masked-flattened_line_24-processed-gene-1.124-mRNA-1	0.293116592599613	57.2718	0.447
snap_masked-flattened_line_12-processed-gene-0.48-mRNA-1	0.263156689593751	54.2432	0.414
snap_masked-flattened_line_16-processed-gene-2.107-mRNA-1	0.322793597071359	56.1399	0.469
augustus_masked-flattened_line_12-processed-gene-2.81-mRNA-1	0.30322961097431	59.6577	0.500
snap_masked-flattened_line_22-processed-gene-1.247-mRNA-1	0.467090195993871	40.4753	0.481
snap_masked-flattened_line_14-processed-gene-3.70-mRNA-1	0.30695914716603	55.0409	0.520
augustus_masked-flattened_line_10-processed-gene-4.117-mRNA-1	0.286513554214852	60.8332	0.439
snap_masked-flattened_line_38-processed-gene-0.156-mRNA-1	0.287887472112065	56.6076	0.423
maker-flattened_line_7-snap-gene-4.0-mRNA-1	0.358567023770363	55.1867	0.531
maker-flattened_line_34-snap-gene-0.96-mRNA-1	0.367447678479015	52.4713	0.562
snap_masked-flattened_line_0-processed-gene-4.58-mRNA-1	0.296330941312489	58.0175	0.519
snap_masked-flattened_line_0-processed-gene-17.132-mRNA-1	0.314594871959082	54.2128	0.589
snap_masked-flattened_line_0-processed-gene-5.86-mRNA-1	0.307128220417024	60.3612	0.459
snap_masked-flattened_line_20-processed-gene-2.168-mRNA-1	0.317365636235916	57.9146	0.516
snap_masked-flattened_line_5-processed-gene-2.33-mRNA-1	0.299226305198894	57.3032	0.394
snap_masked-flattened_line_7-processed-gene-1.91-mRNA-1	0.299859551682013	58.0137	0.442
snap_masked-flattened_line_5-processed-gene-0.86-mRNA-1	0.317983124985291	50.8070	0.731
augustus_masked-flattened_line_40-processed-gene-0.82-mRNA-1	0.319530529623494	55.7512	0.562
augustus_masked-flattened_line_0-processed-gene-3.64-mRNA-1	0.313138522694823	58.7571	0.563
snap_masked-flattened_line_16-processed-gene-2.108-mRNA-1	0.329483029793564	53.7539	0.537
snap_masked-flattened_line_34-processed-gene-0.88-mRNA-1	0.262531269730586	56.9206	0.500
snap_masked-flattened_line_12-processed-gene-4.108-mRNA-1	0.312401914076163	53.9125	0.640
snap_masked-flattened_line_3-processed-gene-4.56-mRNA-1	0.300719337094863	59.4395	0.456
augustus_masked-flattened_line_16-processed-gene-0.31-mRNA-1	0.308422926104514	58.5353	0.560
snap_masked-flattened_line_7-processed-gene-2.42-mRNA-1	0.315975775027111	58.7107	0.494
augustus_masked-flattened_line_12-processed-gene-0.31-mRNA-1	0.300057851881346	57.8386	0.474
snap_masked-flattened_line_14-processed-gene-0.3-mRNA-1	0.27447462153132	57.4153	0.415
snap_masked-flattened_line_5-processed-gene-4.82-mRNA-1	0.301742727090595	57.5687	0.465
snap_masked-flattened_line_1-processed-gene-3.142-mRNA-1	0.291029523252823	59.8473	0.497
augustus_masked-flattened_line_1-processed-gene-1.114-mRNA-1	0.303410413650654	59.1669	0.462
snap_masked-flattened_line_44-processed-gene-0.85-mRNA-1	0.297282967586947	55.8806	0.591
snap_masked-flattened_line_30-processed-gene-1.82-mRNA-1	0.339636368459864	55.9148	0.563
snap_masked-flattened_line_0-processed-gene-4.94-mRNA-1	0.345341129660539	47.9043	0.779
snap_masked-flattened_line_14-processed-gene-0.24-mRNA-1	0.303594627113361	56.3435	0.409
snap_masked-flattened_line_14-processed-gene-1.142-mRNA-1	0.348667417988062	52.9641	0.655
genemark-flattened_line_86-processed-gene-0.5-mRNA-1	0.298608003396841	56.8173	0.496
snap_masked-flattened_line_8-processed-gene-0.59-mRNA-1	0.281561116041728	58.6501	0.428
snap_masked-flattened_line_22-processed-gene-1.258-mRNA-1	0.288032740479475	59.5029	0.456
snap_masked-flattened_line_1-processed-gene-2.94-mRNA-1	0.375921179441085	52.1315	0.701
