Please cite: 
Sun, X. Y., Yang, Q. Xia, X. 2012. An Improved Implementation of Effective Number of Codons (Nc). Molecular Biology and Evolution 30:191-196.Please note: short sequences may have few 2-fold and 4-fold codon families with useful data and 
may have no codon belonging to 3-fold codon families. Nc from such sequences may not be reliable.

Chosen options:
F as sum of p^2: Yes
Weighted F: Yes
Minimum number of codons for i-fold codon family: i+1.
Pseudocount added to codon counts: 1.00


SeqName                                                                                   SeqLen       N2*      N3*      N4*       Nc     ExpNc
-----------------------------------------------------------------------------------------------------------------------------------------------
augustus_masked-NODE_10006_length_441_cov_7.60059_ID_364411-processed-gene-0.1-mRNA-1        375       11        1        7   44.1985   36.3327
genemark-NODE_1000_length_3237_cov_10.8816_ID_155053-processed-gene-0.7-mRNA-1               813       12        1        8   39.1959   41.7649
augustus_masked-NODE_1000_length_3237_cov_10.8816_ID_155053-processed-gene-0.2-mRNA-1       1170       12        1        8   37.9516   38.9275
augustus_masked-NODE_10021_length_440_cov_7.54303_ID_369211-processed-gene-0.1-mRNA-1        429       11        1        8   47.4588   43.0995
augustus_masked-NODE_10025_length_440_cov_6.94659_ID_313757-processed-gene-0.0-mRNA-1        429       10        1        8   46.8371   42.7567
snap_masked-NODE_10028_length_440_cov_5.54599_ID_368367-processed-gene-0.0-mRNA-1            300       10        1        8   45.5807   39.3781
snap_masked-NODE_10029_length_440_cov_8.43917_ID_313846-processed-gene-0.1-mRNA-1            300       10        1        8   46.0431   39.5778
augustus_masked-NODE_1002_length_3228_cov_11.08_ID_357329-processed-gene-0.3-mRNA-1         1305       12        1        8   42.9236   46.0784
genemark-NODE_10030_length_440_cov_7.31157_ID_369449-processed-gene-0.2-mRNA-1               360       10        1        8   47.8413   42.4921
augustus_masked-NODE_10031_length_440_cov_10.5608_ID_367793-processed-gene-0.0-mRNA-1        360       10        1        6   50.3773   45.7034
genemark-NODE_1003_length_3220_cov_8.31248_ID_68427-processed-gene-0.6-mRNA-1                456       12        1        8   50.6956   50.2046
augustus_masked-NODE_1003_length_3220_cov_8.31248_ID_68427-processed-gene-0.1-mRNA-1         408       12        1        8   48.4866   46.9075
augustus_masked-NODE_1003_length_3220_cov_8.31248_ID_68427-processed-gene-0.2-mRNA-1         471       12        1        8   49.8474   46.8177
augustus_masked-NODE_10043_length_440_cov_16.4154_ID_360999-processed-gene-0.2-mRNA-1        348       10        1        7   43.7410   37.1374
genemark-NODE_1004_length_3209_cov_13.6977_ID_437593-processed-gene-0.0-mRNA-1               657       12        1        8   47.9677   48.2698
augustus_masked-NODE_1004_length_3209_cov_13.6977_ID_437593-processed-gene-0.5-mRNA-1       2202       12        1        8   41.9297   46.0260
snap_masked-NODE_10056_length_439_cov_7.4256_ID_368867-processed-gene-0.2-mRNA-1             342       12        1        8   47.6328   34.7489
augustus_masked-NODE_10058_length_439_cov_8.3631_ID_368347-processed-gene-0.1-mRNA-1         306       10        1        7   48.3863   44.1942
augustus_masked-NODE_10060_length_439_cov_4.88095_ID_367751-processed-gene-0.1-mRNA-1        399       11        1        8   50.9453   48.5334
augustus_masked-NODE_10066_length_439_cov_7.56548_ID_370367-processed-gene-0.0-mRNA-1        360       12        1        8   44.6169   41.2738
genemark-NODE_1006_length_3201_cov_10.9229_ID_74425-processed-gene-0.5-mRNA-1                867       12        1        8   40.0815   37.9949
augustus_masked-NODE_1006_length_3201_cov_10.9229_ID_74425-processed-gene-0.0-mRNA-1        1344       12        1        8   37.5890   40.4862
augustus_masked-NODE_10070_length_438_cov_14.2866_ID_363283-processed-gene-0.1-mRNA-1        354       11        1        7   47.7494   42.1961
snap_masked-NODE_10071_length_438_cov_8.59701_ID_362709-processed-gene-0.2-mRNA-1            303       11        1        7   49.8138   46.7886
snap_masked-NODE_10073_length_438_cov_12.606_ID_366503-processed-gene-0.2-mRNA-1             402       12        1        8   51.5337   53.0122
augustus_masked-NODE_10077_length_438_cov_4.97612_ID_368365-processed-gene-0.0-mRNA-1        375       11        1        8   46.1343   39.4754
augustus_masked-NODE_10078_length_438_cov_11.2448_ID_315067-processed-gene-0.2-mRNA-1        375       11        1        8   44.9314   38.4140
snap_masked-NODE_10079_length_438_cov_6.57015_ID_367695-processed-gene-0.2-mRNA-1            333       12        1        7   48.3676   46.9779
genemark-NODE_1007_length_3201_cov_8.43447_ID_149570-processed-gene-0.4-mRNA-1              1518       12        1        8   38.3874   39.1466
augustus_masked-NODE_1007_length_3201_cov_8.43447_ID_149570-processed-gene-0.2-mRNA-1        342       12        1        8   49.1470   47.8171
snap_masked-NODE_10080_length_438_cov_9.50149_ID_315125-processed-gene-0.1-mRNA-1            333       12        1        7   47.1132   45.5407
augustus_masked-NODE_10081_length_438_cov_10.0746_ID_370251-processed-gene-0.0-mRNA-1        435       11        1        6   42.6112   37.4071
augustus_masked-NODE_10082_length_438_cov_5.05373_ID_370255-processed-gene-0.1-mRNA-1        348       10        1        7   42.7897   40.1105
snap_masked-NODE_10086_length_438_cov_4.66269_ID_315216-processed-gene-0.0-mRNA-1            303       11        1        8   51.0194   47.6589
augustus_masked-NODE_10087_length_438_cov_7.11642_ID_362931-processed-gene-0.1-mRNA-1        432       11        1        8   45.0361   41.1251
augustus_masked-NODE_10089_length_438_cov_7.7194_ID_366749-processed-gene-0.2-mRNA-1         366       12        1        7   49.2110   44.1205
augustus_masked-NODE_1008_length_3199_cov_11.5691_ID_354761-processed-gene-0.4-mRNA-1        666       12        1        8   45.1283   44.0613
