Please cite: 
Sun, X. Y., Yang, Q. Xia, X. 2012. An Improved Implementation of Effective Number of Codons (Nc). Molecular Biology and Evolution 30:191-196.Please note: short sequences may have few 2-fold and 4-fold codon families with useful data and 
may have no codon belonging to 3-fold codon families. Nc from such sequences may not be reliable.

Chosen options:
F as sum of p^2: Yes
Weighted F: Yes
Minimum number of codons for i-fold codon family: i+1.
Pseudocount added to codon counts: 1.00


SeqName                                                                                SeqLen       N2*      N3*      N4*       Nc     ExpNc
--------------------------------------------------------------------------------------------------------------------------------------------
snap_masked-NODE_109_length_440_cov_0.711599_ID_217-processed-gene-0.0-mRNA-1             354       10        1        8   54.7488   59.6023
snap_masked-NODE_10_length_355069_cov_42.3146_ID_19-processed-gene-0.20-mRNA-1           1347       12        1        8   50.5193   55.6424
genemark-NODE_10_length_355069_cov_42.3146_ID_19-processed-gene-0.81-mRNA-1               942       12        1        8   52.5849   62.2757
genemark-NODE_10_length_355069_cov_42.3146_ID_19-processed-gene-0.103-mRNA-1              507       12        1        7   53.4060   56.7309
snap_masked-NODE_10_length_355069_cov_42.3146_ID_19-processed-gene-0.22-mRNA-1           2277       12        1        8   51.0958   56.9798
snap_masked-NODE_10_length_355069_cov_42.3146_ID_19-processed-gene-0.3-mRNA-1             531       10        1        8   52.6872   58.5995
snap_masked-NODE_10_length_355069_cov_42.3146_ID_19-processed-gene-0.4-mRNA-1            2538       12        1        8   57.0352   61.1955
snap_masked-NODE_10_length_355069_cov_42.3146_ID_19-processed-gene-0.5-mRNA-1            1269       12        1        8   49.9575   58.1654
snap_masked-NODE_10_length_355069_cov_42.3146_ID_19-processed-gene-0.23-mRNA-1           1122       12        1        8   53.8286   60.2806
genemark-NODE_10_length_355069_cov_42.3146_ID_19-processed-gene-0.85-mRNA-1              1161       12        1        8   47.2632   56.4685
snap_masked-NODE_10_length_355069_cov_42.3146_ID_19-processed-gene-0.24-mRNA-1           1680       12        1        7   52.2215   57.3036
snap_masked-NODE_10_length_355069_cov_42.3146_ID_19-processed-gene-0.25-mRNA-1           2508       12        1        8   56.3839   61.6743
snap_masked-NODE_10_length_355069_cov_42.3146_ID_19-processed-gene-0.26-mRNA-1           2907       12        1        8   58.2882   61.7934
snap_masked-NODE_10_length_355069_cov_42.3146_ID_19-processed-gene-0.7-mRNA-1             984       12        1        8   54.4415   61.4639
genemark-NODE_10_length_355069_cov_42.3146_ID_19-processed-gene-0.109-mRNA-1              894       12        1        8   57.1746   62.7240
genemark-NODE_10_length_355069_cov_42.3146_ID_19-processed-gene-0.88-mRNA-1               444       11        1        7   43.2737   61.6836
augustus_masked-NODE_10_length_355069_cov_42.3146_ID_19-processed-gene-0.50-mRNA-1        708       12        1        8   55.9077   62.5404
snap_masked-NODE_10_length_355069_cov_42.3146_ID_19-processed-gene-0.27-mRNA-1            867       12        1        8   55.5625   59.0366
snap_masked-NODE_10_length_355069_cov_42.3146_ID_19-processed-gene-0.10-mRNA-1           1962       12        1        8   45.8858   55.4127
snap_masked-NODE_10_length_355069_cov_42.3146_ID_19-processed-gene-0.28-mRNA-1           1647       12        1        8   52.2852   56.2407
maker-NODE_10_length_355069_cov_42.3146_ID_19-snap-gene-0.41-mRNA-1                      1038       12        1        8   54.3434   58.9925
snap_masked-NODE_10_length_355069_cov_42.3146_ID_19-processed-gene-0.30-mRNA-1           2469       12        1        8   55.0251   59.7292
snap_masked-NODE_10_length_355069_cov_42.3146_ID_19-processed-gene-0.11-mRNA-1           1188       12        1        8   54.4586   57.9629
snap_masked-NODE_10_length_355069_cov_42.3146_ID_19-processed-gene-0.31-mRNA-1           1923       12        1        8   53.7933   57.6623
genemark-NODE_10_length_355069_cov_42.3146_ID_19-processed-gene-0.93-mRNA-1               834       12        1        8   56.3804   62.4626
genemark-NODE_10_length_355069_cov_42.3146_ID_19-processed-gene-0.114-mRNA-1             1404       12        1        8   57.2506   62.0413
snap_masked-NODE_10_length_355069_cov_42.3146_ID_19-processed-gene-0.13-mRNA-1            951       12        1        8   52.7556   60.6404
snap_masked-NODE_10_length_355069_cov_42.3146_ID_19-processed-gene-0.33-mRNA-1           2484       12        1        8   47.2311   53.0837
snap_masked-NODE_10_length_355069_cov_42.3146_ID_19-processed-gene-0.14-mRNA-1            900       12        1        8   51.1568   58.5100
snap_masked-NODE_10_length_355069_cov_42.3146_ID_19-processed-gene-0.34-mRNA-1           1005       12        1        8   55.8025   62.7479
snap_masked-NODE_10_length_355069_cov_42.3146_ID_19-processed-gene-0.15-mRNA-1            924       11        1        7   43.6097   56.1341
snap_masked-NODE_10_length_355069_cov_42.3146_ID_19-processed-gene-0.16-mRNA-1            774       12        1        7   51.7285   53.5443
snap_masked-NODE_10_length_355069_cov_42.3146_ID_19-processed-gene-0.35-mRNA-1           4785       12        1        8   49.4776   53.2968
snap_masked-NODE_10_length_355069_cov_42.3146_ID_19-processed-gene-0.36-mRNA-1           1203       12        1        8   52.6566   58.9893
snap_masked-NODE_10_length_355069_cov_42.3146_ID_19-processed-gene-0.17-mRNA-1           1320       12        1        8   53.4553   60.5396
snap_masked-NODE_10_length_355069_cov_42.3146_ID_19-processed-gene-0.18-mRNA-1           1011       12        1        8   56.5640   59.1210
snap_masked-NODE_10_length_355069_cov_42.3146_ID_19-processed-gene-0.37-mRNA-1            564       12        1        8   54.5681   62.6266
snap_masked-NODE_10_length_355069_cov_42.3146_ID_19-processed-gene-0.19-mRNA-1           2448       12        1        8   54.9105   58.1524
snap_masked-NODE_10_length_355069_cov_42.3146_ID_19-processed-gene-1.0-mRNA-1            2898       12        1        8   56.2937   60.2620
snap_masked-NODE_10_length_355069_cov_42.3146_ID_19-processed-gene-1.1-mRNA-1            1314       12        1        8   57.2283   62.0111
snap_masked-NODE_10_length_355069_cov_42.3146_ID_19-processed-gene-1.2-mRNA-1            1443       12        1        8   51.0536   56.4892
augustus_masked-NODE_10_length_355069_cov_42.3146_ID_19-processed-gene-1.125-mRNA-1       843       12        1        8   55.9935   60.7353
snap_masked-NODE_10_length_355069_cov_42.3146_ID_19-processed-gene-1.3-mRNA-1             513       12        1        8   55.2737   57.3541
snap_masked-NODE_10_length_355069_cov_42.3146_ID_19-processed-gene-1.5-mRNA-1            1518       12        1        8   58.1252   60.9190
snap_masked-NODE_10_length_355069_cov_42.3146_ID_19-processed-gene-1.6-mRNA-1            4635       12        1        8   47.3878   56.0788
augustus_masked-NODE_10_length_355069_cov_42.3146_ID_19-processed-gene-1.151-mRNA-1      1221       12        1        8   57.0866   62.4153
genemark-NODE_10_length_355069_cov_42.3146_ID_19-processed-gene-1.95-mRNA-1              1293       12        1        8   55.2180   58.5220
snap_masked-NODE_10_length_355069_cov_42.3146_ID_19-processed-gene-1.7-mRNA-1            2565       12        1        8   51.4648   54.7722
snap_masked-NODE_10_length_355069_cov_42.3146_ID_19-processed-gene-1.34-mRNA-1           1368       12        1        8   53.9358   57.2418
snap_masked-NODE_10_length_355069_cov_42.3146_ID_19-processed-gene-1.8-mRNA-1            1422       12        1        8   50.5682   56.3953
snap_masked-NODE_10_length_355069_cov_42.3146_ID_19-processed-gene-1.35-mRNA-1           2886       12        1        8   52.7901   57.4218
snap_masked-NODE_10_length_355069_cov_42.3146_ID_19-processed-gene-1.36-mRNA-1            819       12        1        8   50.5876   60.3834
