gene_id	tAI	nc	gc3
augustus_masked-NODE_42_length_100638_cov_56.583_ID_6634-processed-gene-0.60-mRNA-1	0.501123130527036	46.1032	0.207
genemark-NODE_1_length_473280_cov_55.4859_ID_5171-processed-gene-3.52-mRNA-1	0.534442812918264	44.3693	0.194
genemark-NODE_20_length_149195_cov_60.8435_ID_27068-processed-gene-0.96-mRNA-1	0.41097437729542	52.5458	0.302
maker-NODE_9_length_207591_cov_58.935_ID_5467-augustus-gene-1.106-mRNA-1	0.530385791814456	44.2194	0.241
augustus_masked-NODE_121_length_26014_cov_54.7427_ID_12921-processed-gene-0.12-mRNA-1	0.471320383703872	54.4533	0.369
maker-NODE_105_length_36062_cov_64.973_ID_13069-augustus-gene-0.15-mRNA-1	0.499759382551494	46.6111	0.224
genemark-NODE_72_length_68243_cov_52.8251_ID_8915-processed-gene-0.88-mRNA-1	0.518666409280399	41.8758	0.175
genemark-NODE_1_length_473280_cov_55.4859_ID_5171-processed-gene-3.46-mRNA-1	0.48539734732137	43.4914	0.166
genemark-NODE_2_length_368873_cov_56.1611_ID_5273-processed-gene-2.169-mRNA-1	0.513387258779127	42.8060	0.164
genemark-NODE_38_length_111217_cov_55.057_ID_6468-processed-gene-0.3-mRNA-1	0.447938753962463	49.7126	0.214
genemark-NODE_73_length_67798_cov_55.763_ID_8961-processed-gene-0.88-mRNA-1	0.545118637108456	40.7704	0.193
genemark-NODE_135_length_18507_cov_67.8395_ID_25233-processed-gene-0.14-mRNA-1	0.532179547200742	48.2120	0.249
genemark-NODE_7_length_252116_cov_54.7147_ID_5737-processed-gene-0.93-mRNA-1	0.515001235420495	42.9027	0.192
genemark-NODE_52_length_85089_cov_71.98_ID_11545-processed-gene-0.103-mRNA-1	0.469835940353473	47.1776	0.236
maker-NODE_18_length_155841_cov_56.6118_ID_5839-augustus-gene-0.67-mRNA-1	0.452469881676045	52.4196	0.466
