gene_id	tAI	nc	gc3
maker-loc-_s582-augustus-gene-0.8-mRNA-1	0.235593300408024	54.9399	0.514
snap_masked-loc-_s439-processed-gene-0.2-mRNA-1	0.213370616998372	53.6392	0.472
snap_masked-loc-_s614-processed-gene-0.1-mRNA-1	0.308827634446408	47.5461	0.552
genemark-loc-_s108-processed-gene-0.6-mRNA-1	0.224090090024782	54.2151	0.474
augustus_masked-loc-_s93-processed-gene-0.31-mRNA-1	0.213543099848033	56.0424	0.561
snap_masked-loc-_s18-processed-gene-4.56-mRNA-1	0.247969986077584	54.0666	0.597
genemark-loc-_s318-processed-gene-0.0-mRNA-1	0.22087331102787	54.6353	0.458
snap_masked-loc-_s602-processed-gene-1.56-mRNA-1	0.243120485642087	56.6178	0.577
snap_masked-loc-_s18-processed-gene-4.67-mRNA-1	0.264296623840155	51.4787	0.610
genemark-loc-_s546-processed-gene-0.55-mRNA-1	0.22763034317941	56.8942	0.513
augustus_masked-loc-_s347-processed-gene-0.1-mRNA-1	0.246481873765918	55.2170	0.471
snap_masked-loc-_s49-processed-gene-2.211-mRNA-1	0.302718968325141	51.3234	0.525
snap_masked-loc-_s682-processed-gene-0.64-mRNA-1	0.219497883524298	53.7769	0.580
augustus_masked-loc-_s493-processed-gene-0.144-mRNA-1	0.22225565688212	58.4407	0.458
snap_masked-loc-_s18-processed-gene-0.92-mRNA-1	0.233095743080968	55.0685	0.596
snap_masked-loc-_s636-processed-gene-0.76-mRNA-1	0.235214556015625	55.8738	0.569
snap_masked-loc-_s233-processed-gene-0.2-mRNA-1	0.214948972138531	57.2942	0.492
snap_masked-loc-_s445-processed-gene-1.6-mRNA-1	0.228971327606604	54.0402	0.641
snap_masked-loc-_s561-processed-gene-0.116-mRNA-1	0.232306338159768	56.6041	0.577
snap_masked-loc-_s546-processed-gene-0.28-mRNA-1	0.207581831380001	59.0798	0.482
augustus_masked-loc-_s294-processed-gene-0.114-mRNA-1	0.22281333858179	56.1452	0.412
snap_masked-loc-_C41881-processed-gene-0.6-mRNA-1	0.294318099121749	50.4789	0.709
snap_masked-loc-_s324-processed-gene-0.65-mRNA-1	0.217371336958633	57.7919	0.443
snap_masked-loc-_s682-processed-gene-1.29-mRNA-1	0.241246611060826	54.1375	0.589
snap_masked-loc-_s549-processed-gene-0.94-mRNA-1	0.209189800313358	55.9065	0.427
snap_masked-loc-_s294-processed-gene-0.86-mRNA-1	0.267381946435784	54.5018	0.562
snap_masked-loc-_s195-processed-gene-2.104-mRNA-1	0.24270960179334	52.9320	0.623
genemark-loc-_s546-processed-gene-0.63-mRNA-1	0.246663778172421	51.1978	0.513
snap_masked-loc-_s101-processed-gene-0.117-mRNA-1	0.233546243294456	55.2337	0.459
maker-loc-_s539-snap-gene-0.0-mRNA-1	0.273550511857613	52.3198	0.595
snap_masked-loc-_s516-processed-gene-0.16-mRNA-1	0.236198422850937	55.4615	0.552
augustus_masked-loc-_s467-processed-gene-0.2-mRNA-1	0.257531498806597	52.1071	0.424
maker-loc-_s445-snap-gene-0.27-mRNA-1	0.272916829387022	49.9374	0.576
snap_masked-loc-_s342-processed-gene-0.74-mRNA-1	0.261124888111305	54.8189	0.602
genemark-loc-_s103-processed-gene-3.114-mRNA-1	0.234245599206111	58.1789	0.498
snap_masked-loc-_s49-processed-gene-0.71-mRNA-1	0.269273040596508	52.3511	0.476
snap_masked-loc-_s212-processed-gene-0.1-mRNA-1	0.217062319843471	55.6329	0.517
snap_masked-loc-_s686-processed-gene-0.7-mRNA-1	0.230035969180276	51.7596	0.576
snap_masked-loc-_s682-processed-gene-1.27-mRNA-1	0.216419134162659	58.5603	0.453
snap_masked-loc-_s70-processed-gene-0.3-mRNA-1	0.256821809478856	53.9269	0.429
snap_masked-loc-_s682-processed-gene-0.47-mRNA-1	0.261922458959122	52.0385	0.611
snap_masked-loc-_s143-processed-gene-0.23-mRNA-1	0.238012006701976	55.5525	0.429
snap_masked-loc-_s708-processed-gene-0.1-mRNA-1	0.241084105741193	55.5204	0.606
augustus_masked-loc-_s83-processed-gene-0.28-mRNA-1	0.314593021870383	47.5600	0.528
snap_masked-loc-_s594-processed-gene-0.1-mRNA-1	0.229639175243852	56.8953	0.437
snap_masked-loc-_s660-processed-gene-0.13-mRNA-1	0.332700615981128	44.6672	0.618
augustus_masked-loc-_s257-processed-gene-0.7-mRNA-1	0.267084931220802	52.5459	0.564
snap_masked-loc-_s478-processed-gene-0.34-mRNA-1	0.274208537381522	53.3081	0.591
genemark-loc-_s420-processed-gene-0.9-mRNA-1	0.222754273986064	56.3497	0.559
maker-loc-_s33-augustus-gene-0.95-mRNA-1	0.223921605482219	57.2125	0.576
snap_masked-loc-_s377-processed-gene-0.34-mRNA-1	0.213018317946927	55.2409	0.517
genemark-loc-_s477-processed-gene-0.24-mRNA-1	0.239225463183961	56.0158	0.555
snap_masked-loc-_s388-processed-gene-0.98-mRNA-1	0.237950170988864	56.2785	0.478
snap_masked-loc-_s59-processed-gene-0.47-mRNA-1	0.268756291981268	51.7520	0.435
snap_masked-loc-_s97-processed-gene-0.128-mRNA-1	0.248536893842944	54.6580	0.573
