gene_id	tAI	nc	gc3
augustus_masked-gi|1002316079|dbj|BCGM01000003.1|-processed-gene-7.104-mRNA-1	0.23477129850123	56.0269	0.462
augustus_masked-gi|1002316079|dbj|BCGM01000003.1|-processed-gene-12.73-mRNA-1	0.361540136637449	50.3896	0.661
augustus_masked-gi|1002316079|dbj|BCGM01000003.1|-processed-gene-13.34-mRNA-1	0.298063098930187	54.4505	0.648
augustus_masked-gi|1002316080|dbj|BCGM01000002.1|-processed-gene-19.128-mRNA-1	0.256420867684643	57.5831	0.460
augustus_masked-gi|1002316080|dbj|BCGM01000002.1|-processed-gene-18.38-mRNA-1	0.259390316213593	56.6493	0.476
snap_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-8.47-mRNA-1	0.265280697405577	54.3804	0.483
augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-16.102-mRNA-1	0.26509321036778	57.8790	0.459
snap_masked-gi|1002316079|dbj|BCGM01000003.1|-processed-gene-2.36-mRNA-1	0.248314999047573	59.1687	0.456
augustus_masked-gi|1002316079|dbj|BCGM01000003.1|-processed-gene-3.93-mRNA-1	0.335313810168273	46.0891	0.625
maker-gi|1002316080|dbj|BCGM01000002.1|-augustus-gene-9.171-mRNA-1	0.301749350435292	53.5252	0.596
augustus_masked-gi|1002316079|dbj|BCGM01000003.1|-processed-gene-3.67-mRNA-1	0.245355366901954	58.9849	0.489
augustus_masked-gi|1002316080|dbj|BCGM01000002.1|-processed-gene-6.25-mRNA-1	0.232476157582846	58.8465	0.400
augustus_masked-gi|1002316079|dbj|BCGM01000003.1|-processed-gene-0.29-mRNA-1	0.230587185238369	57.5304	0.406
augustus_masked-gi|1002316079|dbj|BCGM01000003.1|-processed-gene-18.20-mRNA-1	0.252204146193306	57.3267	0.420
augustus_masked-gi|1002316079|dbj|BCGM01000003.1|-processed-gene-5.83-mRNA-1	0.281880818156406	55.6927	0.503
augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-22.30-mRNA-1	0.250030864121922	60.0250	0.456
snap_masked-gi|1002316080|dbj|BCGM01000002.1|-processed-gene-14.101-mRNA-1	0.250052039198303	58.6356	0.466
maker-gi|1002316081|dbj|BCGM01000001.1|-snap-gene-33.102-mRNA-1	0.248664219214438	58.9859	0.451
augustus_masked-gi|1002316079|dbj|BCGM01000003.1|-processed-gene-14.46-mRNA-1	0.357924083855912	46.8358	0.718
augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-19.92-mRNA-1	0.248947497871733	56.2297	0.447
maker-gi|1002316079|dbj|BCGM01000003.1|-augustus-gene-15.117-mRNA-1	0.270836640619624	58.3916	0.498
augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-35.80-mRNA-1	0.241576461664301	57.1336	0.532
augustus_masked-gi|1002316079|dbj|BCGM01000003.1|-processed-gene-16.23-mRNA-1	0.318418670534098	49.0224	0.585
augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-20.10-mRNA-1	0.238810561542978	58.0887	0.430
snap_masked-gi|1002316079|dbj|BCGM01000003.1|-processed-gene-7.22-mRNA-1	0.243183115826584	58.0940	0.463
augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-21.127-mRNA-1	0.267155296238906	56.5050	0.471
augustus_masked-gi|1002316080|dbj|BCGM01000002.1|-processed-gene-16.9-mRNA-1	0.270064439947425	55.2728	0.590
snap_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-34.35-mRNA-1	0.236449915534562	56.1461	0.483
augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-35.55-mRNA-1	0.259038657329284	59.2867	0.505
augustus_masked-gi|1002316080|dbj|BCGM01000002.1|-processed-gene-16.40-mRNA-1	0.272653476398564	57.4408	0.471
augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-5.10-mRNA-1	0.284213674174728	52.1474	0.494
augustus_masked-gi|1002316080|dbj|BCGM01000002.1|-processed-gene-1.26-mRNA-1	0.224334735754577	57.9698	0.488
augustus_masked-gi|1002316079|dbj|BCGM01000003.1|-processed-gene-3.59-mRNA-1	0.25741378214822	57.3278	0.429
augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-16.93-mRNA-1	0.275707717724962	57.7938	0.472
augustus_masked-gi|1002316080|dbj|BCGM01000002.1|-processed-gene-4.45-mRNA-1	0.236583308791769	57.8004	0.424
augustus_masked-gi|1002316078|dbj|BCGM01000004.1|-processed-gene-3.162-mRNA-1	0.244046625729299	58.1953	0.511
augustus_masked-gi|1002316079|dbj|BCGM01000003.1|-processed-gene-14.4-mRNA-1	0.27732160399923	58.7629	0.472
augustus_masked-gi|1002316080|dbj|BCGM01000002.1|-processed-gene-15.39-mRNA-1	0.254956741697035	59.4744	0.473
augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-6.30-mRNA-1	0.245260346583995	59.2160	0.473
augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-5.43-mRNA-1	0.385951037260071	48.5360	0.653
augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-12.18-mRNA-1	0.257949297014227	58.7358	0.457
augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-3.67-mRNA-1	0.260348206442108	57.9511	0.425
augustus_masked-gi|1002316080|dbj|BCGM01000002.1|-processed-gene-19.160-mRNA-1	0.244687702399125	58.3719	0.449
augustus_masked-gi|1002316079|dbj|BCGM01000003.1|-processed-gene-19.81-mRNA-1	0.255290946456358	58.2741	0.463
augustus_masked-gi|1002316080|dbj|BCGM01000002.1|-processed-gene-5.137-mRNA-1	0.254469391361944	58.3783	0.468
augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-2.124-mRNA-1	0.257661706519599	58.6763	0.477
augustus_masked-gi|1002316079|dbj|BCGM01000003.1|-processed-gene-16.31-mRNA-1	0.268465572531801	58.5878	0.443
