Please cite: 
Sun, X. Y., Yang, Q. Xia, X. 2012. An Improved Implementation of Effective Number of Codons (Nc). Molecular Biology and Evolution 30:191-196.Please note: short sequences may have few 2-fold and 4-fold codon families with useful data and 
may have no codon belonging to 3-fold codon families. Nc from such sequences may not be reliable.

Chosen options:
F as sum of p^2: Yes
Weighted F: Yes
Minimum number of codons for i-fold codon family: i+1.
Pseudocount added to codon counts: 1.00


SeqName                                                                                SeqLen       N2*      N3*      N4*       Nc     ExpNc
--------------------------------------------------------------------------------------------------------------------------------------------
augustus_masked-NODE_10_length_454652_cov_34.2411_ID_19-processed-gene-0.123-mRNA-1      3477       12        1        8   49.8850   55.3889
augustus_masked-NODE_10_length_454652_cov_34.2411_ID_19-processed-gene-0.124-mRNA-1      1872       12        1        8   52.9238   58.7438
augustus_masked-NODE_10_length_454652_cov_34.2411_ID_19-processed-gene-0.99-mRNA-1       1497       11        1        8   51.1246   55.8632
augustus_masked-NODE_10_length_454652_cov_34.2411_ID_19-processed-gene-0.100-mRNA-1       492        7        1        7   46.5683   45.6826
augustus_masked-NODE_10_length_454652_cov_34.2411_ID_19-processed-gene-0.101-mRNA-1       825       11        1        8   49.8592   53.7370
augustus_masked-NODE_10_length_454652_cov_34.2411_ID_19-processed-gene-0.126-mRNA-1       492       11        1        8   50.8769   57.5857
genemark-NODE_10_length_454652_cov_34.2411_ID_19-processed-gene-0.57-mRNA-1              1569       12        1        8   50.3572   54.9803
augustus_masked-NODE_10_length_454652_cov_34.2411_ID_19-processed-gene-0.127-mRNA-1       426       10        1        7   49.5819   53.6470
augustus_masked-NODE_10_length_454652_cov_34.2411_ID_19-processed-gene-0.103-mRNA-1      2238       12        1        8   44.5615   51.3998
augustus_masked-NODE_10_length_454652_cov_34.2411_ID_19-processed-gene-0.128-mRNA-1       522       12        1        8   54.5489   60.4627
snap_masked-NODE_10_length_454652_cov_34.2411_ID_19-processed-gene-0.6-mRNA-1            1422       12        1        8   52.2075   57.1529
augustus_masked-NODE_10_length_454652_cov_34.2411_ID_19-processed-gene-0.105-mRNA-1       444       10        1        7   39.6017   50.9777
snap_masked-NODE_10_length_454652_cov_34.2411_ID_19-processed-gene-0.8-mRNA-1             657       12        1        8   51.2871   55.6440
augustus_masked-NODE_10_length_454652_cov_34.2411_ID_19-processed-gene-0.129-mRNA-1      1332       12        1        8   51.6926   56.9911
augustus_masked-NODE_10_length_454652_cov_34.2411_ID_19-processed-gene-0.107-mRNA-1      1686       12        1        8   48.9637   56.6726
augustus_masked-NODE_10_length_454652_cov_34.2411_ID_19-processed-gene-0.108-mRNA-1      2328       12        1        8   49.5821   56.7019
augustus_masked-NODE_10_length_454652_cov_34.2411_ID_19-processed-gene-0.130-mRNA-1      2307       12        1        8   51.7092   55.6248
augustus_masked-NODE_10_length_454652_cov_34.2411_ID_19-processed-gene-0.131-mRNA-1      2832       12        1        8   51.6406   54.4422
augustus_masked-NODE_10_length_454652_cov_34.2411_ID_19-processed-gene-0.109-mRNA-1      1209       12        1        8   55.7218   59.6992
augustus_masked-NODE_10_length_454652_cov_34.2411_ID_19-processed-gene-0.110-mRNA-1      1767       12        1        8   47.1718   51.2398
augustus_masked-NODE_10_length_454652_cov_34.2411_ID_19-processed-gene-0.111-mRNA-1      1254       12        1        8   46.9611   50.4626
augustus_masked-NODE_10_length_454652_cov_34.2411_ID_19-processed-gene-0.132-mRNA-1      1152       12        1        8   46.6236   52.8131
augustus_masked-NODE_10_length_454652_cov_34.2411_ID_19-processed-gene-0.112-mRNA-1      3366       12        1        8   46.1170   50.4638
augustus_masked-NODE_10_length_454652_cov_34.2411_ID_19-processed-gene-0.133-mRNA-1       816       12        1        8   52.8609   55.2765
augustus_masked-NODE_10_length_454652_cov_34.2411_ID_19-processed-gene-0.113-mRNA-1       630       11        1        8   46.4351   51.0668
augustus_masked-NODE_10_length_454652_cov_34.2411_ID_19-processed-gene-0.134-mRNA-1      1044       12        1        8   52.0331   53.0997
snap_masked-NODE_10_length_454652_cov_34.2411_ID_19-processed-gene-0.33-mRNA-1           1284       12        1        8   53.4996   58.4865
genemark-NODE_10_length_454652_cov_34.2411_ID_19-processed-gene-0.92-mRNA-1              2376       12        1        8   51.6092   56.4418
genemark-NODE_10_length_454652_cov_34.2411_ID_19-processed-gene-0.70-mRNA-1              5832       12        1        8   48.1782   55.2605
augustus_masked-NODE_10_length_454652_cov_34.2411_ID_19-processed-gene-0.115-mRNA-1      1020       12        1        8   53.5839   58.4664
augustus_masked-NODE_10_length_454652_cov_34.2411_ID_19-processed-gene-0.116-mRNA-1      1437       12        1        7   51.3402   54.6964
augustus_masked-NODE_10_length_454652_cov_34.2411_ID_19-processed-gene-0.137-mRNA-1      1065       12        1        8   50.3108   54.0667
