Please cite: 
Sun, X. Y., Yang, Q. Xia, X. 2012. An Improved Implementation of Effective Number of Codons (Nc). Molecular Biology and Evolution 30:191-196.Please note: short sequences may have few 2-fold and 4-fold codon families with useful data and 
may have no codon belonging to 3-fold codon families. Nc from such sequences may not be reliable.

Chosen options:
F as sum of p^2: Yes
Weighted F: Yes
Minimum number of codons for i-fold codon family: i+1.
Pseudocount added to codon counts: 1.00


SeqName                                                                                   SeqLen       N2*      N3*      N4*       Nc     ExpNc
-----------------------------------------------------------------------------------------------------------------------------------------------
augustus_masked-NODE_10_length_351050_cov_44.863_ID_3249-processed-gene-0.106-mRNA-1         678       11        3        7   53.3345   56.4611
snap_masked-NODE_10_length_351050_cov_44.863_ID_3249-processed-gene-0.21-mRNA-1              492       10        3        7   48.3044   46.7012
snap_masked-NODE_10_length_351050_cov_44.863_ID_3249-processed-gene-0.0-mRNA-1              1695       11        3        7   43.4641   45.6346
snap_masked-NODE_10_length_351050_cov_44.863_ID_3249-processed-gene-0.22-mRNA-1              999       11        3        7   51.6277   53.5645
snap_masked-NODE_10_length_351050_cov_44.863_ID_3249-processed-gene-0.1-mRNA-1              1068       11        3        7   39.3842   42.8428
snap_masked-NODE_10_length_351050_cov_44.863_ID_3249-processed-gene-0.23-mRNA-1              882       10        3        7   46.3029   43.4644
snap_masked-NODE_10_length_351050_cov_44.863_ID_3249-processed-gene-0.24-mRNA-1             1155       11        3        7   46.7086   46.1354
augustus_masked-NODE_10_length_351050_cov_44.863_ID_3249-processed-gene-0.111-mRNA-1        1254       11        3        7   47.9344   48.8252
snap_masked-NODE_10_length_351050_cov_44.863_ID_3249-processed-gene-0.2-mRNA-1               324       11        3        6   46.8202   42.3410
maker-NODE_10_length_351050_cov_44.863_ID_3249-snap-gene-0.127-mRNA-1                       5256       11        3        7   43.2309   47.5684
genemark-NODE_10_length_351050_cov_44.863_ID_3249-processed-gene-0.44-mRNA-1                 336        9        2        7   44.3114   38.0845
genemark-NODE_10_length_351050_cov_44.863_ID_3249-processed-gene-0.65-mRNA-1                1842       11        3        7   45.5794   47.9337
snap_masked-NODE_10_length_351050_cov_44.863_ID_3249-processed-gene-0.27-mRNA-1             2064       11        3        7   52.0065   56.3413
augustus_masked-NODE_10_length_351050_cov_44.863_ID_3249-processed-gene-0.89-mRNA-1         1941       11        3        7   51.1897   52.4418
snap_masked-NODE_10_length_351050_cov_44.863_ID_3249-processed-gene-0.28-mRNA-1              336       10        3        6   46.3932   42.7534
maker-NODE_10_length_351050_cov_44.863_ID_3249-augustus-gene-0.83-mRNA-1                    2907       11        3        7   51.1320   53.6847
snap_masked-NODE_10_length_351050_cov_44.863_ID_3249-processed-gene-0.5-mRNA-1              1524       11        3        7   43.0020   46.1188
maker-NODE_10_length_351050_cov_44.863_ID_3249-snap-gene-0.130-mRNA-1                       4614       11        3        7   43.8379   52.7908
snap_masked-NODE_10_length_351050_cov_44.863_ID_3249-processed-gene-0.6-mRNA-1               729       11        3        7   49.6393   49.3200
snap_masked-NODE_10_length_351050_cov_44.863_ID_3249-processed-gene-0.34-mRNA-1             2982       11        3        7   46.0625   48.4128
snap_masked-NODE_10_length_351050_cov_44.863_ID_3249-processed-gene-0.35-mRNA-1             2271       11        3        7   42.0626   45.3985
snap_masked-NODE_10_length_351050_cov_44.863_ID_3249-processed-gene-0.36-mRNA-1             1047       11        3        7   49.2866   51.8480
snap_masked-NODE_10_length_351050_cov_44.863_ID_3249-processed-gene-0.7-mRNA-1              1008       11        3        7   42.0254   43.6466
snap_masked-NODE_10_length_351050_cov_44.863_ID_3249-processed-gene-0.8-mRNA-1              2631       11        3        7   41.2325   46.3739
snap_masked-NODE_10_length_351050_cov_44.863_ID_3249-processed-gene-0.9-mRNA-1               747       11        3        7   40.8804   46.3556
snap_masked-NODE_10_length_351050_cov_44.863_ID_3249-processed-gene-0.10-mRNA-1             2802       11        3        7   39.9548   46.5538
snap_masked-NODE_10_length_351050_cov_44.863_ID_3249-processed-gene-0.38-mRNA-1             1209       11        3        7   49.0598   51.3375
