gene_id	tAI	nc	gc3
augustus_masked-NODE_11_length_419317_cov_17.5396_ID_21-processed-gene-0.80-mRNA-1	0.413327631844382	51.7649	0.562
snap_masked-NODE_5_length_458826_cov_17.8614_ID_9-processed-gene-3.255-mRNA-1	0.331006485921843	53.8427	0.447
augustus_masked-NODE_11_length_419317_cov_17.5396_ID_21-processed-gene-0.94-mRNA-1	0.362527895624985	53.0350	0.637
augustus_masked-NODE_3_length_503722_cov_17.4391_ID_5-processed-gene-3.6-mRNA-1	0.441807649527548	47.7181	0.710
augustus_masked-NODE_15_length_340529_cov_18.2287_ID_29-processed-gene-2.154-mRNA-1	0.361428125343721	50.5702	0.678
augustus_masked-NODE_13_length_410127_cov_17.1021_ID_25-processed-gene-1.58-mRNA-1	0.369889086717982	50.1900	0.698
genemark-NODE_21_length_155906_cov_19.8008_ID_41-processed-gene-0.98-mRNA-1	0.380663435283013	50.9203	0.716
augustus_masked-NODE_1_length_742767_cov_17.4374_ID_1-processed-gene-0.92-mRNA-1	0.353698758301475	53.8581	0.639
augustus_masked-NODE_23_length_132344_cov_20.3063_ID_45-processed-gene-0.88-mRNA-1	0.47846672952962	41.7204	0.623
snap_masked-NODE_7_length_451488_cov_17.0458_ID_13-processed-gene-2.141-mRNA-1	0.473955300964931	46.9194	0.663
augustus_masked-NODE_11_length_419317_cov_17.5396_ID_21-processed-gene-2.144-mRNA-1	0.341845583624823	53.4542	0.614
augustus_masked-NODE_6_length_458281_cov_18.4326_ID_11-processed-gene-3.191-mRNA-1	0.383773645711317	52.8106	0.576
augustus_masked-NODE_18_length_215409_cov_16.9909_ID_35-processed-gene-0.78-mRNA-1	0.396299373508513	50.9914	0.629
augustus_masked-NODE_5_length_458826_cov_17.8614_ID_9-processed-gene-3.32-mRNA-1	0.411075271509806	47.3829	0.698
augustus_masked-NODE_9_length_434364_cov_19.1112_ID_17-processed-gene-3.132-mRNA-1	0.399905043520405	44.2660	0.773
augustus_masked-NODE_26_length_113800_cov_16.7253_ID_51-processed-gene-0.131-mRNA-1	0.383716118846953	48.5000	0.746
augustus_masked-NODE_10_length_432626_cov_17.7422_ID_19-processed-gene-3.136-mRNA-1	0.366372897178884	52.3464	0.663
augustus_masked-NODE_7_length_451488_cov_17.0458_ID_13-processed-gene-3.264-mRNA-1	0.375927444598739	54.8196	0.635
maker-NODE_1_length_742767_cov_17.4374_ID_1-augustus-gene-3.55-mRNA-1	0.373500018509346	49.8195	0.700
augustus_masked-NODE_30_length_93458_cov_17.9826_ID_59-processed-gene-0.83-mRNA-1	0.412356352603616	44.2952	0.615
augustus_masked-NODE_29_length_94832_cov_17.4062_ID_57-processed-gene-0.105-mRNA-1	0.380067627761429	54.4153	0.664
augustus_masked-NODE_17_length_317659_cov_18.2064_ID_33-processed-gene-2.24-mRNA-1	0.355772254594914	56.7030	0.586
augustus_masked-NODE_13_length_410127_cov_17.1021_ID_25-processed-gene-2.54-mRNA-1	0.400228319813157	48.2655	0.709
snap_masked-NODE_11_length_419317_cov_17.5396_ID_21-processed-gene-2.55-mRNA-1	0.346309602074758	55.3888	0.573
augustus_masked-NODE_4_length_469448_cov_18.9383_ID_7-processed-gene-0.111-mRNA-1	0.415703256111758	51.1465	0.689
augustus_masked-NODE_4_length_469448_cov_18.9383_ID_7-processed-gene-3.60-mRNA-1	0.352759011024724	53.0749	0.675
augustus_masked-NODE_10_length_432626_cov_17.7422_ID_19-processed-gene-2.35-mRNA-1	0.368817389774665	55.3182	0.524
augustus_masked-NODE_6_length_458281_cov_18.4326_ID_11-processed-gene-1.159-mRNA-1	0.364085583087805	52.9865	0.625
augustus_masked-NODE_6_length_458281_cov_18.4326_ID_11-processed-gene-3.168-mRNA-1	0.377402892859939	55.0811	0.586
augustus_masked-NODE_9_length_434364_cov_19.1112_ID_17-processed-gene-0.42-mRNA-1	0.494242607071598	37.5862	0.674
augustus_masked-NODE_6_length_458281_cov_18.4326_ID_11-processed-gene-1.151-mRNA-1	0.39358568961798	52.4601	0.688
maker-NODE_7_length_451488_cov_17.0458_ID_13-augustus-gene-1.166-mRNA-1	0.364446887346846	53.4085	0.602
augustus_masked-NODE_10_length_432626_cov_17.7422_ID_19-processed-gene-0.34-mRNA-1	0.323116742899098	55.1197	0.459
maker-NODE_33_length_70690_cov_15.4792_ID_65-augustus-gene-0.77-mRNA-1	0.395256061290492	45.2659	0.755
augustus_masked-NODE_1_length_742767_cov_17.4374_ID_1-processed-gene-4.52-mRNA-1	0.466693705684905	42.6752	0.751
augustus_masked-NODE_12_length_417011_cov_18.1067_ID_23-processed-gene-2.74-mRNA-1	0.414297908822067	49.7622	0.720
snap_masked-NODE_9_length_434364_cov_19.1112_ID_17-processed-gene-3.197-mRNA-1	0.341124587059435	51.0462	0.712
augustus_masked-NODE_30_length_93458_cov_17.9826_ID_59-processed-gene-0.72-mRNA-1	0.340861749854767	54.8851	0.573
augustus_masked-NODE_11_length_419317_cov_17.5396_ID_21-processed-gene-1.144-mRNA-1	0.35748783719867	54.3437	0.585
augustus_masked-NODE_21_length_155906_cov_19.8008_ID_41-processed-gene-0.43-mRNA-1	0.358912536435924	54.9252	0.563
augustus_masked-NODE_1_length_742767_cov_17.4374_ID_1-processed-gene-4.57-mRNA-1	0.399835754094086	53.4120	0.593
augustus_masked-NODE_20_length_197731_cov_17.8952_ID_39-processed-gene-0.172-mRNA-1	0.380783684885023	52.7869	0.662
snap_masked-NODE_10_length_432626_cov_17.7422_ID_19-processed-gene-3.75-mRNA-1	0.383116707794501	51.2102	0.729
augustus_masked-NODE_20_length_197731_cov_17.8952_ID_39-processed-gene-0.122-mRNA-1	0.382608275422038	52.1359	0.648
maker-NODE_5_length_458826_cov_17.8614_ID_9-augustus-gene-3.182-mRNA-1	0.398228924273766	49.4272	0.632
augustus_masked-NODE_33_length_70690_cov_15.4792_ID_65-processed-gene-0.56-mRNA-1	0.383677180179403	50.9212	0.716
augustus_masked-NODE_6_length_458281_cov_18.4326_ID_11-processed-gene-0.73-mRNA-1	0.36998067159448	52.6515	0.640
augustus_masked-NODE_23_length_132344_cov_20.3063_ID_45-processed-gene-0.114-mRNA-1	0.355122691319319	49.4808	0.664
augustus_masked-NODE_5_length_458826_cov_17.8614_ID_9-processed-gene-3.33-mRNA-1	0.363069560460478	52.3389	0.687
snap_masked-NODE_35_length_61953_cov_19.3232_ID_69-processed-gene-0.88-mRNA-1	0.371810430951289	49.8958	0.699
augustus_masked-NODE_8_length_441118_cov_18.4878_ID_15-processed-gene-2.82-mRNA-1	0.385284175701823	49.8448	0.649
augustus_masked-NODE_21_length_155906_cov_19.8008_ID_41-processed-gene-0.32-mRNA-1	0.44585966981675	45.8030	0.672
augustus_masked-NODE_3_length_503722_cov_17.4391_ID_5-processed-gene-0.81-mRNA-1	0.350315342931472	52.5426	0.661
augustus_masked-NODE_32_length_71934_cov_18.9724_ID_63-processed-gene-0.105-mRNA-1	0.359829619392371	52.3621	0.642
augustus_masked-NODE_20_length_197731_cov_17.8952_ID_39-processed-gene-0.147-mRNA-1	0.381252673961532	49.5518	0.673
augustus_masked-NODE_22_length_142415_cov_17.9713_ID_43-processed-gene-0.166-mRNA-1	0.376424949793691	47.1139	0.535
augustus_masked-NODE_4_length_469448_cov_18.9383_ID_7-processed-gene-0.136-mRNA-1	0.377658381359319	49.2800	0.715
augustus_masked-NODE_18_length_215409_cov_16.9909_ID_35-processed-gene-0.91-mRNA-1	0.413963695761566	46.1513	0.766
augustus_masked-NODE_12_length_417011_cov_18.1067_ID_23-processed-gene-0.94-mRNA-1	0.451462680441707	49.7279	0.612
