gene_id	tAI	nc	gc3
augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-11.33-mRNA-1	0.453625169952789	54.6913	0.483
augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-3.95-mRNA-1	0.464058840731378	49.7511	0.226
augustus_masked-gi|1002316251|dbj|BCGA01000006.1|-processed-gene-4.37-mRNA-1	0.57363710135558	45.0590	0.371
maker-gi|1002316256|dbj|BCGA01000001.1|-snap-gene-1.92-mRNA-1	0.439082763186452	51.2963	0.350
augustus_masked-gi|1002316251|dbj|BCGA01000006.1|-processed-gene-7.108-mRNA-1	0.516285581916608	43.4037	0.297
augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-7.195-mRNA-1	0.500939616136868	53.3189	0.448
augustus_masked-gi|1002316246|dbj|BCGA01000011.1|-processed-gene-3.127-mRNA-1	0.546790901167372	45.3326	0.434
augustus_masked-gi|1002316255|dbj|BCGA01000002.1|-processed-gene-4.21-mRNA-1	0.482347267372016	44.0409	0.172
augustus_masked-gi|1002316245|dbj|BCGA01000012.1|-processed-gene-1.122-mRNA-1	0.478057925367289	51.4382	0.337
augustus_masked-gi|1002316255|dbj|BCGA01000002.1|-processed-gene-13.32-mRNA-1	0.595523969186943	38.9099	0.391
augustus_masked-gi|1002316253|dbj|BCGA01000004.1|-processed-gene-6.34-mRNA-1	0.497704386906321	50.3209	0.335
snap_masked-gi|1002316248|dbj|BCGA01000009.1|-processed-gene-3.61-mRNA-1	0.51623541669014	41.9404	0.107
augustus_masked-gi|1002316248|dbj|BCGA01000009.1|-processed-gene-5.55-mRNA-1	0.425568886087308	50.6287	0.278
augustus_masked-gi|1002316253|dbj|BCGA01000004.1|-processed-gene-12.235-mRNA-1	0.460047946165779	54.3252	0.389
augustus_masked-gi|1002316248|dbj|BCGA01000009.1|-processed-gene-2.13-mRNA-1	0.454519968981134	52.8128	0.298
snap_masked-gi|1002316254|dbj|BCGA01000003.1|-processed-gene-5.44-mRNA-1	0.421632754777268	56.3872	0.351
snap_masked-gi|1002316254|dbj|BCGA01000003.1|-processed-gene-13.101-mRNA-1	0.434869879832515	56.4593	0.369
augustus_masked-gi|1002316249|dbj|BCGA01000008.1|-processed-gene-5.22-mRNA-1	0.443169030397326	50.6611	0.267
augustus_masked-gi|1002316254|dbj|BCGA01000003.1|-processed-gene-5.134-mRNA-1	0.503135019980106	46.7030	0.202
augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-9.20-mRNA-1	0.446820439208838	54.0907	0.363
augustus_masked-gi|1002316247|dbj|BCGA01000010.1|-processed-gene-3.180-mRNA-1	0.545669067266566	47.6573	0.301
genemark-gi|1002316254|dbj|BCGA01000003.1|-processed-gene-5.88-mRNA-1	0.477413536827209	51.3917	0.363
augustus_masked-gi|1002316255|dbj|BCGA01000002.1|-processed-gene-11.37-mRNA-1	0.606202974613682	40.4856	0.349
augustus_masked-gi|1002316252|dbj|BCGA01000005.1|-processed-gene-6.88-mRNA-1	0.444289184386124	52.6145	0.383
augustus_masked-gi|1002316249|dbj|BCGA01000008.1|-processed-gene-6.175-mRNA-1	0.48146539665438	51.9286	0.406
augustus_masked-gi|1002316244|dbj|BCGA01000013.1|-processed-gene-2.12-mRNA-1	0.523548163627273	46.5452	0.311
augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-5.90-mRNA-1	0.479171952484245	51.3900	0.349
augustus_masked-gi|1002316255|dbj|BCGA01000002.1|-processed-gene-13.42-mRNA-1	0.500589775887797	48.9936	0.305
augustus_masked-gi|1002316253|dbj|BCGA01000004.1|-processed-gene-8.92-mRNA-1	0.459272364961733	46.9237	0.239
augustus_masked-gi|1002316253|dbj|BCGA01000004.1|-processed-gene-1.1-mRNA-1	0.588054107501308	42.7061	0.400
augustus_masked-gi|1002316245|dbj|BCGA01000012.1|-processed-gene-1.108-mRNA-1	0.511106723616621	47.0841	0.268
augustus_masked-gi|1002316255|dbj|BCGA01000002.1|-processed-gene-0.72-mRNA-1	0.517633983668506	44.5350	0.339
augustus_masked-gi|1002316255|dbj|BCGA01000002.1|-processed-gene-8.88-mRNA-1	0.51796009685826	46.5508	0.404
augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-11.31-mRNA-1	0.467175001009657	49.7551	0.359
