Please cite: 
Sun, X. Y., Yang, Q. Xia, X. 2012. An Improved Implementation of Effective Number of Codons (Nc). Molecular Biology and Evolution 30:191-196.Please note: short sequences may have few 2-fold and 4-fold codon families with useful data and 
may have no codon belonging to 3-fold codon families. Nc from such sequences may not be reliable.

Chosen options:
F as sum of p^2: Yes
Weighted F: Yes
Minimum number of codons for i-fold codon family: i+1.
Pseudocount added to codon counts: 1.00


SeqName                                                                                   SeqLen       N2*      N3*      N4*       Nc     ExpNc
-----------------------------------------------------------------------------------------------------------------------------------------------
augustus_masked-NODE_10_length_526852_cov_45.8755_ID_2249-processed-gene-0.17-mRNA-1        1494       12        1        8   54.8767   58.2066
snap_masked-NODE_10_length_526852_cov_45.8755_ID_2249-processed-gene-0.107-mRNA-1            363       11        1        8   54.1959   61.1352
augustus_masked-NODE_10_length_526852_cov_45.8755_ID_2249-processed-gene-0.18-mRNA-1        1281       12        1        8   54.0539   57.9096
augustus_masked-NODE_10_length_526852_cov_45.8755_ID_2249-processed-gene-0.0-mRNA-1          936       12        1        8   55.4437   59.7717
augustus_masked-NODE_10_length_526852_cov_45.8755_ID_2249-processed-gene-0.1-mRNA-1         2268       12        1        8   57.5266   59.7778
maker-NODE_10_length_526852_cov_45.8755_ID_2249-snap-gene-0.79-mRNA-1                        405       12        1        8   53.4931   59.7300
augustus_masked-NODE_10_length_526852_cov_45.8755_ID_2249-processed-gene-0.2-mRNA-1         1935       12        1        8   56.7323   59.0341
maker-NODE_10_length_526852_cov_45.8755_ID_2249-augustus-gene-0.135-mRNA-1                  1428       12        1        8   56.2215   58.6929
augustus_masked-NODE_10_length_526852_cov_45.8755_ID_2249-processed-gene-0.3-mRNA-1         1422       12        1        8   57.2869   60.8871
augustus_masked-NODE_10_length_526852_cov_45.8755_ID_2249-processed-gene-0.4-mRNA-1          597       12        1        8   52.4795   57.1322
augustus_masked-NODE_10_length_526852_cov_45.8755_ID_2249-processed-gene-0.5-mRNA-1          414       12        1        8   54.0549   54.8485
genemark-NODE_10_length_526852_cov_45.8755_ID_2249-processed-gene-0.58-mRNA-1                306       12        1        8   55.8851   62.2377
augustus_masked-NODE_10_length_526852_cov_45.8755_ID_2249-processed-gene-0.6-mRNA-1         1491       12        1        8   56.8488   61.5930
maker-NODE_10_length_526852_cov_45.8755_ID_2249-augustus-gene-0.137-mRNA-1                   369       11        1        8   57.0610   62.4522
augustus_masked-NODE_10_length_526852_cov_45.8755_ID_2249-processed-gene-0.7-mRNA-1          693       12        1        8   53.7371   55.8653
maker-NODE_10_length_526852_cov_45.8755_ID_2249-snap-gene-0.75-mRNA-1                       1605       12        1        8   55.7191   59.9337
augustus_masked-NODE_10_length_526852_cov_45.8755_ID_2249-processed-gene-0.8-mRNA-1         1026       12        1        8   55.1461   59.0035
augustus_masked-NODE_10_length_526852_cov_45.8755_ID_2249-processed-gene-0.9-mRNA-1         2499       12        1        8   56.3574   60.9771
augustus_masked-NODE_10_length_526852_cov_45.8755_ID_2249-processed-gene-0.22-mRNA-1         789       12        1        8   56.5612   62.7461
augustus_masked-NODE_10_length_526852_cov_45.8755_ID_2249-processed-gene-0.10-mRNA-1        1335       12        1        8   56.2527   60.3572
maker-NODE_10_length_526852_cov_45.8755_ID_2249-augustus-gene-0.138-mRNA-1                  1806       12        1        8   55.6009   58.0985
genemark-NODE_10_length_526852_cov_45.8755_ID_2249-processed-gene-0.62-mRNA-1               2484       12        1        8   57.4019   58.7549
snap_masked-NODE_10_length_526852_cov_45.8755_ID_2249-processed-gene-0.118-mRNA-1           2163       12        1        8   54.3228   58.1055
maker-NODE_10_length_526852_cov_45.8755_ID_2249-augustus-gene-0.139-mRNA-1                  2181       12        1        8   54.5308   59.1564
maker-NODE_10_length_526852_cov_45.8755_ID_2249-snap-gene-0.76-mRNA-1                       1323       12        1        8   55.3717   60.4937
