gene_id	tAI	nc	gc3
augustus_masked-CU928167-processed-gene-3.34-mRNA-1	0.246343358453059	58.6044	0.532
genemark-CU928168-processed-gene-10.22-mRNA-1	0.227899165893994	51.8455	0.710
augustus_masked-CU928167-processed-gene-1.22-mRNA-1	0.225842489724794	58.7404	0.548
augustus_masked-CU928165-processed-gene-4.12-mRNA-1	0.241655501655383	56.2208	0.468
augustus_masked-CU928166-processed-gene-3.128-mRNA-1	0.185331850302439	57.4357	0.427
snap_masked-CU928167-processed-gene-5.24-mRNA-1	0.194927878986686	55.7405	0.486
augustus_masked-CU928170-processed-gene-15.184-mRNA-1	0.215660107214025	56.6898	0.502
augustus_masked-CU928167-processed-gene-7.102-mRNA-1	0.21847323431193	55.5155	0.560
augustus_masked-CU928169-processed-gene-10.122-mRNA-1	0.198168548251051	59.0699	0.433
augustus_masked-CU928165-processed-gene-5.130-mRNA-1	0.198945303190511	57.7906	0.456
augustus_masked-CU928180-processed-gene-7.76-mRNA-1	0.291984174589609	52.6843	0.677
augustus_masked-CU928170-processed-gene-1.6-mRNA-1	0.238828609098824	54.4390	0.613
maker-CU928180-snap-gene-2.60-mRNA-1	0.252263100028118	53.0112	0.671
augustus_masked-CU928169-processed-gene-6.116-mRNA-1	0.216300580026111	57.7854	0.446
augustus_masked-CU928170-processed-gene-11.106-mRNA-1	0.272384158951141	55.4941	0.610
augustus_masked-CU928170-processed-gene-10.124-mRNA-1	0.200969483099344	56.1428	0.402
snap_masked-CU928170-processed-gene-3.81-mRNA-1	0.246520218470187	54.7519	0.629
snap_masked-CU928180-processed-gene-13.128-mRNA-1	0.199441261046466	60.5312	0.449
maker-CU928180-augustus-gene-2.55-mRNA-1	0.213246708153378	55.6519	0.603
augustus_masked-CU928170-processed-gene-1.43-mRNA-1	0.209981637829877	58.1850	0.533
augustus_masked-CU928180-processed-gene-8.86-mRNA-1	0.275043399388161	52.4942	0.707
augustus_masked-CU928170-processed-gene-1.0-mRNA-1	0.252825125634989	56.4314	0.569
genemark-CU928166-processed-gene-6.51-mRNA-1	0.224523169194386	57.0492	0.556
augustus_masked-CU928170-processed-gene-7.155-mRNA-1	0.278746209952986	55.0948	0.524
augustus_masked-CU928169-processed-gene-6.98-mRNA-1	0.238140685968471	55.6661	0.580
genemark-CU928166-processed-gene-0.45-mRNA-1	0.188718716078622	55.7955	0.375
augustus_masked-CU928167-processed-gene-7.112-mRNA-1	0.236656804154613	55.1409	0.629
snap_masked-CU928169-processed-gene-10.58-mRNA-1	0.225727215745754	57.2285	0.591
augustus_masked-CU928166-processed-gene-2.115-mRNA-1	0.257102770688401	53.9232	0.625
augustus_masked-CU928171-processed-gene-0.55-mRNA-1	0.225018251069734	55.8417	0.455
maker-CU928170-snap-gene-15.73-mRNA-1	0.233358087786412	55.5626	0.488
maker-CU928169-augustus-gene-8.142-mRNA-1	0.179805564354587	57.9604	0.470
augustus_masked-CU928170-processed-gene-6.81-mRNA-1	0.220663922680625	56.3854	0.508
augustus_masked-CU928165-processed-gene-5.135-mRNA-1	0.283231721465462	52.3392	0.747
augustus_masked-CU928170-processed-gene-8.80-mRNA-1	0.192298437067413	57.3963	0.451
augustus_masked-CU928169-processed-gene-12.68-mRNA-1	0.212757019110233	55.6016	0.527
augustus_masked-CU928167-processed-gene-3.20-mRNA-1	0.212739557481126	55.9243	0.558
augustus_masked-CU928170-processed-gene-0.73-mRNA-1	0.216664238428044	56.0437	0.448
augustus_masked-CU928170-processed-gene-2.26-mRNA-1	0.189021773286296	56.3874	0.451
augustus_masked-CU928168-processed-gene-4.60-mRNA-1	0.253149148065648	55.5940	0.608
snap_masked-CU928169-processed-gene-6.12-mRNA-1	0.198308489042437	57.3000	0.481
augustus_masked-CU928171-processed-gene-11.30-mRNA-1	0.221654550774261	58.4305	0.452
augustus_masked-CU928171-processed-gene-3.149-mRNA-1	0.20605401592052	59.2446	0.492
augustus_masked-CU928169-processed-gene-12.82-mRNA-1	0.298113651238999	47.5618	0.744
genemark-CU928180-processed-gene-10.58-mRNA-1	0.222567781997708	57.7373	0.566
augustus_masked-CU928170-processed-gene-6.46-mRNA-1	0.205851479092147	57.8239	0.440
augustus_masked-CU928170-processed-gene-12.42-mRNA-1	0.189308390298138	57.6927	0.420
snap_masked-CU928169-processed-gene-6.39-mRNA-1	0.259035477518361	40.2521	0.892
augustus_masked-CU928170-processed-gene-6.89-mRNA-1	0.185918257837839	57.2716	0.441
snap_masked-CU928170-processed-gene-0.95-mRNA-1	0.249426014171991	51.6524	0.656
augustus_masked-CU928170-processed-gene-4.78-mRNA-1	0.281826739756915	53.8253	0.684
snap_masked-CU928168-processed-gene-9.48-mRNA-1	0.179797482290648	57.3199	0.388
genemark-CU928166-processed-gene-1.96-mRNA-1	0.307931578961687	45.1196	0.704
augustus_masked-CU928180-processed-gene-7.106-mRNA-1	0.215037028399365	57.7515	0.494
augustus_masked-CU928169-processed-gene-1.136-mRNA-1	0.254674117805919	51.3118	0.705
snap_masked-CU928169-processed-gene-13.121-mRNA-1	0.174898695175374	58.5898	0.401
augustus_masked-CU928169-processed-gene-8.32-mRNA-1	0.196946268011446	58.8591	0.511
augustus_masked-CU928167-processed-gene-5.55-mRNA-1	0.27576800258585	51.8778	0.597
augustus_masked-CU928171-processed-gene-7.105-mRNA-1	0.32957744136949	41.9362	0.808
augustus_masked-CU928170-processed-gene-3.66-mRNA-1	0.267212005795495	42.3523	0.842
snap_masked-CU928170-processed-gene-8.16-mRNA-1	0.225085650091745	60.5412	0.557
augustus_masked-CU928167-processed-gene-3.47-mRNA-1	0.24663377487265	56.3614	0.659
augustus_masked-CU928170-processed-gene-14.31-mRNA-1	0.258926328003654	53.8621	0.643
augustus_masked-CU928170-processed-gene-14.47-mRNA-1	0.217262612050698	57.6292	0.507
augustus_masked-CU928170-processed-gene-4.80-mRNA-1	0.251195910911129	49.2683	0.699
augustus_masked-CU928165-processed-gene-0.72-mRNA-1	0.270604151337436	52.4673	0.605
genemark-CU928166-processed-gene-6.6-mRNA-1	0.201643265860319	59.8276	0.466
augustus_masked-CU928167-processed-gene-2.120-mRNA-1	0.252386857787784	53.6889	0.692
augustus_masked-CU928167-processed-gene-5.74-mRNA-1	0.23215440296168	56.4928	0.542
genemark-CU928167-processed-gene-1.56-mRNA-1	0.25104514764398	53.3302	0.584
augustus_masked-CU928170-processed-gene-12.35-mRNA-1	0.263352431689635	55.8042	0.549
augustus_masked-CU928180-processed-gene-1.49-mRNA-1	0.220558586601204	56.9967	0.565
augustus_masked-CU928170-processed-gene-2.27-mRNA-1	0.174136223588458	57.0297	0.459
augustus_masked-CU928168-processed-gene-14.79-mRNA-1	0.339235737721452	38.4996	0.646
augustus_masked-CU928169-processed-gene-8.41-mRNA-1	0.279898281002785	50.8147	0.658
augustus_masked-CU928167-processed-gene-2.145-mRNA-1	0.204478068216731	58.4672	0.513
snap_masked-CU928167-processed-gene-8.76-mRNA-1	0.215547964960815	56.2833	0.559
augustus_masked-CU928166-processed-gene-6.58-mRNA-1	0.243538569021745	56.7284	0.518
maker-CU928171-augustus-gene-8.86-mRNA-1	0.223367218450835	59.1518	0.426
maker-CU928165-snap-gene-4.47-mRNA-1	0.310716249364081	45.0386	0.676
augustus_masked-CU928166-processed-gene-1.5-mRNA-1	0.195383076243283	60.5819	0.444
augustus_masked-CU928165-processed-gene-1.16-mRNA-1	0.244741711772064	55.2645	0.561
augustus_masked-CU928180-processed-gene-3.7-mRNA-1	0.273893909929688	55.4663	0.517
augustus_masked-CU928171-processed-gene-10.44-mRNA-1	0.213250677503956	55.3977	0.584
augustus_masked-CU928180-processed-gene-3.9-mRNA-1	0.209956361671414	57.7043	0.472
augustus_masked-CU928169-processed-gene-9.55-mRNA-1	0.207991207117402	58.2710	0.521
augustus_masked-CU928171-processed-gene-16.6-mRNA-1	0.263766916564893	53.6135	0.489
snap_masked-CU928166-processed-gene-3.14-mRNA-1	0.233366588341866	57.4195	0.480
augustus_masked-CU928166-processed-gene-4.103-mRNA-1	0.203515278934002	56.6921	0.511
augustus_masked-CU928170-processed-gene-1.17-mRNA-1	0.30447343832205	37.5641	0.741
snap_masked-CU928166-processed-gene-5.46-mRNA-1	0.221485836888313	58.1790	0.548
augustus_masked-CU928180-processed-gene-8.78-mRNA-1	0.203529031340305	59.3310	0.439
augustus_masked-CU928168-processed-gene-14.111-mRNA-1	0.199227765763018	57.8719	0.429
augustus_masked-CU928171-processed-gene-16.3-mRNA-1	0.254159135066983	56.3449	0.582
augustus_masked-CU928166-processed-gene-1.43-mRNA-1	0.224077793112489	54.0468	0.653
maker-CU928171-augustus-gene-12.64-mRNA-1	0.227599014521576	57.1947	0.462
genemark-CU928171-processed-gene-5.69-mRNA-1	0.211481743976653	56.4856	0.601
