Please cite: 
Sun, X. Y., Yang, Q. Xia, X. 2012. An Improved Implementation of Effective Number of Codons (Nc). Molecular Biology and Evolution 30:191-196.Please note: short sequences may have few 2-fold and 4-fold codon families with useful data and 
may have no codon belonging to 3-fold codon families. Nc from such sequences may not be reliable.

Chosen options:
F as sum of p^2: Yes
Weighted F: Yes
Minimum number of codons for i-fold codon family: i+1.
Pseudocount added to codon counts: 1.00


SeqName                                                  SeqLen       N2*      N3*      N4*       Nc     ExpNc
--------------------------------------------------------------------------------------------------------------
augustus_masked-NADE0S01-processed-gene-0.23-mRNA-1        1251       12        1        8   54.7470   55.2796
snap_masked-NADE0S01-processed-gene-0.93-mRNA-1            1170       12        1        8   54.7735   60.5824
snap_masked-NADE0S01-processed-gene-0.117-mRNA-1            969       12        1        8   54.5383   56.5272
snap_masked-NADE0S01-processed-gene-0.118-mRNA-1           1350       12        1        8   56.2817   60.0241
augustus_masked-NADE0S01-processed-gene-0.1-mRNA-1         1776       12        1        8   56.2489   58.8806
augustus_masked-NADE0S01-processed-gene-0.2-mRNA-1         2421       12        1        8   57.3542   59.4947
snap_masked-NADE0S01-processed-gene-0.97-mRNA-1            1893       12        1        8   54.2648   61.8403
maker-NADE0S01-snap-gene-0.91-mRNA-1                        696       10        1        8   43.3591   56.5265
snap_masked-NADE0S01-processed-gene-0.121-mRNA-1            351       10        1        8   56.0134   62.0870
snap_masked-NADE0S01-processed-gene-0.99-mRNA-1             324        9        1        7   41.9453   58.4742
augustus_masked-NADE0S01-processed-gene-0.29-mRNA-1         753       12        1        8   56.4646   59.5514
snap_masked-NADE0S01-processed-gene-0.123-mRNA-1            822       12        1        8   52.8720   58.2187
snap_masked-NADE0S01-processed-gene-0.100-mRNA-1           2523       11        1        8   34.8277   61.6210
snap_masked-NADE0S01-processed-gene-0.101-mRNA-1           1899       12        1        8   53.5905   57.2228
snap_masked-NADE0S01-processed-gene-0.102-mRNA-1           1299       12        1        8   51.0743   58.2626
augustus_masked-NADE0S01-processed-gene-0.9-mRNA-1          852       12        1        8   54.3056   58.9458
snap_masked-NADE0S01-processed-gene-0.124-mRNA-1           1353       12        1        8   50.5179   59.5217
augustus_masked-NADE0S01-processed-gene-0.10-mRNA-1         846       12        1        8   50.1879   53.8854
snap_masked-NADE0S01-processed-gene-0.125-mRNA-1            375       11        1        8   49.3111   46.6118
augustus_masked-NADE0S01-processed-gene-0.32-mRNA-1        3618       12        1        8   55.1427   58.5184
augustus_masked-NADE0S01-processed-gene-0.11-mRNA-1         465       12        1        8   52.9188   53.6126
augustus_masked-NADE0S01-processed-gene-0.12-mRNA-1         441       12        1        8   52.7997   61.5512
snap_masked-NADE0S01-processed-gene-0.127-mRNA-1            924       12        1        8   55.6615   60.1063
snap_masked-NADE0S01-processed-gene-0.128-mRNA-1            903       11        1        8   42.8713   54.0386
snap_masked-NADE0S01-processed-gene-0.105-mRNA-1           1023       12        1        8   56.9839   61.0843
augustus_masked-NADE0S01-processed-gene-0.35-mRNA-1         699       11        1        8   53.7769   57.8096
augustus_masked-NADE0S01-processed-gene-0.14-mRNA-1        2109       12        1        8   59.3878   62.2639
snap_masked-NADE0S01-processed-gene-0.130-mRNA-1            306       11        0        7   45.1355   55.0281
snap_masked-NADE0S01-processed-gene-0.107-mRNA-1           1548       12        1        8   56.4459   61.1599
snap_masked-NADE0S01-processed-gene-0.108-mRNA-1           1062       12        1        8   51.1861   53.1314
snap_masked-NADE0S01-processed-gene-0.131-mRNA-1           1575       12        1        8   42.4884   55.2995
augustus_masked-NADE0S01-processed-gene-0.38-mRNA-1        1080       12        1        8   40.3640   37.1753
augustus_masked-NADE0S01-processed-gene-0.17-mRNA-1        4557       12        1        8   54.5450   56.4297
genemark-NADE0S01-processed-gene-0.66-mRNA-1                378       12        1        8   51.6714   54.0800
maker-NADE0S01-augustus-gene-0.45-mRNA-1                   3141       12        1        8   58.0714   61.2654
snap_masked-NADE0S01-processed-gene-0.111-mRNA-1            336       12        1        8   51.8904   55.0598
snap_masked-NADE0S01-processed-gene-0.112-mRNA-1           3159       12        1        8   54.2796   59.0695
snap_masked-NADE0S01-processed-gene-0.113-mRNA-1           2640       12        1        8   50.0865   54.6921
snap_masked-NADE0S01-processed-gene-0.134-mRNA-1            783       12        1        8   54.8585   62.4742
snap_masked-NADE0S01-processed-gene-0.114-mRNA-1           1578       12        1        8   56.8426   59.0221
snap_masked-NADE0S01-processed-gene-0.135-mRNA-1           1110       12        1        8   55.3469   59.8433
snap_masked-NADE0S01-processed-gene-0.115-mRNA-1           4281       12        1        8   53.9085   56.4988
snap_masked-NADE0S01-processed-gene-1.49-mRNA-1            1653       12        1        8   55.7883   59.5684
snap_masked-NADE0S01-processed-gene-1.46-mRNA-1            1068       12        1        8   55.1538   60.4112
snap_masked-NADE0S01-processed-gene-1.50-mRNA-1             441       12        1        8   54.7741   58.3207
augustus_masked-NADE0S01-processed-gene-1.1-mRNA-1         5946       12        1        8   54.9117   56.8142
snap_masked-NADE0S01-processed-gene-1.51-mRNA-1            1221       12        1        8   54.6794   58.4809
augustus_masked-NADE0S01-processed-gene-1.5-mRNA-1         1890       12        1        8   55.6200   59.9176
augustus_masked-NADE0S01-processed-gene-1.6-mRNA-1         4569       12        1        8   54.2936   56.6827
snap_masked-NADE0S01-processed-gene-1.55-mRNA-1            1806       12        1        8   55.2770   59.7638
snap_masked-NADE0S01-processed-gene-1.56-mRNA-1            2049       12        1        8   51.0211   56.3980
augustus_masked-NADE0S01-processed-gene-1.9-mRNA-1         5955       12        1        8   53.1930   54.9416
augustus_masked-NADE0S01-processed-gene-1.26-mRNA-1        1314       12        1        8   57.2157   60.1398
snap_masked-NADE0S01-processed-gene-1.58-mRNA-1             624       11        1        7   57.1425   62.2122
augustus_masked-NADE0S01-processed-gene-1.27-mRNA-1        3864       12        1        8   54.9861   57.4322
snap_masked-NADE0S01-processed-gene-1.59-mRNA-1            1299       12        1        8   51.4318   61.3334
snap_masked-NADE0S01-processed-gene-1.60-mRNA-1             945       12        1        8   53.4963   58.4543
maker-NADE0S01-snap-gene-1.142-mRNA-1                      1809       12        1        8   54.9005   58.2823
snap_masked-NADE0S01-processed-gene-1.79-mRNA-1             762       11        1        7   38.6793   58.2401
augustus_masked-NADE0S01-processed-gene-1.31-mRNA-1        3558       12        1        8   56.9637   59.0081
genemark-NADE0S01-processed-gene-1.107-mRNA-1              1320       12        1        8   59.1040   62.5426
snap_masked-NADE0S01-processed-gene-1.62-mRNA-1             360       12        1        8   53.1722   57.1102
augustus_masked-NADE0S01-processed-gene-1.32-mRNA-1         750       12        1        8   57.0995   62.7285
augustus_masked-NADE0S01-processed-gene-1.14-mRNA-1        1293       12        1        8   56.1261   60.2523
augustus_masked-NADE0S01-processed-gene-1.33-mRNA-1        1032       12        1        8   56.2126   61.6134
snap_masked-NADE0S01-processed-gene-1.63-mRNA-1            1194       12        1        8   52.5631   57.9475
augustus_masked-NADE0S01-processed-gene-1.34-mRNA-1        2325       12        1        8   53.7113   54.7422
snap_masked-NADE0S01-processed-gene-1.83-mRNA-1            3183       12        1        8   59.2212   62.6565
augustus_masked-NADE0S01-processed-gene-1.36-mRNA-1         969       12        1        8   53.1284   55.8673
snap_masked-NADE0S01-processed-gene-1.85-mRNA-1            1704       12        1        8   57.5366   61.0937
snap_masked-NADE0S01-processed-gene-1.64-mRNA-1            1656       12        1        8   54.9616   61.7653
snap_masked-NADE0S01-processed-gene-1.65-mRNA-1            3132       12        1        8   55.6219   59.2104
snap_masked-NADE0S01-processed-gene-1.66-mRNA-1             621       11        1        7   49.9515   56.1554
augustus_masked-NADE0S01-processed-gene-1.38-mRNA-1        2511       12        1        8   57.9138   59.2940
augustus_masked-NADE0S01-processed-gene-1.39-mRNA-1        1236       12        1        8   57.0390   59.9795
snap_masked-NADE0S01-processed-gene-1.89-mRNA-1            4206       12        1        8   50.5037   60.3937
snap_masked-NADE0S01-processed-gene-1.68-mRNA-1            4647       12        1        8   55.7097   57.8614
snap_masked-NADE0S01-processed-gene-1.90-mRNA-1            1080       12        1        8   44.8209   58.0087
snap_masked-NADE0S01-processed-gene-1.91-mRNA-1            4878       12        1        8   57.6060   60.0817
augustus_masked-NADE0S01-processed-gene-1.21-mRNA-1        1044       12        1        8   57.3440   61.0399
augustus_masked-NADE0S01-processed-gene-1.22-mRNA-1        1032       12        1        8   53.5056   56.2627
snap_masked-NADE0S01-processed-gene-1.92-mRNA-1            2298       12        1        8   50.5969   61.6565
snap_masked-NADE0S01-processed-gene-1.70-mRNA-1             747       12        1        8   51.3463   50.8112
snap_masked-NADE0S01-processed-gene-1.71-mRNA-1            1107       12        1        8   51.4132   59.2938
snap_masked-NADE0S01-processed-gene-1.93-mRNA-1            1662       12        1        8   53.4904   61.5946
augustus_masked-NADE0S01-processed-gene-1.25-mRNA-1        1722       12        1        8   47.8585   51.2601
augustus_masked-NADE0S03-processed-gene-0.58-mRNA-1        1197       11        1        8   51.6510   57.0473
snap_masked-NADE0S03-processed-gene-0.1-mRNA-1              648        9        1        7   52.8724   57.7608
augustus_masked-NADE0S03-processed-gene-0.59-mRNA-1         864       12        1        7   56.0651   57.9538
snap_masked-NADE0S03-processed-gene-0.22-mRNA-1             489       12        1        8   54.1227   60.5802
snap_masked-NADE0S03-processed-gene-0.3-mRNA-1             1296       12        1        8   47.1002   61.2183
snap_masked-NADE0S03-processed-gene-0.4-mRNA-1              957       12        1        8   53.9150   60.4328
snap_masked-NADE0S03-processed-gene-0.5-mRNA-1              921       12        1        8   43.7490   56.1879
snap_masked-NADE0S03-processed-gene-0.23-mRNA-1            4413       12        1        8   52.3754   57.1238
snap_masked-NADE0S03-processed-gene-0.6-mRNA-1              882       12        1        8   53.3998   58.7325
snap_masked-NADE0S03-processed-gene-0.25-mRNA-1            1677       12        1        8   45.3476   50.2266
snap_masked-NADE0S03-processed-gene-0.7-mRNA-1             1119       12        1        8   37.5892   49.1758
snap_masked-NADE0S03-processed-gene-0.26-mRNA-1             933       12        1        8   56.3515   59.4512
