gene_id	tAI	nc	gc3
snap_masked-NODE_5_length_815702_cov_21.7388_ID_9-processed-gene-1.31-mRNA-1	0.282485766729121	57.3903	0.462
snap_masked-NODE_24_length_169180_cov_32.6027_ID_47-processed-gene-0.95-mRNA-1	0.282638105893272	56.4783	0.408
snap_masked-NODE_29_length_90500_cov_21.8775_ID_57-processed-gene-0.42-mRNA-1	0.434968775436451	45.5039	0.605
genemark-NODE_15_length_493248_cov_25.9769_ID_29-processed-gene-3.177-mRNA-1	0.278224687202673	58.6009	0.471
genemark-NODE_15_length_493248_cov_25.9769_ID_29-processed-gene-3.143-mRNA-1	0.250922039802783	56.9023	0.441
snap_masked-NODE_11_length_576536_cov_25.4156_ID_21-processed-gene-3.35-mRNA-1	0.263548095021589	56.6391	0.524
snap_masked-NODE_2_length_1144711_cov_23.956_ID_3-processed-gene-8.83-mRNA-1	0.289080330773946	56.0498	0.515
augustus_masked-NODE_4_length_844464_cov_24.6742_ID_7-processed-gene-7.4-mRNA-1	0.250722241523593	57.9276	0.402
snap_masked-NODE_1_length_1198608_cov_23.6179_ID_1-processed-gene-4.85-mRNA-1	0.302184230962921	52.4689	0.672
snap_masked-NODE_7_length_639868_cov_21.9189_ID_13-processed-gene-3.5-mRNA-1	0.327950357390906	49.6398	0.612
snap_masked-NODE_21_length_209931_cov_23.3478_ID_41-processed-gene-1.97-mRNA-1	0.276741826540896	52.7138	0.604
augustus_masked-NODE_12_length_557510_cov_24.799_ID_23-processed-gene-3.125-mRNA-1	0.316838520464061	55.9735	0.569
snap_masked-NODE_7_length_639868_cov_21.9189_ID_13-processed-gene-1.51-mRNA-1	0.304444566528374	50.5955	0.579
snap_masked-NODE_4_length_844464_cov_24.6742_ID_7-processed-gene-4.95-mRNA-1	0.26039581885935	57.1361	0.580
augustus_masked-NODE_22_length_196173_cov_31.0213_ID_43-processed-gene-0.48-mRNA-1	0.284591809943394	57.6334	0.463
snap_masked-NODE_1_length_1198608_cov_23.6179_ID_1-processed-gene-8.17-mRNA-1	0.294932703843001	54.6993	0.564
augustus_masked-NODE_5_length_815702_cov_21.7388_ID_9-processed-gene-6.119-mRNA-1	0.263213848223511	57.5193	0.516
snap_masked-NODE_8_length_627978_cov_22.2355_ID_15-processed-gene-2.97-mRNA-1	0.297609187738177	54.2858	0.537
augustus_masked-NODE_1_length_1198608_cov_23.6179_ID_1-processed-gene-7.124-mRNA-1	0.309726811885583	54.9204	0.602
snap_masked-NODE_15_length_493248_cov_25.9769_ID_29-processed-gene-3.219-mRNA-1	0.370384008450627	56.2540	0.548
snap_masked-NODE_18_length_250478_cov_22.7918_ID_35-processed-gene-0.11-mRNA-1	0.290525607852877	56.7154	0.608
snap_masked-NODE_12_length_557510_cov_24.799_ID_23-processed-gene-4.115-mRNA-1	0.234438005142911	57.6266	0.430
augustus_masked-NODE_11_length_576536_cov_25.4156_ID_21-processed-gene-4.24-mRNA-1	0.259126438870783	58.5049	0.514
