gene_id	tAI	nc	gc3
augustus_masked-flattened_line_144-processed-gene-0.54-mRNA-1	nan	40.0568	0.446
augustus_masked-flattened_line_38-processed-gene-0.224-mRNA-1	nan	53.5153	0.365
augustus_masked-flattened_line_12-processed-gene-1.17-mRNA-1	nan	52.2777	0.476
augustus_masked-flattened_line_76-processed-gene-0.143-mRNA-1	nan	53.5681	0.292
augustus_masked-flattened_line_36-processed-gene-0.13-mRNA-1	nan	40.8433	0.546
augustus_masked-flattened_line_30-processed-gene-0.108-mRNA-1	nan	52.1552	0.346
augustus_masked-flattened_line_82-processed-gene-0.54-mRNA-1	nan	58.6296	0.422
augustus_masked-flattened_line_40-processed-gene-0.195-mRNA-1	nan	55.0251	0.330
augustus_masked-flattened_line_10-processed-gene-2.48-mRNA-1	nan	54.2908	0.322
augustus_masked-flattened_line_88-processed-gene-0.48-mRNA-1	nan	56.5157	0.377
augustus_masked-flattened_line_38-processed-gene-0.247-mRNA-1	nan	42.9287	0.465
snap_masked-flattened_line_88-processed-gene-0.129-mRNA-1	nan	52.4195	0.307
augustus_masked-flattened_line_18-processed-gene-1.38-mRNA-1	nan	57.2066	0.383
augustus_masked-flattened_line_96-processed-gene-0.145-mRNA-1	nan	51.4969	0.378
augustus_masked-flattened_line_112-processed-gene-0.28-mRNA-1	nan	57.9961	0.393
augustus_masked-flattened_line_2-processed-gene-2.137-mRNA-1	nan	51.4102	0.267
genemark-flattened_line_2-processed-gene-5.119-mRNA-1	nan	55.9752	0.356
augustus_masked-flattened_line_2-processed-gene-3.98-mRNA-1	nan	51.3150	0.306
maker-flattened_line_44-augustus-gene-0.89-mRNA-1	nan	54.6688	0.305
augustus_masked-flattened_line_140-processed-gene-0.32-mRNA-1	nan	53.7241	0.302
augustus_masked-flattened_line_106-processed-gene-0.6-mRNA-1	nan	51.4530	0.333
augustus_masked-flattened_line_68-processed-gene-0.39-mRNA-1	nan	56.5003	0.388
augustus_masked-flattened_line_84-processed-gene-0.156-mRNA-1	nan	48.1174	0.684
genemark-flattened_line_16-processed-gene-2.115-mRNA-1	nan	37.0026	0.435
augustus_masked-flattened_line_34-processed-gene-0.30-mRNA-1	nan	53.6430	0.366
maker-flattened_line_6-augustus-gene-1.139-mRNA-1	nan	56.6257	0.360
maker-flattened_line_0-augustus-gene-3.46-mRNA-1	nan	54.2105	0.338
augustus_masked-flattened_line_58-processed-gene-0.61-mRNA-1	nan	53.3939	0.359
augustus_masked-flattened_line_64-processed-gene-0.41-mRNA-1	nan	55.9225	0.332
augustus_masked-flattened_line_18-processed-gene-2.153-mRNA-1	nan	49.4111	0.321
augustus_masked-flattened_line_72-processed-gene-0.37-mRNA-1	nan	47.9602	0.412
augustus_masked-flattened_line_68-processed-gene-0.13-mRNA-1	nan	56.7827	0.347
maker-flattened_line_2-augustus-gene-3.45-mRNA-1	nan	53.6495	0.289
augustus_masked-flattened_line_4-processed-gene-1.132-mRNA-1	nan	50.5173	0.414
augustus_masked-flattened_line_126-processed-gene-0.20-mRNA-1	nan	57.2363	0.373
snap_masked-flattened_line_28-processed-gene-0.19-mRNA-1	nan	41.3429	0.513
augustus_masked-flattened_line_12-processed-gene-0.105-mRNA-1	nan	53.3716	0.294
augustus_masked-flattened_line_0-processed-gene-3.144-mRNA-1	nan	51.7475	0.435
augustus_masked-flattened_line_14-processed-gene-1.126-mRNA-1	nan	53.8618	0.302
augustus_masked-flattened_line_44-processed-gene-0.230-mRNA-1	nan	50.0552	0.293
snap_masked-flattened_line_24-processed-gene-1.176-mRNA-1	nan	53.5860	0.300
augustus_masked-flattened_line_24-processed-gene-0.106-mRNA-1	nan	46.6103	0.647
snap_masked-flattened_line_88-processed-gene-0.128-mRNA-1	nan	55.9477	0.350
augustus_masked-flattened_line_58-processed-gene-0.43-mRNA-1	nan	56.3657	0.370
augustus_masked-flattened_line_16-processed-gene-2.146-mRNA-1	nan	47.2010	0.395
augustus_masked-flattened_line_44-processed-gene-0.253-mRNA-1	nan	56.4367	0.414
augustus_masked-flattened_line_124-processed-gene-0.65-mRNA-1	nan	54.6365	0.316
augustus_masked-flattened_line_92-processed-gene-0.152-mRNA-1	nan	52.7102	0.299
augustus_masked-flattened_line_72-processed-gene-0.29-mRNA-1	nan	50.9297	0.310
snap_masked-flattened_line_44-processed-gene-0.74-mRNA-1	nan	53.9589	0.291
snap_masked-flattened_line_82-processed-gene-0.83-mRNA-1	nan	54.2162	0.639
augustus_masked-flattened_line_56-processed-gene-0.213-mRNA-1	nan	47.3690	0.365
maker-flattened_line_24-augustus-gene-1.10-mRNA-1	nan	55.5688	0.317
snap_masked-flattened_line_134-processed-gene-0.11-mRNA-1	nan	54.1871	0.346
augustus_masked-flattened_line_86-processed-gene-0.25-mRNA-1	nan	54.2668	0.381
maker-flattened_line_134-snap-gene-0.22-mRNA-1	nan	55.6462	0.315
augustus_masked-flattened_line_74-processed-gene-0.171-mRNA-1	nan	53.6791	0.444
augustus_masked-flattened_line_4-processed-gene-1.125-mRNA-1	nan	53.5437	0.345
augustus_masked-flattened_line_6-processed-gene-4.17-mRNA-1	nan	48.5913	0.390
augustus_masked-flattened_line_114-processed-gene-0.123-mRNA-1	nan	47.4496	0.372
augustus_masked-flattened_line_12-processed-gene-1.1-mRNA-1	nan	49.2635	0.331
augustus_masked-flattened_line_34-processed-gene-1.54-mRNA-1	nan	53.2000	0.308
maker-flattened_line_136-snap-gene-0.51-mRNA-1	nan	57.8213	0.364
augustus_masked-flattened_line_60-processed-gene-0.222-mRNA-1	nan	54.6488	0.564
maker-flattened_line_26-augustus-gene-1.134-mRNA-1	nan	54.7902	0.337
augustus_masked-flattened_line_26-processed-gene-1.216-mRNA-1	nan	58.1417	0.410
augustus_masked-flattened_line_2-processed-gene-4.18-mRNA-1	nan	49.9789	0.353
augustus_masked-flattened_line_4-processed-gene-5.160-mRNA-1	nan	56.6848	0.356
augustus_masked-flattened_line_4-processed-gene-5.185-mRNA-1	nan	52.4403	0.276
augustus_masked-flattened_line_40-processed-gene-0.176-mRNA-1	nan	53.2137	0.323
augustus_masked-flattened_line_18-processed-gene-2.166-mRNA-1	nan	53.6545	0.318
snap_masked-flattened_line_60-processed-gene-0.168-mRNA-1	nan	46.3136	0.395
augustus_masked-flattened_line_84-processed-gene-0.186-mRNA-1	nan	49.4571	0.298
augustus_masked-flattened_line_114-processed-gene-0.131-mRNA-1	nan	53.7970	0.348
maker-flattened_line_70-augustus-gene-0.117-mRNA-1	nan	55.0581	0.340
augustus_masked-flattened_line_100-processed-gene-0.36-mRNA-1	nan	40.5143	0.408
augustus_masked-flattened_line_18-processed-gene-2.143-mRNA-1	nan	43.9348	0.654
augustus_masked-flattened_line_92-processed-gene-0.141-mRNA-1	nan	49.7661	0.296
augustus_masked-flattened_line_8-processed-gene-1.118-mRNA-1	nan	57.6638	0.457
