gene_id	tAI	nc	gc3
augustus_masked-hib_s91-processed-gene-2.117-mRNA-1	0.459138750452887	54.5442	0.330
augustus_masked-hib_s91-processed-gene-5.122-mRNA-1	0.432116039657144	50.9060	0.299
augustus_masked-hib_s155-processed-gene-3.9-mRNA-1	0.419063182965291	57.1485	0.433
augustus_masked-hib_s91-processed-gene-4.88-mRNA-1	0.429663652973112	52.3929	0.342
snap_masked-hib_s71-processed-gene-0.31-mRNA-1	0.402378474338043	58.0114	0.411
snap_masked-hib_s98-processed-gene-1.61-mRNA-1	0.434323660359592	54.3301	0.344
augustus_masked-hib_s183-processed-gene-2.39-mRNA-1	0.493195701575586	53.6339	0.390
augustus_masked-hib_s71-processed-gene-12.50-mRNA-1	0.554538344658307	47.6253	0.528
augustus_masked-hib_s93-processed-gene-10.34-mRNA-1	0.627284166055714	41.7136	0.566
augustus_masked-hib_s80-processed-gene-1.34-mRNA-1	0.501228140114553	55.7603	0.509
augustus_masked-hib_s93-processed-gene-3.22-mRNA-1	0.527987125273691	52.8369	0.572
snap_masked-hib_s93-processed-gene-8.31-mRNA-1	0.469060433430679	51.6044	0.340
augustus_masked-hib_s16-processed-gene-1.131-mRNA-1	0.438084405999953	55.3697	0.435
augustus_masked-hib_s93-processed-gene-9.14-mRNA-1	0.511562583285992	52.5496	0.414
augustus_masked-hib_s71-processed-gene-14.148-mRNA-1	0.585184407430918	47.9683	0.531
snap_masked-hib_s184-processed-gene-0.71-mRNA-1	0.437117489877683	56.4504	0.481
augustus_masked-hib_s155-processed-gene-0.29-mRNA-1	0.441342399761058	53.5481	0.386
augustus_masked-hib_s93-processed-gene-18.209-mRNA-1	0.467649018045831	57.5026	0.509
augustus_masked-hib_s98-processed-gene-0.17-mRNA-1	0.475690362542301	57.2287	0.467
augustus_masked-hib_s106-processed-gene-4.57-mRNA-1	0.468453243176413	48.4496	0.174
augustus_masked-hib_s98-processed-gene-4.38-mRNA-1	0.442139680320787	55.9492	0.409
augustus_masked-hib_s94-processed-gene-3.32-mRNA-1	0.443314331197598	55.7044	0.528
snap_masked-hib_s183-processed-gene-0.44-mRNA-1	0.439085358673962	54.8779	0.352
augustus_masked-hib_s155-processed-gene-5.59-mRNA-1	0.489337010706607	56.4564	0.454
augustus_masked-hib_s183-processed-gene-2.32-mRNA-1	0.530839774467188	54.2985	0.504
augustus_masked-hib_s183-processed-gene-8.150-mRNA-1	0.458795720460234	54.5731	0.506
augustus_masked-hib_s98-processed-gene-5.114-mRNA-1	0.41451920312996	57.2157	0.424
augustus_masked-hib_s93-processed-gene-10.12-mRNA-1	0.446621355365766	55.7863	0.455
augustus_masked-hib_s183-processed-gene-7.161-mRNA-1	0.446604673549037	58.7779	0.473
augustus_masked-hib_s183-processed-gene-4.34-mRNA-1	0.462285697187836	57.4648	0.482
augustus_masked-hib_s90-processed-gene-6.24-mRNA-1	0.448099164777341	57.0713	0.430
