Please cite: 
Sun, X. Y., Yang, Q. Xia, X. 2012. An Improved Implementation of Effective Number of Codons (Nc). Molecular Biology and Evolution 30:191-196.Please note: short sequences may have few 2-fold and 4-fold codon families with useful data and 
may have no codon belonging to 3-fold codon families. Nc from such sequences may not be reliable.

Chosen options:
F as sum of p^2: Yes
Weighted F: Yes
Minimum number of codons for i-fold codon family: i+1.
Pseudocount added to codon counts: 1.00


SeqName                                                         SeqLen       N2*      N3*      N4*       Nc     ExpNc
---------------------------------------------------------------------------------------------------------------------
snap_masked-CCBN010000001.1-processed-gene-0.40-mRNA-1             327       11        1        8   54.5341   62.1648
genemark-CCBN010000001.1-processed-gene-0.14-mRNA-1                621       11        1        8   47.7894   59.4512
snap_masked-CCBN010000001.1-processed-gene-0.41-mRNA-1             699       12        1        8   57.6192   62.8432
genemark-CCBN010000001.1-processed-gene-0.3-mRNA-1                 609       12        1        8   49.0550   59.5843
genemark-CCBN010000001.1-processed-gene-0.4-mRNA-1                2151       12        1        8   56.8227   61.8589
genemark-CCBN010000001.1-processed-gene-0.15-mRNA-1               1689       12        1        8   54.6480   60.2300
snap_masked-CCBN010000001.1-processed-gene-0.51-mRNA-1            1161       11        1        8   47.0621   48.3127
genemark-CCBN010000001.1-processed-gene-0.5-mRNA-1                1242       12        1        8   56.5418   61.0926
augustus_masked-CCBN010000001.1-processed-gene-0.25-mRNA-1         636       10        1        8   44.6350   48.1271
snap_masked-CCBN010000001.1-processed-gene-0.53-mRNA-1             330       11        1        7   52.4876   59.6027
genemark-CCBN010000001.1-processed-gene-0.17-mRNA-1                567       12        1        8   48.3123   58.2969
snap_masked-CCBN010000001.1-processed-gene-0.46-mRNA-1             435       11        1        8   54.7178   61.4169
genemark-CCBN010000001.1-processed-gene-0.18-mRNA-1               1104       12        1        8   50.0512   60.5581
genemark-CCBN010000001.1-processed-gene-0.12-mRNA-1               1155       12        1        8   48.2151   55.8971
genemark-CCBN010000001.1-processed-gene-0.19-mRNA-1               2334       12        1        8   51.0602   56.1224
genemark-CCBN010000001.1-processed-gene-1.75-mRNA-1               3003       12        1        8   53.7114   57.3280
snap_masked-CCBN010000001.1-processed-gene-1.4-mRNA-1             1797       12        1        8   53.6015   60.2318
genemark-CCBN010000001.1-processed-gene-1.78-mRNA-1                612       12        1        8   56.4849   61.6698
genemark-CCBN010000001.1-processed-gene-1.77-mRNA-1               1665       12        1        8   56.1323   62.6699
snap_masked-CCBN010000001.1-processed-gene-1.19-mRNA-1            1104       11        1        8   57.2577   59.9079
snap_masked-CCBN010000001.1-processed-gene-1.20-mRNA-1             543        9        1        7   42.6793   45.7667
snap_masked-CCBN010000001.1-processed-gene-1.21-mRNA-1             327       12        1        8   55.7963   62.2036
genemark-CCBN010000001.1-processed-gene-1.95-mRNA-1                318       10        1        8   44.8686   51.4921
genemark-CCBN010000001.1-processed-gene-1.79-mRNA-1               2541       12        1        8   48.7145   56.2047
genemark-CCBN010000001.1-processed-gene-1.96-mRNA-1                351        9        1        8   43.7469   45.5680
genemark-CCBN010000001.1-processed-gene-1.97-mRNA-1               1005       12        1        8   54.9882   60.1965
snap_masked-CCBN010000001.1-processed-gene-1.25-mRNA-1             498       10        1        8   55.5932   55.1702
genemark-CCBN010000001.1-processed-gene-1.80-mRNA-1               3387       12        1        8   57.8189   61.7967
snap_masked-CCBN010000001.1-processed-gene-1.9-mRNA-1              321       11        1        8   54.5042   56.7913
snap_masked-CCBN010000001.1-processed-gene-1.26-mRNA-1            1626       12        1        8   56.5412   59.7539
genemark-CCBN010000001.1-processed-gene-1.100-mRNA-1              1188       12        1        8   37.8130   47.7167
genemark-CCBN010000001.1-processed-gene-1.101-mRNA-1              1509       12        1        8   48.1730   56.0540
maker-CCBN010000001.1-augustus-gene-1.111-mRNA-1                  3411       12        1        8   59.2506   61.3947
snap_masked-CCBN010000001.1-processed-gene-1.12-mRNA-1             702       12        1        8   55.4079   61.0305
genemark-CCBN010000001.1-processed-gene-1.102-mRNA-1               759       10        1        8   46.1776   47.5170
snap_masked-CCBN010000001.1-processed-gene-1.13-mRNA-1            3390       12        1        8   55.0086   60.0294
snap_masked-CCBN010000001.1-processed-gene-1.30-mRNA-1             339       12        1        8   54.7594   59.5146
genemark-CCBN010000001.1-processed-gene-1.87-mRNA-1               1086       12        1        8   53.2492   55.4186
genemark-CCBN010000001.1-processed-gene-1.103-mRNA-1              2085       12        1        8   37.4764   47.4123
genemark-CCBN010000001.1-processed-gene-1.88-mRNA-1                762       12        1        8   55.1302   61.7748
genemark-CCBN010000001.1-processed-gene-1.104-mRNA-1              2934       12        1        8   56.6917   60.6023
genemark-CCBN010000001.1-processed-gene-1.89-mRNA-1               1722       12        1        8   55.9631   61.4966
genemark-CCBN010000001.1-processed-gene-1.105-mRNA-1               780       10        1        8   48.7007   49.0170
genemark-CCBN010000001.1-processed-gene-1.90-mRNA-1                531       11        1        8   52.0898   54.9424
genemark-CCBN010000001.1-processed-gene-1.106-mRNA-1               633       12        1        8   51.8749   55.0839
genemark-CCBN010000001.1-processed-gene-1.91-mRNA-1                441       11        1        8   52.8941   54.8156
genemark-CCBN010000001.1-processed-gene-1.107-mRNA-1              1599       12        1        8   53.3492   55.8942
snap_masked-CCBN010000001.1-processed-gene-1.18-mRNA-1             756       12        1        8   57.1686   61.5270
genemark-CCBN010000001.1-processed-gene-1.108-mRNA-1              2877       12        1        8   57.9008   62.6390
augustus_masked-CCBN010000001.1-processed-gene-2.34-mRNA-1        1278       12        1        8   57.1765   62.0489
augustus_masked-CCBN010000001.1-processed-gene-2.36-mRNA-1         927       12        1        8   56.7317   61.4812
genemark-CCBN010000001.1-processed-gene-2.7-mRNA-1                 747       12        1        8   54.6697   60.9884
genemark-CCBN010000001.1-processed-gene-2.5-mRNA-1                 663       12        1        8   52.6928   53.4926
genemark-CCBN010000001.1-processed-gene-2.8-mRNA-1                2928       12        1        8   43.6577   54.7795
augustus_masked-CCBN010000001.1-processed-gene-2.39-mRNA-1         945       12        1        8   57.7749   61.8781
augustus_masked-CCBN010000001.1-processed-gene-2.41-mRNA-1        2049       12        1        8   56.6772   59.4793
genemark-CCBN010000001.1-processed-gene-2.24-mRNA-1                564       10        1        8   43.4070   50.4912
genemark-CCBN010000001.1-processed-gene-2.12-mRNA-1               1083       11        1        8   46.6920   52.5688
genemark-CCBN010000001.1-processed-gene-2.25-mRNA-1               1734       11        1        8   51.1371   55.3795
genemark-CCBN010000001.1-processed-gene-2.26-mRNA-1               1716       12        1        8   50.9028   56.2184
genemark-CCBN010000001.1-processed-gene-2.13-mRNA-1               1053       11        1        8   52.8212   57.4456
augustus_masked-CCBN010000001.1-processed-gene-2.44-mRNA-1        1005       12        1        8   56.7681   60.3105
maker-CCBN010000001.1-snap-gene-2.2-mRNA-1                        2244       12        1        8   53.3896   55.5720
augustus_masked-CCBN010000001.1-processed-gene-2.58-mRNA-1        1317       12        1        8   57.3724   62.6433
genemark-CCBN010000001.1-processed-gene-2.29-mRNA-1               2076       12        1        8   56.4956   60.6494
augustus_masked-CCBN010000001.1-processed-gene-2.60-mRNA-1         906       12        1        8   49.4798   52.9532
augustus_masked-CCBN010000001.1-processed-gene-2.61-mRNA-1        1806       12        1        8   53.6581   60.2912
genemark-CCBN010000001.1-processed-gene-2.32-mRNA-1               6663       12        1        8   39.4053   50.3881
genemark-CCBN010000001.1-processed-gene-2.15-mRNA-1               1623       12        1        8   53.9785   59.3746
augustus_masked-CCBN010000001.1-processed-gene-2.46-mRNA-1        1065       12        1        8   55.6651   60.6888
snap_masked-CCBN010000001.1-processed-gene-2.98-mRNA-1            1647       12        1        8   57.6317   61.2902
genemark-CCBN010000001.1-processed-gene-2.17-mRNA-1                366       11        1        8   49.6019   56.7204
genemark-CCBN010000001.1-processed-gene-2.18-mRNA-1                441       12        1        8   53.4548   55.1514
genemark-CCBN010000001.1-processed-gene-2.19-mRNA-1               1053       11        1        8   50.6804   54.5598
genemark-CCBN010000001.1-processed-gene-2.20-mRNA-1               2082       12        1        8   57.9609   62.1818
genemark-CCBN010000001.1-processed-gene-2.21-mRNA-1               4659       12        1        8   50.6819   58.1238
genemark-CCBN010000001.1-processed-gene-2.22-mRNA-1               1065       11        1        8   57.4275   62.0044
snap_masked-CCBN010000001.1-processed-gene-2.87-mRNA-1            2079       12        1        8   59.4032   62.4162
augustus_masked-CCBN010000001.1-processed-gene-3.64-mRNA-1        2193       12        1        8   55.8001   61.3035
genemark-CCBN010000001.1-processed-gene-3.36-mRNA-1                480       12        1        8   54.9657   61.7691
snap_masked-CCBN010000001.1-processed-gene-3.3-mRNA-1              903       12        1        8   55.1849   57.9060
genemark-CCBN010000001.1-processed-gene-3.37-mRNA-1                651       12        1        8   54.7662   59.7603
genemark-CCBN010000001.1-processed-gene-3.38-mRNA-1                549       12        1        8   46.1842   48.8766
genemark-CCBN010000001.1-processed-gene-3.39-mRNA-1               1743       12        1        8   51.7319   60.3620
genemark-CCBN010000001.1-processed-gene-3.49-mRNA-1               1053       11        1        8   52.5174   57.7670
genemark-CCBN010000001.1-processed-gene-3.50-mRNA-1               1053       11        1        8   51.0307   55.6467
