gene_id	tAI	nc	gc3
augustus_masked-LAME0C-processed-gene-1.136-mRNA-1	0.283149943361261	55.1058	0.633
augustus_masked-LAME0A-processed-gene-1.14-mRNA-1	0.282967842199126	53.2260	0.475
augustus_masked-LAME0E-processed-gene-11.105-mRNA-1	0.252899044004984	57.0093	0.488
genemark-LAME0D-processed-gene-0.67-mRNA-1	0.350711129280764	41.7518	0.542
augustus_masked-LAME0H-processed-gene-10.5-mRNA-1	0.26658918407087	53.9798	0.607
augustus_masked-LAME0F-processed-gene-10.108-mRNA-1	0.267139712653633	57.7833	0.488
maker-LAME0H-snap-gene-16.71-mRNA-1	0.321457297996146	51.5030	0.642
augustus_masked-LAME0H-processed-gene-3.97-mRNA-1	0.262057455473098	57.7232	0.464
snap_masked-LAME0E-processed-gene-6.111-mRNA-1	0.253322995979462	53.8890	0.515
augustus_masked-LAME0H-processed-gene-4.19-mRNA-1	0.26160337241784	59.1729	0.468
augustus_masked-LAME0H-processed-gene-9.23-mRNA-1	0.269422414627494	56.6540	0.447
augustus_masked-LAME0H-processed-gene-11.130-mRNA-1	0.240376903307145	56.4085	0.581
augustus_masked-LAME0E-processed-gene-2.23-mRNA-1	0.368583450654543	43.9585	0.519
augustus_masked-LAME0C-processed-gene-8.51-mRNA-1	0.255352970702745	58.1523	0.483
augustus_masked-LAME0E-processed-gene-2.5-mRNA-1	0.22593552175001	60.3152	0.455
augustus_masked-LAME0F-processed-gene-5.31-mRNA-1	0.478018071459708	40.8592	0.634
genemark-LAME0G-processed-gene-5.70-mRNA-1	0.268198519025753	54.4964	0.595
augustus_masked-LAME0H-processed-gene-16.56-mRNA-1	0.266034914965476	47.9148	0.675
augustus_masked-LAME0F-processed-gene-2.20-mRNA-1	0.280066561451506	57.0971	0.490
augustus_masked-LAME0G-processed-gene-3.102-mRNA-1	0.258403690430626	58.1456	0.477
augustus_masked-LAME0A-processed-gene-1.24-mRNA-1	0.249570782871143	57.5533	0.523
augustus_masked-LAME0D-processed-gene-4.88-mRNA-1	0.259913433319677	56.3464	0.493
augustus_masked-LAME0D-processed-gene-10.226-mRNA-1	0.271145046235647	57.5262	0.513
augustus_masked-LAME0E-processed-gene-1.111-mRNA-1	0.213913949469411	57.9226	0.513
augustus_masked-LAME0G-processed-gene-15.20-mRNA-1	0.244205896679719	57.3170	0.407
augustus_masked-LAME0E-processed-gene-12.21-mRNA-1	0.278874664537253	59.4149	0.533
augustus_masked-LAME0F-processed-gene-14.26-mRNA-1	0.348032305127311	47.8957	0.526
