Please cite: 
Sun, X. Y., Yang, Q. Xia, X. 2012. An Improved Implementation of Effective Number of Codons (Nc). Molecular Biology and Evolution 30:191-196.Please note: short sequences may have few 2-fold and 4-fold codon families with useful data and 
may have no codon belonging to 3-fold codon families. Nc from such sequences may not be reliable.

Chosen options:
F as sum of p^2: Yes
Weighted F: Yes
Minimum number of codons for i-fold codon family: i+1.
Pseudocount added to codon counts: 1.00


SeqName                                                                                SeqLen       N2*      N3*      N4*       Nc     ExpNc
--------------------------------------------------------------------------------------------------------------------------------------------
augustus_masked-NODE_100_length_23215_cov_34.7797_ID_199-processed-gene-0.27-mRNA-1      1695       12        1        8   44.0924   45.8572
augustus_masked-NODE_100_length_23215_cov_34.7797_ID_199-processed-gene-0.24-mRNA-1      1056       12        1        8   48.6988   50.6604
augustus_masked-NODE_100_length_23215_cov_34.7797_ID_199-processed-gene-0.28-mRNA-1      1386       12        1        8   37.2761   45.7233
augustus_masked-NODE_100_length_23215_cov_34.7797_ID_199-processed-gene-0.29-mRNA-1      1662       12        1        8   35.2038   47.3575
augustus_masked-NODE_100_length_23215_cov_34.7797_ID_199-processed-gene-0.25-mRNA-1      2019       12        1        8   36.0250   51.5978
augustus_masked-NODE_100_length_23215_cov_34.7797_ID_199-processed-gene-0.30-mRNA-1      1596       12        1        8   44.0946   46.9203
augustus_masked-NODE_100_length_23215_cov_34.7797_ID_199-processed-gene-0.31-mRNA-1      1269       12        1        8   49.4107   50.6916
augustus_masked-NODE_100_length_23215_cov_34.7797_ID_199-processed-gene-0.26-mRNA-1      1215       12        1        8   43.9732   53.0608
snap_masked-NODE_100_length_23215_cov_34.7797_ID_199-processed-gene-0.18-mRNA-1          2067       12        1        8   50.2918   53.7598
snap_masked-NODE_100_length_23215_cov_34.7797_ID_199-processed-gene-0.19-mRNA-1           312       12        1        8   51.5445   54.1395
augustus_masked-NODE_100_length_23215_cov_34.7797_ID_199-processed-gene-0.33-mRNA-1      1725       12        1        8   52.3012   53.6340
augustus_masked-NODE_101_length_23034_cov_31.0101_ID_201-processed-gene-0.24-mRNA-1      2253       12        1        8   37.8653   47.7720
snap_masked-NODE_101_length_23034_cov_31.0101_ID_201-processed-gene-0.16-mRNA-1           630       12        1        8   47.5960   48.2869
snap_masked-NODE_101_length_23034_cov_31.0101_ID_201-processed-gene-0.17-mRNA-1          1011       12        1        8   52.5939   58.0608
snap_masked-NODE_101_length_23034_cov_31.0101_ID_201-processed-gene-0.11-mRNA-1          6651       12        1        8   50.7512   53.2140
genemark-NODE_101_length_23034_cov_31.0101_ID_201-processed-gene-0.1-mRNA-1              1206       12        1        8   53.3885   55.3100
snap_masked-NODE_101_length_23034_cov_31.0101_ID_201-processed-gene-0.13-mRNA-1          1587       12        1        8   51.4004   53.0339
maker-NODE_101_length_23034_cov_31.0101_ID_201-augustus-gene-0.28-mRNA-1                 2514       12        1        8   44.3490   47.9862
augustus_masked-NODE_101_length_23034_cov_31.0101_ID_201-processed-gene-0.23-mRNA-1       660       12        1        7   48.8861   49.2098
snap_masked-NODE_102_length_22752_cov_34.8193_ID_203-processed-gene-0.25-mRNA-1           966       12        1        8   51.4005   51.9998
snap_masked-NODE_102_length_22752_cov_34.8193_ID_203-processed-gene-0.26-mRNA-1           792       12        1        8   51.6101   50.3053
augustus_masked-NODE_102_length_22752_cov_34.8193_ID_203-processed-gene-0.5-mRNA-1        678       12        1        7   44.5803   51.7424
augustus_masked-NODE_102_length_22752_cov_34.8193_ID_203-processed-gene-0.0-mRNA-1       1080       12        1        8   48.2773   58.2202
augustus_masked-NODE_102_length_22752_cov_34.8193_ID_203-processed-gene-0.6-mRNA-1       3762       12        1        8   50.5787   52.6780
maker-NODE_102_length_22752_cov_34.8193_ID_203-augustus-gene-0.33-mRNA-1                 1494       12        1        8   51.2742   55.8110
augustus_masked-NODE_102_length_22752_cov_34.8193_ID_203-processed-gene-0.7-mRNA-1        648       11        1        8   44.9967   49.4113
snap_masked-NODE_102_length_22752_cov_34.8193_ID_203-processed-gene-0.30-mRNA-1          1770       12        1        8   50.7818   54.6183
genemark-NODE_102_length_22752_cov_34.8193_ID_203-processed-gene-0.19-mRNA-1             1029       12        1        8   51.7998   60.1340
