gene_id	tAI	nc	gc3
augustus_masked-LBNK01000004.1-processed-gene-2.72-mRNA-1	0.29502070343315	57.9999	0.432
augustus_masked-LBNK01000008.1-processed-gene-4.110-mRNA-1	0.294009612741537	52.2864	0.450
augustus_masked-LBNK01000003.1-processed-gene-8.109-mRNA-1	0.275332231466062	58.6395	0.397
augustus_masked-LBNK01000009.1-processed-gene-0.71-mRNA-1	0.347973065570225	48.4057	0.552
maker-LBNK01000004.1-snap-gene-7.111-mRNA-1	0.315652075332204	54.5112	0.399
augustus_masked-LBNK01000001.1-processed-gene-0.65-mRNA-1	0.314510791991726	56.6518	0.474
augustus_masked-LBNK01000007.1-processed-gene-3.85-mRNA-1	0.304690192925795	55.2311	0.386
augustus_masked-LBNK01000001.1-processed-gene-1.21-mRNA-1	0.281209959363505	57.2381	0.425
augustus_masked-LBNK01000002.1-processed-gene-6.80-mRNA-1	0.396535158164304	41.7887	0.732
augustus_masked-LBNK01000004.1-processed-gene-5.66-mRNA-1	0.289014082569642	58.3676	0.446
augustus_masked-LBNK01000004.1-processed-gene-2.78-mRNA-1	0.294815540114502	53.3434	0.561
genemark-LBNK01000014.1-processed-gene-0.5-mRNA-1	0.273118138070643	55.5165	0.384
augustus_masked-LBNK01000006.1-processed-gene-0.49-mRNA-1	0.25910988452303	50.9246	0.347
augustus_masked-LBNK01000008.1-processed-gene-4.135-mRNA-1	0.297719400126681	55.2683	0.427
augustus_masked-LBNK01000001.1-processed-gene-4.14-mRNA-1	0.289399276470591	56.9643	0.418
augustus_masked-LBNK01000012.1-processed-gene-1.135-mRNA-1	0.390991922275956	42.5461	0.702
augustus_masked-LBNK01000013.1-processed-gene-0.16-mRNA-1	0.288501657389174	57.3836	0.431
snap_masked-LBNK01000016.1-processed-gene-0.145-mRNA-1	0.280428007754995	55.5465	0.419
augustus_masked-LBNK01000004.1-processed-gene-2.80-mRNA-1	0.335133728472019	49.1932	0.581
augustus_masked-LBNK01000010.1-processed-gene-2.123-mRNA-1	0.286591050900803	56.5282	0.502
augustus_masked-LBNK01000001.1-processed-gene-12.134-mRNA-1	0.277555894796463	58.5625	0.428
augustus_masked-LBNK01000001.1-processed-gene-2.43-mRNA-1	0.287380943173463	52.5784	0.457
augustus_masked-LBNK01000010.1-processed-gene-2.125-mRNA-1	0.418252104762492	43.4352	0.648
augustus_masked-LBNK01000015.1-processed-gene-0.14-mRNA-1	0.350492576266491	49.7554	0.671
augustus_masked-LBNK01000006.1-processed-gene-1.86-mRNA-1	0.368412514096305	42.6560	0.565
augustus_masked-LBNK01000008.1-processed-gene-3.44-mRNA-1	0.288468634761047	57.7249	0.502
augustus_masked-LBNK01000003.1-processed-gene-6.59-mRNA-1	0.321103420874639	54.5508	0.564
augustus_masked-LBNK01000004.1-processed-gene-5.85-mRNA-1	0.308792008557738	56.5230	0.511
snap_masked-LBNK01000007.1-processed-gene-1.11-mRNA-1	0.282917665892228	52.9501	0.363
snap_masked-LBNK01000018.1-processed-gene-0.133-mRNA-1	0.302354165221844	58.0249	0.500
snap_masked-LBNK01000002.1-processed-gene-7.107-mRNA-1	0.310261515252813	54.0661	0.508
augustus_masked-LBNK01000010.1-processed-gene-0.51-mRNA-1	0.362209094949896	42.9731	0.621
augustus_masked-LBNK01000001.1-processed-gene-11.132-mRNA-1	0.287335327504052	55.4954	0.380
augustus_masked-LBNK01000011.1-processed-gene-1.4-mRNA-1	0.345594366001975	54.9013	0.572
augustus_masked-LBNK01000014.1-processed-gene-0.166-mRNA-1	0.350155044138419	47.9185	0.742
augustus_masked-LBNK01000005.1-processed-gene-3.94-mRNA-1	0.343354794974752	52.0848	0.522
augustus_masked-LBNK01000001.1-processed-gene-0.100-mRNA-1	0.313286847361831	52.7863	0.433
augustus_masked-LBNK01000001.1-processed-gene-4.38-mRNA-1	0.303855930439938	54.9245	0.420
augustus_masked-LBNK01000001.1-processed-gene-5.137-mRNA-1	0.288311701823621	55.4753	0.400
snap_masked-LBNK01000001.1-processed-gene-8.43-mRNA-1	0.302340568756807	54.4040	0.472
augustus_masked-LBNK01000001.1-processed-gene-14.137-mRNA-1	0.347140641371811	44.7921	0.500
