Please cite: 
Sun, X. Y., Yang, Q. Xia, X. 2012. An Improved Implementation of Effective Number of Codons (Nc). Molecular Biology and Evolution 30:191-196.Please note: short sequences may have few 2-fold and 4-fold codon families with useful data and 
may have no codon belonging to 3-fold codon families. Nc from such sequences may not be reliable.

Chosen options:
F as sum of p^2: Yes
Weighted F: Yes
Minimum number of codons for i-fold codon family: i+1.
Pseudocount added to codon counts: 1.00


SeqName                                                                                  SeqLen       N2*      N3*      N4*       Nc     ExpNc
----------------------------------------------------------------------------------------------------------------------------------------------
snap_masked-NODE_105_length_484_cov_25.2115_ID_8156-processed-gene-0.0-mRNA-1               357       12        1        8   54.3376   60.7879
snap_masked-NODE_10_length_454449_cov_24.1248_ID_1905-processed-gene-0.73-mRNA-1            972       12        1        8   58.0463   62.7532
genemark-NODE_10_length_454449_cov_24.1248_ID_1905-processed-gene-0.0-mRNA-1               2958       12        1        8   51.9587   61.9834
augustus_masked-NODE_10_length_454449_cov_24.1248_ID_1905-processed-gene-0.138-mRNA-1      1692       12        1        8   55.0730   61.4732
genemark-NODE_10_length_454449_cov_24.1248_ID_1905-processed-gene-0.1-mRNA-1                342       12        1        8   52.8769   50.8168
genemark-NODE_10_length_454449_cov_24.1248_ID_1905-processed-gene-0.26-mRNA-1              1545       12        1        8   57.3457   62.0480
genemark-NODE_10_length_454449_cov_24.1248_ID_1905-processed-gene-0.2-mRNA-1                348       11        1        8   51.5600   61.2759
genemark-NODE_10_length_454449_cov_24.1248_ID_1905-processed-gene-0.3-mRNA-1               2337       11        1        8   52.6305   58.4904
genemark-NODE_10_length_454449_cov_24.1248_ID_1905-processed-gene-0.4-mRNA-1               1101       12        1        8   52.4660   62.4345
genemark-NODE_10_length_454449_cov_24.1248_ID_1905-processed-gene-0.27-mRNA-1              2736       12        1        8   53.1779   61.0883
genemark-NODE_10_length_454449_cov_24.1248_ID_1905-processed-gene-0.28-mRNA-1              3504       12        1        8   45.2363   59.7830
