gene_id	tAI	nc	gc3
augustus_masked-flattened_line_60-processed-gene-0.109-mRNA-1	0.349428402729517	55.5180	0.494
augustus_masked-flattened_line_20-processed-gene-0.49-mRNA-1	0.335458682956621	52.6070	0.622
augustus_masked-flattened_line_2-processed-gene-8.51-mRNA-1	0.331906516800529	58.4700	0.433
augustus_masked-flattened_line_30-processed-gene-0.108-mRNA-1	0.341582600325994	55.5002	0.423
augustus_masked-flattened_line_10-processed-gene-2.48-mRNA-1	0.350270840210689	57.0536	0.579
augustus_masked-flattened_line_36-processed-gene-0.130-mRNA-1	0.393244409225721	41.7904	0.772
genemark-flattened_line_2-processed-gene-5.117-mRNA-1	0.38176319839256	49.2956	0.425
augustus_masked-flattened_line_0-processed-gene-2.87-mRNA-1	0.311291589454821	58.3158	0.499
augustus_masked-flattened_line_12-processed-gene-2.67-mRNA-1	0.343129955856163	57.1311	0.454
augustus_masked-flattened_line_18-processed-gene-3.42-mRNA-1	0.329031468238207	58.1622	0.560
augustus_masked-flattened_line_0-processed-gene-8.66-mRNA-1	0.353103175404853	53.3171	0.628
augustus_masked-flattened_line_62-processed-gene-0.75-mRNA-1	0.414636712849243	51.9265	0.665
maker-flattened_line_4-augustus-gene-6.139-mRNA-1	0.481709747348353	37.6593	0.538
augustus_masked-flattened_line_24-processed-gene-1.45-mRNA-1	0.458294418190686	44.0723	0.717
augustus_masked-flattened_line_14-processed-gene-3.94-mRNA-1	0.32035137758459	56.9597	0.396
augustus_masked-flattened_line_0-processed-gene-4.59-mRNA-1	0.335225260637372	51.8096	0.655
augustus_masked-flattened_line_8-processed-gene-6.91-mRNA-1	0.362352601425498	53.4793	0.559
augustus_masked-flattened_line_8-processed-gene-2.46-mRNA-1	0.406605293407048	49.8003	0.627
augustus_masked-flattened_line_24-processed-gene-2.128-mRNA-1	0.42505454425231	46.0939	0.756
augustus_masked-flattened_line_18-processed-gene-3.53-mRNA-1	0.322081691043037	51.8378	0.674
augustus_masked-flattened_line_28-processed-gene-1.16-mRNA-1	0.295932810573332	58.1833	0.393
augustus_masked-flattened_line_64-processed-gene-0.41-mRNA-1	0.387946028241672	49.6787	0.684
