gene_id	tAI	nc	gc3
genemark-scaffold_00009-processed-gene-0.53-mRNA-1	0.431573251120521	54.7899	0.389
snap_masked-scaffold_00018-processed-gene-9.43-mRNA-1	0.447677332462581	51.6283	0.532
genemark-scaffold_00015-processed-gene-10.24-mRNA-1	0.51077142116904	53.4135	0.648
genemark-scaffold_00008-processed-gene-0.109-mRNA-1	0.423351754517871	50.2610	0.668
snap_masked-scaffold_00004-processed-gene-1.85-mRNA-1	0.590402747193524	44.1660	0.437
snap_masked-scaffold_00022-processed-gene-4.56-mRNA-1	0.489911897422367	56.0171	0.515
genemark-scaffold_00018-processed-gene-9.99-mRNA-1	0.422543648481084	52.7089	0.642
genemark-scaffold_00006-processed-gene-0.91-mRNA-1	0.542182694480944	50.9545	0.593
snap_masked-scaffold_00021-processed-gene-21.50-mRNA-1	0.521579882576654	51.4017	0.434
genemark-scaffold_00006-processed-gene-9.37-mRNA-1	0.428440229501347	51.9825	0.381
genemark-scaffold_00015-processed-gene-8.80-mRNA-1	0.619031855681545	43.7098	0.456
snap_masked-scaffold_00021-processed-gene-15.17-mRNA-1	0.39078946894361	56.8699	0.413
snap_masked-scaffold_00022-processed-gene-17.9-mRNA-1	0.428793838458316	53.3935	0.574
genemark-scaffold_00008-processed-gene-4.155-mRNA-1	0.47701415485303	56.2648	0.401
genemark-scaffold_00008-processed-gene-4.127-mRNA-1	0.389879242281748	54.5590	0.609
snap_masked-scaffold_00009-processed-gene-9.216-mRNA-1	0.454782647536122	52.9068	0.373
genemark-scaffold_00009-processed-gene-1.61-mRNA-1	0.496573334722126	53.9670	0.400
snap_masked-scaffold_00021-processed-gene-11.66-mRNA-1	0.399064791565624	56.8518	0.532
genemark-scaffold_00015-processed-gene-3.95-mRNA-1	0.488372856183668	55.6803	0.411
genemark-scaffold_00015-processed-gene-1.60-mRNA-1	0.410299351260885	50.5904	0.676
genemark-scaffold_00015-processed-gene-6.70-mRNA-1	0.528330237035728	52.4156	0.458
snap_masked-scaffold_00022-processed-gene-9.60-mRNA-1	0.380345430555573	57.2986	0.455
genemark-scaffold_00009-processed-gene-3.121-mRNA-1	0.506219032049234	54.8027	0.504
