Please cite: 
Sun, X. Y., Yang, Q. Xia, X. 2012. An Improved Implementation of Effective Number of Codons (Nc). Molecular Biology and Evolution 30:191-196.Please note: short sequences may have few 2-fold and 4-fold codon families with useful data and 
may have no codon belonging to 3-fold codon families. Nc from such sequences may not be reliable.

Chosen options:
F as sum of p^2: Yes
Weighted F: Yes
Minimum number of codons for i-fold codon family: i+1.
Pseudocount added to codon counts: 1.00


SeqName                                                                                 SeqLen       N2*      N3*      N4*       Nc     ExpNc
---------------------------------------------------------------------------------------------------------------------------------------------
augustus_masked-NODE_106_length_371_cov_0.905303_ID_211-processed-gene-0.0-mRNA-1          339       11        1        8   55.2076   58.9207
snap_masked-NODE_10_length_547460_cov_24.7089_ID_19-processed-gene-0.84-mRNA-1             918       12        1        8   53.3547   56.3079
augustus_masked-NODE_10_length_547460_cov_24.7089_ID_19-processed-gene-0.102-mRNA-1        564       12        1        8   48.2570   49.3534
maker-NODE_10_length_547460_cov_24.7089_ID_19-augustus-gene-0.58-mRNA-1                    669       12        1        8   53.5819   57.8175
snap_masked-NODE_10_length_547460_cov_24.7089_ID_19-processed-gene-0.86-mRNA-1             369       12        1        8   55.1352   59.7077
snap_masked-NODE_10_length_547460_cov_24.7089_ID_19-processed-gene-0.87-mRNA-1             468       12        1        8   55.6622   57.6167
genemark-NODE_10_length_547460_cov_24.7089_ID_19-processed-gene-0.12-mRNA-1                840       12        1        8   56.2760   60.1516
snap_masked-NODE_10_length_547460_cov_24.7089_ID_19-processed-gene-0.63-mRNA-1            1770       12        1        8   52.5946   56.0431
snap_masked-NODE_10_length_547460_cov_24.7089_ID_19-processed-gene-0.88-mRNA-1            1122       12        1        8   49.9717   53.7283
snap_masked-NODE_10_length_547460_cov_24.7089_ID_19-processed-gene-0.64-mRNA-1            1035       12        1        8   50.9381   57.4482
snap_masked-NODE_10_length_547460_cov_24.7089_ID_19-processed-gene-0.65-mRNA-1            1836       12        1        8   48.8364   56.5663
snap_masked-NODE_10_length_547460_cov_24.7089_ID_19-processed-gene-0.89-mRNA-1            2769       12        1        8   56.4943   59.5457
maker-NODE_10_length_547460_cov_24.7089_ID_19-snap-gene-0.8-mRNA-1                         996       12        1        8   53.6163   59.9442
snap_masked-NODE_10_length_547460_cov_24.7089_ID_19-processed-gene-0.66-mRNA-1            1731       12        1        8   53.7502   59.1486
snap_masked-NODE_10_length_547460_cov_24.7089_ID_19-processed-gene-0.91-mRNA-1            1536       12        1        8   56.9942   59.7473
snap_masked-NODE_10_length_547460_cov_24.7089_ID_19-processed-gene-0.67-mRNA-1             717       12        1        8   56.9895   59.2874
maker-NODE_10_length_547460_cov_24.7089_ID_19-snap-gene-0.0-mRNA-1                        2127       12        1        8   54.6271   60.5677
