Please cite: 
Sun, X. Y., Yang, Q. Xia, X. 2012. An Improved Implementation of Effective Number of Codons (Nc). Molecular Biology and Evolution 30:191-196.Please note: short sequences may have few 2-fold and 4-fold codon families with useful data and 
may have no codon belonging to 3-fold codon families. Nc from such sequences may not be reliable.

Chosen options:
F as sum of p^2: Yes
Weighted F: Yes
Minimum number of codons for i-fold codon family: i+1.
Pseudocount added to codon counts: 1.00


SeqName                                                  SeqLen       N2*      N3*      N4*       Nc     ExpNc
--------------------------------------------------------------------------------------------------------------
genemark-HE978314-processed-gene-0.96-mRNA-1                690       12        1        7   55.6846   59.5295
genemark-HE978314-processed-gene-0.124-mRNA-1              1296       12        1        8   55.8390   58.0640
genemark-HE978314-processed-gene-0.97-mRNA-1                705       12        1        8   56.8362   60.1116
genemark-HE978314-processed-gene-0.98-mRNA-1               2025       12        1        8   59.3365   62.9836
maker-HE978314-augustus-gene-0.0-mRNA-1                    2529       12        1        8   56.0121   60.2980
genemark-HE978314-processed-gene-0.125-mRNA-1               645       11        1        8   51.5027   59.9674
genemark-HE978314-processed-gene-0.101-mRNA-1               921       12        1        8   55.8099   61.5809
genemark-HE978314-processed-gene-0.126-mRNA-1              3960       12        1        8   60.3131   62.7846
genemark-HE978314-processed-gene-0.102-mRNA-1              1428       12        1        8   57.4024   62.4629
genemark-HE978314-processed-gene-0.103-mRNA-1              1353       12        1        8   55.8669   60.5275
augustus_masked-HE978314-processed-gene-0.79-mRNA-1        1071       12        1        8   58.7973   62.4834
snap_masked-HE978314-processed-gene-0.36-mRNA-1             639       12        1        8   52.5865   53.3131
genemark-HE978314-processed-gene-0.104-mRNA-1               339       11        1        8   56.3891   58.8206
genemark-HE978314-processed-gene-0.129-mRNA-1              2751       12        1        8   60.0343   61.6022
augustus_masked-HE978314-processed-gene-0.61-mRNA-1         837       12        1        8   52.8543   56.4980
maker-HE978314-augustus-gene-0.1-mRNA-1                    1956       12        1        8   55.8528   59.2127
augustus_masked-HE978314-processed-gene-0.82-mRNA-1        2301       12        1        8   52.2042   56.3611
genemark-HE978314-processed-gene-0.108-mRNA-1              1263       12        1        8   53.1588   57.8114
genemark-HE978314-processed-gene-0.132-mRNA-1              1305       12        1        8   55.8812   57.7162
genemark-HE978314-processed-gene-0.109-mRNA-1              1632       12        1        8   51.4999   60.9252
snap_masked-HE978314-processed-gene-0.41-mRNA-1            1830       12        1        8   58.4594   62.4337
maker-HE978314-snap-gene-0.94-mRNA-1                        966       12        1        8   39.8406   60.4596
genemark-HE978314-processed-gene-0.135-mRNA-1              1542       12        1        8   56.5897   62.4919
augustus_masked-HE978314-processed-gene-0.65-mRNA-1        1800       12        1        8   55.5042   57.6298
genemark-HE978314-processed-gene-0.111-mRNA-1              1299       12        1        8   47.5304   45.1065
genemark-HE978314-processed-gene-0.112-mRNA-1              1575       12        1        8   55.0238   58.3432
genemark-HE978314-processed-gene-0.136-mRNA-1               540       12        1        8   56.8143   62.0803
genemark-HE978314-processed-gene-0.113-mRNA-1              1830       12        1        8   58.8252   62.0518
genemark-HE978314-processed-gene-0.137-mRNA-1               591       11        1        8   55.9970   60.9808
genemark-HE978314-processed-gene-0.114-mRNA-1               843       12        1        8   54.1392   59.4302
genemark-HE978314-processed-gene-0.115-mRNA-1               783       12        1        8   50.7330   53.4022
snap_masked-HE978314-processed-gene-0.25-mRNA-1             477        9        1        8   51.6865   52.0694
genemark-HE978314-processed-gene-0.117-mRNA-1              2301       12        1        8   55.5630   59.5457
snap_masked-HE978314-processed-gene-0.28-mRNA-1             456       12        1        8   52.7081   56.6090
genemark-HE978314-processed-gene-0.138-mRNA-1              1203       12        1        8   41.8228   53.0653
augustus_masked-HE978314-processed-gene-0.88-mRNA-1        2337       12        1        8   54.4388   56.6985
genemark-HE978314-processed-gene-0.119-mRNA-1              3474       12        1        8   59.1923   62.7127
genemark-HE978314-processed-gene-0.140-mRNA-1               693       12        1        8   53.7950   56.0390
genemark-HE978314-processed-gene-0.120-mRNA-1               861       11        1        8   48.2500   51.5947
