Please cite: 
Sun, X. Y., Yang, Q. Xia, X. 2012. An Improved Implementation of Effective Number of Codons (Nc). Molecular Biology and Evolution 30:191-196.Please note: short sequences may have few 2-fold and 4-fold codon families with useful data and 
may have no codon belonging to 3-fold codon families. Nc from such sequences may not be reliable.

Chosen options:
F as sum of p^2: Yes
Weighted F: Yes
Minimum number of codons for i-fold codon family: i+1.
Pseudocount added to codon counts: 1.00


SeqName                                                          SeqLen       N2*      N3*      N4*       Nc     ExpNc
----------------------------------------------------------------------------------------------------------------------
augustus_masked-flattened_line_0-processed-gene-0.0-mRNA-1         1116       12        1        8   53.5743   57.5245
augustus_masked-flattened_line_0-processed-gene-0.18-mRNA-1        1410       12        1        8   53.4244   54.8237
augustus_masked-flattened_line_0-processed-gene-0.1-mRNA-1          594       12        1        8   51.7506   57.9218
augustus_masked-flattened_line_0-processed-gene-0.19-mRNA-1        2805       12        1        8   53.2907   57.2119
augustus_masked-flattened_line_0-processed-gene-0.20-mRNA-1        1740       12        1        8   54.2043   56.5845
augustus_masked-flattened_line_0-processed-gene-0.2-mRNA-1         1275       12        1        8   52.4363   59.5897
augustus_masked-flattened_line_0-processed-gene-0.21-mRNA-1        1116       12        1        8   51.8998   59.6474
maker-flattened_line_0-augustus-gene-0.87-mRNA-1                  10071       12        1        8   55.6794   58.5497
snap_masked-flattened_line_0-processed-gene-0.64-mRNA-1            2658       12        1        8   57.7694   59.4254
snap_masked-flattened_line_0-processed-gene-0.45-mRNA-1            1725       12        1        8   55.6619   57.6321
genemark-flattened_line_0-processed-gene-0.115-mRNA-1              1074       12        1        8   55.2101   60.3973
augustus_masked-flattened_line_0-processed-gene-0.24-mRNA-1         579       11        1        8   54.7983   59.3952
augustus_masked-flattened_line_0-processed-gene-0.25-mRNA-1        2508       12        1        8   57.4656   59.4345
augustus_masked-flattened_line_0-processed-gene-0.26-mRNA-1        1926       12        1        8   56.4914   59.3408
augustus_masked-flattened_line_0-processed-gene-0.5-mRNA-1         2079       12        1        8   54.2608   57.9450
augustus_masked-flattened_line_0-processed-gene-0.6-mRNA-1          909       12        1        8   55.7212   60.3753
augustus_masked-flattened_line_0-processed-gene-0.27-mRNA-1        3276       12        1        8   53.6811   56.1982
augustus_masked-flattened_line_0-processed-gene-0.7-mRNA-1          477       12        1        8   56.6042   59.1398
augustus_masked-flattened_line_0-processed-gene-0.28-mRNA-1        1665       12        1        8   52.2130   57.9859
augustus_masked-flattened_line_0-processed-gene-0.8-mRNA-1         1566       12        1        8   57.8677   61.3123
augustus_masked-flattened_line_0-processed-gene-0.29-mRNA-1        1272       12        1        8   55.6757   60.8967
augustus_masked-flattened_line_0-processed-gene-0.30-mRNA-1        1536       12        1        8   50.4249   54.3283
augustus_masked-flattened_line_0-processed-gene-0.9-mRNA-1         5763       12        1        8   49.9388   55.4040
maker-flattened_line_0-snap-gene-0.82-mRNA-1                       3240       12        1        8   55.5374   59.5678
augustus_masked-flattened_line_0-processed-gene-0.31-mRNA-1        1272       12        1        8   55.8785   58.5381
augustus_masked-flattened_line_0-processed-gene-0.12-mRNA-1         915       12        1        8   55.4783   57.5833
augustus_masked-flattened_line_0-processed-gene-0.32-mRNA-1         336       12        1        8   54.4316   56.0482
augustus_masked-flattened_line_0-processed-gene-0.13-mRNA-1        1629       12        1        8   55.4263   59.6935
augustus_masked-flattened_line_0-processed-gene-0.14-mRNA-1        1053       12        1        8   55.0246   57.6664
augustus_masked-flattened_line_0-processed-gene-0.15-mRNA-1         543       12        1        8   54.2732   57.7826
maker-flattened_line_0-augustus-gene-0.89-mRNA-1                   1059       12        1        8   55.6587   59.2323
maker-flattened_line_0-augustus-gene-0.90-mRNA-1                   3645       12        1        8   55.3476   57.8812
snap_masked-flattened_line_0-processed-gene-0.75-mRNA-1            2412       12        1        8   56.0719   58.5801
augustus_masked-flattened_line_0-processed-gene-0.17-mRNA-1        1878       12        1        8   53.4702   55.2899
augustus_masked-flattened_line_0-processed-gene-0.35-mRNA-1        1503       12        1        8   54.9414   59.0692
augustus_masked-flattened_line_0-processed-gene-0.36-mRNA-1        2007       12        1        8   55.2288   59.8780
maker-flattened_line_0-augustus-gene-0.92-mRNA-1                   1791       12        1        8   53.3782   57.9947
snap_masked-flattened_line_0-processed-gene-0.80-mRNA-1             426       12        1        8   51.3617   51.6556
augustus_masked-flattened_line_0-processed-gene-1.6-mRNA-1         3051       12        1        8   55.1786   59.2034
augustus_masked-flattened_line_0-processed-gene-1.9-mRNA-1         1071       12        1        8   54.8996   58.4859
augustus_masked-flattened_line_0-processed-gene-1.10-mRNA-1        1218       12        1        8   55.7556   57.1029
augustus_masked-flattened_line_0-processed-gene-1.7-mRNA-1         1215       11        1        8   50.5706   55.3617
augustus_masked-flattened_line_0-processed-gene-1.11-mRNA-1         813       12        1        8   57.2701   60.7480
snap_masked-flattened_line_0-processed-gene-1.57-mRNA-1             975       12        1        8   54.4757   58.8039
augustus_masked-flattened_line_0-processed-gene-1.35-mRNA-1         375       12        1        8   55.6464   60.0564
augustus_masked-flattened_line_0-processed-gene-1.12-mRNA-1         807       12        1        8   53.8825   58.6261
augustus_masked-flattened_line_0-processed-gene-1.36-mRNA-1         450       12        1        8   51.8845   55.9625
augustus_masked-flattened_line_0-processed-gene-1.37-mRNA-1        1290       12        1        8   52.6588   57.4435
augustus_masked-flattened_line_0-processed-gene-1.38-mRNA-1        1665       12        1        8   54.5596   59.0737
augustus_masked-flattened_line_0-processed-gene-1.13-mRNA-1        1839       12        1        8   54.5871   60.4264
augustus_masked-flattened_line_0-processed-gene-1.14-mRNA-1        1119       12        1        8   56.9800   60.3325
augustus_masked-flattened_line_0-processed-gene-1.39-mRNA-1         729       12        1        8   55.8247   60.5726
augustus_masked-flattened_line_0-processed-gene-1.40-mRNA-1        1935       12        1        8   54.5105   56.8254
augustus_masked-flattened_line_0-processed-gene-1.41-mRNA-1        1590       12        1        8   57.8760   60.5637
augustus_masked-flattened_line_0-processed-gene-1.15-mRNA-1         318        9        1        8   50.7516   59.5460
augustus_masked-flattened_line_0-processed-gene-1.16-mRNA-1        1089       12        1        7   53.4511   55.4298
augustus_masked-flattened_line_0-processed-gene-1.17-mRNA-1         753       12        1        8   53.0299   62.1751
genemark-flattened_line_0-processed-gene-1.151-mRNA-1               483       11        1        8   56.0408   61.2205
augustus_masked-flattened_line_0-processed-gene-1.43-mRNA-1         489       12        1        8   55.1716   59.5906
augustus_masked-flattened_line_0-processed-gene-1.44-mRNA-1         768       12        1        8   53.9494   60.1510
augustus_masked-flattened_line_0-processed-gene-1.45-mRNA-1        1764       12        1        8   54.6743   58.9214
augustus_masked-flattened_line_0-processed-gene-1.46-mRNA-1         711       11        1        8   56.9489   59.6125
snap_masked-flattened_line_0-processed-gene-1.68-mRNA-1            5142       12        1        8   57.2825   59.2448
augustus_masked-flattened_line_0-processed-gene-1.19-mRNA-1        1428       12        1        8   55.1662   59.9831
augustus_masked-flattened_line_0-processed-gene-1.20-mRNA-1        1071       12        1        8   54.1797   60.3959
augustus_masked-flattened_line_0-processed-gene-1.47-mRNA-1        2175       12        1        8   55.2660   59.8154
genemark-flattened_line_0-processed-gene-1.128-mRNA-1              6168       12        1        8   52.7304   56.3853
augustus_masked-flattened_line_0-processed-gene-1.22-mRNA-1         786       12        1        8   56.8552   60.8364
augustus_masked-flattened_line_0-processed-gene-1.23-mRNA-1        1041       12        1        8   54.4732   57.2369
augustus_masked-flattened_line_0-processed-gene-1.48-mRNA-1        1368       12        1        8   56.4428   61.7083
snap_masked-flattened_line_0-processed-gene-1.75-mRNA-1            2931       12        1        8   57.0822   59.9800
augustus_masked-flattened_line_0-processed-gene-1.49-mRNA-1         321       11        1        8   53.6600   57.2531
augustus_masked-flattened_line_0-processed-gene-1.25-mRNA-1         990       12        1        8   57.2533   62.8878
maker-flattened_line_0-augustus-gene-1.107-mRNA-1                   972       12        1        8   55.1896   62.1490
augustus_masked-flattened_line_0-processed-gene-1.27-mRNA-1         960       12        1        8   52.5832   58.5538
augustus_masked-flattened_line_0-processed-gene-1.50-mRNA-1        1494       12        1        8   54.1173   57.2857
augustus_masked-flattened_line_0-processed-gene-1.28-mRNA-1         564       12        1        8   55.9517   59.9851
augustus_masked-flattened_line_0-processed-gene-1.29-mRNA-1         774       12        1        8   55.7950   61.7042
maker-flattened_line_0-augustus-gene-1.109-mRNA-1                  5193       12        1        8   58.8611   60.5120
augustus_masked-flattened_line_0-processed-gene-1.31-mRNA-1        1134       12        1        8   56.1504   60.3985
augustus_masked-flattened_line_0-processed-gene-1.52-mRNA-1        2805       12        1        8   56.4043   58.3760
genemark-flattened_line_0-processed-gene-1.140-mRNA-1              1302       12        1        8   54.3881   56.9040
augustus_masked-flattened_line_0-processed-gene-1.33-mRNA-1        1194       12        1        8   54.5607   57.8027
augustus_masked-flattened_line_0-processed-gene-1.53-mRNA-1         669       12        1        8   55.9162   60.3524
augustus_masked-flattened_line_0-processed-gene-1.34-mRNA-1        1293       12        1        8   53.4649   58.2782
augustus_masked-flattened_line_0-processed-gene-2.122-mRNA-1       1449       12        1        8   53.6774   56.6869
augustus_masked-flattened_line_0-processed-gene-2.123-mRNA-1       2952       12        1        8   54.5486   56.7158
augustus_masked-flattened_line_0-processed-gene-2.120-mRNA-1       1143       12        1        8   55.0932   58.7566
augustus_masked-flattened_line_0-processed-gene-2.121-mRNA-1       3483       12        1        8   55.5396   57.3596
augustus_masked-flattened_line_0-processed-gene-2.124-mRNA-1        579       12        1        8   52.9310   50.9354
augustus_masked-flattened_line_0-processed-gene-2.154-mRNA-1       1383       12        1        8   54.7630   57.1051
augustus_masked-flattened_line_0-processed-gene-2.125-mRNA-1        819       12        1        8   56.6522   60.9227
augustus_masked-flattened_line_0-processed-gene-2.126-mRNA-1       1515       12        1        8   55.7582   59.7924
augustus_masked-flattened_line_0-processed-gene-2.127-mRNA-1       1041       12        1        8   53.2061   59.7005
genemark-flattened_line_0-processed-gene-2.35-mRNA-1               4743       12        1        8   56.2332   57.7985
augustus_masked-flattened_line_0-processed-gene-2.128-mRNA-1        732       12        1        8   48.2270   52.2904
augustus_masked-flattened_line_0-processed-gene-2.156-mRNA-1        678       12        1        8   54.1205   58.4416
augustus_masked-flattened_line_0-processed-gene-2.157-mRNA-1       1323       12        1        8   48.7367   56.1983
augustus_masked-flattened_line_0-processed-gene-2.129-mRNA-1       1056       12        1        8   55.3779   59.6927
augustus_masked-flattened_line_0-processed-gene-2.130-mRNA-1        411       11        1        8   54.7947   58.5074
snap_masked-flattened_line_0-processed-gene-2.98-mRNA-1            2715       12        1        8   54.3747   57.0910
augustus_masked-flattened_line_0-processed-gene-2.159-mRNA-1       1302       12        1        8   55.9151   58.2949
augustus_masked-flattened_line_0-processed-gene-2.131-mRNA-1       1311       12        1        8   55.3047   59.2797
augustus_masked-flattened_line_0-processed-gene-2.160-mRNA-1        765       12        1        8   53.9553   57.9026
augustus_masked-flattened_line_0-processed-gene-2.132-mRNA-1        909       12        1        8   55.2918   57.0328
genemark-flattened_line_0-processed-gene-2.41-mRNA-1               5850       12        1        8   55.6836   57.1826
augustus_masked-flattened_line_0-processed-gene-2.133-mRNA-1       2004       12        1        8   52.2838   55.7047
maker-flattened_line_0-augustus-gene-2.184-mRNA-1                  3858       12        1        8   53.4462   57.4143
