Please cite: 
Sun, X. Y., Yang, Q. Xia, X. 2012. An Improved Implementation of Effective Number of Codons (Nc). Molecular Biology and Evolution 30:191-196.Please note: short sequences may have few 2-fold and 4-fold codon families with useful data and 
may have no codon belonging to 3-fold codon families. Nc from such sequences may not be reliable.

Chosen options:
F as sum of p^2: Yes
Weighted F: Yes
Minimum number of codons for i-fold codon family: i+1.
Pseudocount added to codon counts: 1.00


SeqName                                                        SeqLen       N2*      N3*      N4*       Nc     ExpNc
--------------------------------------------------------------------------------------------------------------------
maker-NW_001809792.1-snap-gene-0.27-mRNA-1                       2202       11        3        7   35.1455   38.4415
maker-NW_001809792.1-snap-gene-0.30-mRNA-1                        723       11        3        7   43.5450   41.0997
augustus_masked-NW_001809793.1-processed-gene-0.64-mRNA-1        1611       11        3        7   53.8183   60.6475
snap_masked-NW_001809793.1-processed-gene-0.35-mRNA-1             309       10        2        7   54.0342   55.8051
snap_masked-NW_001809793.1-processed-gene-0.36-mRNA-1            1302       11        3        7   56.6606   62.0376
snap_masked-NW_001809793.1-processed-gene-0.37-mRNA-1            3369       11        3        7   55.0474   59.8932
genemark-NW_001809793.1-processed-gene-0.133-mRNA-1              1023       11        3        7   54.8989   60.9779
maker-NW_001809793.1-snap-gene-0.60-mRNA-1                       5316       11        3        7   54.8563   61.6316
augustus_masked-NW_001809793.1-processed-gene-0.87-mRNA-1         525       11        3        7   52.1546   61.1400
augustus_masked-NW_001809793.1-processed-gene-0.88-mRNA-1         774       11        3        7   52.1759   60.8178
augustus_masked-NW_001809793.1-processed-gene-0.68-mRNA-1        1881       11        3        7   54.7501   59.5911
snap_masked-NW_001809793.1-processed-gene-0.42-mRNA-1             957       11        3        7   54.9092   60.9465
augustus_masked-NW_001809793.1-processed-gene-0.69-mRNA-1         384       11        3        7   53.3026   59.5293
genemark-NW_001809793.1-processed-gene-0.114-mRNA-1              4851       11        3        7   57.7257   62.5863
augustus_masked-NW_001809793.1-processed-gene-0.71-mRNA-1         798       10        1        7   40.6572   57.5448
augustus_masked-NW_001809793.1-processed-gene-0.90-mRNA-1        1254       11        3        7   51.6049   59.1807
augustus_masked-NW_001809793.1-processed-gene-0.91-mRNA-1        1932       11        3        7   52.3597   61.3694
augustus_masked-NW_001809793.1-processed-gene-0.92-mRNA-1        1695       11        3        7   58.3286   62.3752
augustus_masked-NW_001809793.1-processed-gene-0.72-mRNA-1        1233       11        3        7   55.5864   59.1085
augustus_masked-NW_001809793.1-processed-gene-0.93-mRNA-1        1107       11        3        7   57.0138   62.6765
augustus_masked-NW_001809793.1-processed-gene-0.73-mRNA-1         528       11        3        7   57.5777   61.5955
snap_masked-NW_001809793.1-processed-gene-0.49-mRNA-1            1896       11        3        7   60.2793   62.1645
augustus_masked-NW_001809793.1-processed-gene-0.95-mRNA-1        2157       11        3        7   58.9613   62.4295
maker-NW_001809793.1-augustus-gene-0.6-mRNA-1                    3825       11        3        7   58.0854   62.6212
augustus_masked-NW_001809793.1-processed-gene-0.75-mRNA-1         957       11        3        7   56.4519   61.2669
augustus_masked-NW_001809793.1-processed-gene-0.98-mRNA-1         948       10        3        7   54.0643   60.6637
augustus_masked-NW_001809793.1-processed-gene-0.99-mRNA-1         861       11        3        7   55.0532   61.8108
augustus_masked-NW_001809793.1-processed-gene-0.100-mRNA-1       1227       11        3        7   56.7324   62.0510
maker-NW_001809793.1-augustus-gene-0.3-mRNA-1                     939       11        3        7   56.5049   62.5268
augustus_masked-NW_001809793.1-processed-gene-0.101-mRNA-1        795       11        3        7   53.5117   60.4168
augustus_masked-NW_001809793.1-processed-gene-0.78-mRNA-1        2238       11        3        7   57.6459   61.8912
augustus_masked-NW_001809793.1-processed-gene-0.102-mRNA-1        594       11        3        7   53.9863   62.3820
