Please cite: 
Sun, X. Y., Yang, Q. Xia, X. 2012. An Improved Implementation of Effective Number of Codons (Nc). Molecular Biology and Evolution 30:191-196.Please note: short sequences may have few 2-fold and 4-fold codon families with useful data and 
may have no codon belonging to 3-fold codon families. Nc from such sequences may not be reliable.

Chosen options:
F as sum of p^2: Yes
Weighted F: Yes
Minimum number of codons for i-fold codon family: i+1.
Pseudocount added to codon counts: 1.00


SeqName                                                SeqLen       N2*      N3*      N4*       Nc     ExpNc
------------------------------------------------------------------------------------------------------------
augustus_masked-Spar_1-processed-gene-0.32-mRNA-1        1605        9        1        8   45.5784   55.5539
snap_masked-Spar_1-processed-gene-0.143-mRNA-1           1488       12        1        8   45.3360   49.0191
genemark-Spar_1-processed-gene-0.62-mRNA-1               1368       12        1        8   57.1450   61.6780
augustus_masked-Spar_1-processed-gene-0.1-mRNA-1         2379       12        1        8   56.3426   61.6331
genemark-Spar_1-processed-gene-0.65-mRNA-1                561       11        1        8   52.9604   57.9040
augustus_masked-Spar_1-processed-gene-0.3-mRNA-1         4542       12        1        8   57.6585   59.8008
genemark-Spar_1-processed-gene-0.107-mRNA-1              2136       12        1        8   53.8768   60.5565
augustus_masked-Spar_1-processed-gene-0.4-mRNA-1         5472       12        1        8   58.3138   61.0333
genemark-Spar_1-processed-gene-0.108-mRNA-1               735       12        1        8   55.3607   60.6635
genemark-Spar_1-processed-gene-0.109-mRNA-1              1983       12        1        8   58.1458   61.5054
genemark-Spar_1-processed-gene-0.110-mRNA-1              1863       11        1        8   57.7624   60.5323
genemark-Spar_1-processed-gene-0.111-mRNA-1               351       12        1        8   56.2160   60.6847
snap_masked-Spar_1-processed-gene-0.153-mRNA-1            327       11        1        8   54.2407   61.9869
genemark-Spar_1-processed-gene-0.112-mRNA-1               507       11        1        8   53.6225   61.8436
genemark-Spar_1-processed-gene-0.113-mRNA-1              2352       12        1        8   58.1150   61.8590
augustus_masked-Spar_1-processed-gene-0.6-mRNA-1         3786       12        1        8   60.3842   62.7153
genemark-Spar_1-processed-gene-0.114-mRNA-1              1734       12        1        8   56.8902   61.6900
genemark-Spar_1-processed-gene-0.115-mRNA-1               807       12        1        8   57.0112   62.2221
genemark-Spar_1-processed-gene-0.74-mRNA-1               1497       11        1        7   34.4378   59.0290
genemark-Spar_1-processed-gene-0.75-mRNA-1                792       12        1        8   57.1911   59.7625
genemark-Spar_1-processed-gene-0.116-mRNA-1              1104       12        1        8   50.3853   61.2524
genemark-Spar_1-processed-gene-0.76-mRNA-1               2967       12        1        8   46.6162   60.8626
genemark-Spar_1-processed-gene-0.77-mRNA-1                864       12        1        8   56.7279   61.0848
genemark-Spar_1-processed-gene-0.117-mRNA-1              1227       12        1        8   56.9670   61.1491
genemark-Spar_1-processed-gene-0.78-mRNA-1                510       12        1        8   54.5908   62.3158
genemark-Spar_1-processed-gene-0.118-mRNA-1              1149       12        1        8   57.5469   61.8865
genemark-Spar_1-processed-gene-0.119-mRNA-1              2277       12        1        8   57.8338   61.2929
maker-Spar_1-snap-gene-0.233-mRNA-1                       348       12        1        8   55.7078   61.8630
genemark-Spar_1-processed-gene-0.120-mRNA-1              4413       12        1        8   57.4584   60.4219
augustus_masked-Spar_1-processed-gene-0.13-mRNA-1        2289       12        1        8   58.3452   61.6907
genemark-Spar_1-processed-gene-0.121-mRNA-1              4062       12        1        8   53.3367   57.3623
genemark-Spar_1-processed-gene-0.122-mRNA-1               915       12        1        8   54.5787   61.7190
augustus_masked-Spar_1-processed-gene-0.48-mRNA-1        8157       12        1        8   58.8324   61.9371
augustus_masked-Spar_1-processed-gene-0.49-mRNA-1        3399       12        1        8   59.0092   62.5948
genemark-Spar_1-processed-gene-0.82-mRNA-1               3369       12        1        8   56.5617   62.0478
genemark-Spar_1-processed-gene-0.128-mRNA-1               972       12        1        8   55.0023   60.7600
genemark-Spar_1-processed-gene-0.83-mRNA-1               4065       12        1        8   58.2726   59.4800
genemark-Spar_1-processed-gene-0.84-mRNA-1               1893       12        1        8   54.3921   59.3485
augustus_masked-Spar_1-processed-gene-0.51-mRNA-1        1839       12        1        8   58.7355   62.0227
genemark-Spar_1-processed-gene-0.85-mRNA-1               1212       12        1        8   55.4282   57.3105
genemark-Spar_1-processed-gene-0.86-mRNA-1               1179       11        1        8   45.0022   60.1490
genemark-Spar_1-processed-gene-0.87-mRNA-1               1902       12        1        8   56.4786   60.8348
genemark-Spar_1-processed-gene-0.131-mRNA-1              1476       12        1        8   57.0761   59.1811
genemark-Spar_1-processed-gene-0.88-mRNA-1                774       12        1        8   57.0183   60.2159
genemark-Spar_1-processed-gene-0.89-mRNA-1                600       12        1        8   55.4099   60.1751
genemark-Spar_1-processed-gene-0.132-mRNA-1               642       11        1        8   52.7885   58.4302
