gene_id	tAI	nc	gc3
genemark-NODE_1912_length_1620_cov_7.03428_ID_114615-processed-gene-0.0-mRNA-1	nan	44.6290	0.143
augustus_masked-NODE_372_length_6642_cov_10.3033_ID_325833-processed-gene-0.4-mRNA-1	nan	44.3603	0.133
snap_masked-NODE_1233_length_2556_cov_7.99266_ID_266552-processed-gene-0.4-mRNA-1	nan	45.2695	0.210
genemark-NODE_2042_length_1539_cov_9.49164_ID_258407-processed-gene-0.1-mRNA-1	nan	40.1519	0.087
augustus_masked-NODE_725_length_4372_cov_7.2387_ID_338778-processed-gene-0.8-mRNA-1	nan	43.0554	0.153
genemark-NODE_327_length_7188_cov_9.11489_ID_72346-processed-gene-0.12-mRNA-1	nan	41.1147	0.130
augustus_masked-NODE_3911_length_886_cov_16.0741_ID_361011-processed-gene-0.0-mRNA-1	nan	40.1652	0.048
augustus_masked-NODE_8122_length_516_cov_7.06295_ID_370453-processed-gene-0.1-mRNA-1	nan	47.3809	0.130
genemark-NODE_615_length_5062_cov_11.2373_ID_357767-processed-gene-0.6-mRNA-1	nan	36.0467	0.032
augustus_masked-NODE_2450_length_1307_cov_11.2799_ID_355185-processed-gene-0.4-mRNA-1	nan	46.7663	0.181
augustus_masked-NODE_980_length_3292_cov_11.7783_ID_356095-processed-gene-0.0-mRNA-1	nan	47.9352	0.220
genemark-NODE_2_length_224106_cov_13.115_ID_338572-processed-gene-1.62-mRNA-1	nan	41.9579	0.101
augustus_masked-NODE_3295_length_1014_cov_7.54555_ID_266886-processed-gene-0.1-mRNA-1	nan	42.6371	0.107
augustus_masked-NODE_2429_length_1320_cov_9.41906_ID_249256-processed-gene-0.2-mRNA-1	nan	40.4968	0.052
genemark-NODE_1194_length_2666_cov_11.9134_ID_358149-processed-gene-0.2-mRNA-1	nan	43.3093	0.147
snap_masked-NODE_1985_length_1575_cov_11.0143_ID_149224-processed-gene-0.0-mRNA-1	nan	48.2563	0.182
augustus_masked-NODE_1_length_261886_cov_12.5835_ID_37135-processed-gene-1.139-mRNA-1	nan	36.6777	0.107
augustus_masked-NODE_9924_length_444_cov_7.52199_ID_311249-processed-gene-0.1-mRNA-1	nan	47.3865	0.199
genemark-NODE_3_length_150416_cov_12.6129_ID_37234-processed-gene-0.53-mRNA-1	nan	40.8916	0.056
maker-NODE_532_length_5597_cov_10.69_ID_257018-snap-gene-0.8-mRNA-1	nan	41.7731	0.113
genemark-NODE_449_length_6147_cov_10.5392_ID_311218-processed-gene-0.2-mRNA-1	nan	38.6019	0.297
augustus_masked-NODE_273_length_7797_cov_12.0443_ID_355153-processed-gene-0.10-mRNA-1	nan	46.3844	0.220
genemark-NODE_18_length_21181_cov_10.529_ID_355483-processed-gene-0.8-mRNA-1	nan	45.0990	0.149
genemark-NODE_1280_length_2444_cov_11.0658_ID_355977-processed-gene-0.1-mRNA-1	nan	37.8613	0.040
augustus_masked-NODE_5497_length_681_cov_13.4758_ID_360883-processed-gene-0.1-mRNA-1	nan	44.8582	0.100
augustus_masked-NODE_2733_length_1183_cov_7.77593_ID_257798-processed-gene-0.1-mRNA-1	nan	42.1601	0.142
snap_masked-NODE_98_length_12103_cov_8.89208_ID_313875-processed-gene-0.1-mRNA-1	nan	37.5342	0.050
genemark-NODE_569_length_5350_cov_7.90051_ID_223432-processed-gene-0.1-mRNA-1	nan	40.8485	0.086
augustus_masked-NODE_6_length_48430_cov_7.10388_ID_233319-processed-gene-0.19-mRNA-1	nan	34.7904	0.046
augustus_masked-NODE_1347_length_2291_cov_8.1691_ID_119207-processed-gene-0.2-mRNA-1	nan	44.3683	0.154
genemark-NODE_1325_length_2319_cov_12.3005_ID_357641-processed-gene-0.2-mRNA-1	nan	41.6344	0.123
augustus_masked-NODE_2677_length_1206_cov_8.3282_ID_141944-processed-gene-0.5-mRNA-1	nan	45.6554	0.133
augustus_masked-NODE_9211_length_471_cov_6.77446_ID_363531-processed-gene-0.1-mRNA-1	nan	44.9057	0.156
augustus_masked-NODE_4751_length_758_cov_15.4061_ID_357879-processed-gene-0.1-mRNA-1	nan	46.4421	0.146
genemark-NODE_183_length_9363_cov_13.0162_ID_187827-processed-gene-0.2-mRNA-1	nan	41.5669	0.060
genemark-NODE_1601_length_1936_cov_12.6612_ID_266521-processed-gene-0.1-mRNA-1	nan	41.5636	0.132
augustus_masked-NODE_10306_length_431_cov_6.58841_ID_364887-processed-gene-0.1-mRNA-1	nan	45.7716	0.059
augustus_masked-NODE_8024_length_520_cov_8.01918_ID_369419-processed-gene-0.1-mRNA-1	nan	46.8862	0.108
genemark-NODE_3_length_150416_cov_12.6129_ID_37234-processed-gene-0.24-mRNA-1	nan	38.1151	0.041
snap_masked-NODE_10262_length_433_cov_8.76667_ID_363183-processed-gene-0.1-mRNA-1	nan	49.9181	0.209
augustus_masked-NODE_1109_length_2903_cov_12.6179_ID_356717-processed-gene-0.1-mRNA-1	nan	40.0992	0.138
augustus_masked-NODE_10339_length_429_cov_4.95399_ID_362879-processed-gene-0.0-mRNA-1	nan	43.5747	0.105
augustus_masked-NODE_784_length_4069_cov_10.3838_ID_279618-processed-gene-0.5-mRNA-1	nan	36.2810	0.105
augustus_masked-NODE_1082_length_2971_cov_8.8818_ID_332068-processed-gene-0.1-mRNA-1	nan	45.6587	0.061
augustus_masked-NODE_252_length_8077_cov_10.5504_ID_147858-processed-gene-0.9-mRNA-1	nan	47.2763	0.212
augustus_masked-NODE_5672_length_665_cov_8.5605_ID_363179-processed-gene-0.0-mRNA-1	nan	39.0528	0.024
genemark-NODE_497_length_5797_cov_11.363_ID_104916-processed-gene-0.6-mRNA-1	nan	33.9655	0.024
genemark-NODE_8080_length_518_cov_12.6916_ID_359381-processed-gene-0.2-mRNA-1	nan	43.8640	0.022
genemark-NODE_7886_length_527_cov_8.32311_ID_256128-processed-gene-0.0-mRNA-1	nan	46.0787	0.113
snap_masked-NODE_2275_length_1396_cov_6.09203_ID_84344-processed-gene-0.3-mRNA-1	nan	50.7594	0.159
augustus_masked-NODE_5168_length_712_cov_6.68473_ID_364441-processed-gene-0.1-mRNA-1	nan	48.8927	0.206
genemark-NODE_5_length_51732_cov_7.80404_ID_247582-processed-gene-0.42-mRNA-1	nan	36.4825	0.029
genemark-NODE_642_length_4915_cov_9.65648_ID_357923-processed-gene-0.7-mRNA-1	nan	39.5472	0.124
augustus_masked-NODE_9885_length_446_cov_7.60058_ID_365165-processed-gene-0.2-mRNA-1	nan	47.8704	0.124
augustus_masked-NODE_2128_length_1488_cov_14.3329_ID_355503-processed-gene-0.1-mRNA-1	nan	35.5523	0.021
augustus_masked-NODE_1046_length_3056_cov_10.3522_ID_359271-processed-gene-0.0-mRNA-1	nan	37.5522	0.066
snap_masked-NODE_764_length_4159_cov_12.4921_ID_266036-processed-gene-0.4-mRNA-1	nan	48.3575	0.209
augustus_masked-NODE_3049_length_1072_cov_11.2632_ID_357549-processed-gene-0.0-mRNA-1	nan	51.1384	0.282
augustus_masked-NODE_10066_length_439_cov_7.56548_ID_370367-processed-gene-0.0-mRNA-1	nan	44.6169	0.078
genemark-NODE_59_length_13994_cov_10.3167_ID_354791-processed-gene-0.5-mRNA-1	nan	41.8873	0.146
augustus_masked-NODE_9898_length_445_cov_9.33333_ID_362017-processed-gene-0.1-mRNA-1	nan	45.8830	0.127
augustus_masked-NODE_10579_length_421_cov_17.9245_ID_360797-processed-gene-0.0-mRNA-1	nan	39.5774	0.016
augustus_masked-NODE_7634_length_538_cov_8.65287_ID_367621-processed-gene-0.0-mRNA-1	nan	49.5758	0.206
augustus_masked-NODE_2058_length_1526_cov_10.2663_ID_238275-processed-gene-0.1-mRNA-1	nan	45.5264	0.113
genemark-NODE_710_length_4478_cov_10.9522_ID_262166-processed-gene-0.2-mRNA-1	nan	45.0379	0.142
augustus_masked-NODE_4595_length_778_cov_13.9481_ID_356485-processed-gene-0.2-mRNA-1	nan	46.9710	0.169
augustus_masked-NODE_4044_length_861_cov_7.17942_ID_138568-processed-gene-0.2-mRNA-1	nan	47.7570	0.121
augustus_masked-NODE_32_length_17585_cov_11.5657_ID_192361-processed-gene-0.26-mRNA-1	nan	41.3394	0.087
augustus_masked-NODE_4268_length_827_cov_9.83011_ID_354611-processed-gene-0.1-mRNA-1	nan	38.4830	0.062
snap_masked-NODE_111_length_11669_cov_10.5247_ID_276295-processed-gene-0.11-mRNA-1	nan	36.7397	0.080
augustus_masked-NODE_2530_length_1269_cov_5.66638_ID_92376-processed-gene-0.2-mRNA-1	nan	49.4880	0.215
augustus_masked-NODE_7406_length_550_cov_4.84564_ID_370175-processed-gene-0.1-mRNA-1	nan	43.1914	0.052
genemark-NODE_1102_length_2912_cov_7.83232_ID_94945-processed-gene-0.6-mRNA-1	nan	46.3950	0.180
augustus_masked-NODE_8394_length_503_cov_7.7225_ID_369335-processed-gene-0.0-mRNA-1	nan	44.0079	0.100
augustus_masked-NODE_2831_length_1147_cov_6.39176_ID_116507-processed-gene-0.1-mRNA-1	nan	47.0453	0.107
augustus_masked-NODE_3367_length_996_cov_6.73236_ID_117247-processed-gene-0.0-mRNA-1	nan	47.6400	0.167
augustus_masked-NODE_198_length_9115_cov_9.01653_ID_101004-processed-gene-0.1-mRNA-1	nan	49.0284	0.186
augustus_masked-NODE_1168_length_2730_cov_13.5759_ID_354937-processed-gene-0.2-mRNA-1	nan	42.4261	0.086
maker-NODE_506_length_5755_cov_10.503_ID_356833-snap-gene-0.12-mRNA-1	nan	44.9850	0.177
augustus_masked-NODE_1743_length_1764_cov_6.70439_ID_111582-processed-gene-0.2-mRNA-1	nan	48.3623	0.212
augustus_masked-NODE_5495_length_681_cov_5.27163_ID_186507-processed-gene-0.0-mRNA-1	nan	48.8033	0.264
snap_masked-NODE_22_length_20431_cov_9.8234_ID_354109-processed-gene-0.10-mRNA-1	nan	44.8346	0.168
genemark-NODE_14_length_23698_cov_9.56588_ID_357497-processed-gene-0.26-mRNA-1	nan	44.3971	0.198
augustus_masked-NODE_9040_length_477_cov_9.36631_ID_368805-processed-gene-0.0-mRNA-1	nan	48.0585	0.190
genemark-NODE_85_length_12816_cov_11.1664_ID_354477-processed-gene-0.1-mRNA-1	nan	39.6457	0.101
snap_masked-NODE_6710_length_589_cov_6.11934_ID_222292-processed-gene-0.1-mRNA-1	nan	54.6718	0.432
augustus_masked-NODE_418_length_6346_cov_10.8743_ID_358795-processed-gene-0.1-mRNA-1	nan	43.2257	0.154
augustus_masked-NODE_5978_length_641_cov_7.95911_ID_201260-processed-gene-0.2-mRNA-1	nan	45.2062	0.131
snap_masked-NODE_246_length_8276_cov_9.69448_ID_159327-processed-gene-0.7-mRNA-1	nan	42.7506	0.110
genemark-NODE_2527_length_1271_cov_9.45462_ID_235777-processed-gene-0.0-mRNA-1	nan	53.6416	0.290
genemark-NODE_239_length_8375_cov_10.0513_ID_269438-processed-gene-0.1-mRNA-1	nan	39.3751	0.114
augustus_masked-NODE_2_length_224106_cov_13.115_ID_338572-processed-gene-1.81-mRNA-1	nan	38.7126	0.107
augustus_masked-NODE_3875_length_893_cov_8.37595_ID_361385-processed-gene-0.1-mRNA-1	nan	41.8254	0.079
genemark-NODE_1140_length_2831_cov_7.21811_ID_144346-processed-gene-0.6-mRNA-1	nan	41.6606	0.122
snap_masked-NODE_1997_length_1569_cov_6.93179_ID_112370-processed-gene-0.3-mRNA-1	nan	46.1045	0.184
augustus_masked-NODE_3562_length_956_cov_8.5721_ID_122903-processed-gene-0.0-mRNA-1	nan	46.1554	0.108
augustus_masked-NODE_146_length_10264_cov_10.6437_ID_360309-processed-gene-0.9-mRNA-1	nan	37.3700	0.065
genemark-NODE_4_length_88832_cov_6.75257_ID_37364-processed-gene-0.91-mRNA-1	nan	34.5831	0.042
maker-NODE_1128_length_2860_cov_9.9086_ID_358743-augustus-gene-0.6-mRNA-1	nan	50.1925	0.292
genemark-NODE_1761_length_1752_cov_7.88235_ID_150828-processed-gene-0.2-mRNA-1	nan	43.6523	0.136
augustus_masked-NODE_3830_length_901_cov_6.79699_ID_291127-processed-gene-0.1-mRNA-1	nan	47.6401	0.253
augustus_masked-NODE_7859_length_528_cov_5.48706_ID_369827-processed-gene-0.1-mRNA-1	nan	43.9388	0.088
genemark-NODE_160_length_9990_cov_11.2941_ID_86207-processed-gene-0.4-mRNA-1	nan	43.3030	0.145
genemark-NODE_1013_length_3187_cov_10.4397_ID_356803-processed-gene-0.1-mRNA-1	nan	46.1593	0.078
augustus_masked-NODE_2177_length_1459_cov_12.4395_ID_358961-processed-gene-0.0-mRNA-1	nan	41.5228	0.121
snap_masked-NODE_685_length_4684_cov_9.61209_ID_358351-processed-gene-0.4-mRNA-1	nan	36.3842	0.057
augustus_masked-NODE_9722_length_453_cov_6.79714_ID_306070-processed-gene-0.1-mRNA-1	nan	47.0283	0.144
genemark-NODE_360_length_6754_cov_11.3117_ID_139501-processed-gene-0.0-mRNA-1	nan	38.0432	0.069
genemark-NODE_5_length_51732_cov_7.80404_ID_247582-processed-gene-0.53-mRNA-1	nan	37.6746	0.051
genemark-NODE_3253_length_1024_cov_11.0478_ID_361463-processed-gene-0.2-mRNA-1	nan	42.0547	0.135
augustus_masked-NODE_6212_length_623_cov_11.3212_ID_361477-processed-gene-0.1-mRNA-1	nan	45.0154	0.150
