Please cite: 
Sun, X. Y., Yang, Q. Xia, X. 2012. An Improved Implementation of Effective Number of Codons (Nc). Molecular Biology and Evolution 30:191-196.Please note: short sequences may have few 2-fold and 4-fold codon families with useful data and 
may have no codon belonging to 3-fold codon families. Nc from such sequences may not be reliable.

Chosen options:
F as sum of p^2: Yes
Weighted F: Yes
Minimum number of codons for i-fold codon family: i+1.
Pseudocount added to codon counts: 1.00


SeqName                                                   SeqLen       N2*      N3*      N4*       Nc     ExpNc
---------------------------------------------------------------------------------------------------------------
augustus_masked-ari-_C29511-processed-gene-0.1-mRNA-1        321       11        3        7   54.5524   62.4572
augustus_masked-ari-_C30983-processed-gene-0.1-mRNA-1        579       10        3        7   56.5029   62.1245
snap_masked-ari-_C31065-processed-gene-0.0-mRNA-1            339       11        3        7   55.1887   60.8231
augustus_masked-ari-_C31101-processed-gene-0.1-mRNA-1        705       11        3        7   46.6805   53.1247
augustus_masked-ari-_C32273-processed-gene-0.1-mRNA-1        708       10        3        7   52.7237   59.4433
augustus_masked-ari-_C32571-processed-gene-0.1-mRNA-1        519       11        3        7   50.2029   61.3473
augustus_masked-ari-_C32591-processed-gene-0.2-mRNA-1        972       11        3        7   55.5843   59.6336
augustus_masked-ari-_C33023-processed-gene-0.2-mRNA-1       1122       11        3        7   55.0260   62.0009
snap_masked-ari-_C33109-processed-gene-0.0-mRNA-1            471       11        3        7   56.0809   60.6722
augustus_masked-ari-_C33231-processed-gene-0.0-mRNA-1        444       11        3        7   55.7950   60.9385
snap_masked-ari-_C33467-processed-gene-0.2-mRNA-1            498       11        3        7   56.2089   58.8337
snap_masked-ari-_C33651-processed-gene-0.2-mRNA-1           1032       11        3        7   54.1393   58.1536
augustus_masked-ari-_C33993-processed-gene-0.2-mRNA-1       1722       11        3        7   53.7015   59.2883
snap_masked-ari-_C34319-processed-gene-0.0-mRNA-1            363        9        3        7   55.4940   61.6341
augustus_masked-ari-_C34319-processed-gene-0.2-mRNA-1        921       11        3        7   51.4535   54.0900
snap_masked-ari-_C34391-processed-gene-0.0-mRNA-1            318        6        1        6   49.3417   44.8413
augustus_masked-ari-_C34395-processed-gene-0.4-mRNA-1       1452       11        3        7   56.4599   61.1302
augustus_masked-ari-_C34463-processed-gene-0.0-mRNA-1        639       11        3        7   52.7901   60.0918
augustus_masked-ari-_C34463-processed-gene-0.1-mRNA-1        405       11        2        7   49.5576   62.7686
snap_masked-ari-_C34547-processed-gene-0.2-mRNA-1            306       11        2        7   56.2002   61.1080
augustus_masked-ari-_C34547-processed-gene-0.0-mRNA-1        423       10        1        6   47.8776   59.4074
snap_masked-ari-_C34549-processed-gene-0.5-mRNA-1            714       11        3        7   52.1279   53.9954
augustus_masked-ari-_C34549-processed-gene-0.2-mRNA-1       1452       11        3        7   54.0554   59.4605
augustus_masked-ari-_C34629-processed-gene-0.2-mRNA-1        888       11        3        7   54.9587   60.6781
augustus_masked-ari-_C34629-processed-gene-0.3-mRNA-1       1113       11        3        7   56.0201   60.8946
augustus_masked-ari-_C34857-processed-gene-0.7-mRNA-1        453       10        3        7   51.1814   56.7929
augustus_masked-ari-_C34857-processed-gene-0.8-mRNA-1       1278       10        3        7   45.1226   48.1146
snap_masked-ari-_C34857-processed-gene-0.3-mRNA-1            522       10        3        7   45.5506   44.8495
augustus_masked-ari-_C34857-processed-gene-0.9-mRNA-1        981       10        3        7   43.3935   49.4408
snap_masked-ari-_C34857-processed-gene-0.5-mRNA-1            423       10        3        7   50.3840   53.4658
augustus_masked-ari-_C34861-processed-gene-0.2-mRNA-1       2979       11        3        7   57.5695   61.1809
augustus_masked-ari-_C34863-processed-gene-0.0-mRNA-1       1263       11        3        7   52.3299   58.7896
augustus_masked-ari-_C34863-processed-gene-0.1-mRNA-1        657       11        3        7   55.4984   59.6734
augustus_masked-ari-_C35247-processed-gene-0.5-mRNA-1       2820       11        3        7   52.0128   60.9047
augustus_masked-ari-_C35247-processed-gene-0.4-mRNA-1       2925       11        3        7   57.0638   60.3009
augustus_masked-ari-_C35487-processed-gene-0.2-mRNA-1       2004       11        3        7   56.8148   60.4904
augustus_masked-ari-_C35487-processed-gene-0.3-mRNA-1        354       11        1        6   44.5675   56.8764
augustus_masked-ari-_C35557-processed-gene-0.11-mRNA-1       357       11        3        7   54.5761   60.7895
augustus_masked-ari-_C35557-processed-gene-0.9-mRNA-1       1212       11        3        7   54.2116   60.1167
augustus_masked-ari-_C35557-processed-gene-0.10-mRNA-1      3354       11        3        7   55.5933   59.5625
augustus_masked-ari-_s1-processed-gene-0.44-mRNA-1          1467       11        3        7   58.4001   62.4168
augustus_masked-ari-_s1-processed-gene-0.45-mRNA-1           849       11        3        7   54.8406   58.4242
augustus_masked-ari-_s1-processed-gene-0.32-mRNA-1          3042       11        3        7   57.1121   62.8084
augustus_masked-ari-_s1-processed-gene-0.46-mRNA-1           681       11        3        7   55.8025   60.9745
augustus_masked-ari-_s1-processed-gene-0.33-mRNA-1          2820       11        3        7   56.0968   61.5928
snap_masked-ari-_s1-processed-gene-0.69-mRNA-1              2310       11        3        7   57.2106   62.2024
snap_masked-ari-_s1-processed-gene-0.70-mRNA-1              1908       11        3        7   45.9555   59.7361
augustus_masked-ari-_s1-processed-gene-0.35-mRNA-1           465       11        3        7   51.9713   60.8277
augustus_masked-ari-_s1-processed-gene-0.47-mRNA-1          1089       11        3        7   56.1251   62.2626
augustus_masked-ari-_s1-processed-gene-0.48-mRNA-1          1338       11        3        7   46.6713   58.4135
augustus_masked-ari-_s1-processed-gene-0.49-mRNA-1          2646       11        3        7   56.4145   61.1278
augustus_masked-ari-_s1-processed-gene-0.50-mRNA-1          2190       11        3        7   57.8584   61.8487
augustus_masked-ari-_s1-processed-gene-0.51-mRNA-1          1239       11        3        7   56.3977   59.1265
augustus_masked-ari-_s1-processed-gene-0.52-mRNA-1          1452       11        3        7   52.0265   61.1002
augustus_masked-ari-_s1-processed-gene-0.36-mRNA-1           798       11        3        7   54.4044   61.5649
augustus_masked-ari-_s1-processed-gene-0.53-mRNA-1           876       11        3        7   55.5765   60.8657
augustus_masked-ari-_s1-processed-gene-0.37-mRNA-1           915       11        3        7   51.0026   56.6461
augustus_masked-ari-_s1-processed-gene-0.55-mRNA-1          1023       10        3        7   54.9685   60.1989
augustus_masked-ari-_s1-processed-gene-0.56-mRNA-1           930       11        3        7   52.3487   61.8576
genemark-ari-_s1-processed-gene-0.25-mRNA-1                 1383       11        3        7   53.9212   58.7174
