gene_id	tAI	nc	gc3
genemark-gi|1002316123|dbj|BCGK01000007.1|-processed-gene-5.100-mRNA-1	0.661606500572322	44.9877	0.560
genemark-gi|1002316123|dbj|BCGK01000007.1|-processed-gene-1.116-mRNA-1	0.476142370116661	53.8219	0.555
augustus_masked-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-8.6-mRNA-1	0.400500867400497	57.9411	0.488
genemark-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-15.73-mRNA-1	0.529623773828503	49.6684	0.642
maker-gi|1002316128|dbj|BCGK01000002.1|-snap-gene-2.2-mRNA-1	0.423675944837277	57.3576	0.455
maker-gi|1002316126|dbj|BCGK01000004.1|-augustus-gene-10.8-mRNA-1	0.488366077758585	56.3674	0.506
snap_masked-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-2.102-mRNA-1	0.432872855279709	59.1753	0.500
augustus_masked-gi|1002316127|dbj|BCGK01000003.1|-processed-gene-3.71-mRNA-1	0.362436136748221	56.2292	0.513
augustus_masked-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-2.30-mRNA-1	0.415219660253364	57.0969	0.568
genemark-gi|1002316126|dbj|BCGK01000004.1|-processed-gene-12.150-mRNA-1	0.400631133386149	55.7476	0.396
genemark-gi|1002316127|dbj|BCGK01000003.1|-processed-gene-4.35-mRNA-1	0.471124329270744	55.9492	0.487
genemark-gi|1002316129|dbj|BCGK01000001.1|-processed-gene-4.78-mRNA-1	0.536141354514258	50.1240	0.415
genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-6.149-mRNA-1	0.464798355658763	56.7587	0.453
maker-gi|1002316125|dbj|BCGK01000005.1|-snap-gene-3.50-mRNA-1	0.451148144737356	56.8732	0.403
snap_masked-gi|1002316129|dbj|BCGK01000001.1|-processed-gene-9.27-mRNA-1	0.484157191945278	56.5163	0.493
genemark-gi|1002316129|dbj|BCGK01000001.1|-processed-gene-1.95-mRNA-1	0.459619296806039	57.8175	0.449
genemark-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-6.10-mRNA-1	0.486866921772343	44.6620	0.781
genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-3.63-mRNA-1	0.469671307714964	56.9137	0.524
genemark-gi|1002316129|dbj|BCGK01000001.1|-processed-gene-14.12-mRNA-1	0.488249132490715	53.2211	0.543
augustus_masked-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-8.0-mRNA-1	0.450879065132943	55.8678	0.567
genemark-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-15.92-mRNA-1	0.491005918945085	54.0002	0.497
genemark-gi|1002316129|dbj|BCGK01000001.1|-processed-gene-7.155-mRNA-1	0.458561708111915	54.8080	0.589
augustus_masked-gi|1002316126|dbj|BCGK01000004.1|-processed-gene-6.73-mRNA-1	0.479684791108922	54.6652	0.618
genemark-gi|1002316129|dbj|BCGK01000001.1|-processed-gene-16.61-mRNA-1	0.507123188705991	56.2014	0.454
genemark-gi|1002316124|dbj|BCGK01000006.1|-processed-gene-5.93-mRNA-1	0.391324775738765	56.3686	0.586
genemark-gi|1002316124|dbj|BCGK01000006.1|-processed-gene-5.62-mRNA-1	0.525135850473677	50.8281	0.748
genemark-gi|1002316129|dbj|BCGK01000001.1|-processed-gene-14.7-mRNA-1	0.446239771274586	53.8354	0.580
genemark-gi|1002316129|dbj|BCGK01000001.1|-processed-gene-2.126-mRNA-1	0.500640979465295	38.9282	0.866
augustus_masked-gi|1002316123|dbj|BCGK01000007.1|-processed-gene-1.128-mRNA-1	0.438242518935819	53.5343	0.636
genemark-gi|1002316127|dbj|BCGK01000003.1|-processed-gene-7.18-mRNA-1	0.539431306000122	53.5887	0.531
augustus_masked-gi|1002316124|dbj|BCGK01000006.1|-processed-gene-2.75-mRNA-1	0.354695559009505	59.5678	0.483
genemark-gi|1002316129|dbj|BCGK01000001.1|-processed-gene-13.123-mRNA-1	0.424759389627133	54.6792	0.548
maker-gi|1002316129|dbj|BCGK01000001.1|-augustus-gene-5.164-mRNA-1	0.521746292728397	49.2853	0.682
genemark-gi|1002316121|dbj|BCGK01000009.1|-processed-gene-0.285-mRNA-1	0.47900335030418	51.8840	0.648
genemark-gi|1002316127|dbj|BCGK01000003.1|-processed-gene-14.100-mRNA-1	0.454207133843674	57.2065	0.579
snap_masked-gi|1002316129|dbj|BCGK01000001.1|-processed-gene-17.49-mRNA-1	0.454124288176158	56.1292	0.582
genemark-gi|1002316121|dbj|BCGK01000009.1|-processed-gene-0.224-mRNA-1	0.449673213542166	46.8776	0.804
genemark-gi|1002316129|dbj|BCGK01000001.1|-processed-gene-11.99-mRNA-1	0.356341292902306	59.3705	0.451
genemark-gi|1002316126|dbj|BCGK01000004.1|-processed-gene-1.76-mRNA-1	0.498218140964227	48.5992	0.712
genemark-gi|1002316126|dbj|BCGK01000004.1|-processed-gene-7.81-mRNA-1	0.454732687411272	56.4931	0.516
genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-3.61-mRNA-1	0.473208971412437	54.3732	0.464
genemark-gi|1002316123|dbj|BCGK01000007.1|-processed-gene-6.76-mRNA-1	0.574355696522278	47.2182	0.634
augustus_masked-gi|1002316129|dbj|BCGK01000001.1|-processed-gene-13.104-mRNA-1	0.46424216168107	53.7538	0.648
