gene_id	tAI	nc	gc3
genemark-flattened_line_4-processed-gene-7.72-mRNA-1	0.425254216752686	56.1702	0.366
snap_masked-flattened_line_0-processed-gene-7.52-mRNA-1	0.432811362412604	54.5873	0.336
genemark-flattened_line_6-processed-gene-9.157-mRNA-1	0.476894184473155	52.1412	0.316
genemark-flattened_line_12-processed-gene-3.91-mRNA-1	0.454098359684018	55.0577	0.362
genemark-flattened_line_2-processed-gene-9.127-mRNA-1	0.436778494783416	53.9448	0.349
genemark-flattened_line_12-processed-gene-5.131-mRNA-1	0.460532946943058	50.2453	0.288
maker-flattened_line_10-augustus-gene-1.105-mRNA-1	0.536265886417982	52.8383	0.388
genemark-flattened_line_0-processed-gene-9.32-mRNA-1	0.443635254140601	50.1237	0.264
genemark-flattened_line_16-processed-gene-2.63-mRNA-1	0.520419314452298	50.1034	0.302
genemark-flattened_line_6-processed-gene-7.11-mRNA-1	0.456844885891858	52.4762	0.310
augustus_masked-flattened_line_6-processed-gene-2.34-mRNA-1	0.455783619434507	51.8923	0.299
genemark-flattened_line_2-processed-gene-2.63-mRNA-1	0.50475559422315	56.2719	0.376
genemark-flattened_line_26-processed-gene-1.250-mRNA-1	0.435689963302245	53.0659	0.329
genemark-flattened_line_16-processed-gene-3.94-mRNA-1	0.574879685316636	48.2190	0.352
genemark-flattened_line_10-processed-gene-3.140-mRNA-1	0.51437945692407	48.7826	0.329
genemark-flattened_line_2-processed-gene-4.61-mRNA-1	0.467339215198858	53.1300	0.315
augustus_masked-flattened_line_0-processed-gene-8.163-mRNA-1	0.437872203686576	54.0759	0.321
genemark-flattened_line_12-processed-gene-2.51-mRNA-1	0.446576689371081	54.0503	0.336
genemark-flattened_line_24-processed-gene-1.221-mRNA-1	0.457155615820917	54.3844	0.343
genemark-flattened_line_18-processed-gene-2.5-mRNA-1	0.454858445033656	50.8155	0.247
genemark-flattened_line_2-processed-gene-7.42-mRNA-1	0.386258087229908	52.0827	0.273
snap_masked-flattened_line_12-processed-gene-4.56-mRNA-1	0.457035035750752	53.5143	0.303
genemark-flattened_line_4-processed-gene-6.19-mRNA-1	0.525006087987389	51.4347	0.400
genemark-flattened_line_6-processed-gene-9.183-mRNA-1	0.480627160173477	52.0395	0.328
genemark-flattened_line_6-processed-gene-2.142-mRNA-1	0.457277023994057	53.0942	0.287
genemark-flattened_line_0-processed-gene-9.29-mRNA-1	0.469059890809466	51.8005	0.287
snap_masked-flattened_line_0-processed-gene-13.70-mRNA-1	0.430557242878492	54.0075	0.374
genemark-flattened_line_26-processed-gene-1.237-mRNA-1	0.436820679109297	52.8702	0.291
genemark-flattened_line_0-processed-gene-14.185-mRNA-1	0.474741750177864	52.5639	0.367
genemark-flattened_line_8-processed-gene-5.52-mRNA-1	0.468966169492345	55.9082	0.349
genemark-flattened_line_18-processed-gene-2.2-mRNA-1	0.473431140043032	52.0594	0.300
genemark-flattened_line_4-processed-gene-10.234-mRNA-1	0.449276006147222	53.8709	0.303
genemark-flattened_line_32-processed-gene-0.79-mRNA-1	0.437134995519671	52.0571	0.241
genemark-flattened_line_16-processed-gene-3.82-mRNA-1	0.433772997088875	54.3137	0.319
genemark-flattened_line_22-processed-gene-2.142-mRNA-1	0.484644050610014	54.0262	0.329
genemark-flattened_line_20-processed-gene-0.17-mRNA-1	0.491818187312579	55.0113	0.419
genemark-flattened_line_10-processed-gene-1.157-mRNA-1	0.441216459484179	55.2972	0.356
maker-flattened_line_4-snap-gene-4.118-mRNA-1	0.588729350958855	41.9006	0.388
genemark-flattened_line_2-processed-gene-10.222-mRNA-1	0.482385231337199	50.8215	0.387
snap_masked-flattened_line_14-processed-gene-1.9-mRNA-1	0.433166869430869	55.4017	0.346
genemark-flattened_line_28-processed-gene-0.109-mRNA-1	0.449716228637371	54.3928	0.318
genemark-flattened_line_2-processed-gene-10.221-mRNA-1	0.425038480348389	53.7042	0.292
genemark-flattened_line_14-processed-gene-2.139-mRNA-1	0.462844892451356	55.9045	0.381
genemark-flattened_line_26-processed-gene-1.256-mRNA-1	0.496521512998556	49.1013	0.307
augustus_masked-flattened_line_10-processed-gene-0.16-mRNA-1	0.509245899916636	53.3704	0.394
genemark-flattened_line_26-processed-gene-1.228-mRNA-1	0.422745876635438	54.4451	0.310
genemark-flattened_line_12-processed-gene-1.124-mRNA-1	0.459899084314148	52.8878	0.299
genemark-flattened_line_14-processed-gene-3.73-mRNA-1	0.46929196337919	52.5333	0.286
genemark-flattened_line_8-processed-gene-7.120-mRNA-1	0.592044299964367	39.8691	0.419
genemark-flattened_line_2-processed-gene-3.131-mRNA-1	0.434700599901193	56.3486	0.367
augustus_masked-flattened_line_0-processed-gene-11.66-mRNA-1	0.424829955613579	53.6973	0.298
snap_masked-flattened_line_10-processed-gene-5.77-mRNA-1	0.417129535399801	56.1061	0.333
genemark-flattened_line_6-processed-gene-7.16-mRNA-1	0.458548438169013	53.1700	0.321
augustus_masked-flattened_line_0-processed-gene-2.45-mRNA-1	0.473852233387155	50.3538	0.262
genemark-flattened_line_0-processed-gene-8.12-mRNA-1	0.40171867708325	54.6053	0.311
genemark-flattened_line_4-processed-gene-4.58-mRNA-1	0.383188568583103	54.3303	0.323
genemark-flattened_line_0-processed-gene-5.130-mRNA-1	0.419209947503728	55.7127	0.363
augustus_masked-flattened_line_4-processed-gene-10.164-mRNA-1	0.478805700034599	49.9619	0.331
genemark-flattened_line_4-processed-gene-10.200-mRNA-1	0.472089911681113	54.1360	0.322
genemark-flattened_line_8-processed-gene-6.87-mRNA-1	0.53964828857651	48.2248	0.370
maker-flattened_line_10-augustus-gene-0.41-mRNA-1	0.515952271370523	54.8555	0.500
snap_masked-flattened_line_28-processed-gene-1.115-mRNA-1	0.445950575438228	55.0242	0.329
genemark-flattened_line_26-processed-gene-0.15-mRNA-1	0.533059069989071	49.9793	0.341
snap_masked-flattened_line_12-processed-gene-5.10-mRNA-1	0.457824658126518	53.6038	0.342
augustus_masked-flattened_line_6-processed-gene-2.13-mRNA-1	0.437362300899164	52.8081	0.313
augustus_masked-flattened_line_4-processed-gene-1.12-mRNA-1	0.445478680738385	53.4376	0.320
genemark-flattened_line_2-processed-gene-1.133-mRNA-1	0.485985407898155	53.8368	0.308
genemark-flattened_line_12-processed-gene-2.24-mRNA-1	0.426560984324562	54.2148	0.312
snap_masked-flattened_line_2-processed-gene-3.85-mRNA-1	0.429050896833661	55.5060	0.327
genemark-flattened_line_0-processed-gene-14.174-mRNA-1	0.433238908066502	53.4496	0.295
genemark-flattened_line_12-processed-gene-1.136-mRNA-1	0.446102950672536	54.5136	0.322
genemark-flattened_line_2-processed-gene-4.76-mRNA-1	0.435802051160615	51.8680	0.292
maker-flattened_line_22-augustus-gene-0.41-mRNA-1	0.448577639996705	52.3670	0.302
genemark-flattened_line_24-processed-gene-1.253-mRNA-1	0.488901199045268	52.1319	0.288
genemark-flattened_line_4-processed-gene-7.74-mRNA-1	0.520368790802358	50.4147	0.332
genemark-flattened_line_2-processed-gene-9.111-mRNA-1	0.423185721307387	58.0066	0.428
augustus_masked-flattened_line_6-processed-gene-0.67-mRNA-1	0.44738268495088	54.8608	0.345
genemark-flattened_line_8-processed-gene-1.119-mRNA-1	0.557019892467488	54.2627	0.379
snap_masked-flattened_line_14-processed-gene-4.91-mRNA-1	0.45648739276955	50.9800	0.260
maker-flattened_line_18-augustus-gene-2.61-mRNA-1	0.443568090086683	57.2150	0.382
maker-flattened_line_12-snap-gene-0.0-mRNA-1	0.536540334481628	46.7755	0.355
genemark-flattened_line_8-processed-gene-8.213-mRNA-1	0.435043519801392	53.4648	0.299
snap_masked-flattened_line_2-processed-gene-2.129-mRNA-1	0.518683743793339	50.4095	0.289
augustus_masked-flattened_line_72-processed-gene-0.2-mRNA-1	0.424358401866604	51.9390	0.270
augustus_masked-flattened_line_8-processed-gene-1.35-mRNA-1	0.429239333372853	54.0331	0.336
genemark-flattened_line_28-processed-gene-0.110-mRNA-1	0.501922309025343	50.1556	0.314
genemark-flattened_line_24-processed-gene-0.42-mRNA-1	0.497505348842254	54.6145	0.389
genemark-flattened_line_4-processed-gene-0.38-mRNA-1	0.559101721391603	44.5022	0.302
genemark-flattened_line_8-processed-gene-7.117-mRNA-1	0.455321781524457	51.8423	0.287
augustus_masked-flattened_line_0-processed-gene-4.140-mRNA-1	0.506319729365593	51.1261	0.300
genemark-flattened_line_4-processed-gene-6.38-mRNA-1	0.481313143765195	52.3664	0.295
maker-flattened_line_2-augustus-gene-7.56-mRNA-1	0.466245293768626	52.9693	0.324
genemark-flattened_line_0-processed-gene-4.103-mRNA-1	0.476487379210861	50.5375	0.274
genemark-flattened_line_30-processed-gene-1.46-mRNA-1	0.441564623333595	53.8717	0.312
genemark-flattened_line_6-processed-gene-3.42-mRNA-1	0.426819837027477	52.0097	0.293
genemark-flattened_line_0-processed-gene-11.141-mRNA-1	0.4753732097095	52.8443	0.313
genemark-flattened_line_18-processed-gene-3.120-mRNA-1	0.4345081037236	56.0638	0.365
genemark-flattened_line_0-processed-gene-12.86-mRNA-1	0.461744582153292	55.3312	0.327
genemark-flattened_line_16-processed-gene-0.103-mRNA-1	0.446535975477981	53.9771	0.319
snap_masked-flattened_line_4-processed-gene-3.24-mRNA-1	0.462436104055659	50.0597	0.249
genemark-flattened_line_14-processed-gene-3.66-mRNA-1	0.507974122184821	50.8306	0.295
genemark-flattened_line_34-processed-gene-0.90-mRNA-1	0.452298413379809	55.6178	0.337
snap_masked-flattened_line_4-processed-gene-7.145-mRNA-1	0.425458869849079	55.0332	0.344
genemark-flattened_line_18-processed-gene-1.104-mRNA-1	0.442655593692466	51.3309	0.287
genemark-flattened_line_22-processed-gene-2.170-mRNA-1	0.45404122744564	52.9992	0.322
augustus_masked-flattened_line_30-processed-gene-1.161-mRNA-1	0.431088885904392	55.8251	0.348
augustus_masked-flattened_line_6-processed-gene-7.118-mRNA-1	0.488918710019114	52.8030	0.342
snap_masked-flattened_line_20-processed-gene-1.91-mRNA-1	0.456735122230807	54.4868	0.302
genemark-flattened_line_8-processed-gene-0.125-mRNA-1	0.492930449605349	48.7717	0.276
genemark-flattened_line_18-processed-gene-3.136-mRNA-1	0.42494147886173	53.5843	0.308
snap_masked-flattened_line_22-processed-gene-2.0-mRNA-1	0.438992858784735	54.4427	0.291
augustus_masked-flattened_line_20-processed-gene-2.224-mRNA-1	0.492490135137156	51.1390	0.297
genemark-flattened_line_38-processed-gene-0.11-mRNA-1	0.438169719775696	51.0206	0.267
genemark-flattened_line_4-processed-gene-3.76-mRNA-1	0.45217502797737	51.0392	0.288
snap_masked-flattened_line_12-processed-gene-3.9-mRNA-1	0.421137871442221	53.9940	0.342
snap_masked-flattened_line_2-processed-gene-10.11-mRNA-1	0.464106216096987	53.8797	0.320
genemark-flattened_line_6-processed-gene-5.67-mRNA-1	0.431131286854484	54.2853	0.320
genemark-flattened_line_46-processed-gene-0.34-mRNA-1	0.504137366498943	52.4571	0.330
augustus_masked-flattened_line_2-processed-gene-10.177-mRNA-1	0.44266872816212	54.0851	0.287
genemark-flattened_line_2-processed-gene-2.61-mRNA-1	0.427161930805531	52.5816	0.311
genemark-flattened_line_0-processed-gene-14.205-mRNA-1	0.451572076014483	55.1250	0.358
genemark-flattened_line_0-processed-gene-5.150-mRNA-1	0.603205984727931	42.1584	0.379
genemark-flattened_line_4-processed-gene-2.116-mRNA-1	0.498583479083494	52.2247	0.319
genemark-flattened_line_20-processed-gene-2.39-mRNA-1	0.519641172867545	54.3592	0.375
genemark-flattened_line_16-processed-gene-0.128-mRNA-1	0.433381353169906	54.7397	0.325
genemark-flattened_line_0-processed-gene-4.61-mRNA-1	0.466386760365752	52.1773	0.296
genemark-flattened_line_26-processed-gene-1.229-mRNA-1	0.440720210783523	52.0950	0.350
augustus_masked-flattened_line_2-processed-gene-3.38-mRNA-1	0.481589368928088	51.8526	0.303
genemark-flattened_line_14-processed-gene-4.193-mRNA-1	0.474001435153786	53.6111	0.295
genemark-flattened_line_12-processed-gene-2.34-mRNA-1	0.43594818398983	54.8884	0.351
maker-flattened_line_22-augustus-gene-2.132-mRNA-1	0.452784692616995	56.1073	0.378
genemark-flattened_line_8-processed-gene-8.239-mRNA-1	0.486484763085209	50.6114	0.302
genemark-flattened_line_0-processed-gene-13.128-mRNA-1	0.449890211393226	54.9744	0.333
genemark-flattened_line_20-processed-gene-1.33-mRNA-1	0.463239332032751	51.0702	0.289
genemark-flattened_line_18-processed-gene-0.103-mRNA-1	0.445918530511598	53.5577	0.310
genemark-flattened_line_16-processed-gene-3.97-mRNA-1	0.444752371072054	51.3409	0.296
genemark-flattened_line_26-processed-gene-1.266-mRNA-1	0.566773617951696	41.3888	0.294
genemark-flattened_line_10-processed-gene-5.143-mRNA-1	0.512145197055923	47.5785	0.256
snap_masked-flattened_line_20-processed-gene-2.169-mRNA-1	0.444979296091042	49.8919	0.286
genemark-flattened_line_2-processed-gene-6.18-mRNA-1	0.486165515399069	52.3787	0.317
genemark-flattened_line_6-processed-gene-1.81-mRNA-1	0.434939151609215	54.3758	0.316
genemark-flattened_line_38-processed-gene-0.14-mRNA-1	0.4769851296842	52.6119	0.326
genemark-flattened_line_40-processed-gene-0.15-mRNA-1	0.460360828308839	54.0807	0.329
genemark-flattened_line_6-processed-gene-9.185-mRNA-1	0.423108977683726	53.4422	0.297
