gene_id	tAI	nc	gc3
snap_masked-NODE_6_length_738973_cov_35.7179_ID_11-processed-gene-5.47-mRNA-1	0.607186292996071	39.8675	0.250
augustus_masked-NODE_29_length_190992_cov_44.1238_ID_57-processed-gene-0.177-mRNA-1	0.384976768638736	50.4668	0.254
snap_masked-NODE_51_length_71930_cov_46.2221_ID_101-processed-gene-0.48-mRNA-1	0.41828122235199	49.0498	0.244
snap_masked-NODE_13_length_488124_cov_36.1311_ID_25-processed-gene-3.2-mRNA-1	0.50453673450811	45.8718	0.302
snap_masked-NODE_42_length_103446_cov_41.3223_ID_83-processed-gene-0.94-mRNA-1	0.476088494421555	43.6198	0.179
maker-NODE_2_length_923280_cov_37.2315_ID_3-snap-gene-3.45-mRNA-1	0.370687147399712	49.8866	0.253
snap_masked-NODE_30_length_181898_cov_34.4888_ID_59-processed-gene-0.221-mRNA-1	0.502086304512608	43.3691	0.255
snap_masked-NODE_3_length_851894_cov_38.1691_ID_5-processed-gene-4.93-mRNA-1	0.517943330501575	45.3749	0.227
maker-NODE_21_length_275461_cov_37.4346_ID_41-augustus-gene-1.236-mRNA-1	0.442598170500301	47.6144	0.271
snap_masked-NODE_65_length_29194_cov_37.077_ID_129-processed-gene-0.5-mRNA-1	0.442284679445215	52.8111	0.432
snap_masked-NODE_2_length_923280_cov_37.2315_ID_3-processed-gene-4.59-mRNA-1	0.461352641153254	47.8003	0.267
snap_masked-NODE_39_length_110300_cov_46.0718_ID_77-processed-gene-0.79-mRNA-1	0.594918314434786	36.6382	0.210
snap_masked-NODE_24_length_237396_cov_36.973_ID_47-processed-gene-0.15-mRNA-1	0.4422353290197	50.1079	0.286
snap_masked-NODE_21_length_275461_cov_37.4346_ID_41-processed-gene-1.184-mRNA-1	0.462808274587837	46.6088	0.229
snap_masked-NODE_1_length_1123490_cov_36.3557_ID_1-processed-gene-6.45-mRNA-1	0.533975257294926	42.5266	0.232
snap_masked-NODE_19_length_349328_cov_38.6167_ID_37-processed-gene-2.222-mRNA-1	0.526114391362799	45.5818	0.232
snap_masked-NODE_4_length_780009_cov_36.5782_ID_7-processed-gene-5.104-mRNA-1	0.540631652318324	41.6781	0.233
snap_masked-NODE_5_length_763819_cov_35.0206_ID_9-processed-gene-6.48-mRNA-1	0.482543886672352	47.7543	0.256
augustus_masked-NODE_14_length_402820_cov_37.3962_ID_27-processed-gene-3.91-mRNA-1	0.430756641291786	50.5560	0.258
snap_masked-NODE_1_length_1123490_cov_36.3557_ID_1-processed-gene-3.123-mRNA-1	0.416423463736915	52.2525	0.335
snap_masked-NODE_2_length_923280_cov_37.2315_ID_3-processed-gene-6.127-mRNA-1	0.531087781294604	46.2637	0.275
snap_masked-NODE_2_length_923280_cov_37.2315_ID_3-processed-gene-6.94-mRNA-1	0.391047466048857	49.5483	0.240
snap_masked-NODE_6_length_738973_cov_35.7179_ID_11-processed-gene-1.23-mRNA-1	0.478287746950834	47.8098	0.242
augustus_masked-NODE_2_length_923280_cov_37.2315_ID_3-processed-gene-4.142-mRNA-1	0.498587417059262	44.2137	0.205
snap_masked-NODE_11_length_553976_cov_35.7072_ID_21-processed-gene-3.107-mRNA-1	0.417651484027919	48.4696	0.248
snap_masked-NODE_6_length_738973_cov_35.7179_ID_11-processed-gene-6.165-mRNA-1	0.434844779475111	51.8078	0.407
augustus_masked-NODE_21_length_275461_cov_37.4346_ID_41-processed-gene-1.124-mRNA-1	0.398939227404556	52.1597	0.307
snap_masked-NODE_18_length_380975_cov_38.0398_ID_35-processed-gene-2.17-mRNA-1	0.419977087646344	46.4286	0.218
snap_masked-NODE_9_length_617110_cov_37.3077_ID_17-processed-gene-5.16-mRNA-1	0.430986759674943	53.1351	0.313
snap_masked-NODE_4_length_780009_cov_36.5782_ID_7-processed-gene-4.120-mRNA-1	0.579138851813327	41.6558	0.255
snap_masked-NODE_11_length_553976_cov_35.7072_ID_21-processed-gene-1.100-mRNA-1	0.469418519648496	50.3554	0.304
snap_masked-NODE_13_length_488124_cov_36.1311_ID_25-processed-gene-2.51-mRNA-1	0.540328175399747	43.5485	0.233
snap_masked-NODE_7_length_719369_cov_38.9049_ID_13-processed-gene-2.59-mRNA-1	0.469455524015446	48.5714	0.292
snap_masked-NODE_78_length_11331_cov_38.3628_ID_155-processed-gene-0.1-mRNA-1	0.4186084503776	48.4385	0.258
snap_masked-NODE_36_length_134511_cov_36.0754_ID_71-processed-gene-0.56-mRNA-1	0.442471847340256	50.0560	0.270
snap_masked-NODE_33_length_169085_cov_36.4495_ID_65-processed-gene-0.151-mRNA-1	0.49375030757978	46.5110	0.226
augustus_masked-NODE_18_length_380975_cov_38.0398_ID_35-processed-gene-2.227-mRNA-1	0.466139110270696	43.1481	0.218
snap_masked-NODE_32_length_169731_cov_37.4923_ID_63-processed-gene-0.2-mRNA-1	0.448979800310859	46.2572	0.244
snap_masked-NODE_34_length_157888_cov_36.3073_ID_67-processed-gene-0.168-mRNA-1	0.446420943173396	44.6875	0.220
snap_masked-NODE_37_length_130751_cov_37.7297_ID_73-processed-gene-0.156-mRNA-1	0.408644073615109	48.4658	0.240
augustus_masked-NODE_1_length_1123490_cov_36.3557_ID_1-processed-gene-1.83-mRNA-1	0.404464680371458	51.0249	0.245
snap_masked-NODE_6_length_738973_cov_35.7179_ID_11-processed-gene-6.172-mRNA-1	0.494706054802346	45.2028	0.205
augustus_masked-NODE_44_length_98848_cov_40.9792_ID_87-processed-gene-0.44-mRNA-1	0.45056591732366	54.2411	0.355
snap_masked-NODE_5_length_763819_cov_35.0206_ID_9-processed-gene-6.45-mRNA-1	0.466218196042732	47.5577	0.237
snap_masked-NODE_11_length_553976_cov_35.7072_ID_21-processed-gene-0.96-mRNA-1	0.418450865684114	47.3698	0.231
maker-NODE_11_length_553976_cov_35.7072_ID_21-snap-gene-1.3-mRNA-1	0.545068815498376	37.7480	0.209
snap_masked-NODE_1_length_1123490_cov_36.3557_ID_1-processed-gene-4.62-mRNA-1	0.491031054871416	50.1784	0.322
snap_masked-NODE_1_length_1123490_cov_36.3557_ID_1-processed-gene-8.99-mRNA-1	0.496461749034845	47.1168	0.247
augustus_masked-NODE_33_length_169085_cov_36.4495_ID_65-processed-gene-0.50-mRNA-1	0.488762644354047	45.9107	0.258
snap_masked-NODE_21_length_275461_cov_37.4346_ID_41-processed-gene-0.85-mRNA-1	0.478442099276644	44.4223	0.228
snap_masked-NODE_26_length_206574_cov_36.6608_ID_51-processed-gene-0.58-mRNA-1	0.490834834215813	45.1888	0.212
snap_masked-NODE_7_length_719369_cov_38.9049_ID_13-processed-gene-0.19-mRNA-1	0.398213073976201	49.3952	0.211
augustus_masked-NODE_44_length_98848_cov_40.9792_ID_87-processed-gene-0.62-mRNA-1	0.404818309159301	47.0631	0.212
snap_masked-NODE_20_length_277557_cov_41.3022_ID_39-processed-gene-1.198-mRNA-1	0.524055683532866	42.6422	0.271
snap_masked-NODE_24_length_237396_cov_36.973_ID_47-processed-gene-0.22-mRNA-1	0.495032337519244	40.2679	0.195
maker-NODE_4_length_780009_cov_36.5782_ID_7-snap-gene-3.50-mRNA-1	0.463477053895736	48.5646	0.261
snap_masked-NODE_5_length_763819_cov_35.0206_ID_9-processed-gene-6.19-mRNA-1	0.506982539353068	45.7967	0.289
snap_masked-NODE_3_length_851894_cov_38.1691_ID_5-processed-gene-3.68-mRNA-1	0.394022296294004	52.6963	0.262
snap_masked-NODE_1_length_1123490_cov_36.3557_ID_1-processed-gene-7.105-mRNA-1	0.514958668737365	45.0994	0.248
maker-NODE_22_length_250489_cov_36.0267_ID_43-snap-gene-0.91-mRNA-1	0.46832713794347	46.0080	0.221
snap_masked-NODE_26_length_206574_cov_36.6608_ID_51-processed-gene-1.141-mRNA-1	0.524812541622492	39.8355	0.206
augustus_masked-NODE_89_length_4067_cov_43.8368_ID_177-processed-gene-0.4-mRNA-1	0.42560123663694	47.1493	0.198
snap_masked-NODE_23_length_247428_cov_39.5709_ID_45-processed-gene-1.35-mRNA-1	0.425495230419401	48.7501	0.242
snap_masked-NODE_60_length_44012_cov_1060.74_ID_119-processed-gene-0.54-mRNA-1	0.369034725760387	45.3235	0.078
snap_masked-NODE_3_length_851894_cov_38.1691_ID_5-processed-gene-7.189-mRNA-1	0.43464436845104	53.3347	0.340
snap_masked-NODE_2_length_923280_cov_37.2315_ID_3-processed-gene-4.90-mRNA-1	0.524863091897111	46.3783	0.251
augustus_masked-NODE_5_length_763819_cov_35.0206_ID_9-processed-gene-4.2-mRNA-1	0.409723206757099	49.4342	0.237
snap_masked-NODE_39_length_110300_cov_46.0718_ID_77-processed-gene-0.87-mRNA-1	0.566524827065442	41.1069	0.230
snap_masked-NODE_52_length_65130_cov_37.8557_ID_103-processed-gene-0.54-mRNA-1	0.403811792034526	48.6351	0.275
snap_masked-NODE_38_length_127135_cov_34.5546_ID_75-processed-gene-0.142-mRNA-1	0.42808617549673	48.9685	0.263
snap_masked-NODE_3_length_851894_cov_38.1691_ID_5-processed-gene-7.134-mRNA-1	0.403760495379848	53.9176	0.346
genemark-NODE_4_length_780009_cov_36.5782_ID_7-processed-gene-4.27-mRNA-1	0.348506007696424	54.0347	0.350
snap_masked-NODE_7_length_719369_cov_38.9049_ID_13-processed-gene-2.51-mRNA-1	0.437043561488851	46.6154	0.232
snap_masked-NODE_4_length_780009_cov_36.5782_ID_7-processed-gene-0.46-mRNA-1	0.392533576795187	48.8515	0.225
augustus_masked-NODE_8_length_701254_cov_36.8143_ID_15-processed-gene-2.12-mRNA-1	0.457980512184243	47.6919	0.249
maker-NODE_47_length_83848_cov_52.5765_ID_93-snap-gene-0.104-mRNA-1	0.472800765378347	44.5461	0.238
snap_masked-NODE_23_length_247428_cov_39.5709_ID_45-processed-gene-1.21-mRNA-1	0.520301280132946	51.6928	0.370
snap_masked-NODE_19_length_349328_cov_38.6167_ID_37-processed-gene-0.34-mRNA-1	0.492431384917085	48.3840	0.235
snap_masked-NODE_7_length_719369_cov_38.9049_ID_13-processed-gene-3.105-mRNA-1	0.427337388271838	46.0911	0.245
augustus_masked-NODE_1_length_1123490_cov_36.3557_ID_1-processed-gene-4.32-mRNA-1	0.501360673721095	43.4685	0.227
snap_masked-NODE_10_length_554023_cov_36.5422_ID_19-processed-gene-3.10-mRNA-1	0.400236705185888	51.8375	0.291
augustus_masked-NODE_17_length_381870_cov_41.7708_ID_33-processed-gene-0.8-mRNA-1	0.421563689517807	53.0278	0.347
maker-NODE_16_length_388715_cov_37.2944_ID_31-snap-gene-2.164-mRNA-1	0.463340480390743	47.8121	0.267
snap_masked-NODE_9_length_617110_cov_37.3077_ID_17-processed-gene-1.38-mRNA-1	0.382481054941631	49.1931	0.261
snap_masked-NODE_9_length_617110_cov_37.3077_ID_17-processed-gene-2.20-mRNA-1	0.476105240563483	43.4525	0.221
augustus_masked-NODE_11_length_553976_cov_35.7072_ID_21-processed-gene-4.113-mRNA-1	0.417309716736454	48.0169	0.246
snap_masked-NODE_11_length_553976_cov_35.7072_ID_21-processed-gene-0.84-mRNA-1	0.430783684298673	50.2973	0.263
snap_masked-NODE_51_length_71930_cov_46.2221_ID_101-processed-gene-0.30-mRNA-1	0.429812137087175	47.5377	0.237
snap_masked-NODE_9_length_617110_cov_37.3077_ID_17-processed-gene-3.61-mRNA-1	0.469981494764066	42.8092	0.195
maker-NODE_14_length_402820_cov_37.3962_ID_27-snap-gene-3.43-mRNA-1	0.413314772619033	49.7900	0.262
augustus_masked-NODE_12_length_547646_cov_37.6145_ID_23-processed-gene-2.131-mRNA-1	0.443612268717639	51.9856	0.352
augustus_masked-NODE_6_length_738973_cov_35.7179_ID_11-processed-gene-6.130-mRNA-1	0.417833447700419	48.7393	0.236
snap_masked-NODE_25_length_220511_cov_45.1567_ID_49-processed-gene-0.111-mRNA-1	0.522228124572697	39.7884	0.178
augustus_masked-NODE_11_length_553976_cov_35.7072_ID_21-processed-gene-4.64-mRNA-1	0.379589575892151	50.0958	0.236
snap_masked-NODE_8_length_701254_cov_36.8143_ID_15-processed-gene-5.83-mRNA-1	0.40121007242608	49.3498	0.253
snap_masked-NODE_12_length_547646_cov_37.6145_ID_23-processed-gene-3.115-mRNA-1	0.397629746968458	51.9744	0.257
snap_masked-NODE_10_length_554023_cov_36.5422_ID_19-processed-gene-4.52-mRNA-1	0.449978865312911	44.6433	0.232
augustus_masked-NODE_12_length_547646_cov_37.6145_ID_23-processed-gene-2.93-mRNA-1	0.383106896542087	50.0543	0.225
snap_masked-NODE_11_length_553976_cov_35.7072_ID_21-processed-gene-4.156-mRNA-1	0.488181488874889	43.1866	0.243
snap_masked-NODE_15_length_389807_cov_34.7748_ID_29-processed-gene-2.127-mRNA-1	0.50795630505312	46.0209	0.251
snap_masked-NODE_18_length_380975_cov_38.0398_ID_35-processed-gene-2.48-mRNA-1	0.504466265727319	42.9598	0.217
snap_masked-NODE_37_length_130751_cov_37.7297_ID_73-processed-gene-0.157-mRNA-1	0.558087686104073	40.1168	0.238
snap_masked-NODE_13_length_488124_cov_36.1311_ID_25-processed-gene-0.67-mRNA-1	0.384701005135975	54.4744	0.380
snap_masked-NODE_13_length_488124_cov_36.1311_ID_25-processed-gene-1.3-mRNA-1	0.399469741456393	53.0569	0.322
snap_masked-NODE_4_length_780009_cov_36.5782_ID_7-processed-gene-4.127-mRNA-1	0.522066567087084	43.0516	0.183
augustus_masked-NODE_5_length_763819_cov_35.0206_ID_9-processed-gene-3.34-mRNA-1	0.483154659994549	51.2085	0.297
snap_masked-NODE_40_length_109818_cov_39.8543_ID_79-processed-gene-0.14-mRNA-1	0.502015103950426	44.0195	0.205
snap_masked-NODE_7_length_719369_cov_38.9049_ID_13-processed-gene-3.122-mRNA-1	0.472878809506336	45.2345	0.231
snap_masked-NODE_24_length_237396_cov_36.973_ID_47-processed-gene-0.25-mRNA-1	0.518244796049168	47.8236	0.210
augustus_masked-NODE_65_length_29194_cov_37.077_ID_129-processed-gene-0.15-mRNA-1	0.526962166963306	42.9861	0.215
snap_masked-NODE_12_length_547646_cov_37.6145_ID_23-processed-gene-4.208-mRNA-1	0.427159269966844	50.9387	0.276
augustus_masked-NODE_44_length_98848_cov_40.9792_ID_87-processed-gene-0.55-mRNA-1	0.418979754534932	49.5256	0.205
