Please cite: 
Sun, X. Y., Yang, Q. Xia, X. 2012. An Improved Implementation of Effective Number of Codons (Nc). Molecular Biology and Evolution 30:191-196.Please note: short sequences may have few 2-fold and 4-fold codon families with useful data and 
may have no codon belonging to 3-fold codon families. Nc from such sequences may not be reliable.

Chosen options:
F as sum of p^2: Yes
Weighted F: Yes
Minimum number of codons for i-fold codon family: i+1.
Pseudocount added to codon counts: 1.00


SeqName                                                         SeqLen       N2*      N3*      N4*       Nc     ExpNc
---------------------------------------------------------------------------------------------------------------------
augustus_masked-scf7180000099272-processed-gene-0.0-mRNA-1         543       12        1        8   54.0272   59.7270
augustus_masked-scf7180000099273-processed-gene-0.11-mRNA-1        774       10        1        8   49.7459   58.5984
snap_masked-scf7180000099273-processed-gene-0.7-mRNA-1             372       12        1        7   51.6973   61.4257
snap_masked-scf7180000099273-processed-gene-0.8-mRNA-1             384       12        1        8   55.6077   62.2642
snap_masked-scf7180000099273-processed-gene-0.5-mRNA-1            1317       12        1        8   55.5729   57.7227
augustus_masked-scf7180000099274-processed-gene-0.2-mRNA-1         333       11        1        7   43.7812   58.9367
augustus_masked-scf7180000099288-processed-gene-0.1-mRNA-1         636       12        1        8   52.2350   54.0563
augustus_masked-scf7180000099294-processed-gene-0.4-mRNA-1         477       12        1        7   54.3556   59.6446
augustus_masked-scf7180000099294-processed-gene-0.3-mRNA-1        1713       12        1        8   56.5564   59.2842
augustus_masked-scf7180000099302-processed-gene-0.0-mRNA-1         621       12        1        8   47.5165   46.7528
augustus_masked-scf7180000099303-processed-gene-0.1-mRNA-1         561       12        1        8   57.8241   62.6080
augustus_masked-scf7180000099311-processed-gene-0.1-mRNA-1         465       11        1        8   54.2785   56.1338
snap_masked-scf7180000099312-processed-gene-0.0-mRNA-1             372        9        1        7   53.1596   53.9997
augustus_masked-scf7180000099323-processed-gene-0.2-mRNA-1         339       11        1        7   54.0280   57.6703
augustus_masked-scf7180000099334-processed-gene-0.0-mRNA-1         354       11        1        8   52.1155   57.2587
augustus_masked-scf7180000099334-processed-gene-0.1-mRNA-1         789       12        1        8   52.6460   60.2953
augustus_masked-scf7180000099391-processed-gene-0.2-mRNA-1        1914       12        1        8   52.4315   61.0168
genemark-scf7180000099391-processed-gene-0.1-mRNA-1               1026       12        1        8   46.4701   58.2927
snap_masked-scf7180000099392-processed-gene-0.1-mRNA-1            1596       12        1        8   52.9167   58.1286
augustus_masked-scf7180000099393-processed-gene-0.0-mRNA-1         297       11        1        7   51.1085   59.3402
augustus_masked-scf7180000099398-processed-gene-0.0-mRNA-1         405       11        1        7   42.7750   57.5673
snap_masked-scf7180000099398-processed-gene-0.4-mRNA-1             411       12        1        8   50.1499   49.7010
snap_masked-scf7180000099402-processed-gene-0.8-mRNA-1            2475       12        1        8   54.5854   56.5971
snap_masked-scf7180000099402-processed-gene-0.9-mRNA-1             702       11        1        8   53.9001   59.3699
snap_masked-scf7180000099403-processed-gene-0.1-mRNA-1            1320       12        1        8   57.1532   61.9097
genemark-scf7180000099404-processed-gene-0.0-mRNA-1               4020       12        1        8   51.7389   56.5763
augustus_masked-scf7180000099405-processed-gene-0.4-mRNA-1         579       12        1        8   51.9829   51.9817
augustus_masked-scf7180000099405-processed-gene-0.5-mRNA-1         411       12        1        8   54.1164   56.8014
snap_masked-scf7180000099409-processed-gene-0.2-mRNA-1             969       12        1        8   51.7390   55.6083
augustus_masked-scf7180000099409-processed-gene-0.5-mRNA-1        2454       12        1        8   56.4543   58.4899
genemark-scf7180000099413-processed-gene-0.2-mRNA-1               1725       12        1        8   55.0009   59.0811
augustus_masked-scf7180000099413-processed-gene-0.8-mRNA-1         894       12        1        8   51.7336   60.3090
augustus_masked-scf7180000099418-processed-gene-0.1-mRNA-1        1005       12        1        8   54.9266   57.4009
snap_masked-scf7180000099422-processed-gene-0.9-mRNA-1             480       12        1        8   50.2980   58.8344
augustus_masked-scf7180000099422-processed-gene-0.8-mRNA-1        1635       12        1        8   46.3802   48.2667
snap_masked-scf7180000099422-processed-gene-0.10-mRNA-1            684       12        1        8   45.8508   45.9413
snap_masked-scf7180000099423-processed-gene-0.6-mRNA-1             303       12        1        8   50.5582   51.9339
snap_masked-scf7180000099423-processed-gene-0.8-mRNA-1             891       12        1        8   51.8379   55.9747
snap_masked-scf7180000099423-processed-gene-0.9-mRNA-1             501       12        1        8   54.3576   57.5844
augustus_masked-scf7180000099424-processed-gene-0.3-mRNA-1        1257       12        1        8   47.8028   57.7290
augustus_masked-scf7180000099425-processed-gene-0.7-mRNA-1         771       10        1        7   49.6142   50.8120
augustus_masked-scf7180000099425-processed-gene-0.6-mRNA-1        1656       12        1        8   48.1966   55.0858
augustus_masked-scf7180000099426-processed-gene-0.6-mRNA-1         414       11        1        6   51.2614   48.6176
augustus_masked-scf7180000099426-processed-gene-0.5-mRNA-1        1824       12        1        8   54.5210   58.0249
maker-scf7180000099427-augustus-gene-0.0-mRNA-1                   1902       12        1        8   44.5801   59.4730
snap_masked-scf7180000099428-processed-gene-0.1-mRNA-1            2226       12        1        8   55.3991   62.0301
snap_masked-scf7180000099428-processed-gene-0.2-mRNA-1             921       12        1        8   53.5040   57.0651
snap_masked-scf7180000099429-processed-gene-0.2-mRNA-1            1020       12        1        8   52.6277   55.0313
genemark-scf7180000099429-processed-gene-0.0-mRNA-1               1857       12        1        8   40.7651   43.8423
snap_masked-scf7180000099429-processed-gene-0.3-mRNA-1             645       12        1        8   44.8152   38.8287
augustus_masked-scf7180000099430-processed-gene-0.11-mRNA-1       1680       12        1        8   51.0968   56.5905
genemark-scf7180000099430-processed-gene-0.6-mRNA-1                846       11        1        8   52.3414   61.7063
snap_masked-scf7180000099430-processed-gene-0.28-mRNA-1            414       11        1        7   54.6107   59.9369
snap_masked-scf7180000099430-processed-gene-0.29-mRNA-1           1938       11        1        8   36.1617   57.7758
snap_masked-scf7180000099430-processed-gene-0.22-mRNA-1           1830       12        1        8   52.0227   56.9879
snap_masked-scf7180000099430-processed-gene-0.30-mRNA-1            468       11        1        7   40.1559   57.1513
snap_masked-scf7180000099430-processed-gene-0.23-mRNA-1           1359       12        1        8   46.8280   48.6843
snap_masked-scf7180000099430-processed-gene-0.24-mRNA-1            336       11        1        7   42.6427   59.6269
snap_masked-scf7180000099430-processed-gene-0.31-mRNA-1           1473       12        1        8   53.5752   57.7123
genemark-scf7180000099430-processed-gene-0.4-mRNA-1                744       11        1        8   56.1847   61.6861
snap_masked-scf7180000099430-processed-gene-0.26-mRNA-1           1236       12        1        8   54.9682   60.5942
snap_masked-scf7180000099431-processed-gene-0.1-mRNA-1            1482       12        1        8   52.2710   60.1004
snap_masked-scf7180000099431-processed-gene-0.2-mRNA-1             864       12        1        8   45.7720   56.3696
augustus_masked-scf7180000099432-processed-gene-0.4-mRNA-1         627       12        1        8   53.8831   58.8114
snap_masked-scf7180000099432-processed-gene-0.3-mRNA-1             480       12        1        8   51.1677   60.8323
snap_masked-scf7180000099433-processed-gene-0.5-mRNA-1            2655       12        1        8   54.9584   59.8547
augustus_masked-scf7180000099433-processed-gene-0.8-mRNA-1        1269       12        1        8   55.9273   61.2340
maker-scf7180000099434-snap-gene-0.5-mRNA-1                        300       10        1        7   43.2923   55.9857
snap_masked-scf7180000099434-processed-gene-0.15-mRNA-1            309       12        1        8   51.7268   57.8928
snap_masked-scf7180000099434-processed-gene-0.14-mRNA-1           1272       12        1        8   52.6511   59.8705
genemark-scf7180000099434-processed-gene-0.3-mRNA-1                903       12        1        8   54.0538   57.0183
snap_masked-scf7180000099435-processed-gene-0.6-mRNA-1            2403       12        1        8   53.2662   59.3027
augustus_masked-scf7180000099435-processed-gene-0.3-mRNA-1         669       12        1        8   54.7479   58.7997
snap_masked-scf7180000099435-processed-gene-0.9-mRNA-1            3462       12        1        8   52.5806   57.1318
snap_masked-scf7180000099436-processed-gene-0.3-mRNA-1             714       12        1        8   57.4463   62.1479
augustus_masked-scf7180000099437-processed-gene-0.3-mRNA-1         744       12        1        8   50.0843   52.5861
augustus_masked-scf7180000099437-processed-gene-0.2-mRNA-1         642       12        1        8   47.6197   57.1855
augustus_masked-scf7180000099438-processed-gene-0.3-mRNA-1        2223       12        1        8   52.4375   61.5253
snap_masked-scf7180000099438-processed-gene-0.6-mRNA-1             609       11        1        7   44.8622   60.5173
genemark-scf7180000099438-processed-gene-0.16-mRNA-1              1386       12        1        8   56.4765   60.8554
snap_masked-scf7180000099438-processed-gene-0.8-mRNA-1             834       12        1        8   53.6758   60.4739
snap_masked-scf7180000099438-processed-gene-0.9-mRNA-1            1488       12        1        8   53.8944   61.2659
augustus_masked-scf7180000099438-processed-gene-0.5-mRNA-1        1770       12        1        8   53.2218   58.4518
genemark-scf7180000099439-processed-gene-0.6-mRNA-1               1680       12        1        8   46.8107   57.8996
augustus_masked-scf7180000099442-processed-gene-0.2-mRNA-1        2760       12        1        8   48.3045   57.6347
augustus_masked-scf7180000099443-processed-gene-0.0-mRNA-1         846       12        1        8   53.1727   60.4950
augustus_masked-scf7180000099445-processed-gene-0.0-mRNA-1        4485       12        1        8   53.2208   56.7164
snap_masked-scf7180000099447-processed-gene-0.7-mRNA-1             759       11        1        8   54.2717   61.1674
snap_masked-scf7180000099447-processed-gene-0.6-mRNA-1             432       11        1        8   41.1166   57.7122
snap_masked-scf7180000099450-processed-gene-0.4-mRNA-1            1020       12        1        8   50.0997   56.1384
snap_masked-scf7180000099450-processed-gene-0.5-mRNA-1            1953       12        1        8   55.1073   59.5227
augustus_masked-scf7180000099460-processed-gene-0.0-mRNA-1         735       12        1        8   52.1903   54.0858
snap_masked-scf7180000099462-processed-gene-0.2-mRNA-1             396       11        1        8   49.5342   56.3515
augustus_masked-scf7180000099464-processed-gene-0.6-mRNA-1         411       12        1        8   56.2308   62.0088
augustus_masked-scf7180000099464-processed-gene-0.3-mRNA-1         711       12        1        8   54.2629   57.6974
augustus_masked-scf7180000099464-processed-gene-0.4-mRNA-1         411       12        1        8   55.0234   57.2571
augustus_masked-scf7180000099464-processed-gene-0.5-mRNA-1        1155       12        1        8   51.8317   60.5584
augustus_masked-scf7180000099466-processed-gene-0.1-mRNA-1         342        6        1        6   45.5359   58.4118
genemark-scf7180000099468-processed-gene-0.3-mRNA-1               1113       12        1        8   53.8204   58.6047
snap_masked-scf7180000099468-processed-gene-0.0-mRNA-1            3090       12        1        8   56.5743   61.6181
snap_masked-scf7180000099469-processed-gene-0.1-mRNA-1             708       12        1        8   50.9926   52.0247
