Please cite: 
Sun, X. Y., Yang, Q. Xia, X. 2012. An Improved Implementation of Effective Number of Codons (Nc). Molecular Biology and Evolution 30:191-196.Please note: short sequences may have few 2-fold and 4-fold codon families with useful data and 
may have no codon belonging to 3-fold codon families. Nc from such sequences may not be reliable.

Chosen options:
F as sum of p^2: Yes
Weighted F: Yes
Minimum number of codons for i-fold codon family: i+1.
Pseudocount added to codon counts: 1.00


SeqName                                                          SeqLen       N2*      N3*      N4*       Nc     ExpNc
----------------------------------------------------------------------------------------------------------------------
snap_masked-flattened_line_0-processed-gene-0.109-mRNA-1           1281       12        1        8   57.7081   62.0853
genemark-flattened_line_0-processed-gene-0.66-mRNA-1               1452       12        1        8   57.5147   62.5586
genemark-flattened_line_0-processed-gene-0.41-mRNA-1               1872       12        1        8   58.7017   62.1931
genemark-flattened_line_0-processed-gene-0.67-mRNA-1               1311       12        1        8   57.0494   62.4937
genemark-flattened_line_0-processed-gene-0.68-mRNA-1                600       12        1        8   58.8873   62.4469
snap_masked-flattened_line_0-processed-gene-0.113-mRNA-1            891       12        1        8   55.5468   62.3695
genemark-flattened_line_0-processed-gene-0.42-mRNA-1                840       12        1        8   54.6592   56.5673
genemark-flattened_line_0-processed-gene-0.43-mRNA-1               3168       12        1        8   59.6514   61.7672
genemark-flattened_line_0-processed-gene-0.70-mRNA-1               1728       12        1        8   56.1989   62.6692
genemark-flattened_line_0-processed-gene-0.44-mRNA-1                333       12        1        7   53.3176   62.6367
snap_masked-flattened_line_0-processed-gene-0.115-mRNA-1           2274       12        1        8   57.7788   61.5423
genemark-flattened_line_0-processed-gene-0.72-mRNA-1               1113       12        1        8   56.3704   62.6686
genemark-flattened_line_0-processed-gene-0.45-mRNA-1               1209       12        1        8   52.6649   61.9840
genemark-flattened_line_0-processed-gene-0.73-mRNA-1                960       12        1        8   48.3524   61.9917
genemark-flattened_line_0-processed-gene-0.74-mRNA-1                537       12        1        8   55.6049   60.8646
augustus_masked-flattened_line_0-processed-gene-0.28-mRNA-1        4347       12        1        8   59.8347   62.5077
genemark-flattened_line_0-processed-gene-0.78-mRNA-1               2961       12        1        8   60.5248   62.5830
genemark-flattened_line_0-processed-gene-0.46-mRNA-1               2094       12        1        8   59.3970   62.9549
augustus_masked-flattened_line_0-processed-gene-0.7-mRNA-1         1482       12        1        8   58.1354   62.2312
snap_masked-flattened_line_0-processed-gene-0.123-mRNA-1          11220       12        1        8   60.4316   62.5362
augustus_masked-flattened_line_0-processed-gene-0.8-mRNA-1         4347       12        1        8   59.1701   62.0398
genemark-flattened_line_0-processed-gene-0.51-mRNA-1                375       12        1        8   54.4415   60.0090
genemark-flattened_line_0-processed-gene-0.52-mRNA-1               1071       12        1        8   56.9682   62.3511
genemark-flattened_line_0-processed-gene-0.80-mRNA-1                918       12        1        8   55.7213   62.3580
genemark-flattened_line_0-processed-gene-0.54-mRNA-1               1278       12        1        8   56.8441   59.5108
maker-flattened_line_0-snap-gene-0.0-mRNA-1                        6831       12        1        8   42.9968   59.6174
genemark-flattened_line_0-processed-gene-0.59-mRNA-1               1824       12        1        8   48.5343   62.3004
genemark-flattened_line_0-processed-gene-0.60-mRNA-1                564       12        1        8   55.5098   61.9718
genemark-flattened_line_0-processed-gene-0.81-mRNA-1                576       11        1        8   52.7214   57.6589
augustus_masked-flattened_line_0-processed-gene-0.17-mRNA-1        2898       12        1        8   59.8535   62.5226
genemark-flattened_line_0-processed-gene-0.63-mRNA-1               1479       12        1        8   58.8032   62.0991
genemark-flattened_line_0-processed-gene-0.82-mRNA-1                849       12        1        8   49.4062   49.7808
genemark-flattened_line_0-processed-gene-0.64-mRNA-1                603       11        1        8   50.2537   60.7201
snap_masked-flattened_line_0-processed-gene-1.105-mRNA-1           4479       12        1        8   57.2940   61.6383
maker-flattened_line_0-snap-gene-1.3-mRNA-1                        1185       12        1        8   46.0291   47.4673
