Please cite: 
Sun, X. Y., Yang, Q. Xia, X. 2012. An Improved Implementation of Effective Number of Codons (Nc). Molecular Biology and Evolution 30:191-196.Please note: short sequences may have few 2-fold and 4-fold codon families with useful data and 
may have no codon belonging to 3-fold codon families. Nc from such sequences may not be reliable.

Chosen options:
F as sum of p^2: Yes
Weighted F: Yes
Minimum number of codons for i-fold codon family: i+1.
Pseudocount added to codon counts: 1.00


SeqName                                                                                SeqLen       N2*      N3*      N4*       Nc     ExpNc
--------------------------------------------------------------------------------------------------------------------------------------------
augustus_masked-NODE_101_length_1239_cov_102.05_ID_201-processed-gene-0.1-mRNA-1          807       12        1        8   56.0655   60.8534
augustus_masked-NODE_102_length_1230_cov_65.7274_ID_203-processed-gene-0.1-mRNA-1         789       12        1        8   54.6966   57.3179
augustus_masked-NODE_106_length_1207_cov_97.4434_ID_211-processed-gene-0.5-mRNA-1         549       11        1        8   56.3548   62.0396
genemark-NODE_108_length_1158_cov_94.3372_ID_215-processed-gene-0.0-mRNA-1                819       12        1        8   52.3696   59.9931
snap_masked-NODE_10_length_307200_cov_39.2786_ID_19-processed-gene-0.77-mRNA-1           1635       12        1        8   54.5161   57.7174
snap_masked-NODE_10_length_307200_cov_39.2786_ID_19-processed-gene-0.52-mRNA-1           3516       12        1        8   57.8838   58.9414
augustus_masked-NODE_10_length_307200_cov_39.2786_ID_19-processed-gene-0.130-mRNA-1      2175       12        1        8   57.2065   60.9712
snap_masked-NODE_10_length_307200_cov_39.2786_ID_19-processed-gene-0.53-mRNA-1            945       12        1        8   54.8254   56.3484
snap_masked-NODE_10_length_307200_cov_39.2786_ID_19-processed-gene-0.79-mRNA-1           1233       12        1        8   56.8329   60.5007
snap_masked-NODE_10_length_307200_cov_39.2786_ID_19-processed-gene-0.80-mRNA-1           1632       12        1        8   57.4445   60.8722
snap_masked-NODE_10_length_307200_cov_39.2786_ID_19-processed-gene-0.81-mRNA-1           1548       12        1        8   56.6144   61.0183
snap_masked-NODE_10_length_307200_cov_39.2786_ID_19-processed-gene-0.82-mRNA-1           1647       12        1        8   55.7833   58.7559
snap_masked-NODE_10_length_307200_cov_39.2786_ID_19-processed-gene-0.54-mRNA-1            762       12        1        8   55.9517   61.5162
augustus_masked-NODE_10_length_307200_cov_39.2786_ID_19-processed-gene-0.109-mRNA-1      3159       12        1        8   55.7237   56.9226
snap_masked-NODE_10_length_307200_cov_39.2786_ID_19-processed-gene-0.57-mRNA-1           2925       12        1        8   55.5320   59.3482
snap_masked-NODE_10_length_307200_cov_39.2786_ID_19-processed-gene-0.58-mRNA-1            933       12        1        8   56.7025   58.9423
snap_masked-NODE_10_length_307200_cov_39.2786_ID_19-processed-gene-0.83-mRNA-1           1536       12        1        8   58.3592   61.5023
snap_masked-NODE_10_length_307200_cov_39.2786_ID_19-processed-gene-0.84-mRNA-1            813       11        1        8   55.2961   62.1783
snap_masked-NODE_10_length_307200_cov_39.2786_ID_19-processed-gene-0.85-mRNA-1           1299       12        1        8   53.1936   59.9742
snap_masked-NODE_10_length_307200_cov_39.2786_ID_19-processed-gene-0.59-mRNA-1           1212       12        1        8   56.6409   59.2602
snap_masked-NODE_10_length_307200_cov_39.2786_ID_19-processed-gene-0.60-mRNA-1           2286       12        1        8   57.8444   60.8237
snap_masked-NODE_10_length_307200_cov_39.2786_ID_19-processed-gene-0.61-mRNA-1           2727       12        1        8   58.2613   60.9332
snap_masked-NODE_10_length_307200_cov_39.2786_ID_19-processed-gene-0.86-mRNA-1           5574       12        1        8   54.3580   58.6605
snap_masked-NODE_10_length_307200_cov_39.2786_ID_19-processed-gene-0.87-mRNA-1           1302       12        1        8   56.9613   59.7031
maker-NODE_10_length_307200_cov_39.2786_ID_19-snap-gene-0.103-mRNA-1                      717       11        1        8   55.4182   60.1522
