Please cite: 
Sun, X. Y., Yang, Q. Xia, X. 2012. An Improved Implementation of Effective Number of Codons (Nc). Molecular Biology and Evolution 30:191-196.Please note: short sequences may have few 2-fold and 4-fold codon families with useful data and 
may have no codon belonging to 3-fold codon families. Nc from such sequences may not be reliable.

Chosen options:
F as sum of p^2: Yes
Weighted F: Yes
Minimum number of codons for i-fold codon family: i+1.
Pseudocount added to codon counts: 1.00


SeqName                                                           SeqLen       N2*      N3*      N4*       Nc     ExpNc
-----------------------------------------------------------------------------------------------------------------------
genemark-flattened_line_0-processed-gene-0.21-mRNA-1                2445       12        1        8   53.1976   55.4396
maker-flattened_line_0-augustus-gene-0.133-mRNA-1                   3090       12        1        8   60.8611   62.6522
maker-flattened_line_0-augustus-gene-0.134-mRNA-1                   1950       12        1        8   54.3568   56.6563
augustus_masked-flattened_line_0-processed-gene-0.56-mRNA-1         1053       12        1        8   58.4708   62.1815
snap_masked-flattened_line_0-processed-gene-0.89-mRNA-1              369       12        1        8   57.7987   62.7198
snap_masked-flattened_line_0-processed-gene-0.105-mRNA-1             567       12        1        8   56.1359   60.5925
augustus_masked-flattened_line_0-processed-gene-0.58-mRNA-1         1134       12        1        8   55.6670   57.8894
augustus_masked-flattened_line_0-processed-gene-0.59-mRNA-1          864       11        1        8   55.2728   57.3615
maker-flattened_line_0-augustus-gene-0.126-mRNA-1                   2013       12        1        8   57.4393   61.1557
maker-flattened_line_0-snap-gene-0.13-mRNA-1                        1740       12        1        8   60.1962   61.9909
augustus_masked-flattened_line_0-processed-gene-0.61-mRNA-1         1158       12        1        8   54.7720   58.7978
snap_masked-flattened_line_0-processed-gene-0.107-mRNA-1             627       12        1        8   55.6551   60.1722
augustus_masked-flattened_line_0-processed-gene-0.73-mRNA-1         1848       12        1        8   58.3908   61.4732
augustus_masked-flattened_line_0-processed-gene-0.74-mRNA-1         1416       12        1        8   53.5037   56.9234
maker-flattened_line_0-snap-gene-0.5-mRNA-1                          393       12        1        8   56.3159   61.4911
maker-flattened_line_0-augustus-gene-0.136-mRNA-1                    990       12        1        8   57.6976   61.8647
augustus_masked-flattened_line_0-processed-gene-0.76-mRNA-1         2268       12        1        8   60.1956   62.4774
augustus_masked-flattened_line_0-processed-gene-0.63-mRNA-1          744       12        1        8   55.0628   60.9710
maker-flattened_line_0-augustus-gene-0.138-mRNA-1                   1041       12        1        8   53.6561   56.3070
augustus_masked-flattened_line_0-processed-gene-0.78-mRNA-1          879       12        1        8   57.3911   61.5172
augustus_masked-flattened_line_0-processed-gene-0.79-mRNA-1          630       12        1        8   57.1295   60.4890
maker-flattened_line_0-augustus-gene-0.129-mRNA-1                   1287       12        1        8   53.9285   57.0428
augustus_masked-flattened_line_0-processed-gene-0.80-mRNA-1          621       11        1        8   54.0513   58.5132
augustus_masked-flattened_line_0-processed-gene-0.81-mRNA-1         1131       12        1        8   46.0292   47.6020
genemark-flattened_line_0-processed-gene-0.31-mRNA-1                1434       12        1        8   53.4650   54.8133
maker-flattened_line_0-augustus-gene-0.139-mRNA-1                   4605       12        1        8   58.9401   62.0733
maker-flattened_line_0-augustus-gene-0.130-mRNA-1                   1953       12        1        8   59.0946   62.3221
snap_masked-flattened_line_0-processed-gene-0.119-mRNA-1             978       12        1        8   56.1885   62.0830
genemark-flattened_line_0-processed-gene-0.51-mRNA-1                 981       12        1        8   56.3207   61.2551
augustus_masked-flattened_line_0-processed-gene-0.67-mRNA-1         4542       12        1        8   58.7962   60.5662
augustus_masked-flattened_line_0-processed-gene-0.84-mRNA-1          516       10        1        8   42.4822   43.0826
maker-flattened_line_0-augustus-gene-0.141-mRNA-1                    354       11        1        8   52.3775   55.8262
maker-flattened_line_0-augustus-gene-0.132-mRNA-1                   2100       12        1        8   53.6431   57.9863
maker-flattened_line_0-augustus-gene-1.10-mRNA-1                    2178       12        1        8   50.2121   52.2686
augustus_masked-flattened_line_0-processed-gene-1.113-mRNA-1        1338       12        1        8   53.6092   54.7291
augustus_masked-flattened_line_0-processed-gene-1.114-mRNA-1         705       12        1        8   53.8521   56.9877
augustus_masked-flattened_line_0-processed-gene-1.111-mRNA-1        1098       12        1        8   52.4181   55.0989
