gene_id	tAI	nc	gc3
augustus_masked-scf7180000008938-processed-gene-0.60-mRNA-1	0.520881179902028	44.8001	0.156
augustus_masked-scf7180000008957-processed-gene-2.145-mRNA-1	0.606299946188607	39.3160	0.178
augustus_masked-scf7180000008935-processed-gene-0.93-mRNA-1	0.478206618284734	49.9643	0.220
augustus_masked-scf7180000008924-processed-gene-0.25-mRNA-1	0.499607743024869	53.4967	0.381
augustus_masked-scf7180000008983-processed-gene-1.108-mRNA-1	0.500147543944904	48.1136	0.198
augustus_masked-scf7180000008952-processed-gene-0.56-mRNA-1	0.466072897344572	48.7986	0.212
snap_masked-scf7180000008986-processed-gene-0.114-mRNA-1	0.521450517802578	44.2919	0.204
augustus_masked-scf7180000008953-processed-gene-0.35-mRNA-1	0.545043793976882	37.4817	0.093
augustus_masked-scf7180000008987-processed-gene-1.164-mRNA-1	0.492893820161191	50.4725	0.250
augustus_masked-scf7180000008676-processed-gene-0.5-mRNA-1	0.506410327504009	51.0207	0.277
augustus_masked-scf7180000008935-processed-gene-0.130-mRNA-1	0.515098748728787	42.0631	0.124
snap_masked-scf7180000008956-processed-gene-1.59-mRNA-1	0.555865000913674	39.6127	0.148
augustus_masked-scf7180000008933-processed-gene-0.8-mRNA-1	0.591956592690339	43.7945	0.259
augustus_masked-scf7180000008939-processed-gene-0.93-mRNA-1	0.525548283916244	48.4279	0.256
augustus_masked-scf7180000008968-processed-gene-0.95-mRNA-1	0.599906253597286	38.4618	0.175
augustus_masked-scf7180000008953-processed-gene-0.52-mRNA-1	0.516550010384138	48.5262	0.228
maker-scf7180000008963-snap-gene-3.234-mRNA-1	0.529685164225823	47.2585	0.197
augustus_masked-scf7180000008971-processed-gene-1.133-mRNA-1	0.536776220490288	47.3650	0.224
maker-scf7180000008984-snap-gene-1.9-mRNA-1	0.512474823490987	46.2719	0.225
snap_masked-scf7180000008985-processed-gene-3.60-mRNA-1	0.489917814781771	45.9748	0.132
augustus_masked-scf7180000008942-processed-gene-0.123-mRNA-1	0.50992765745537	44.8358	0.174
augustus_masked-scf7180000008975-processed-gene-0.20-mRNA-1	0.51676566809343	47.9323	0.208
augustus_masked-scf7180000008951-processed-gene-0.11-mRNA-1	0.513815460035458	41.8063	0.095
snap_masked-scf7180000008984-processed-gene-0.33-mRNA-1	0.436813149467497	52.6362	0.310
augustus_masked-scf7180000008984-processed-gene-0.50-mRNA-1	0.566384166041009	37.3869	0.121
augustus_masked-scf7180000008638-processed-gene-0.1-mRNA-1	0.473673023144816	52.4189	0.262
maker-scf7180000008966-snap-gene-0.1-mRNA-1	0.572005091135756	42.2314	0.194
snap_masked-scf7180000008945-processed-gene-0.38-mRNA-1	0.488100451479198	51.8928	0.267
snap_masked-scf7180000008985-processed-gene-2.108-mRNA-1	0.462750350058113	50.5686	0.216
snap_masked-scf7180000008963-processed-gene-1.4-mRNA-1	0.585988346803476	42.7420	0.210
augustus_masked-scf7180000008968-processed-gene-1.146-mRNA-1	0.526986389731913	45.5205	0.191
augustus_masked-scf7180000008959-processed-gene-0.52-mRNA-1	0.489867116621932	49.4953	0.246
augustus_masked-scf7180000008643-processed-gene-0.19-mRNA-1	0.535135079079723	40.9678	0.098
augustus_masked-scf7180000008947-processed-gene-0.246-mRNA-1	0.54182170353722	48.2408	0.247
augustus_masked-scf7180000008977-processed-gene-0.39-mRNA-1	0.631363306299708	41.2543	0.397
snap_masked-scf7180000008959-processed-gene-0.193-mRNA-1	0.520460922777077	40.2087	0.126
augustus_masked-scf7180000008943-processed-gene-1.130-mRNA-1	0.501479377292371	49.9596	0.209
augustus_masked-scf7180000008940-processed-gene-0.85-mRNA-1	0.533313360720406	43.7127	0.202
augustus_masked-scf7180000008956-processed-gene-1.165-mRNA-1	0.49288059422799	50.0746	0.236
snap_masked-scf7180000008930-processed-gene-0.134-mRNA-1	0.479618882338965	50.8646	0.236
maker-scf7180000008943-augustus-gene-2.198-mRNA-1	0.518570256012231	47.3081	0.236
augustus_masked-scf7180000008931-processed-gene-0.171-mRNA-1	0.485603473687695	49.4150	0.246
augustus_masked-scf7180000008957-processed-gene-0.120-mRNA-1	0.494306504097187	47.4560	0.216
augustus_masked-scf7180000008967-processed-gene-0.29-mRNA-1	0.570354055332346	39.4874	0.134
snap_masked-scf7180000008909-processed-gene-0.61-mRNA-1	0.461040946160248	52.9906	0.268
augustus_masked-scf7180000008987-processed-gene-1.179-mRNA-1	0.514293864978538	42.0409	0.129
augustus_masked-scf7180000008959-processed-gene-0.38-mRNA-1	0.484207874873839	50.0803	0.250
augustus_masked-scf7180000008943-processed-gene-1.139-mRNA-1	0.485134044128492	49.8442	0.198
augustus_masked-scf7180000008952-processed-gene-2.36-mRNA-1	0.628173889620203	36.4189	0.181
augustus_masked-scf7180000008938-processed-gene-0.59-mRNA-1	0.496096754858118	48.1619	0.204
augustus_masked-scf7180000008985-processed-gene-2.33-mRNA-1	0.498264130076923	48.2301	0.218
augustus_masked-scf7180000008978-processed-gene-0.63-mRNA-1	0.568051161874069	42.9419	0.208
augustus_masked-scf7180000008962-processed-gene-0.32-mRNA-1	0.548644900705635	50.3164	0.275
augustus_masked-scf7180000008983-processed-gene-2.106-mRNA-1	0.458082894524011	54.8073	0.337
snap_masked-scf7180000008949-processed-gene-1.189-mRNA-1	0.53389144772413	46.2917	0.202
maker-scf7180000008983-snap-gene-0.5-mRNA-1	0.471708640594677	49.6763	0.245
maker-scf7180000008978-snap-gene-0.1-mRNA-1	0.578082594654397	39.9479	0.126
augustus_masked-scf7180000008963-processed-gene-0.19-mRNA-1	0.509385563060372	47.1824	0.137
augustus_masked-scf7180000008952-processed-gene-1.17-mRNA-1	0.456479170926838	52.9150	0.291
augustus_masked-scf7180000008949-processed-gene-1.26-mRNA-1	0.452832924345458	50.8561	0.249
genemark-scf7180000008901-processed-gene-0.9-mRNA-1	0.527292127741222	52.6121	0.366
augustus_masked-scf7180000008973-processed-gene-1.49-mRNA-1	0.47286322071619	45.3364	0.192
augustus_masked-scf7180000008976-processed-gene-1.94-mRNA-1	0.501944363746611	46.6001	0.174
augustus_masked-scf7180000008950-processed-gene-0.197-mRNA-1	0.555615230485903	52.2600	0.234
maker-scf7180000008938-augustus-gene-0.170-mRNA-1	0.492982971226267	48.1728	0.229
snap_masked-scf7180000008954-processed-gene-0.10-mRNA-1	0.538814110780928	43.9267	0.169
augustus_masked-scf7180000008946-processed-gene-0.137-mRNA-1	0.618411714200648	37.4849	0.179
augustus_masked-scf7180000008956-processed-gene-1.170-mRNA-1	0.48864474914203	49.7655	0.274
augustus_masked-scf7180000008983-processed-gene-0.21-mRNA-1	0.580868988801065	42.5961	0.187
augustus_masked-scf7180000008951-processed-gene-1.148-mRNA-1	0.53721218394599	43.1619	0.167
