gene_id	tAI	nc	gc3
maker-NODE_6_length_597287_cov_27.2088_ID_11-augustus-gene-3.53-mRNA-1	0.265576709266038	55.9280	0.354
augustus_masked-NODE_51_length_3397_cov_64.7195_ID_101-processed-gene-0.2-mRNA-1	0.269990411745093	55.8450	0.339
augustus_masked-NODE_1_length_907998_cov_27.5965_ID_1-processed-gene-6.57-mRNA-1	0.25475431898872	56.3238	0.339
snap_masked-NODE_15_length_291038_cov_28.0476_ID_29-processed-gene-1.220-mRNA-1	0.270091894275646	51.8647	0.378
snap_masked-NODE_11_length_412906_cov_27.0339_ID_21-processed-gene-0.71-mRNA-1	0.245691196611469	54.1991	0.312
snap_masked-NODE_15_length_291038_cov_28.0476_ID_29-processed-gene-0.9-mRNA-1	0.233854224860687	51.7887	0.281
snap_masked-NODE_24_length_80013_cov_32.4726_ID_47-processed-gene-0.39-mRNA-1	0.311127266033328	54.1282	0.356
snap_masked-NODE_2_length_765917_cov_27.8866_ID_3-processed-gene-3.52-mRNA-1	0.263151470648846	55.4715	0.358
genemark-NODE_8_length_516559_cov_30.1547_ID_15-processed-gene-3.101-mRNA-1	0.267165681554453	55.5240	0.397
snap_masked-NODE_12_length_381431_cov_26.8905_ID_23-processed-gene-0.9-mRNA-1	0.234680893946413	55.7359	0.330
augustus_masked-NODE_12_length_381431_cov_26.8905_ID_23-processed-gene-0.91-mRNA-1	0.244532702375873	55.2325	0.341
snap_masked-NODE_9_length_479268_cov_27.3414_ID_17-processed-gene-1.14-mRNA-1	0.245737040537202	54.6553	0.342
augustus_masked-NODE_4_length_706832_cov_27.5555_ID_7-processed-gene-4.56-mRNA-1	0.2796877669759	56.9796	0.350
snap_masked-NODE_9_length_479268_cov_27.3414_ID_17-processed-gene-3.67-mRNA-1	0.304249908756622	52.4830	0.337
snap_masked-NODE_11_length_412906_cov_27.0339_ID_21-processed-gene-3.162-mRNA-1	0.264227483679482	53.3337	0.358
genemark-NODE_7_length_533625_cov_27.154_ID_13-processed-gene-4.110-mRNA-1	0.370492004035566	53.4032	0.357
augustus_masked-NODE_1_length_907998_cov_27.5965_ID_1-processed-gene-5.110-mRNA-1	0.257851750185497	54.8373	0.393
maker-NODE_14_length_314412_cov_27.9629_ID_27-snap-gene-0.35-mRNA-1	0.26524719153352	52.5470	0.361
snap_masked-NODE_6_length_597287_cov_27.2088_ID_11-processed-gene-2.66-mRNA-1	0.266797941630868	55.7193	0.344
augustus_masked-NODE_39_length_8623_cov_58.1797_ID_77-processed-gene-0.1-mRNA-1	0.254062736464935	54.2736	0.339
augustus_masked-NODE_16_length_247587_cov_27.0586_ID_31-processed-gene-1.134-mRNA-1	0.262720640132655	54.4498	0.341
snap_masked-NODE_5_length_653240_cov_27.0146_ID_9-processed-gene-3.29-mRNA-1	0.299899458220023	54.7998	0.378
maker-NODE_12_length_381431_cov_26.8905_ID_23-snap-gene-2.177-mRNA-1	0.251112218692552	54.6651	0.342
snap_masked-NODE_6_length_597287_cov_27.2088_ID_11-processed-gene-0.98-mRNA-1	0.286878119877541	54.2490	0.418
augustus_masked-NODE_12_length_381431_cov_26.8905_ID_23-processed-gene-0.89-mRNA-1	0.263928572693055	55.5206	0.328
augustus_masked-NODE_4_length_706832_cov_27.5555_ID_7-processed-gene-6.130-mRNA-1	0.262011327579775	55.4810	0.393
snap_masked-NODE_16_length_247587_cov_27.0586_ID_31-processed-gene-0.21-mRNA-1	0.262764038304025	54.1884	0.357
snap_masked-NODE_12_length_381431_cov_26.8905_ID_23-processed-gene-1.135-mRNA-1	0.268279812567965	56.3870	0.334
snap_masked-NODE_2_length_765917_cov_27.8866_ID_3-processed-gene-0.121-mRNA-1	0.304550226512525	49.2070	0.285
snap_masked-NODE_6_length_597287_cov_27.2088_ID_11-processed-gene-0.110-mRNA-1	0.497555398943511	41.3471	0.427
snap_masked-NODE_5_length_653240_cov_27.0146_ID_9-processed-gene-2.152-mRNA-1	0.275497405749016	53.3218	0.345
genemark-NODE_5_length_653240_cov_27.0146_ID_9-processed-gene-5.197-mRNA-1	0.259138751557513	53.8910	0.397
snap_masked-NODE_20_length_127591_cov_27.0495_ID_39-processed-gene-0.11-mRNA-1	0.253948382009962	57.1028	0.352
snap_masked-NODE_9_length_479268_cov_27.3414_ID_17-processed-gene-2.138-mRNA-1	0.444333693515886	47.3047	0.413
snap_masked-NODE_6_length_597287_cov_27.2088_ID_11-processed-gene-3.20-mRNA-1	0.298387080479989	53.7649	0.345
augustus_masked-NODE_17_length_240136_cov_29.3823_ID_33-processed-gene-1.31-mRNA-1	0.271533377938848	54.7958	0.353
snap_masked-NODE_6_length_597287_cov_27.2088_ID_11-processed-gene-1.96-mRNA-1	0.281256681439888	56.5979	0.422
augustus_masked-NODE_3_length_740742_cov_27.1728_ID_5-processed-gene-0.72-mRNA-1	0.310889223214157	52.3288	0.318
snap_masked-NODE_3_length_740742_cov_27.1728_ID_5-processed-gene-2.35-mRNA-1	0.288030481647061	54.1940	0.352
augustus_masked-NODE_17_length_240136_cov_29.3823_ID_33-processed-gene-0.84-mRNA-1	0.330757374261341	55.2792	0.341
snap_masked-NODE_6_length_597287_cov_27.2088_ID_11-processed-gene-4.133-mRNA-1	0.247227502835102	50.4626	0.312
genemark-NODE_11_length_412906_cov_27.0339_ID_21-processed-gene-0.36-mRNA-1	0.263554535161414	56.3507	0.345
snap_masked-NODE_9_length_479268_cov_27.3414_ID_17-processed-gene-3.91-mRNA-1	0.27185052451406	56.8462	0.339
snap_masked-NODE_15_length_291038_cov_28.0476_ID_29-processed-gene-1.263-mRNA-1	0.283769121577542	57.1008	0.339
snap_masked-NODE_1_length_907998_cov_27.5965_ID_1-processed-gene-8.152-mRNA-1	0.340843289165607	45.4698	0.264
augustus_masked-NODE_14_length_314412_cov_27.9629_ID_27-processed-gene-0.6-mRNA-1	0.299659392974188	51.6401	0.313
augustus_masked-NODE_4_length_706832_cov_27.5555_ID_7-processed-gene-4.96-mRNA-1	0.268499122306514	55.4437	0.398
snap_masked-NODE_7_length_533625_cov_27.154_ID_13-processed-gene-3.158-mRNA-1	0.283147434523603	55.8923	0.354
snap_masked-NODE_10_length_474261_cov_27.8157_ID_19-processed-gene-1.144-mRNA-1	0.285487025829427	52.6653	0.314
snap_masked-NODE_3_length_740742_cov_27.1728_ID_5-processed-gene-3.105-mRNA-1	0.252207595758889	56.3953	0.348
genemark-NODE_6_length_597287_cov_27.2088_ID_11-processed-gene-3.137-mRNA-1	0.275844792748664	52.2246	0.295
