Please cite: 
Sun, X. Y., Yang, Q. Xia, X. 2012. An Improved Implementation of Effective Number of Codons (Nc). Molecular Biology and Evolution 30:191-196.Please note: short sequences may have few 2-fold and 4-fold codon families with useful data and 
may have no codon belonging to 3-fold codon families. Nc from such sequences may not be reliable.

Chosen options:
F as sum of p^2: Yes
Weighted F: Yes
Minimum number of codons for i-fold codon family: i+1.
Pseudocount added to codon counts: 1.00


SeqName                                                          SeqLen       N2*      N3*      N4*       Nc     ExpNc
----------------------------------------------------------------------------------------------------------------------
snap_masked-flattened_line_0-processed-gene-0.59-mRNA-1            1638       11        3        7   56.0277   58.7133
augustus_masked-flattened_line_0-processed-gene-0.88-mRNA-1        1596       11        3        7   54.2489   56.0618
snap_masked-flattened_line_0-processed-gene-0.60-mRNA-1             336       11        3        6   52.1865   55.1446
snap_masked-flattened_line_0-processed-gene-0.61-mRNA-1            2874       11        3        7   53.3669   56.0476
augustus_masked-flattened_line_0-processed-gene-0.106-mRNA-1       1821       11        3        7   53.7793   57.0873
augustus_masked-flattened_line_0-processed-gene-0.89-mRNA-1         705       11        3        6   53.5830   59.8600
augustus_masked-flattened_line_0-processed-gene-0.90-mRNA-1         876       11        3        6   53.2692   57.6067
augustus_masked-flattened_line_0-processed-gene-0.107-mRNA-1       3330       11        3        7   52.3262   53.4034
snap_masked-flattened_line_0-processed-gene-0.43-mRNA-1             627       11        3        7   53.8978   55.9237
augustus_masked-flattened_line_0-processed-gene-0.108-mRNA-1       2202       11        3        7   52.0784   54.2475
maker-flattened_line_0-augustus-gene-0.82-mRNA-1                   5394       11        3        7   52.7048   54.6200
augustus_masked-flattened_line_0-processed-gene-0.94-mRNA-1        1749       11        3        7   51.7172   54.4091
augustus_masked-flattened_line_0-processed-gene-0.109-mRNA-1        831       11        3        7   52.7914   51.9438
augustus_masked-flattened_line_0-processed-gene-0.110-mRNA-1       1377       11        3        7   44.4983   54.5540
snap_masked-flattened_line_0-processed-gene-0.48-mRNA-1            1356       11        3        7   53.2157   55.6453
snap_masked-flattened_line_0-processed-gene-0.49-mRNA-1            4587       11        3        7   51.9961   53.2820
genemark-flattened_line_0-processed-gene-0.27-mRNA-1               1320       11        3        7   53.8536   55.6377
augustus_masked-flattened_line_0-processed-gene-0.112-mRNA-1       1107       11        3        7   53.3323   53.8013
augustus_masked-flattened_line_0-processed-gene-0.113-mRNA-1       3597       11        3        7   50.8163   54.4789
augustus_masked-flattened_line_0-processed-gene-0.97-mRNA-1        1302       11        3        7   53.1829   56.1215
snap_masked-flattened_line_0-processed-gene-0.70-mRNA-1             315       10        3        6   53.4034   54.1139
augustus_masked-flattened_line_0-processed-gene-0.114-mRNA-1       2394       11        3        7   51.0419   56.0037
augustus_masked-flattened_line_0-processed-gene-0.115-mRNA-1       3429       11        3        7   54.2954   58.5067
augustus_masked-flattened_line_0-processed-gene-0.116-mRNA-1       1071       11        3        7   52.4348   54.0311
augustus_masked-flattened_line_0-processed-gene-0.98-mRNA-1        2337       11        3        7   52.0264   52.9934
augustus_masked-flattened_line_0-processed-gene-0.117-mRNA-1       1002       11        3        7   53.4409   54.8810
augustus_masked-flattened_line_0-processed-gene-0.99-mRNA-1        3378       11        3        7   55.3394   56.3011
snap_masked-flattened_line_0-processed-gene-0.76-mRNA-1             402       11        3        7   52.2930   55.5803
augustus_masked-flattened_line_0-processed-gene-0.119-mRNA-1       3375       11        3        7   52.0237   54.2575
augustus_masked-flattened_line_0-processed-gene-0.120-mRNA-1       2019       11        3        7   43.9408   55.6927
snap_masked-flattened_line_0-processed-gene-0.79-mRNA-1            1578       11        3        7   55.6803   59.9326
augustus_masked-flattened_line_0-processed-gene-0.122-mRNA-1       1098       11        3        7   54.2394   57.4139
snap_masked-flattened_line_0-processed-gene-0.55-mRNA-1            2124       11        3        7   44.6613   55.4558
augustus_masked-flattened_line_0-processed-gene-0.101-mRNA-1       1710       11        3        7   51.1040   55.0702
augustus_masked-flattened_line_0-processed-gene-0.102-mRNA-1        930       11        3        7   54.7871   57.3507
augustus_masked-flattened_line_0-processed-gene-0.103-mRNA-1       1317       11        3        7   50.1912   53.0948
augustus_masked-flattened_line_0-processed-gene-1.80-mRNA-1        4005       11        3        7   55.2484   57.4874
augustus_masked-flattened_line_0-processed-gene-1.81-mRNA-1        1131       11        3        6   51.3891   58.4082
