gene_id	tAI	nc	gc3
snap_masked-LAFE0H-processed-gene-14.236-mRNA-1	0.27463550619576	54.6520	0.645
augustus_masked-LAFE0F-processed-gene-7.39-mRNA-1	0.219853066769358	58.9708	0.384
snap_masked-LAFE0F-processed-gene-0.56-mRNA-1	0.267706312309376	57.1212	0.533
snap_masked-LAFE0A-processed-gene-3.111-mRNA-1	0.2734990646973	55.9524	0.530
snap_masked-LAFE0F-processed-gene-8.45-mRNA-1	0.243372635774162	52.0819	0.328
snap_masked-LAFE0E-processed-gene-7.62-mRNA-1	0.24582190391645	55.9203	0.512
snap_masked-LAFE0E-processed-gene-11.61-mRNA-1	0.216406109252301	57.6661	0.405
maker-LAFE0E-augustus-gene-6.129-mRNA-1	0.254515185490129	55.6633	0.438
snap_masked-LAFE0G-processed-gene-5.125-mRNA-1	0.200764073803794	58.0573	0.380
snap_masked-LAFE0H-processed-gene-9.103-mRNA-1	0.203094998762637	55.0094	0.376
snap_masked-LAFE0G-processed-gene-10.62-mRNA-1	0.214411502312691	59.2207	0.385
snap_masked-LAFE0F-processed-gene-12.99-mRNA-1	0.252764064856508	55.5529	0.422
snap_masked-LAFE0E-processed-gene-5.97-mRNA-1	0.278714948537221	49.5782	0.367
snap_masked-LAFE0G-processed-gene-15.45-mRNA-1	0.225637200423075	54.4657	0.400
snap_masked-LAFE0F-processed-gene-9.51-mRNA-1	0.228475607503505	53.1336	0.371
snap_masked-LAFE0C-processed-gene-6.30-mRNA-1	0.220846934218758	55.5006	0.445
snap_masked-LAFE0B-processed-gene-6.73-mRNA-1	0.226410727940091	56.7223	0.407
augustus_masked-LAFE0E-processed-gene-12.102-mRNA-1	0.214867315852242	54.8556	0.339
snap_masked-LAFE0E-processed-gene-4.68-mRNA-1	0.24679564884756	56.1816	0.418
snap_masked-LAFE0D-processed-gene-8.79-mRNA-1	0.347633207733487	46.4373	0.369
snap_masked-LAFE0F-processed-gene-5.24-mRNA-1	0.182928983558883	55.2743	0.339
genemark-LAFE0E-processed-gene-12.63-mRNA-1	0.282151278364986	54.8555	0.395
snap_masked-LAFE0D-processed-gene-7.75-mRNA-1	0.224012787054542	58.1945	0.409
augustus_masked-LAFE0H-processed-gene-3.5-mRNA-1	0.282021155473148	54.0631	0.548
snap_masked-LAFE0F-processed-gene-8.1-mRNA-1	0.309612414462034	51.4587	0.695
snap_masked-LAFE0E-processed-gene-1.156-mRNA-1	0.266382866952076	57.8655	0.476
snap_masked-LAFE0C-processed-gene-7.87-mRNA-1	0.215047961715458	56.0849	0.392
snap_masked-LAFE0H-processed-gene-14.185-mRNA-1	0.26359964638771	55.0758	0.446
snap_masked-LAFE0H-processed-gene-1.18-mRNA-1	0.25995262872739	48.8227	0.678
snap_masked-LAFE0F-processed-gene-3.135-mRNA-1	0.341534437938043	43.0134	0.819
snap_masked-LAFE0E-processed-gene-8.46-mRNA-1	0.311980117612246	47.2675	0.505
snap_masked-LAFE0F-processed-gene-13.42-mRNA-1	0.281304136656282	52.4223	0.623
snap_masked-LAFE0D-processed-gene-0.51-mRNA-1	0.183766018066826	55.4350	0.376
augustus_masked-LAFE0H-processed-gene-8.9-mRNA-1	0.218705618687095	56.7596	0.373
snap_masked-LAFE0H-processed-gene-7.68-mRNA-1	0.231262521793725	56.6964	0.391
augustus_masked-LAFE0A-processed-gene-2.66-mRNA-1	0.441782510173462	38.8242	0.640
snap_masked-LAFE0B-processed-gene-8.62-mRNA-1	0.271763914795074	54.4319	0.486
snap_masked-LAFE0G-processed-gene-15.4-mRNA-1	0.23951331551818	55.4186	0.419
snap_masked-LAFE0A-processed-gene-3.136-mRNA-1	0.2328493043334	57.8413	0.395
snap_masked-LAFE0H-processed-gene-3.84-mRNA-1	0.24542964328778	57.5931	0.381
snap_masked-LAFE0G-processed-gene-0.43-mRNA-1	0.223736878329463	54.8038	0.393
snap_masked-LAFE0B-processed-gene-5.84-mRNA-1	0.241307590147785	56.4391	0.365
snap_masked-LAFE0B-processed-gene-6.92-mRNA-1	0.204068178235931	57.9785	0.380
snap_masked-LAFE0H-processed-gene-5.92-mRNA-1	0.243294048248616	56.4438	0.371
snap_masked-LAFE0G-processed-gene-6.62-mRNA-1	0.21316102225648	57.6800	0.365
snap_masked-LAFE0G-processed-gene-14.66-mRNA-1	0.235864572004827	55.7550	0.391
snap_masked-LAFE0E-processed-gene-9.75-mRNA-1	0.230290182846991	57.2037	0.396
snap_masked-LAFE0G-processed-gene-12.102-mRNA-1	0.288899083355009	53.6992	0.376
