gene_id	tAI	nc	gc3
augustus_masked-NODE_18_length_168054_cov_20.0481_ID_35-processed-gene-0.232-mRNA-1	0.349609360079601	53.7959	0.401
augustus_masked-NODE_14_length_196847_cov_21.6481_ID_27-processed-gene-0.272-mRNA-1	0.293788018644239	52.0245	0.281
snap_masked-NODE_11_length_282380_cov_21.34_ID_21-processed-gene-1.269-mRNA-1	0.298426728901165	54.2798	0.342
augustus_masked-NODE_14_length_196847_cov_21.6481_ID_27-processed-gene-0.253-mRNA-1	0.311506289261482	47.5837	0.246
snap_masked-NODE_25_length_143880_cov_21.6552_ID_49-processed-gene-0.98-mRNA-1	0.296153187727056	53.2084	0.460
snap_masked-NODE_35_length_85358_cov_20.3898_ID_69-processed-gene-0.102-mRNA-1	0.292623507679934	54.0115	0.462
augustus_masked-NODE_7_length_338824_cov_20.1904_ID_13-processed-gene-2.133-mRNA-1	0.346485941166803	49.5817	0.622
augustus_masked-NODE_11_length_282380_cov_21.34_ID_21-processed-gene-0.98-mRNA-1	0.327837722686951	50.3815	0.332
augustus_masked-NODE_12_length_222609_cov_20.3469_ID_23-processed-gene-1.65-mRNA-1	0.322390815899419	49.7202	0.362
augustus_masked-NODE_35_length_85358_cov_20.3898_ID_69-processed-gene-0.40-mRNA-1	0.306336400496946	47.7025	0.317
augustus_masked-NODE_10_length_292512_cov_19.4515_ID_19-processed-gene-1.266-mRNA-1	0.325210915864319	49.4007	0.329
snap_masked-NODE_69_length_6590_cov_45.7105_ID_137-processed-gene-0.2-mRNA-1	0.310831635451712	55.2830	0.361
maker-NODE_2_length_837746_cov_20.7076_ID_3-augustus-gene-3.122-mRNA-1	0.328450040493858	50.1416	0.273
augustus_masked-NODE_27_length_128716_cov_20.5214_ID_53-processed-gene-0.19-mRNA-1	0.314980691033249	49.2489	0.242
genemark-NODE_19_length_167265_cov_21.9052_ID_37-processed-gene-0.86-mRNA-1	0.29400973398221	56.6954	0.387
augustus_masked-NODE_11_length_282380_cov_21.34_ID_21-processed-gene-1.44-mRNA-1	0.303537992821706	57.3487	0.365
snap_masked-NODE_1_length_1340882_cov_20.2954_ID_1-processed-gene-12.108-mRNA-1	0.317888404908953	51.4367	0.315
augustus_masked-NODE_1_length_1340882_cov_20.2954_ID_1-processed-gene-9.111-mRNA-1	0.320482487830517	50.7645	0.270
snap_masked-NODE_4_length_490047_cov_21.4437_ID_7-processed-gene-2.57-mRNA-1	0.303154854554523	53.2649	0.355
