gene_id	tAI	nc	gc3
augustus_masked-AE016818-processed-gene-3.91-mRNA-1	0.315526726049318	40.1597	0.858
augustus_masked-AE016816-processed-gene-1.3-mRNA-1	0.321885399493531	42.7240	0.878
augustus_masked-AE016817-processed-gene-13.227-mRNA-1	0.318420461808256	52.1200	0.620
augustus_masked-AE016820-processed-gene-15.73-mRNA-1	0.265474449206543	55.2187	0.622
augustus_masked-AE016816-processed-gene-4.36-mRNA-1	0.283047969326127	56.0285	0.537
snap_masked-AE016814-processed-gene-3.151-mRNA-1	0.319177441438876	48.3106	0.753
augustus_masked-AE016819-processed-gene-1.92-mRNA-1	0.272886391887524	49.8391	0.755
augustus_masked-AE016818-processed-gene-14.17-mRNA-1	0.312678645991775	47.0106	0.772
augustus_masked-AE016820-processed-gene-9.32-mRNA-1	0.276083259568036	52.6402	0.666
augustus_masked-AE016818-processed-gene-14.8-mRNA-1	0.265147571084189	58.0787	0.506
augustus_masked-AE016819-processed-gene-12.119-mRNA-1	0.313753002959097	45.0014	0.808
augustus_masked-AE016814-processed-gene-5.109-mRNA-1	0.282468716207621	54.6164	0.644
augustus_masked-AE016820-processed-gene-17.87-mRNA-1	0.358837881378684	34.8129	0.935
snap_masked-AE016817-processed-gene-8.108-mRNA-1	0.294585273917459	52.5296	0.676
augustus_masked-AE016818-processed-gene-6.76-mRNA-1	0.378186199452599	38.7259	0.941
genemark-AE016820-processed-gene-9.121-mRNA-1	0.320962152389343	46.0233	0.805
genemark-AE016817-processed-gene-7.45-mRNA-1	0.258529560750098	55.8562	0.595
augustus_masked-AE016818-processed-gene-2.141-mRNA-1	0.364061683329016	37.6357	0.889
maker-AE016816-augustus-gene-5.63-mRNA-1	0.310983755631277	46.9700	0.796
augustus_masked-AE016818-processed-gene-10.126-mRNA-1	0.267262340143756	50.3264	0.680
augustus_masked-AE016818-processed-gene-1.41-mRNA-1	0.224353210745807	58.2454	0.464
maker-AE016817-augustus-gene-8.156-mRNA-1	0.306639298034711	45.7385	0.806
augustus_masked-AE016815-processed-gene-6.34-mRNA-1	0.319805458584818	48.4818	0.753
augustus_masked-AE016818-processed-gene-6.92-mRNA-1	0.230626431364911	57.6420	0.556
