gene_id	tAI	nc	gc3
maker-gi|1002317712|dbj|BCJD01000003.1|-augustus-gene-10.2-mRNA-1	0.363601233330807	44.3455	0.689
genemark-gi|1002317714|dbj|BCJD01000001.1|-processed-gene-22.34-mRNA-1	0.280510461278702	51.8603	0.540
genemark-gi|1002317713|dbj|BCJD01000002.1|-processed-gene-23.0-mRNA-1	0.262778346880642	52.2622	0.664
genemark-gi|1002317714|dbj|BCJD01000001.1|-processed-gene-0.84-mRNA-1	0.400071693301263	44.6478	0.776
genemark-gi|1002317711|dbj|BCJD01000004.1|-processed-gene-5.77-mRNA-1	0.459603308905483	40.4422	0.791
genemark-gi|1002317712|dbj|BCJD01000003.1|-processed-gene-9.70-mRNA-1	0.434622150729153	38.8401	0.747
augustus_masked-gi|1002317708|dbj|BCJD01000007.1|-processed-gene-5.21-mRNA-1	0.344145629859343	48.3573	0.511
genemark-gi|1002317706|dbj|BCJD01000009.1|-processed-gene-6.118-mRNA-1	0.464721018374195	39.2563	0.623
snap_masked-gi|1002317714|dbj|BCJD01000001.1|-processed-gene-30.13-mRNA-1	0.287800475192863	54.0709	0.430
genemark-gi|1002317713|dbj|BCJD01000002.1|-processed-gene-24.29-mRNA-1	0.290999195716962	51.6318	0.571
genemark-gi|1002317713|dbj|BCJD01000002.1|-processed-gene-2.45-mRNA-1	0.316688940934646	52.0867	0.646
genemark-gi|1002317711|dbj|BCJD01000004.1|-processed-gene-13.16-mRNA-1	0.358142909537464	46.6357	0.679
snap_masked-gi|1002317706|dbj|BCJD01000009.1|-processed-gene-5.65-mRNA-1	0.361429928680094	46.4774	0.641
genemark-gi|1002317710|dbj|BCJD01000005.1|-processed-gene-4.76-mRNA-1	0.39253508813252	43.0704	0.684
maker-gi|1002317708|dbj|BCJD01000007.1|-augustus-gene-0.92-mRNA-1	0.348070802237214	46.7523	0.658
genemark-gi|1002317708|dbj|BCJD01000007.1|-processed-gene-5.116-mRNA-1	0.43183102213316	42.7805	0.636
genemark-gi|1002317709|dbj|BCJD01000006.1|-processed-gene-0.11-mRNA-1	0.348736970530058	48.9358	0.568
snap_masked-gi|1002317709|dbj|BCJD01000006.1|-processed-gene-3.48-mRNA-1	0.282512168791282	56.7455	0.460
