Please cite: 
Sun, X. Y., Yang, Q. Xia, X. 2012. An Improved Implementation of Effective Number of Codons (Nc). Molecular Biology and Evolution 30:191-196.Please note: short sequences may have few 2-fold and 4-fold codon families with useful data and 
may have no codon belonging to 3-fold codon families. Nc from such sequences may not be reliable.

Chosen options:
F as sum of p^2: Yes
Weighted F: Yes
Minimum number of codons for i-fold codon family: i+1.
Pseudocount added to codon counts: 1.00


SeqName                                                           SeqLen       N2*      N3*      N4*       Nc     ExpNc
-----------------------------------------------------------------------------------------------------------------------
snap_masked-flattened_line_0-processed-gene-0.72-mRNA-1              642       11        1        8   53.8323   61.9850
snap_masked-flattened_line_0-processed-gene-0.49-mRNA-1              375       12        1        8   50.9377   56.7841
genemark-flattened_line_0-processed-gene-0.122-mRNA-1                411       11        1        8   54.1808   61.3098
snap_masked-flattened_line_0-processed-gene-0.50-mRNA-1              855       11        1        8   54.2003   59.9325
augustus_masked-flattened_line_0-processed-gene-0.4-mRNA-1           336       10        1        8   50.5777   60.2388
snap_masked-flattened_line_0-processed-gene-0.52-mRNA-1             2040       12        1        8   58.3010   62.0565
maker-flattened_line_0-snap-gene-0.150-mRNA-1                        654       12        1        8   47.4631   58.3679
snap_masked-flattened_line_0-processed-gene-0.53-mRNA-1             1929       12        1        8   56.7345   62.4235
snap_masked-flattened_line_0-processed-gene-0.54-mRNA-1             1284       12        1        8   58.3672   62.6121
snap_masked-flattened_line_0-processed-gene-0.75-mRNA-1              906       11        1        8   47.8385   61.7605
snap_masked-flattened_line_0-processed-gene-0.55-mRNA-1             1032       12        1        8   56.8107   61.5583
snap_masked-flattened_line_0-processed-gene-0.56-mRNA-1              675       12        1        8   58.3948   61.6796
snap_masked-flattened_line_0-processed-gene-0.77-mRNA-1             2607       12        1        8   58.5175   60.5975
maker-flattened_line_0-snap-gene-0.151-mRNA-1                        471       12        1        8   51.5326   61.3445
snap_masked-flattened_line_0-processed-gene-0.79-mRNA-1             1341       12        1        8   56.0279   61.4741
snap_masked-flattened_line_0-processed-gene-0.80-mRNA-1             1335       11        1        8   55.4081   62.3862
snap_masked-flattened_line_0-processed-gene-0.81-mRNA-1              564       12        1        8   56.6076   61.4959
snap_masked-flattened_line_0-processed-gene-0.82-mRNA-1             1089       12        1        8   56.8253   61.8898
snap_masked-flattened_line_0-processed-gene-0.57-mRNA-1             1554       12        1        8   57.7451   61.0764
snap_masked-flattened_line_0-processed-gene-0.83-mRNA-1             2055       12        1        8   57.9317   60.5437
snap_masked-flattened_line_0-processed-gene-0.58-mRNA-1             1431       12        1        8   56.8026   60.8904
snap_masked-flattened_line_0-processed-gene-0.84-mRNA-1             2007       12        1        8   54.9959   57.3649
snap_masked-flattened_line_0-processed-gene-0.85-mRNA-1             1923       12        1        8   56.9817   60.9888
snap_masked-flattened_line_0-processed-gene-0.59-mRNA-1             1200       12        1        8   56.9408   60.3695
snap_masked-flattened_line_0-processed-gene-0.60-mRNA-1             1650       12        1        8   40.1259   58.9438
genemark-flattened_line_0-processed-gene-0.110-mRNA-1                522       12        1        8   54.2282   59.8546
snap_masked-flattened_line_0-processed-gene-0.62-mRNA-1              975       12        1        8   52.4252   58.4372
genemark-flattened_line_0-processed-gene-0.135-mRNA-1               1659       12        1        8   56.1441   58.9386
snap_masked-flattened_line_0-processed-gene-0.63-mRNA-1             1020       12        1        8   53.2268   57.1700
snap_masked-flattened_line_0-processed-gene-0.88-mRNA-1             1464       12        1        8   58.7379   61.7861
snap_masked-flattened_line_0-processed-gene-0.64-mRNA-1              462       12        1        8   55.8378   60.7527
genemark-flattened_line_0-processed-gene-0.138-mRNA-1               1068       12        1        8   57.1265   62.7780
snap_masked-flattened_line_0-processed-gene-0.65-mRNA-1             1257       12        1        8   56.0419   61.6993
snap_masked-flattened_line_0-processed-gene-0.90-mRNA-1              720       12        1        8   54.9194   61.8290
snap_masked-flattened_line_0-processed-gene-0.66-mRNA-1              459       12        1        8   52.7432   57.1469
snap_masked-flattened_line_0-processed-gene-0.92-mRNA-1             1467       12        1        8   57.3340   61.7950
snap_masked-flattened_line_0-processed-gene-0.67-mRNA-1              390       11        1        8   54.7736   58.6525
snap_masked-flattened_line_0-processed-gene-0.93-mRNA-1             1710       12        1        8   57.2960   62.4968
