Please cite: 
Sun, X. Y., Yang, Q. Xia, X. 2012. An Improved Implementation of Effective Number of Codons (Nc). Molecular Biology and Evolution 30:191-196.Please note: short sequences may have few 2-fold and 4-fold codon families with useful data and 
may have no codon belonging to 3-fold codon families. Nc from such sequences may not be reliable.

Chosen options:
F as sum of p^2: Yes
Weighted F: Yes
Minimum number of codons for i-fold codon family: i+1.
Pseudocount added to codon counts: 1.00


SeqName                                                                                   SeqLen       N2*      N3*      N4*       Nc     ExpNc
-----------------------------------------------------------------------------------------------------------------------------------------------
snap_masked-NODE_101_length_686_cov_0.864348_ID_6841-processed-gene-0.1-mRNA-1               561       11        1        8   45.0904   55.1881
snap_masked-NODE_10_length_351285_cov_13.1473_ID_2714-processed-gene-0.26-mRNA-1             327       11        1        8   54.7826   60.7474
snap_masked-NODE_10_length_351285_cov_13.1473_ID_2714-processed-gene-0.27-mRNA-1            4914       12        1        8   56.6892   60.1880
snap_masked-NODE_10_length_351285_cov_13.1473_ID_2714-processed-gene-0.2-mRNA-1              447       11        1        8   53.1451   61.7886
snap_masked-NODE_10_length_351285_cov_13.1473_ID_2714-processed-gene-0.28-mRNA-1            1443       12        1        8   57.8138   62.0853
snap_masked-NODE_10_length_351285_cov_13.1473_ID_2714-processed-gene-0.29-mRNA-1            2352       12        1        8   56.5618   59.8409
augustus_masked-NODE_10_length_351285_cov_13.1473_ID_2714-processed-gene-0.42-mRNA-1        3657       12        1        8   58.4685   61.6613
snap_masked-NODE_10_length_351285_cov_13.1473_ID_2714-processed-gene-0.30-mRNA-1             636       11        1        8   44.8808   46.6127
snap_masked-NODE_10_length_351285_cov_13.1473_ID_2714-processed-gene-0.5-mRNA-1             1080       11        1        8   43.6429   44.3997
genemark-NODE_10_length_351285_cov_13.1473_ID_2714-processed-gene-0.104-mRNA-1               954       11        1        8   49.9071   56.9659
snap_masked-NODE_10_length_351285_cov_13.1473_ID_2714-processed-gene-0.6-mRNA-1              498       10        0        7   52.9701   54.9648
snap_masked-NODE_10_length_351285_cov_13.1473_ID_2714-processed-gene-0.7-mRNA-1             1296       12        1        8   59.0146   61.6654
snap_masked-NODE_10_length_351285_cov_13.1473_ID_2714-processed-gene-0.8-mRNA-1             3276       12        1        8   56.4045   59.5446
snap_masked-NODE_10_length_351285_cov_13.1473_ID_2714-processed-gene-0.31-mRNA-1             975       12        1        8   57.1644   62.8357
augustus_masked-NODE_10_length_351285_cov_13.1473_ID_2714-processed-gene-0.67-mRNA-1         942       12        1        8   48.2982   50.0128
snap_masked-NODE_10_length_351285_cov_13.1473_ID_2714-processed-gene-0.33-mRNA-1             699       12        1        8   55.8731   62.1511
